Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact,Euro norm
"43,085 EUR (1,089,900 CZK)",Lexus,Rc-F,5.0,"24,245 km",2014,Petrol,Coupe,Blue,Praha,351 kW (477 HP),Automatic,https://www.annonce.cz/inzerat/lexus-rc-f-5-0-v8-coupe-72567015-wb3xpq.html,
"10,634 EUR (269,000 CZK)",Volkswagen,Touran,1.6 TDI,"167,492 km",2014,Diesel,Mpv,Beige,Kroměříž,77 kW (105 HP),Manual,https://www.automodul.cz/volkswagen-touran-1-6-tdi-7-mist-bi-xen-navi-c2737899,
"139,863 EUR (3,538,000 CZK)",Bmw,M4,3.0,59 km,2016,Petrol,Coupe,Black,Ostrava,368 kW (500 HP),Automatic,https://www.sauto.cz/osobni/detail/bmw/m4/206110380,
"19,761 EUR (499,900 CZK)",Volkswagen,Polo,2.0,"80,700 km",2013,Petrol,Hatchback,White,České Budějovice,162 kW (220 HP),Manual,https://www.sauto.cz/osobni/detail/volkswagen/polo/201941611,
"16,994 EUR (429,900 CZK)",Ford,Kuga,1.5 EcoBoost,"37,000 km",2017,Petrol,Suv,White,Slaný,110 kW (150 HP),Manual,https://www.autanet.cz/detail/ford/kuga/47298,
"63,246 EUR (1,599,900 CZK)",Bmw,X7,30d xDrive,"176,205 km",2019,Diesel,Suv,Black,Praha,195 kW (265 HP),Automatic,https://www.automodul.cz/bmw-x7-30d-xdrive-m-paket-executive-c2664486,
"3,953 EUR (99,999 CZK)",Honda,Civic,1.4,"179,569 km",2009,Petrol,Hatchback,Gray,Brno,73 kW (99 HP),Manual,https://www.automodul.cz/honda-civic-1-4-lpg-c2643736,
"3,953 EUR (99,999 CZK)",Honda,Civic,1.4,"179,526 km",2009,Petrol,Hatchback,Gray,Brno,73 kW (99 HP),Manual,https://www.automodul.cz/honda-civic-1-4-comfort-lpg-c2643458,
"9,803 EUR (248,000 CZK)",Opel,Mokka,1.7,"168,684 km",2013,Diesel,Crossover,White,Kroměříž,96 kW (131 HP),Manual,https://autocaris.cz/detail.php?inzerat=742955,
"7,898 EUR (199,800 CZK)",Opel,Meriva,1.4 Turbo,"92,000 km",2016,Petrol,Mpv,Brown,Slaný,103 kW (140 HP),Manual,https://autocaris.cz/detail.php?inzerat=744254,
"31,546 EUR (798,000 CZK)",Mercedes Benz,Gl-Class,,"145,391 km",2015,Diesel,Suv,White,Znojmo,190 kW (258 HP),Automatic,https://www.automodul.cz/mercedes-trida-gl-350d-4m-air-masaz-pano-7-mist-c2709539,
"21,702 EUR (549,000 CZK)",Bmw,5 Series,M550d,"273,342 km",2016,Diesel,Sedan,White,Chrudim,280 kW (381 HP),Automatic,https://www.sauto.cz/osobni/detail/bmw/rada-5/205650594,
"59,293 EUR (1,499,900 CZK)",Bmw,X5,30d,"105,500 km",2019,Diesel,Suv,Blue,Praha,195 kW (265 HP),Automatic,http://auto.rychle.cz/osobni-auto-O/BMW/X5/X5-30d-xDrive-SUV-170153854310459.html,
"23,244 EUR (588,000 CZK)",Škoda,Kodiaq,2.0 dsg tdi,"206,088 km",2018,Diesel,Suv,Blue,Kroměříž,110 kW (150 HP),Automatic,https://www.sauto.cz/osobni/detail/skoda/kodiaq/204280746,
"5,139 EUR (129,999 CZK)",Volkswagen,Touran,1.4 TSI,"175,327 km",2008,Petrol,Mpv,Black,Olbramovice,103 kW (140 HP),Manual,https://yauto.cz/volkswagen/touran/14-tsi-103kw-highline-mpv-benzin-867788/,
"138,357 EUR (3,499,900 CZK)",Mercedes Benz,Gls-Class,580 4Matic,10 km,2023,Petrol,Suv,Black,Praha,360 kW (490 HP),Automatic,https://yauto.cz/mercedes-benz/gls/40-matic-active-suv-benzin-844674/,
"8,894 EUR (225,000 CZK)",Volkswagen,Touran,1.6 TDI,"175,500 km",2013,Diesel,Mpv,Blue,Uherské Hradiště,78 kW (106 HP),Manual,https://www.dasweltauto.cz/vehicle/242326159,
"65,223 EUR (1,649,900 CZK)",Audi,A6 Allroad,3.0 50 TDI quattro,"23,085 km",2023,Diesel,Crossover,Gray,Praha,210 kW (286 HP),Automatic,http://auto.rychle.cz/osobni-auto-O/Audi/A6_Allroad/A6-Allroad-50-TDI-QUAT-Kombi-17078457647270.html,
"52,138 EUR (1,318,900 CZK)",Mercedes Benz,Glb-Class,,"8,500 km",2022,Diesel,Suv,Blue,Karlovy Vary,140 kW (190 HP),Automatic,https://www.autanet.cz/detail/mercedes-benz/glb/44364,
