Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Price(EUR),Mileage(km),kW,Emission standard,Country
Mclaren,570gt,3.8,2017,Petrol,Coupe,Orange,Salzburg,Automatic,https://www.zweispurig.at/mclaren-570-gt-gebrauchtwagen-benzin-orange-salzburg/details-1238771,199999,33000,425.0,6,Austria
Škoda,Kodiaq,2.0 4x4 dsg tdi,2023,Diesel,Suv,Gray,Linz,Automatic,https://www.dasweltauto.at/vehicle/30102130,56840,6213,149.0,6,Austria
Maserati,Grecale,2.0 GT,2022,Hybrid,Suv,Blue,Wien,Automatic,https://www.zweispurig.at/maserati-grecale-gebrauchtwagen-benzin-blau-wien/details-752548,99900,18400,224.0,6,Austria
Volkswagen,Sharan,2.0 TDI,2017,Diesel,Van,White,Steyr,Manual,https://www.gebrauchtwagen.at/fahrzeuge/volkswagen-sharan-business-2-0-tdi-netto15-700-xenon-pdc-temp-diesel/c2d0a62e-c926-4702-91db-f93d9214079a,18840,169000,86.0,6,Austria
Bmw,X3,xDrive20d,2012,Diesel,Suv,Black,Lienz,Automatic,https://www.zweispurig.at/bmw-x3-gebrauchtwagen-diesel-schwarz-tirol/details-1238595,15900,228000,137.0,5,Austria
Jeep,Renegade,2.0,2015,Diesel,Crossover,White,Salzburg,Manual,https://www.zweispurig.at/jeep-renegade-gebrauchtwagen-diesel-weiss-salzburg/details-1180809,15900,160000,89.0,6,Austria
Bmw,X3,30d,2012,Diesel,Suv,Black,Innsbruck,Automatic,https://www.zweispurig.at/bmw-x3-gebrauchtwagen-diesel-schwarz-tirol/details-1230667,19900,151903,192.0,5,Austria
Bmw,X3,xDrive20d,2012,Diesel,Suv,Black,Lustenau,Automatic,https://www.zweispurig.at/bmw-x3-gebrauchtwagen-diesel-schwarz-vorarlberg/details-1213758,19950,148000,137.0,5,Austria
Mercedes Benz,C-Class,220 CDI,2011,Diesel,Sedan,Black,Braunau Am Inn,Automatic,https://www.zweispurig.at/mercedes-benz-c-klasse-gebrauchtwagen-diesel-schwarz-oberoesterreich/details-1229590,11999,221000,126.0,5,Austria
Hyundai,I30,1.0,2019,Petrol,Wagon,Brown,Linz,Manual,https://www.gebrauchtwagen-markt.at/autoboerse/511218-hyundai-i30-cw-t-gdi-level-3-plusnavirueckfahrkamera.html,15490,53200,89.0,6,Austria
Bmw,Z4,i,2008,Petrol,Convertible,Black,Steyr,Manual,https://www.zweispurig.at/bmw-z4-gebrauchtwagen-benzin-schwarz-oberoesterreich/details-1223191,15499,109000,131.0,4,Austria
Audi,A4 Allroad,2.0 TDI,2012,Diesel,Crossover,Brown,Salzburg,Manual,https://www.zweispurig.at/audi-a4-allroad-gebrauchtwagen-diesel-braun-salzburg/details-1218466,13990,214000,131.0,5,Austria
Audi,Tt,2.0 tfsi,2007,Petrol,Coupe,Black,Salzburg,Manual,https://www.zweispurig.at/audi-tt-gebrauchtwagen-benzin-schwarz-salzburg/details-1240947,11500,151000,149.0,4,Austria
Bmw,X3,xDrive20d,2013,Diesel,Suv,Black,Braunau Am Inn,Automatic,https://www.zweispurig.at/bmw-x3-gebrauchtwagen-diesel-schwarz-oberoesterreich/details-1221951,18499,170000,137.0,5,Austria
Ford,Focus,1.5 TDCi,2017,Diesel,Wagon,Gray,Steyr,Manual,https://www.gebrauchtwagen-markt.at/autoboerse/511622-ford-focus-traveller-tdci-navi-kamera-winterpaket.html,10980,116000,78.0,6,Austria
Bmw,3 Series,316d,2018,Diesel,Wagon,Blue,Steyr,Manual,https://www.gebrauchtwagen-markt.at/autoboerse/510894-bmw-316d-touring-advantage-led-navi-pdc.html,17450,109000,86.0,6,Austria
Volkswagen,Golf,2.0 R,2019,Petrol,Sedan,Gray,Graz,Automatic,https://www.zweispurig.at/vw-golf-gebrauchtwagen-benzin-grau-steiermark/details-1237725,36950,60804,224.0,6,Austria
Volkswagen,Golf,1.0 tsi,2019,Petrol,Sedan,White,Wien,Automatic,https://www.zweispurig.at/vw-golf-gebrauchtwagen-benzin-weiss-niederoesterreich/details-1195100,19900,32000,86.0,6,Austria
Volkswagen,Transporter,2.0 TSI,2022,Petrol,Van,Black,Salzburg,Automatic,https://www.dasweltauto.at/vehicle/50045863,72990,13580,152.0,6,Austria
Volkswagen,Sharan,2.0 TDI,2019,Diesel,Van,Silver,Wien,Automatic,https://www.zweispurig.at/vw-sharan-gebrauchtwagen-diesel-silber-niederoesterreich/details-1250641,19980,169057,111.0,6,Austria
Hyundai,Tucson,1.6 CRDi,2024,Diesel,Suv,White,Innsbruck,Automatic,https://www.zweispurig.at/hyundai-tucson-vorfuehrwagen-diesel-weiss-tirol/details-1224367,45990,3000,101.0,6,Austria
Land Rover,Evoque,2.0,2020,Diesel,Suv,Gray,Linz,Automatic,https://www.gebrauchtwagen-markt.at/autoboerse/510116-land-rover-range-rover-evoque-d180-s-head-up-sd-sth.html,42900,49280,133.0,6,Austria
Volkswagen,Passat,2.0 TDI,2018,Diesel,Wagon,Silver,Graz,Manual,https://www.zweispurig.at/vw-passat-gebrauchtwagen-diesel-silber-steiermark/details-1238572,16990,93200,111.0,6,Austria
Fiat,Tipo,1.4,2019,Petrol,Hatchback,Black,Wien,Manual,https://www.zweispurig.at/fiat-tipo-gebrauchtwagen-benzin-mehrere-erhaeltlich-wien/details-1210968,12880,88715,89.0,6,Austria
Seat,Leon,1.5 tsi,2019,Petrol,Hatchback,Black,Leoben,Manual,https://www.dasweltauto.at/vehicle/4643400042,17990,20840,111.0,6,Austria
Mercedes Benz,Glc-Class,300 4MATIC,2022,Diesel,Suv,Black,Schwaz,Automatic,https://www.zweispurig.at/mercedes-benz-glc-gebrauchtwagen-diesel-schwarz-tirol/details-1226799,76990,16224,182.0,6,Austria
Bentley,Continental Gt,6.0,2018,Petrol,Coupe,White,Wiener Neustadt,Automatic,https://www.zweispurig.at/bentley-continental-gt-gebrauchtwagen-benzin-weiss-niederoesterreich/details-1252638,248670,12657,473.0,6,Austria
Porsche,911,3.0,2020,Petrol,Coupe,Black,Innsbruck,Automatic,https://www.zweispurig.at/porsche-911-gebrauchtwagen-benzin-schwarz-tirol/details-1231262,184900,14428,335.0,6,Austria
Mazda,6,2.2 cd,2013,Diesel,Wagon,Gray,Linz,Manual,https://www.zweispurig.at/mazda-mazda6-gebrauchtwagen-diesel-grau-oberoesterreich/details-1168286,9900,194550,111.0,5,Austria
Mercedes Benz,E-Class,200 CGI BE,2009,Petrol,Sedan,Black,Villach,Automatic,https://www.zweispurig.at/mercedes-benz-e-klasse-gebrauchtwagen-benzin-schwarz-kaernten/details-1230488,15890,162000,137.0,5,Austria
Ford,Focus,1.5 TDCi,2019,Diesel,Wagon,Orange,Salzburg,Manual,https://www.zweispurig.at/ford-focus-gebrauchtwagen-diesel-orange-salzburg/details-1194635,16900,111500,89.0,6,Austria
Hyundai,I30,1.0,2024,Petrol,Wagon,Gray,Innsbruck,Manual,https://www.zweispurig.at/hyundai-i30-vorfuehrwagen-benzin-grau-tirol/details-1162997,26365,7,89.0,6,Austria
Jeep,Compass,1.6,2022,Diesel,Crossover,Gray,Salzburg,Manual,https://www.zweispurig.at/jeep-compass-gebrauchtwagen-diesel-grau-salzburg/details-1242007,27990,46800,97.0,6,Austria
Jeep,Compass,1.3,2022,Petrol,Crossover,Blue,Villach,Automatic,https://www.zweispurig.at/jeep-compass-jahreswagen-benzin-blau-kaernten/details-1228974,29990,34330,111.0,6,Austria
Jeep,Compass,1.3,2022,Petrol,Crossover,Green,Villach,Automatic,https://www.zweispurig.at/jeep-compass-jahreswagen-benzin-gruen-kaernten/details-1228973,29990,32921,111.0,6,Austria
Jeep,Compass,1.3,2022,Petrol,Crossover,Silver,Amstetten,Manual,https://www.zweispurig.at/jeep-compass-gebrauchtwagen-benzin-silber-niederoesterreich/details-1117661,31440,26220,97.0,6,Austria
Audi,Q7,3.0 TDI,2012,Diesel,Suv,Gray,Wien,Automatic,https://www.bazar.at/d/01-suv/wie-1220/p-674065,21900,165000,152.0,5,Austria
Peugeot,508,2.0 HDi,2019,Diesel,Sedan,White,Kufstein,Automatic,https://www.zweispurig.at/peugeot-508-gebrauchtwagen-diesel-weiss-tirol/details-1227659,29890,34000,134.0,6,Austria
Bmw,X3,20d,2016,Diesel,Suv,White,Salzburg,Automatic,https://www.zweispurig.at/bmw-x3-gebrauchtwagen-diesel-weiss-salzburg/details-1223833,27890,146621,137.0,6,Austria
Audi,A3,2.0 30 TDI,2022,Diesel,Sedan,White,Salzburg,Manual,https://www.zweispurig.at/audi-a3-gebrauchtwagen-diesel-weiss-salzburg/details-1251480,27900,27220,86.0,6,Austria
Land Rover,Discovery,3.0,2018,Petrol,Suv,Black,Wiener Neustadt,Automatic,https://www.zweispurig.at/land-rover-discovery-gebrauchtwagen-benzin-schwarz-niederoesterreich/details-1228820,63990,60672,253.0,6,Austria
Mercedes Benz,C-Class,180,2015,Diesel,Sedan,White,Wien,Automatic,https://www.zweispurig.at/mercedes-benz-c-klasse-gebrauchtwagen-diesel-weiss-wien/details-1220636,19890,118000,86.0,6,Austria
Volkswagen,California,2.0,2022,Diesel,Van,White,Graz,Automatic,https://www.zweispurig.at/vw-california-gebrauchtwagen-diesel-weiss-steiermark/details-1237968,95950,18477,152.0,6,Austria
Aston Martin,Dbx,4.0,2023,Petrol,Suv,White,Wiener Neustadt,Automatic,https://www.zweispurig.at/aston-martin-dbx-gebrauchtwagen-benzin-weiss-niederoesterreich/details-1252641,325870,9718,527.0,6,Austria
Bmw,X3,xDrive20d,2017,Diesel,Suv,Gray,Ried Im Innkreis,Manual,https://www.zweispurig.at/bmw-x3-gebrauchtwagen-diesel-grau-oberoesterreich/details-1207288,24500,190000,141.0,6,Austria
