Make,Model,Year,Fuel type,Body type,Color,City,Transmission,Contact,Trim,Emission standard,Price(EUR),Mileage(km),kW,Country
Bmw,5 Series,2009,Diesel,Wagon,Blue,Skien,Automatic,https://www.finn.no/car/used/ad.html?finnkode=340010565,520d,5,5162.0,324000,121.0,Norway
Nissan,Qashqai,2012,Diesel,Crossover,Black,Jessheim,Manual,https://www.finn.no/car/used/ad.html?finnkode=344744785,1.5 dCi,5,8518.0,98000,82.0,Norway
Mitsubishi,Outlander,2010,Diesel,Suv,Blue,Sandnes,Automatic,https://www.finn.no/car/used/ad.html?finnkode=339477023,2.2 HDi,5,8518.0,223000,116.0,Norway
Suzuki,Sx4 S-Cross,2014,Petrol,Crossover,Gray,Fredrikstad,Automatic,https://www.finn.no/car/used/ad.html?finnkode=345212918,1.6,6,13681.0,122500,89.0,Norway
Toyota,Land Cruiser V8,2013,Diesel,Suv,Black,Kristiansand,Automatic,https://www.finn.no/car/used/ad.html?finnkode=312054094,4.5,5,68838.0,272000,202.0,Norway
Toyota,Land Cruiser V8,2013,Diesel,Suv,Black,Kolbotn,Automatic,https://www.finn.no/car/used/ad.html?finnkode=345122022,4.5,5,50754.0,268000,202.0,Norway
Mercedes Benz,S-Class,2015,Petrol,Sedan,Black,Oslo,Automatic,https://www.finn.no/car/used/ad.html?finnkode=338094930,500 4MATIC,6,68829.0,93000,339.0,Norway
Lamborghini,Gallardo,2012,Petrol,Coupe,Orange,Vestby,Automatic,https://www.finn.no/car/used/ad.html?finnkode=340113986,5.2 LP 560-4,5,111862.0,37550,417.0,Norway
Peugeot,508,2013,Diesel,Sedan,White,Skien,Automatic,https://www.finn.no/car/used/ad.html?finnkode=338698835,1.6 HDi,5,6452.0,211000,85.0,Norway
Mitsubishi,Outlander,2011,Diesel,Suv,Black,Skien,Manual,https://www.finn.no/car/used/ad.html?finnkode=344104445,2.3 did,5,7658.0,181000,104.0,Norway
Mitsubishi,Outlander,2011,Diesel,Suv,Black,Drammen,Manual,https://www.finn.no/car/used/ad.html?finnkode=345282603,2.3 did,5,7658.0,180000,104.0,Norway
Audi,A8,2017,Diesel,Sedan,Brown,Holmestrand,Automatic,https://www.finn.no/car/used/ad.html?finnkode=312409590,4.1 TDI,6,71333.0,60500,287.0,Norway
Bentley,Continental Gt,2006,Petrol,Coupe,Black,Kolbotn,Automatic,https://www.finn.no/car/used/ad.html?finnkode=332390865,6.0 W12,4,58426.0,59000,417.0,Norway
Bmw,5 Series,2015,Diesel,Wagon,Black,Tromsø,Automatic,https://www.finn.no/car/used/ad.html?finnkode=344243922,530d xDrive,6,36045.0,209833,192.0,Norway
Volvo,V90,2017,Diesel,Wagon,Silver,Furnes,Automatic,https://www.finn.no/car/used/ad.html?finnkode=191587688,2.0 d5,6,45949.0,59900,175.0,Norway
Škoda,Superb,2012,Diesel,Wagon,Silver,Oslo,Manual,https://www.finn.no/car/used/ad.html?finnkode=318564365,1.6 TDI,5,6625.0,224951,78.0,Norway
Volvo,V60,2013,Diesel,Wagon,Gray,Skien,Automatic,https://www.finn.no/car/used/ad.html?finnkode=342371387,1.6 DRIVe,5,8518.0,210000,85.0,Norway
Tesla,Model S,2017,Electric,Sedan,Red,Porsgrunn,Automatic,https://www.finn.no/car/used/ad.html?finnkode=342089303,electro,6,28387.0,35000,391.0,Norway
Tesla,Model S,2018,Electric,Sedan,Black,Porsgrunn,Automatic,https://www.finn.no/car/used/ad.html?finnkode=343719193,electro,6,26236.0,86500,391.0,Norway
Citroen,C3,2006,Petrol,Hatchback,Gray,Skien,Automatic,https://www.finn.no/car/used/ad.html?finnkode=341954818,1.6,4,3095.14,114000,81.0,Norway
Citroen,C3,2006,Petrol,Hatchback,Gray,Skien,Automatic,https://www.finn.no/car/used/ad.html?finnkode=328641609,1.6,4,4558.0,112000,81.0,Norway
Mercedes Benz,Eqc,2023,Electric,Suv,Black,Hønefoss,Automatic,https://www.finn.no/car/used/ad.html?finnkode=344507582,400,6,59372.0,6500,304.0,Norway
Ford,Mustang,2013,Petrol,Coupe,Black,Oslo,Manual,https://www.finn.no/car/used/ad.html?finnkode=319320816,5.0,5,58942.0,52406,426.0,Norway
Volvo,Xc60,2013,Diesel,Crossover,Gray,Drammen,Automatic,https://www.finn.no/car/used/ad.html?finnkode=343882573,2.4 D4,5,17123.0,255000,121.0,Norway
Peugeot,308,2007,Petrol,Wagon,Gray,Skien,Automatic,https://www.finn.no/car/used/ad.html?finnkode=341976987,1.6,4,2838.0,165000,81.0,Norway
Bmw,3 Series,2006,Diesel,Wagon,Silver,Skien,Automatic,https://www.finn.no/car/used/ad.html?finnkode=341289521,320d,4,5592.0,227000,121.0,Norway
Bmw,M3,2016,Petrol,Sedan,Gray,Al,Automatic,https://www.finn.no/car/used/ad.html?finnkode=344865872,3.0 DKG,6,62384.0,89000,321.0,Norway
Volkswagen,Touareg,2017,Diesel,Suv,Silver,Kolbotn,Automatic,https://www.finn.no/car/used/ad.html?finnkode=342082401,3.0 TDI V6,6,40356.0,147000,195.0,Norway
Mercedes Benz,Gle-Class,2018,Diesel,Suv,Black,Sandnes,Automatic,https://www.finn.no/car/used/ad.html?finnkode=344136982,350d 4Matic,6,66170.0,126000,192.0,Norway
Audi,A4,2006,Petrol,Wagon,Silver,Skien,Automatic,https://www.finn.no/car/used/ad.html?finnkode=342046081,2.0,4,7571.0,189000,178.0,Norway
Tesla,Model X,2017,Electric,Suv,Black,Siggerud,Automatic,https://www.finn.no/car/used/ad.html?finnkode=342100970,electro,6,37852.0,65000,390.0,Norway
Bmw,X5,2011,Diesel,Suv,Black,Hønefoss,Automatic,https://www.finn.no/car/used/ad.html?finnkode=343480823,D,5,19777.0,268000,182.0,Norway
