Make,Model,Year,Fuel type,Body type,Color,City,Transmission,Contact,Trim,Emission standard,Price(EUR),Mileage(km),kW,Country
Cupra,Formentor,2023,Petrol,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/1101/cupra-formentor-2-0tsi-vz-310ps-4drive-dsg-automat?&page_number=3,2.0 tsi vz,6,35975.840000000004,11200,231.0,Switzerland
Mitsubishi,Asx,2024,Hybrid,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/1242/mitsubishi-asx-1-3-intense-mhev-automat-29?&page_number=5,1.3,6,27379.46,9,119.0,Switzerland
Mitsubishi,Asx,2024,Hybrid,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/1243/mitsubishi-asx-1-3-intense-mhev-automat-29?&page_number=5,1.3,6,27379.46,8,119.0,Switzerland
Mitsubishi,Asx,2024,Hybrid,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/1244/mitsubishi-asx-1-3-intense-mhev-automat-29?&page_number=5,1.3,6,27379.46,10,119.0,Switzerland
Peugeot,2008,2022,Petrol,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/148/peugeot-2008-1-2-puretech-gt-eat-automat?&page_number=5,1.2 puretech,6,23134.83,30100,96.0,Switzerland
Volkswagen,Arteon,2023,Petrol,Wagon,NA,NA,Automatic,https://www.azw.ch/de/angebot/1186/vw-arteon-sb-2-0-tsi-r-line-dsg-automat?&page_number=8,2.0 TSI,6,37673.28,19100,141.0,Switzerland
Volkswagen,Golf,2024,Diesel,Sedan,NA,NA,Automatic,https://www.azw.ch/de/angebot/1202/vw-golf-2-0-tdi-r-line-dsg-automat-30?&page_number=8,2.0 TDI,6,36930.65,12,111.0,Switzerland
Citroen,C4 Spacetourer,2021,Diesel,Mpv,NA,NA,Automatic,https://www.azw.ch/de/angebot/1189/citroen-grand-c4-spacetourer-2-0-bluehdi-shine-eat-automat-7-plaetzer?&page_number=3,2.0 bluehdi,6,26318.56,40900,121.0,Switzerland
Volkswagen,Golf,2024,Diesel,Sedan,NA,NA,Automatic,https://www.azw.ch/de/angebot/1164/vw-golf-2-0-tdi-r-line-dsg-automat-29?&page_number=8,2.0 TDI,6,36930.65,9,111.0,Switzerland
Volkswagen,Taigo,2024,Petrol,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/1178/vw-taigo-1-0-tsi-life-dsg-automat-34?&page_number=9,1.0 tsi,6,25256.63,79,82.0,Switzerland
Volkswagen,Taigo,2024,Petrol,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/1177/vw-taigo-1-0-tsi-life-dsg-automat-34?&page_number=9,1.0 tsi,6,25256.63,17,82.0,Switzerland
Volkswagen,Taigo,2024,Petrol,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/1174/vw-taigo-1-0-tsi-life-dsg-automat-34?&page_number=9,1.0 tsi,6,25256.63,14,82.0,Switzerland
Volkswagen,Taigo,2024,Petrol,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/1179/vw-taigo-1-0-tsi-life-dsg-automat-34?&page_number=9,1.0 tsi,6,25256.63,12,82.0,Switzerland
Volkswagen,Taigo,2024,Petrol,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/1175/vw-taigo-1-0-tsi-life-dsg-automat-34?&page_number=9,1.0 tsi,6,25256.63,11,82.0,Switzerland
Volkswagen,Passat,2021,Petrol,Wagon,NA,NA,Automatic,https://www.azw.ch/de/angebot/993/vw-passat-variant-2-0-tdi-bmt-business-dsg-automat?&page_number=9,3.6,6,23134.83,49800,111.0,Switzerland
Seat,Ateca,2023,Petrol,Suv,NA,NA,Automatic,https://www.azw.ch/de/angebot/980/seat-ateca-1-5-tsi-evo-xperience-dsg-autom?&page_number=6,1.5 tsi,6,30563.190000000002,14500,111.0,Switzerland
Seat,Ateca,2023,Petrol,Suv,NA,NA,Automatic,https://www.azw.ch/de/angebot/981/seat-ateca-1-5-tsi-evo-xperience-dsg-autom?&page_number=6,1.5 tsi,6,30563.190000000002,13100,111.0,Switzerland
Volkswagen,Taigo,2024,Petrol,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/1028/vw-taigo-1-5-tsi-r-line-dsg-automat-40?&page_number=9,1.5 tsi,6,29502.29,7,111.0,Switzerland
Škoda,Octavia,2023,Diesel,Wagon,NA,NA,Automatic,https://www.azw.ch/de/angebot/1075/skoda-octavia-combi-2-0-tdi-style-dsg-automat?&page_number=7,2.0 TDI,6,33746.92,8400,111.0,Switzerland
Škoda,Octavia,2023,Diesel,Wagon,NA,NA,Automatic,https://www.azw.ch/de/angebot/1214/skoda-octavia-combi-2-0-tdi-style-dsg-automat?&page_number=7,2.0 TDI,6,33746.92,7200,111.0,Switzerland
Audi,Q2,2022,Petrol,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/1087/audi-q2-35-tfsi-s-line-s-tronic-automat?&page_number=1,1.5 35 TFSI,6,27379.46,41900,111.0,Switzerland
Audi,Q2,2022,Petrol,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/1107/audi-q2-35-tfsi-s-line-s-tronic-automat?&page_number=1,1.5 35 TFSI,6,27379.46,41500,111.0,Switzerland
Volkswagen,T-Cross,2022,Petrol,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/1060/vw-t-cross-1-0-tsi-life-dsg-automat?&page_number=9,1.0 tsi,6,20693.73,23900,82.0,Switzerland
Volkswagen,T-Cross,2022,Petrol,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/1061/vw-t-cross-1-0-tsi-life-dsg-automat?&page_number=9,1.0 tsi,6,20693.73,21700,82.0,Switzerland
Tesla,Model 3,2023,Electric,Sedan,NA,NA,Automatic,https://www.azw.ch/de/angebot/899/tesla-model-3-long-range-dual-motor-awd-498ps-automat?&page_number=7,0.0 long range,6,38734.18,19800,371.0,Switzerland
Audi,Q3,2016,Petrol,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/1109/audi-q3-1-4-tfsi-design-s-tronic-automat?&page_number=1,1.4 TFSI,6,20057.190000000002,78400,111.0,Switzerland
Cupra,Formentor,2024,Petrol,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/1190/cupra-formentor-2-0tsi-vz-310ps-4drive-dsg-automat?&page_number=3,2.0 tsi vz,6,35550.450000000004,4400,231.0,Switzerland
Volkswagen,Golf,2021,Petrol,Sedan,NA,NA,Automatic,https://www.azw.ch/de/angebot/1086/vw-golf-2-0-gti-tsi-245ps-dsg-automat?&page_number=8,2.0 GTI,6,30244.920000000002,26500,182.0,Switzerland
Peugeot,3008,2023,Diesel,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/938/peugeot-3008-1-5-bluehdi-allure-pack-eat-autom?&page_number=5,1.5 bluehdi,6,27379.46,39400,96.0,Switzerland
Peugeot,3008,2023,Diesel,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/936/peugeot-3008-1-5-bluehdi-allure-pack-eat-autom?&page_number=5,1.5 bluehdi,6,28440.36,16100,96.0,Switzerland
Bmw,5 Series,2016,Diesel,Wagon,NA,NA,Automatic,https://www.azw.ch/de/angebot/1217/bmw-m550d-xdrive-touring-381ps-steptronic-automat?&page_number=2,M550d xDrive,6,41175.28,45400,284.0,Switzerland
Volkswagen,Passat Alltrack,2021,Diesel,Wagon,NA,NA,Automatic,https://www.azw.ch/de/angebot/253/vw-passat-alltrack-2-0-tdi-4motion-dsg-aut?&page_number=8,2.0 TDI,6,31624.09,36500,141.0,Switzerland
Volkswagen,Golf,2023,Petrol,Wagon,NA,NA,Automatic,https://www.azw.ch/de/angebot/1115/vw-golf-variant-2-0-tsi-r-line-dsg-automat?&page_number=8,2.0 R,6,33428.65,23400,142.0,Switzerland
Audi,A3,2022,Petrol,Sedan,NA,NA,Automatic,https://www.azw.ch/de/angebot/1204/audi-a3-sportback-40-tfsi-s-line-quattro-s-tronic-automat?&page_number=1,2.0 40 TFSI quattro,6,34913.91,19700,141.0,Switzerland
Audi,Sq2,2024,Petrol,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/398/audi-sq2-tfsi-quattro-301ps-s-tronic-automat-36?&page_number=2,2.0 tfsi,6,49347.3,7,224.0,Switzerland
Mercedes Benz,A-Class,2021,Petrol,Sedan,NA,NA,Automatic,https://www.azw.ch/de/angebot/1218/mercedes-a-200-amg-line-limousine-dct-automat?&page_number=4,200,6,29502.29,67700,121.0,Switzerland
Audi,S5,2022,Petrol,Convertible,NA,NA,Automatic,https://www.azw.ch/de/angebot/1167/audi-s5-cabriolet-3-0-tfsi-quattro-tiptronic-automat-354ps?&page_number=2,3.0 tfsi,6,58898.49,23900,263.0,Switzerland
Citroen,C5 Aircross,2023,Diesel,Suv,NA,NA,Automatic,https://www.azw.ch/de/angebot/1151/citroen-c5-aircross-1-5-bluehdi-prestige-eat-automat?&page_number=2,1.5 bluehdi,6,23134.83,41200,97.0,Switzerland
