Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Emission standard,Price(EUR),Mileage(km),kW,Country
Nissan,Qashqai,1.6,2009,Petrol,Crossover,Black,Ploieşti,Manual,https://cautimasina.ro/nissan-qashqai-2009-benzina-second-hand-info-65f4901e9f25b8719363820f,5,6190,290000,116.0,Romania
Renault,Captur,1.0,2020,Petrol,Suv,Blue,Bucureşti,Automatic,https://www.leasingsh.ro/renault-captur-2020-REN51680.html,6,12899,44700,74.0,Romania
Audi,Q5,2.0,2016,Diesel,Suv,Black,Bistriţa,Automatic,https://www.depozitauto.ro/autoturisme/audi.q5.bistrita-nasaud.2016.268037.html,6,19742,287881,141.0,Romania
Mercedes Benz,Glc-Class,220d 4Matic,2018,Diesel,Suv,Gray,Ploieşti,Automatic,https://www.anuntul.ro/anunt-autoturism-mercedes-benz-glc-2kn7J6#NyJo9d%20,6,32990,95240,124.0,Romania
Škoda,Octavia,1.0 tsi,2017,Petrol,Sedan,NA,Bucureşti,Manual,https://www.anuntul.ro/anunt-autoturism-skoda-octavia-rmED8W#NyJo9d%20,6,11390,61000,84.0,Romania
Kia,Sportage,1.6 GDi,2019,Petrol,Crossover,White,Braşov,Automatic,https://www.leasingsh.ro/kia-sportage-2019-KIA53153.html,6,21899,97400,101.0,Romania
Jeep,Grand Cherokee,3.0 crd,2016,Diesel,Suv,NA,Oradea,Automatic,https://www.anuntul.ro/anunt-autoturism-jeep-grand-cherokee-rqwMwb#NyJo9d%20,6,26490,112000,184.0,Romania
Renault,Scenic,1.5 dCi,2007,Diesel,Mpv,NA,Bucureşti,Manual,https://www.anuntul.ro/anunt-autoturism-renault-scenic-ea8dz2#NyJo9d%20,4,3399,239313,78.0,Romania
Kia,Carens,1.7,2015,Diesel,Mpv,NA,Iaşi,Manual,https://cautimasina.ro/kia-carens-2015-diesel-second-hand-info-65f8b913c96d443f565d71f8,6,8500,177000,115.0,Romania
Mazda,Cx-5,2.2 D,2012,Diesel,Crossover,NA,Bacău,Manual,https://www.anuntul.ro/anunt-autoturism-mazda-cx-5-zKzERm#NyJo9d%20,5,11490,187000,110.0,Romania
Hyundai,Tucson,1.6,2021,Hybrid,Suv,Gray,Braşov,Automatic,https://www.leasingsh.ro/hyundai-tucson-2021-HYU53151.html,6,31982,79651,171.0,Romania
Renault,Arkana,1.3,2021,Petrol,Crossover,Blue,Piteşti,Automatic,https://www.leasingsh.ro/renault-arkana-2021-REN34629.html,6,28850,40381,104.0,Romania
Seat,Leon,1.6,2013,Diesel,Hatchback,NA,Bacău,Manual,https://www.anuntul.ro/anunt-autoturism-seat-leon-m3nwr2#NyJo9d%20,5,7490,241000,77.0,Romania
Bmw,X1,xDrive18d,2019,Diesel,Suv,Blue,Bucureşti,Automatic,https://bavariaused.com/produs/bmw-x1-xdrive18d-147606/,6,23980,47867,111.0,Romania
Volvo,Xc60,2.4 D5,2013,Diesel,Crossover,NA,Cluj Napoca,Automatic,https://www.anuntul.ro/anunt-autoturism-volvo-xc60-2kLD4J#NyJo9d%20,5,16599,212300,158.0,Romania
Renault,Koleos,2.0 dCi,2009,Diesel,Suv,NA,Târgu Mureş,Manual,https://www.anuntul.ro/anunt-autoturism-renault-koleos-2knz8q#NyJo9d%20,5,5990,193000,110.0,Romania
Lexus,Nx,2.5,2018,Hybrid,Suv,Gray,Braşov,Automatic,https://www.leasingsh.ro/lexus-seria-nx-2018-LEX53156.html,6,33900,78415,115.0,Romania
