Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,VIN,Contact
"7,119 EUR (7,699 USD)",Subaru,Outback,2.5,"115,772 mi",2008,Petrol,Crossover,Gray,Bordentown,126 kW (171 HP),,4S4BP62C687328052,https://www.cars.com/vehicledetail/e81ba0c8-dbba-471d-87cb-39c185f7cd88//
"7,999 EUR (8,650 USD)",Bmw,1 Series,135i,"80,868 mi",2008,Petrol,Convertible,Silver,Frisco,223 kW (303 HP),Automatic,WBAUN93538VF56283,https://www.cars.com/vehicledetail/23307610-a024-4bbd-a659-060431c11c4e//
"6,095 EUR (6,591 USD)",Chevrolet,Tahoe,5.3 LS,"284,887 mi",2002,,Suv,Blue,Viking,212 kW (288 HP),Automatic,1GNEK13Z12J181596,https://www.cars.com/vehicledetail/90b81edf-3b53-4250-a590-fd5be7b7d9cb//
"10,167 EUR (10,995 USD)",Subaru,Legacy,2.5 Limited,"127,076 mi",2011,Petrol,Wagon,Red,,126 kW (171 HP),Automatic,4S3BMBK66B3234994,https://www.cars.com/vehicledetail/8c689015-1a96-4450-abaa-5b9fa24d8a5e//
"6,954 EUR (7,520 USD)",Nissan,Leaf,,"55,315 mi",2015,Electric,Hatchback,Black,Richmond,80 kW (109 HP),,1N4AZ0CP7FC308931,https://www.cars.com/vehicledetail/931cffa6-c163-4615-96c1-d83613c481bf//
"7,393 EUR (7,995 USD)",Ford,F250,6.2 XLT,"202,504 mi",2011,Petrol,Pickup,White,Deer Park,287 kW (390 HP),Automatic,1FT7X2B62BEA30159,https://www.cars.com/vehicledetail/773d789f-a395-4fe9-8a4f-2c9ce5012efc//
"22,097 EUR (23,895 USD)",Subaru,Outback,2.5,"65,785 mi",2020,Petrol,Crossover,Black,Cincinnati,193 kW (262 HP),,4S4BTALC3L3128548,https://www.cars.com/vehicledetail/5fb2673f-075c-4322-babd-43ba590299f5//
"18,028 EUR (19,495 USD)",Jeep,Cherokee,4.0 Sport,"63,853 mi",2016,Petrol,Suv,White,Jericho,202 kW (275 HP),Automatic,1C4PJMBS6GW219862,https://www.cars.com/vehicledetail/e6e413fd-4eb2-456b-8b45-2044f408fe61//
"6,195 EUR (6,700 USD)",Nissan,Leaf,,"47,298 mi",2013,Electric,Hatchback,Blue,Street,80 kW (109 HP),,1N4AZ0CP1DC417088,https://www.cars.com/vehicledetail/a5607ed8-5020-4ee6-80be-5a0ab7fa8af0//
"20,344 EUR (21,999 USD)",Volvo,S60,2.0 t6,"44,937 mi",2020,Petrol,Sedan,Black,Street,235 kW (320 HP),Automatic,7JRA22TK0LG039885,https://www.cars.com/vehicledetail/ff9b84eb-7bb1-4280-8d86-592dccb74286//
"11,096 EUR (11,999 USD)",Gmc,Canyon,3.5,"77,394 mi",2006,Petrol,Pickup,White,Lima,164 kW (223 HP),Automatic,1GTCS136568180535,https://www.cars.com/vehicledetail/13ed1682-ea5a-4532-aeb0-81b9e73a198f//
"13,676 EUR (14,789 USD)",Chevrolet,Bolt Ev,lt,"34,079 mi",2020,Electric,Mini,Gray,,149 kW (203 HP),Automatic,1G1FY6S08L4142153,https://www.cars.com/vehicledetail/77b5d40a-b73a-4de2-8df2-f9e8fafae4e5//
"4,619 EUR (4,995 USD)",Buick,Lacrosse,3.8 cxl,"179,268 mi",2008,Petrol,Sedan,Blue,,149 kW (203 HP),,2G4WD582281137163,https://www.cars.com/vehicledetail/b81e5a4d-8cb8-4a17-bcb6-d57459655fa5//
"13,870 EUR (14,999 USD)",Chevrolet,Silverado 2500,LT3,"124,717 mi",2006,Petrol,Pickup,Blue,,246 kW (335 HP),Automatic,1GCHK23G86F161882,https://www.cars.com/vehicledetail/9bbb356a-2f8e-4eec-a602-c3a7593a3793//
"19,419 EUR (20,999 USD)",Kia,Niro,,"15,388 mi",2020,Electric,Suv,Red,,149 kW (203 HP),Automatic,KNDCC3LG2L5039923,https://www.cars.com/vehicledetail/234d7c9d-7ad3-4600-a6f3-ae06f145c136//
"13,870 EUR (14,999 USD)",Jeep,Grand Cherokee,5.7 Overland,"93,384 mi",2013,Petrol,Suv,Black,Kitty Hawk,268 kW (364 HP),Automatic,1C4RJFCT7DC631572,https://www.cars.com/vehicledetail/b125f089-dca5-49d3-9d7e-8917f7bd3dbb//
"6,468 EUR (6,995 USD)",Subaru,Outback,2.5,"181,470 mi",2012,Petrol,Crossover,Red,Cincinnati,126 kW (171 HP),Automatic,4S4BRCKC2C3269476,https://www.cars.com/vehicledetail/dcace1d5-f165-4865-9fd7-d5e3dcb67995//
"4,622 EUR (4,998 USD)",Saturn,Vue,3.5 base,"133,997 mi",2006,Petrol,Crossover,Blue,Arlington,186 kW (253 HP),Automatic,5GZCZ53486S815170,https://www.cars.com/vehicledetail/dc1e8d4f-7469-4638-b48c-6bd6ae6fcbd6//
"16,641 EUR (17,995 USD)",Chevrolet,Equinox,2.0,"91,077 mi",2018,Petrol,Suv,Red,Rolling Meadows,187 kW (254 HP),Automatic,2GNAXTEX1J6163442,https://www.cars.com/vehicledetail/4d7b8cac-0f6a-4255-b60b-e64b6ef99bad//
"21,235 EUR (22,963 USD)",Land Rover,Discovery,3.0,"80,345 mi",2017,Petrol,Suv,White,,253 kW (344 HP),,SALRRBBV7HA009374,https://www.cars.com/vehicledetail/4af5d9c0-05d0-48ef-a159-94a178d8664d//
"19,392 EUR (20,970 USD)",Ford,Mustang,2.3 EcoBoost,"70,796 mi",2020,Petrol,Convertible,Black,,357 kW (486 HP),Automatic,1FATP8UH7L5125792,https://www.cars.com/vehicledetail/4a431fa6-dcd7-4fd5-af40-a563e03ffe7e//
"7,858 EUR (8,498 USD)",Ford,E250,4.6,"153,148 mi",2006,Petrol,Van,White,,190 kW (258 HP),Automatic,1FTNE24L26DA10053,https://www.cars.com/vehicledetail/549157b7-522c-4f42-bb9b-c6171d0b538f//
"8,314 EUR (8,991 USD)",Subaru,Forester,2.5,"142,901 mi",2010,Petrol,Suv,Gray,Lynnwood,126 kW (171 HP),,JF2SH6BC1AH805926,https://www.cars.com/vehicledetail/42b809cf-3d8e-4707-8891-559d96b5a8b7//
"17,562 EUR (18,991 USD)",Chevrolet,Equinox,1.5,"74,766 mi",2019,Petrol,Suv,Gray,,127 kW (173 HP),Automatic,3GNAXKEV5KS572233,https://www.cars.com/vehicledetail/72ff302f-44b6-4a49-b4c5-f21ca6bbcb08//
"11,092 EUR (11,995 USD)",Honda,Cr-V,2.4 SE,"139,799 mi",2011,Petrol,Suv,Gray,Kansas City,134 kW (182 HP),,5J6RE4H40BL111490,https://www.cars.com/vehicledetail/8f84df91-9f2d-4a96-91cf-250b85ffbef0//
"20,189 EUR (21,832 USD)",Gmc,Acadia,3.6 SLE,"43,532 mi",2019,Petrol,Suv,White,South Orange,143 kW (194 HP),Automatic,1GKKNLLS8KZ222605,https://www.cars.com/vehicledetail/5ef9acda-2d5f-4daf-852a-9b209642f271//
"8,276 EUR (8,950 USD)",Lincoln,Town Car,4.6 Signature,"67,532 mi",2002,Petrol,Sedan,Gray,Pleasant Valley,164 kW (223 HP),Automatic,1LNHM82W72Y653285,https://www.cars.com/vehicledetail/30b2b186-23bb-49a8-95c4-99078bb30042//
"9,700 EUR (10,490 USD)",Ford,Edge,3.5 SEL,"125,362 mi",2014,Petrol,Suv,Red,Bettendorf,212 kW (288 HP),Automatic,2FMDK3JC7EBB11099,https://www.cars.com/vehicledetail/d27a4d51-60c2-4234-80d6-ce36e84c183c//
"18,992 EUR (20,537 USD)",Hyundai,Tucson,2.4,"23,838 mi",2019,Petrol,Suv,Gray,Toms River,134 kW (182 HP),Automatic,KM8J3CAL7KU900410,https://www.cars.com/vehicledetail/b1c1405d-a286-4c79-aef2-f50aaf6bdba7//
"8,318 EUR (8,995 USD)",Dodge,Ram 1500,5.7 SLT,"122,705 mi",2008,,Pickup,Silver,Commerce City,231 kW (314 HP),,1D7HU18NX8S568677,https://www.cars.com/vehicledetail/840d5973-3fac-432c-be3e-3671053650a4//
"7,203 EUR (7,789 USD)",Audi,Tt,1.8,"106,237 mi",2002,Petrol,Convertible,Red,Deer Park,134 kW (182 HP),Manual,TRUTC28N721020443,https://www.cars.com/vehicledetail/feea819a-6651-446d-b8c1-b4e449ed992f//
"22,192 EUR (23,998 USD)",Subaru,Legacy,2.5 Premium,"20,206 mi",2020,Petrol,Wagon,Black,Chattanooga,193 kW (262 HP),,4S3BWAC65L3025850,https://www.cars.com/vehicledetail/096afd85-a64c-4d12-815f-df01e26f339f//
"16,640 EUR (17,994 USD)",Kia,Sportage,2.4 EX,"110,277 mi",2020,Petrol,Crossover,White,Jeffrey,134 kW (182 HP),Automatic,KNDPN3ACXL7736532,https://www.cars.com/vehicledetail/7a6b0f96-8a5c-40da-8623-3014b865b1af//
"10,612 EUR (11,476 USD)",Honda,Pilot,3.5 EX-L,"211,673 mi",2014,Petrol,Suv,White,,186 kW (253 HP),Automatic,5FNYF4H53EB035729,https://www.cars.com/vehicledetail/be96367a-1f00-40f7-b9c4-98ce87263c46//
"13,871 EUR (15,000 USD)",Hyundai,Santa Fe,2.4 Sport,"77,530 mi",2017,Petrol,Suv,White,Centennial,137 kW (186 HP),Automatic,5NMZUDLB1HH024528,https://www.cars.com/vehicledetail/0fa0a62f-1315-4b04-9156-786e8a86a732//
"7,814 EUR (8,450 USD)",Buick,Rendezvous,3.5 cxl,"89,815 mi",2006,Petrol,Suv,Gold,,145 kW (197 HP),Automatic,3G5DA03L76S525893,https://www.cars.com/vehicledetail/4131bd2b-bd33-4c68-af1a-4afe0d1b744c//
"5,539 EUR (5,990 USD)",Mercedes Benz,Clk-Class,430,"147,493 mi",2003,Petrol,Convertible,Blue,,205 kW (279 HP),,WDBLK70G23T144292,https://www.cars.com/vehicledetail/6e581cdd-23f6-456f-9e89-55b3caa46d7d//
"4,434 EUR (4,795 USD)",Chrysler,Town&Country,3.8 Touring,"152,272 mi",2008,Petrol,Mpv,Blue,Greenwood,146 kW (199 HP),Automatic,2A8HR54P18R832857,https://www.cars.com/vehicledetail/de20b127-4ed8-404a-a21e-501f322de8bf//
"5,345 EUR (5,780 USD)",Chevrolet,Hhr,2.2 LT,"190,996 mi",2007,Petrol,Mpv,Black,Ozark,111 kW (151 HP),Automatic,3GNDA23D27S619556,https://www.cars.com/vehicledetail/4383702e-314a-400f-9f09-28f5980a0e55//
"11,087 EUR (11,990 USD)",Jeep,Compass,2.4,"174,493 mi",2018,Petrol,Crossover,Red,Whiteland,134 kW (182 HP),,3C4NJCBB6JT228804,https://www.cars.com/vehicledetail/fafb3c00-ffcd-4bcb-b6b2-f2474b2d3e42//
"22,193 EUR (23,999 USD)",Chevrolet,Equinox,1.5,"23,059 mi",2021,Petrol,Suv,Black,Kokomo,126 kW (171 HP),Automatic,3GNAXKEV0ML316921,https://www.cars.com/vehicledetail/77c1778a-cd7c-47e2-b377-0b3155379602//
"21,265 EUR (22,995 USD)",Mazda,3,2.5,"44,995 mi",2021,Petrol,Hatchback,White,Virginia Beach,138 kW (188 HP),Automatic,JM1BPBCL8M1330006,https://www.cars.com/vehicledetail/93c1adf3-7f2a-47cb-8da1-0c92d1930187//
"10,731 EUR (11,604 USD)",Toyota,Rav4,2.5 Limited,"132,655 mi",2013,Petrol,Suv,Gray,Kingston,131 kW (178 HP),Automatic,2T3DFREV1DW032269,https://www.cars.com/vehicledetail/f40155a8-4de3-4875-afa1-34d5a0f54439//
"19,833 EUR (21,447 USD)",Gmc,Canyon,3.6,"70,119 mi",2016,Petrol,Pickup,Black,Arbuckle,227 kW (309 HP),Automatic,1GTG6CE33G1211909,https://www.cars.com/vehicledetail/63fdaa84-995a-434e-821d-8f2883cbe7c1//
"9,243 EUR (9,995 USD)",Chevrolet,Avalanche,5.3 LTZ,"217,359 mi",2009,,Pickup,Black,,231 kW (314 HP),Automatic,3GNEC32069G111079,https://www.cars.com/vehicledetail/a0546136-e83a-4f0f-828b-880fe1e38d22//
"11,994 EUR (12,970 USD)",Acura,Tl,3.5,"104,799 mi",2013,Petrol,Sedan,Gray,Murfreesboro,208 kW (283 HP),Automatic,19UUA8F59DA005926,https://www.cars.com/vehicledetail/4b5a8a24-2348-4f1e-86ab-d7ba34f09a6e//
"6,924 EUR (7,488 USD)",Ford,F150,5.4 XLT,"102,283 mi",2009,,Pickup,Silver,,238 kW (324 HP),Automatic,1FTPW14V49FA66294,https://www.cars.com/vehicledetail/fc8b9d84-79a0-4ffb-9abf-058c525989d7//
"9,245 EUR (9,998 USD)",Jeep,Laredo,3.6,"113,653 mi",2011,Petrol,Suv,Black,Virginia Beach,216 kW (294 HP),,1J4RR4GG6BC502840,https://www.cars.com/vehicledetail/6d9bbb67-04f0-4b38-9b6f-3a65a2b7aa6b//
"20,344 EUR (22,000 USD)",Audi,Q5,2.0,"72,664 mi",2019,Petrol,Suv,Gray,,184 kW (250 HP),,WA1BNAFY0K2031800,https://www.cars.com/vehicledetail/084c4fce-9e91-464b-95fa-00b309c79f7e//
"20,343 EUR (21,998 USD)",Gmc,Yukon,5.3 SLT,"131,347 mi",2016,Petrol,Suv,Black,,264 kW (359 HP),Automatic,1GKS2BKC9GR289542,https://www.cars.com/vehicledetail/0450b34b-6e25-467f-a9c2-c3359e6a6951//
"7,393 EUR (7,995 USD)",Jeep,Laredo,3.6,"121,761 mi",2011,Petrol,Suv,Silver,Old Bridge,216 kW (294 HP),Automatic,1J4RR4GG1BC514734,https://www.cars.com/vehicledetail/e5f65dc1-6baa-402a-a2e3-a32c6fa33be8//
"9,243 EUR (9,995 USD)",Honda,Cr-V,2.4 EX-L,"153,417 mi",2012,Petrol,Suv,White,Street,137 kW (186 HP),Automatic,5J6RM3H72CL006538,https://www.cars.com/vehicledetail/f794e76c-03eb-4899-b36a-1d70b7216a2e//
"13,848 EUR (14,975 USD)",Mitsubishi,Outlander Sport,2.0 es,"101,405 mi",2020,Petrol,Crossover,Black,Denton,110 kW (150 HP),,JA4AP3AU4LU012226,https://www.cars.com/vehicledetail/a87777b5-d5f5-44ef-9d40-fe80860fb963//
"5,530 EUR (5,980 USD)",Bmw,3 Series,323i,"125,571 mi",1999,Petrol,Convertible,Silver,Midway,125 kW (170 HP),Automatic,WBABJ8339XEM24832,https://www.cars.com/vehicledetail/158036e4-11ce-48e3-a5e6-085b7839cd9f//
"17,014 EUR (18,399 USD)",Chevrolet,Equinox,1.5,"43,796 mi",2019,Petrol,Suv,Gray,Milwaukee,127 kW (173 HP),Automatic,2GNAXTEV9K6188668,https://www.cars.com/vehicledetail/72f9b858-1294-4f09-9a66-b8da83455382//
"8,230 EUR (8,900 USD)",Land Rover,Range Rover Sport,5.0,"133,066 mi",2012,Petrol,Suv,Blue,Burlington,380 kW (517 HP),Automatic,SALSF2D43CA747728,https://www.cars.com/vehicledetail/e323689c-9165-499f-80d7-e6ab2bb23934//
"21,470 EUR (23,217 USD)",Ford,Flex,3.5 Limited,"69,066 mi",2019,Petrol,Mpv,Silver,,214 kW (291 HP),Automatic,2FMGK5D84KBA13675,https://www.cars.com/vehicledetail/c916435c-e867-4c71-ae5f-485f38a0908e//
"17,547 EUR (18,975 USD)",Chevrolet,Trax,1.4 lt,"35,697 mi",2021,Petrol,Crossover,Black,Cedarburg,102 kW (139 HP),Automatic,KL7CJPSB9MB311144,https://www.cars.com/vehicledetail/62901699-efd0-427e-ba23-95a1b5f510ae//
"16,624 EUR (17,977 USD)",Chevrolet,Bolt Ev,lt,"11,306 mi",2019,Electric,Mini,Gray,,149 kW (203 HP),Automatic,1G1FY6S03K4124934,https://www.cars.com/vehicledetail/947b5015-ed1f-4248-8d0c-ef1a7823a4ae//
"16,644 EUR (17,999 USD)",Ford,F150,3.5,"131,241 mi",2013,Petrol,Pickup,Black,Plaza,268 kW (364 HP),Automatic,1FTFW1ET1DFA31049,https://www.cars.com/vehicledetail/9c84fbcd-32c2-4944-927d-2a35c8ead35b//
"13,853 EUR (14,980 USD)",Toyota,Fj Cruiser,4.0,"95,380 mi",2008,Petrol,Suv,White,Reno,178 kW (242 HP),Automatic,JTEBU11F48K053852,https://www.cars.com/vehicledetail/488ca653-e391-490a-9991-e80212161a0d//
"13,863 EUR (14,991 USD)",Chevrolet,Colorado,3.6 Z71,"183,838 mi",2015,Petrol,Pickup,Gray,Cedarburg,227 kW (309 HP),Automatic,1GCGTCE30F1241599,https://www.cars.com/vehicledetail/8a726ef1-a351-4bf6-9254-f0da2f40f165//
"16,645 EUR (18,000 USD)",Ford,Mustang,2.3 EcoBoost,"64,567 mi",2020,Petrol,Convertible,White,,357 kW (486 HP),Manual,1FATP8UH9L5101543,https://www.cars.com/vehicledetail/3d15d5f8-20cf-4ec0-a19f-9872638df73e//
"8,137 EUR (8,799 USD)",Subaru,Outback,2.5,"124,981 mi",2010,Petrol,Crossover,Gray,Bordentown,126 kW (171 HP),,4S4BRBGC8A3354645,https://www.cars.com/vehicledetail/e3fe9da4-4ff1-4bc2-815d-03ce35ba2a87//
"12,937 EUR (13,990 USD)",Dodge,Ram 1500,4.7 SLT,"107,000 mi",2011,,Pickup,Silver,Camp Hill,231 kW (314 HP),,1D7RV1CP1BS518851,https://www.cars.com/vehicledetail/b056d615-d644-45e0-ba1e-0025f0e3b68f//
"8,737 EUR (9,448 USD)",Chevrolet,Equinox,2.4 LTZ,"78,154 mi",2012,,Suv,Red,Toms River,196 kW (267 HP),,2GNFLFE52C6290530,https://www.cars.com/vehicledetail/4267830a-feaf-4f0f-8361-3a1b8ba104e1//
"10,912 EUR (11,800 USD)",Hyundai,Sonata,2.4 Base,"89,537 mi",2017,Petrol,Sedan,Silver,Troy,137 kW (186 HP),Automatic,5NPE24AF8HH487182,https://www.cars.com/vehicledetail/6d40c10b-50af-4588-aa96-d6b0293a93ef//
"13,779 EUR (14,900 USD)",Mitsubishi,Outlander,2.4 ES,"102,617 mi",2017,Petrol,Suv,Brown,Bloomington,123 kW (167 HP),Automatic,JA4AD2A37HZ051672,https://www.cars.com/vehicledetail/c641c0a3-4f62-4bcd-a7b2-11a49d91ce0c//
"14,329 EUR (15,495 USD)",Chevrolet,Equinox,1.5,"100,562 mi",2019,Petrol,Suv,Gray,Henrietta,127 kW (173 HP),Automatic,3GNAXHEV3KS677310,https://www.cars.com/vehicledetail/58eae20d-4ddf-4234-8808-6465c0b61bb6//
"19,138 EUR (20,695 USD)",Subaru,Forester,2.5,"75,276 mi",2020,Petrol,Suv,Black,,135 kW (184 HP),,JF2SKADCXLH526303,https://www.cars.com/vehicledetail/536fc2e9-6a57-4f23-a9e9-d812acfba215//
"6,931 EUR (7,495 USD)",Nissan,Leaf,,"56,152 mi",2016,Electric,Hatchback,White,Marana,80 kW (109 HP),Automatic,1N4AZ0CP6GC310252,https://www.cars.com/vehicledetail/8144f0b6-ef7a-479e-96e5-00b53fdfae45//
"16,624 EUR (17,977 USD)",Cadillac,Xt5,3.6 Premium Luxury,"91,116 mi",2017,Petrol,Suv,Silver,San Fernando,231 kW (314 HP),Automatic,1GYKNCRS4HZ105836,https://www.cars.com/vehicledetail/f976e7a0-234b-4d60-aa3d-b7df1c08b4de//
"13,409 EUR (14,500 USD)",Chevrolet,Avalanche,5.3 LT,"35,252 mi",2012,,Pickup,Black,Centreville,238 kW (324 HP),Automatic,3GNTKFE72CG138520,https://www.cars.com/vehicledetail/a8657058-e158-4f4b-98eb-d1625222b5b0//
"20,062 EUR (21,695 USD)",Ford,F150,3.5,"119,574 mi",2017,Petrol,Pickup,Black,Troy,210 kW (286 HP),Automatic,1FTFX1EG4HFB88175,https://www.cars.com/vehicledetail/307813c7-95bf-42ae-9bb7-a7f8b02a9314//
"21,735 EUR (23,504 USD)",Nissan,Leaf,,"36,000 mi",2024,Electric,Hatchback,White,,110 kW (150 HP),,1N4AZ1BV6RC554685,https://www.cars.com/vehicledetail/be94f499-7357-482d-a762-8da2a7cf35a5//
"13,490 EUR (14,588 USD)",Ford,Ranger,4.0 XLT,"70,851 mi",2008,Petrol,Pickup,Blue,,154 kW (209 HP),Automatic,1FTZR45E08PA24875,https://www.cars.com/vehicledetail/2c30cdab-07d1-4c0d-8812-c48e0cc42b1a//
"14,752 EUR (15,953 USD)",Ford,Ecosport,1.0,"49,835 mi",2021,Petrol,Suv,Silver,Waukesha,91 kW (124 HP),Automatic,MAJ3S2KE5MC436347,https://www.cars.com/vehicledetail/e9525162-d4b7-449d-8a23-086ec33fe7a5//
"8,229 EUR (8,899 USD)",Ford,F150,3.5,"320,102 mi",2015,,Pickup,White,Kingston,210 kW (286 HP),Automatic,1FTEW1C81FKD61486,https://www.cars.com/vehicledetail/be52c9ff-451e-4968-9d17-00465a76889f//
"6,468 EUR (6,995 USD)",Ford,F150,5.4 XLT,"205,941 mi",2009,,Pickup,Silver,Lewiston,217 kW (295 HP),Automatic,1FTPF14V79KC75410,https://www.cars.com/vehicledetail/2a9a817f-f5ae-42a2-8c24-c30b015e9438//
"13,460 EUR (14,555 USD)",Volkswagen,E-Golf,,"63,755 mi",2015,Electric,Hatchback,Silver,Scottsdale,85 kW (116 HP),Automatic,WVWKP7AU1FW905500,https://www.cars.com/vehicledetail/1f4864c5-d39c-4f49-91ed-08dcb00402a0//
"10,121 EUR (10,945 USD)",Chevrolet,Equinox,2.4 LS,"92,977 mi",2016,Petrol,Suv,White,Cortez,135 kW (184 HP),Automatic,2GNALBEK2G1167547,https://www.cars.com/vehicledetail/9ddac66e-1618-49c7-8eda-5a57ebe7bc31//
"21,130 EUR (22,850 USD)",Bmw,X5m,,"82,551 mi",2013,Petrol,Suv,White,Iowa,413 kW (562 HP),Automatic,5YMGY0C57D0C11937,https://www.cars.com/vehicledetail/dcba5215-544e-488a-b1ab-d603058aa635//
"17,569 EUR (18,999 USD)",Jeep,Wrangler,3.8 Sahara,"162,810 mi",2011,Petrol,Suv,Green,Suncook,150 kW (204 HP),,1J4AA5D19BL559222,https://www.cars.com/vehicledetail/c4669e19-2757-4706-9332-7411c0cbb39e//
"16,644 EUR (17,998 USD)",Chevrolet,Bolt Ev,premier,"28,751 mi",2021,Electric,Mini,White,Harbor City,149 kW (203 HP),Automatic,1G1FZ6S0XM4101568,https://www.cars.com/vehicledetail/3a5c2684-0d2e-4124-a588-c16bfe237b9b//
"16,271 EUR (17,595 USD)",Chevrolet,Camaro,3.6 2LT,"66,125 mi",2014,,Convertible,Yellow,Mobile,240 kW (326 HP),Automatic,2G1FC3D32E9232984,https://www.cars.com/vehicledetail/176cc0ec-d411-45ae-8727-34f7020335af//
"16,499 EUR (17,842 USD)",Nissan,Rogue Sport,2.0,"60,245 mi",2020,Petrol,Crossover,Black,Brunswick,105 kW (143 HP),,JN1BJ1CW3LW640798,https://www.cars.com/vehicledetail/cb39f6cb-60a7-4137-953c-ba46c774b4d6//
"18,484 EUR (19,988 USD)",Chevrolet,Equinox,1.5,"61,283 mi",2019,Petrol,Suv,Blue,,126 kW (171 HP),Automatic,2GNAXKEV2K6141363,https://www.cars.com/vehicledetail/0ba1ecee-5c91-4836-83ad-3f311885352c//
"12,022 EUR (13,000 USD)",Audi,Tt,1.8,"88,989 mi",2001,Petrol,Convertible,Silver,,167 kW (227 HP),Manual,TRUUT28N411003375,https://www.cars.com/vehicledetail/3c2c09e8-5e1f-4e70-921e-941bb9589e43//
"14,703 EUR (15,900 USD)",Jeep,Cherokee,3.2,"66,208 mi",2015,Petrol,Suv,Black,Gainesville,202 kW (275 HP),Automatic,1C4PJMCS4FW570959,https://www.cars.com/vehicledetail/03888df4-9baa-4cda-b0b3-a51b367b3909//
"16,554 EUR (17,901 USD)",Ford,Edge,2.0,"116,447 mi",2019,Petrol,Suv,Gray,Knoxville,186 kW (253 HP),Automatic,2FMPK4J99KBB96787,https://www.cars.com/vehicledetail/724dac1e-0eba-40ed-b832-7998c8d6dc5b//
"4,161 EUR (4,500 USD)",Kia,Sportage,2.7 EX,"76,160 mi",2009,Petrol,Crossover,Beige,,129 kW (175 HP),,KNDJE723297622237,https://www.cars.com/vehicledetail/c0b8386d-bff0-4641-b943-4536758d29eb//
