Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,VIN,Contact
"17,549 EUR (18,977 USD)",Chevrolet,Volt,1.5 Premier,"35,950 mi",2018,Hybrid,Hatchback,Black,,111 kW (151 HP),Automatic,1G1RD6S52JU114656,https://www.cars.com/vehicledetail/f8d37bf8-295e-4749-a765-c0935d25a681//
"19,110 EUR (20,665 USD)",Honda,Hr-V,1.8,"52,082 mi",2020,Petrol,Crossover,Silver,Broken Arrow,105 kW (143 HP),Automatic,3CZRU6H39LM737688,https://www.cars.com/vehicledetail/ca2d8751-86b5-4e61-9fd6-310c04f19fd5//
"10,167 EUR (10,995 USD)",Toyota,Prius,1.8 Four,"145,085 mi",2013,Hybrid,Hatchback,Black,Sunland,60 kW (82 HP),,JTDKN3DU1D5561339,https://www.cars.com/vehicledetail/9cde147f-b30b-49f3-ad5e-15f237feedb1//
"7,388 EUR (7,990 USD)",Chevrolet,Avalanche,5.3 LT,"61,461 mi",2007,,Pickup,Silver,Street,231 kW (314 HP),Automatic,3GNFK123X7G118040,https://www.cars.com/vehicledetail/ab277788-7b51-46d4-a972-07a0b76e15d8//
"5,086 EUR (5,500 USD)",Nissan,Rogue,2.5 S,"160,169 mi",2013,Petrol,Crossover,White,,126 kW (171 HP),,JN8AS5MV9DW632987,https://www.cars.com/vehicledetail/fdc75aca-0423-4595-b280-ff3b649ef2ff//
"22,075 EUR (23,871 USD)",Porsche,Macan,2.0,"106,643 mi",2019,Petrol,Suv,Blue,Leesburg,259 kW (352 HP),,WP1AA2A58KLB00922,https://www.cars.com/vehicledetail/ff490e6a-eb68-4423-a7e4-de8a9d427c65//
"10,625 EUR (11,490 USD)",Chevrolet,Equinox,1.5,"121,155 mi",2018,Petrol,Suv,White,Houston,126 kW (171 HP),Automatic,2GNAXHEV5J6135039,https://www.cars.com/vehicledetail/8ea0adce-bca5-4b43-a49a-5a75989386d9//
"19,623 EUR (21,220 USD)",Gmc,Acadia,3.6,"66,532 mi",2017,Petrol,Suv,Red,Tiffin,209 kW (284 HP),Automatic,1GKKRSKD1HJ190735,https://www.cars.com/vehicledetail/b914d3ac-8086-42ce-b711-63ed6d4738e5//
"20,550 EUR (22,222 USD)",Jeep,Compass,2.4,"10,576 mi",2021,Petrol,Crossover,White,Longwood,134 kW (182 HP),Automatic,3C4NJCEB2MT577362,https://www.cars.com/vehicledetail/dea53ff2-e6a6-4eba-ae0c-138e1d019b22//
"13,805 EUR (14,929 USD)",Lexus,Rx,base,"124,810 mi",2013,Petrol,Suv,Black,Jeffrey,201 kW (273 HP),Automatic,2T2ZK1BA2DC120550,https://www.cars.com/vehicledetail/28955b57-a3f5-4250-a0e6-d5e83a31dabd//
"19,418 EUR (20,998 USD)",Chevrolet,Silverado 2500,ls,"55,588 mi",2003,Petrol,Pickup,Black,,223 kW (303 HP),Automatic,1GCHC23U53F227691,https://www.cars.com/vehicledetail/4cfcc12b-e5f0-40d0-9ebe-02e88cbd05bd//
"17,985 EUR (19,449 USD)",Jeep,Cherokee,4.0 Limited,"108,300 mi",2020,Petrol,Suv,Silver,Loveland,202 kW (275 HP),Automatic,1C4PJMDXXLD602637,https://www.cars.com/vehicledetail/54bc2f94-1790-4d4b-8ec3-be8d22e55ce1//
"5,456 EUR (5,900 USD)",Nissan,Leaf,,"58,252 mi",2013,Electric,Hatchback,Red,Tacoma,79 kW (107 HP),Automatic,1N4AZ0CPXDC400161,https://www.cars.com/vehicledetail/14c0b479-04cd-4897-80d0-880881afe2c2//
"20,344 EUR (21,999 USD)",Audi,Q3,2.0,"86,674 mi",2018,Petrol,Crossover,Gray,Colfax,149 kW (203 HP),,WA1JCCFS1JR008959,https://www.cars.com/vehicledetail/522bf07b-1f76-455f-a389-70921df2f57f//
"7,393 EUR (7,995 USD)",Cadillac,Dts,4.6 Luxury II,"132,849 mi",2008,Petrol,Sedan,White,Asheville,205 kW (279 HP),Automatic,1G6KD57Y18U153497,https://www.cars.com/vehicledetail/c91bfb21-8ffd-42d9-86a9-12f86e3c2c98//
"11,095 EUR (11,998 USD)",Mitsubishi,Outlander,2.4 SE,"108,385 mi",2017,Petrol,Suv,Silver,Bellevue,120 kW (163 HP),,JA4AZ3A34HZ046033,https://www.cars.com/vehicledetail/1c8711aa-b2da-43c0-9e6a-fa83c89ca06d//
"20,807 EUR (22,500 USD)",Chevrolet,Equinox,1.5,"48,996 mi",2020,Petrol,Suv,Black,Saginaw,126 kW (171 HP),Automatic,3GNAXTEV3LL240910,https://www.cars.com/vehicledetail/82dba4d4-ebe1-4852-a924-b6db8596dd0a//
"3,513 EUR (3,799 USD)",Subaru,Forester,2.5,"121,761 mi",2009,Petrol,Suv,Gray,Old Bridge,126 kW (171 HP),Automatic,JF2SH63659H786544,https://www.cars.com/vehicledetail/93db565e-5268-4266-89b4-8ab7cf4b9989//
"21,893 EUR (23,674 USD)",Honda,Hr-V,1.8,"43,987 mi",2019,Petrol,Crossover,Black,Plum,105 kW (143 HP),,3CZRU6H93KM713583,https://www.cars.com/vehicledetail/91975d0c-374d-49f9-810b-cc55cd26ee00//
"20,335 EUR (21,990 USD)",Chevrolet,Camaro,5.7 Z28,"193,000 mi",2001,Petrol,Convertible,Black,Boiling Springs,231 kW (314 HP),,2G1FP32G712136510,https://www.cars.com/vehicledetail/64edf6bd-73dd-42ac-985c-00438c20e4dd//
"13,866 EUR (14,995 USD)",Toyota,4runner,3.4,"77,088 mi",1999,Petrol,Suv,Silver,Snohomish,136 kW (185 HP),Automatic,JT3HN87R3X0203812,https://www.cars.com/vehicledetail/b265eacd-1256-4414-993a-7cb2bab506b1//
"7,372 EUR (7,972 USD)",Nissan,Leaf,,"39,087 mi",2017,Electric,Hatchback,White,,80 kW (109 HP),Automatic,1N4BZ0CP9HC303821,https://www.cars.com/vehicledetail/96327744-0b7f-46c2-9850-0bb5b118db50//
"6,465 EUR (6,992 USD)",Chevrolet,Monte Carlo,3.8 SS,"140,329 mi",2005,Petrol,Coupe,Silver,Fairfield,178 kW (242 HP),,2G1WZ151759207871,https://www.cars.com/vehicledetail/0747d40a-a803-4b20-b5a1-563a1a56d253//
"10,170 EUR (10,998 USD)",Hyundai,Tucson,2.4 Limited,"147,478 mi",2015,Petrol,Suv,Black,,135 kW (184 HP),Automatic,KM8JUCAG7FU103967,https://www.cars.com/vehicledetail/5e750d0c-b8c5-400f-9aba-8a8768239ece//
"17,015 EUR (18,400 USD)",Chevrolet,Equinox,1.5,"49,345 mi",2018,Petrol,Suv,Black,Riverside,126 kW (171 HP),Automatic,2GNAXSEVXJ6347741,https://www.cars.com/vehicledetail/ed26add2-6fe6-4a7a-ae44-71376ca794dc//
"5,913 EUR (6,395 USD)",Dodge,Grand Caravan,3.6,"124,761 mi",2012,Petrol,Mpv,White,Hamburg,211 kW (287 HP),,2C4RDGCG7CR310539,https://www.cars.com/vehicledetail/ff939590-c170-407d-8673-568c8806a1c7//
"10,167 EUR (10,995 USD)",Chevrolet,Spark,1.4 1LT,"61,868 mi",2020,Petrol,Mini,Black,,73 kW (99 HP),,KL8CD6SA5LC447509,https://www.cars.com/vehicledetail/d3765e63-26e8-483d-a9a9-773490d9239c//
"18,485 EUR (19,989 USD)",Honda,Hr-V,1.8,"29,979 mi",2020,Petrol,Crossover,Black,Grand Prairie,105 kW (143 HP),Automatic,3CZRU5H39LM718262,https://www.cars.com/vehicledetail/85325994-3acf-4782-a780-55b5dae2355b//
"8,322 EUR (8,999 USD)",Ford,Excursion,5.4 XLS,"140,738 mi",2004,Petrol,Suv,White,East Windsor,190 kW (258 HP),Automatic,1FMNU41L84EC28133,https://www.cars.com/vehicledetail/dbc9a896-052c-47d6-9dee-5b472a80e5d2//
"13,676 EUR (14,789 USD)",Chevrolet,Bolt Ev,lt,"16,012 mi",2019,Electric,Mini,Gray,,149 kW (203 HP),Automatic,1G1FY6S06K4109859,https://www.cars.com/vehicledetail/3963eac8-9806-4554-ae88-1c6240095a8d//
"18,490 EUR (19,995 USD)",Honda,Hr-V,1.8,"41,759 mi",2022,Petrol,Crossover,Black,,105 kW (143 HP),,3CZRU6H54NM749669,https://www.cars.com/vehicledetail/70a035a2-6619-4fa1-80ab-b28e3936ee60//
"6,372 EUR (6,891 USD)",Gmc,Acadia,3.6 SLT-1,"146,745 mi",2008,Petrol,Suv,Blue,Goldenrod,205 kW (279 HP),Automatic,1GKEV23768J223424,https://www.cars.com/vehicledetail/bdd73b88-8190-458a-ba5c-f2ced4919ff2//
