Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact
"78,143 EUR (84,500 USD)",Kia,Xceed,1.4,"27,500 km",2020,Petrol,Crossover,Blue,Kamienna Góra,102 kW (139 HP),Automatic,https://automotodeal.pl/kia/kia-xceed-top-auto-turbo-benzyna-stan-jak-nowy-navi-m-smart-mega-kolor.html
"54,468 EUR (58,900 USD)",Opel,Corsa,1.2,"6,000 km",2020,Petrol,Hatchback,Gray,Wągrowiec,55 kW (75 HP),Manual,https://automotodeal.pl/corsa/opel-corsa-navi-grzane-fotelekierownica-asystent-pasa-pdc-klima-sensory-jak-nowa.html
"64,641 EUR (69,900 USD)",Kia,Sportage,1.6 GDi,"135,000 km",2016,Petrol,Crossover,Gray,Kamienna Góra,99 kW (135 HP),Manual,https://automotodeal.pl/sportage/kia-sportage9161756.html
"15,720 EUR (16,999 USD)",Seat,Ibiza,1.6,"169,200 km",2012,Diesel,Hatchback,Black,Szczecin,66 kW (90 HP),Automatic,https://automotodeal.pl/iv-2008-/seat-ibiza-klimatronik-parktronik-absolutnie-bezwypadkowy-tempomat-stan-super.html
"13,862 EUR (14,990 USD)",Opel,Astra,1.6,"150,000 km",2008,Petrol,Hatchback,Black,Piła,77 kW (105 HP),Automatic,https://automotodeal.pl/astra/opel-astra-16-16vcosmoclimatronicaluxenonelektrykasuper-stanzobacz.html
"15,536 EUR (16,800 USD)",Audi,A3,2.0,"237,000 km",2006,Diesel,Hatchback,Black,Świdnica,102 kW (139 HP),Manual,https://automotodeal.pl/8p-2003-2012/audi-a3-nowy-rozrzadsprzeglo-itp-1-wl-zarejestrowanygwarancjazamiana.html
"244,971 EUR (264,900 USD)",Bmw,5 Series,,"29,000 km",2020,Petrol,Sedan,Black,Poznań,185 kW (252 HP),Automatic,https://automotodeal.pl/bmw/bmw-530-m-sport-xdrive--live-cockpit--kamera-vat-23-pl--63s-0-100km-h.html
"47,995 EUR (51,900 USD)",Volkswagen,Passat,1.4,"71,500 km",2015,Petrol,Sedan,Purple,Września,91 kW (124 HP),Automatic,https://automotodeal.pl/b8-2014-/volkswagen-passat-promocja-do-30-wrzesnia---gwarancja-12-m-cy.html
"8,230 EUR (8,900 USD)",Renault,Grand Scenic,2.0,"199,000 km",2005,Petrol,Mpv,Gray,Kutno,99 kW (135 HP),Automatic,https://automotodeal.pl/grand-scenic/renault-grand-scenic-grand-oplacony-20i16v-serwis-7-foteli-rolety-alu-klima.html
"39,672 EUR (42,900 USD)",Fiat,500,1.2,"18,000 km",2016,Petrol,Mini,Red,Koło,50 kW (68 HP),Manual,https://automotodeal.pl/500/fiat-500-fiat-500---12---69-km---benzyna---led---bluetooth---salon-pl---aso--.html
"55,485 EUR (59,999 USD)",Volkswagen,Touran,2.0 TDI,"260,000 km",2016,Diesel,Mpv,Black,Gdańsk,110 kW (150 HP),Automatic,https://automotodeal.pl/touran/volkswagen-touran-20tdi-automat-7os1-wl-bezwypadkowy-asystpark-gwarancja-doinwestowa.html
"25,801 EUR (27,900 USD)",Nissan,Qashqai,2.0,"209,329 km",2007,Petrol,Crossover,Gray,Chmielnik,103 kW (140 HP),Manual,https://automotodeal.pl/i-2007-2013/nissan-qashqai-20-benzynka-141km--climatronic--kamera--navi--serwisowany-.html
"40,597 EUR (43,900 USD)",Kia,Ceed,1.4 CRDi,"139,000 km",2018,Diesel,Hatchback,Silver,Koło,66 kW (90 HP),Manual,https://automotodeal.pl/kia/kia-cee-d-kia-ceed---14-crdi-m---90-km---led---klima---bluetooth---salon-pl---p687031514.html
"35,973 EUR (38,900 USD)",Peugeot,508,1.6,"175,000 km",2014,Diesel,Sedan,Black,Sulechów,83 kW (113 HP),Manual,https://automotodeal.pl/508/peugeot-508-ehdi-panorama-navi--bezwypadkowy--aso--gwarancja--film.html
"101,632 EUR (109,900 USD)",Volkswagen,Touran,1.4 TSI,"54,264 km",2017,Petrol,Mpv,White,Gdynia,110 kW (150 HP),Automatic,https://automotodeal.pl/touran/volkswagen-touran-14tsi-150km-dsg-r-line-panorama-salon-pl-gwarancja-plichta256202119.html
"44,388 EUR (48,000 USD)",Mercedes Benz,Sprinter,,"221,000 km",2009,Diesel,Van,White,Lublin,110 kW (150 HP),Automatic,https://automotodeal.pl/osobowe/mercedes-sprinter233174815.html
"208,064 EUR (224,990 USD)",Bmw,X4,,"46,000 km",2019,Diesel,Suv,Black,Leszno,139 kW (189 HP),Automatic,https://automotodeal.pl/x4/bmw-x4-salon-pl---m-pakiet---hed-ap---voll---46-tys-km---serwis---gwarancja.html
"92,384 EUR (99,900 USD)",Peugeot,5008,1.2,"31,700 km",2020,Petrol,Mpv,Green,Konin,95 kW (129 HP),Automatic,https://automotodeal.pl/5008/peugeot-5008-pisemna-gwarancja-12-m-cy.html
