Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact,Euro norm
"21,950 EUR",Volkswagen,Passat,2.0 TDI,"113,002 km",2017,Diesel,Wagon,Silver,Spijkenisse,111 kW (151 HP),Automatic,https://autovooru.nl/volkswagen-passatvariant~164-79d-3c4b20.html,
"14,950 EUR",Bmw,2 Series,218i,"186,351 km",2016,Petrol,Coupe,Blue,Haelen,101 kW (137 HP),Manual,https://www.autotrader.nl/auto/voertuig/bmw-218-coupe-218i-benzine/d5eb4a9b-f1b6-4329-b6f8-fdf2328c17ec/,
"9,850 EUR",Ford,Focus,1.0,"147,039 km",2017,Petrol,Sedan,Silver,Geldermalsen,75 kW (102 HP),Manual,https://www.marktplaats.nl/v/auto-s/ford/m2086660531-ford-focus-1-0-lease-edition-navigatie-4-seizoensbanden,
"15,425 EUR",Nissan,Qashqai,1.2,"109,921 km",2016,Petrol,Crossover,White,Zoetermeer,86 kW (117 HP),Automatic,https://www.eurostocks.com/nl/voertuigen/autos/suv-off-road-pick-up/vehicle/2577433/nissan-qashqai-12-nconnecta-navigatie-360-view-camera-panoramadak-erg-compleet-inclusief-zomer-en-winterbanden,
"19,240 EUR",Renault,Clio,1.0 tce,"29,202 km",2023,Petrol,Hatchback,Silver,Zaltbommel,67 kW (91 HP),Manual,https://www.viabovag.nl/auto/aanbod/renault-clio-10-tce-90-evolution-navigatie-airco-parkeersensoren-achter-mo3qa8f,
"18,740 EUR",Renault,Clio,1.0 tce,"28,977 km",2023,Petrol,Hatchback,Gray,Tilburg,67 kW (91 HP),Manual,https://www.vanmossel.nl/voorraad/s/1396663-renault-clio,
"38,450 EUR",Kia,Niro,1.6 GDi,"19,029 km",2022,Hybrid,Suv,Silver,Helmond,77 kW (105 HP),Automatic,https://www.autokopen.nl/tweedehands-auto/kia/niro/9188677-kia-niro-16-gdi-phev-dynamicplusline-leder-all-season-18-info-bas-0492-588982,
"22,900 EUR",Volkswagen,Passat,1.4 TSI,"191,315 km",2018,Petrol,Wagon,Black,Haarlem,111 kW (151 HP),Automatic,https://www.marktplaats.nl/v/auto-s/volkswagen/m2082962875-volkswagen-passat-variant-1-4-tsi-r-line-aut-virtual-cockp,
"12,900 EUR",Bmw,1 Series,116d,"127,642 km",2012,Diesel,Hatchback,Black,Haarlem,101 kW (137 HP),Automatic,https://www.marktplaats.nl/v/auto-s/bmw/m2079954842-bmw-1-serie-116-d-high-executive-m-sport-aut8-full-map-navi,
"22,995 EUR",Bmw,X3,xDrive20d,"213,337 km",2016,Diesel,Suv,Black,Veghel,141 kW (192 HP),Automatic,https://www.autotrader.nl/auto/voertuig/bmw-x3-xdrive20d-high-executive-m-sport-edition-panoramad-diesel/5eee512d-ac98-4ed3-ba95-5bfe39ec388a/,
"7,395 EUR",Alfa Romeo,Mito,0.9 TwinAir,"160,397 km",2015,Petrol,Hatchback,Black,Emmen,73 kW (99 HP),Manual,https://www.eurostocks.com/nl/voertuigen/autos/kleine-auto/vehicle/2506668/alfa-romeo-mito-09-twinair-junior-navigatie-airco-climate-control-cruise-control,
"16,900 EUR",Audi,A3,1.0 s tfsi,"163,455 km",2018,Petrol,Sedan,Silver,Harderwijk,86 kW (117 HP),Manual,https://www.marktplaats.nl/v/auto-s/audi/m2089839739-audi-a3-1-0-tfsi-s-line-navigatie-full-led-sportstoele,
"15,540 EUR",Hyundai,I20,1.0,"42,458 km",2019,Petrol,Hatchback,White,Tilburg,75 kW (102 HP),Manual,https://www.vanmossel.nl/voorraad/s/1404271-hyundai-i20,
"12,900 EUR",Bmw,1 Series,125d,"249,949 km",2013,Diesel,Hatchback,Silver,Haarlem,186 kW (253 HP),Automatic,https://www.nederlandmobiel.nl/tweedehands-auto/bmw/1-serie-125d-250pk-m-performance-aut-sport-leder-xenon-led-ambianceverlichting-navi-cruise/18587904,
"39,495 EUR",Bmw,5 Series,530i xDrive,"75,663 km",2018,Petrol,Wagon,Black,Zwolle,187 kW (254 HP),Automatic,https://www.nederlandmobiel.nl/tweedehands-auto/bmw/5-serie-touring-530i-xdrive-m-sport-panodak-head-up-achterasbesturing-19-inch/18787300,
"18,900 EUR",Bmw,1 Series,M135i,"199,987 km",2013,Petrol,Hatchback,Silver,Haaksbergen,238 kW (324 HP),Automatic,https://www.nederlandmobiel.nl/tweedehands-auto/bmw/1-serie-m135i-xd-high-exe-leder-19-inch-aut/18593351,
"9,900 EUR",Seat,Leon,2.0 tfsi,"199,460 km",2009,Petrol,Hatchback,Black,Apeldoorn,227 kW (309 HP),Manual,https://www.autokopen.nl/tweedehands-auto/seat/leon/9099247-seat-leon-20-tfsi-cupra-18lm-navi-multimedia-airco,4
"18,940 EUR",Nissan,Qashqai,1.2,"125,883 km",2018,Petrol,Crossover,Silver,Tilburg,86 kW (117 HP),Automatic,https://www.nederlandmobiel.nl/tweedehands-auto/nissan/qashqai-12-acenta-achteruitrijcamera-cruise-control-navigatie-automaat-lmv/18433697,6
"17,745 EUR",Nissan,Qashqai,1.2,"110,958 km",2018,Petrol,Crossover,Gray,Bathmen,86 kW (117 HP),Manual,https://www.viabovag.nl/auto/aanbod/nissan-qashqai-12-tekna-plus-360-camera-19-inch-glazen-dak-bovag-garantie-df9zw65,
"20,245 EUR",Nissan,Juke,1.0 DIG-T,"113,464 km",2021,Petrol,Crossover,Gray,Almere,85 kW (116 HP),Automatic,https://usedcars.nissan.nl/nissan-voorraad/voertuigen/nissan/juke/10-dig-t-114-dct7-n-design-automaat-cruise-clima-full-led-navigatie-360-camera-pdc-bose-sound/19495841,
"9,400 EUR",Volkswagen,Polo,1.0,"110,679 km",2015,Petrol,Hatchback,White,Ede,55 kW (75 HP),Manual,https://www.valleiautogroep.nl/auto-zoeken/volkswagen-polo-1-0-75pk-comfortline-37597892,
"15,900 EUR",Škoda,Fabia,1.0 tsi,"84,329 km",2019,Petrol,Hatchback,Blue,Ede,70 kW (95 HP),Manual,https://www.valleiautogroep.nl/auto-zoeken/skoda-fabia-1-0-tsi-95pk-monte-carlo-37647543,
"42,440 EUR",Mazda,Cx-5,2.0,"3,526 km",2023,Petrol,Crossover,Black,Wijchen,123 kW (167 HP),Automatic,https://autovooru.nl/mazda-cx5~126-429-3be494.html,
"42,888 EUR",Mazda,Cx-5,2.0,"3,399 km",2023,Petrol,Crossover,Black,Wijchen,123 kW (167 HP),Automatic,https://www.nederlandmobiel.nl/tweedehands-auto/mazda/cx-5-20-165-pk-luxury-leer-headup-360camera-19lmv-full-led-carplay-navi-stoelstuur-verw-stoelkoeling-digdash-032023/18776416,
"3,395 EUR",Mitsubishi,Grandis,2.4,"280,133 km",2005,Petrol,Mpv,Silver,Emmen,123 kW (167 HP),Automatic,https://www.autotrader.nl/auto/voertuig/mitsubishi-grandis-24-16v-intense-7-persoons-elektrische-ramen-air-benzine/96a6c825-6a59-4822-b105-d5065da73286/,
"109,000 EUR",Chevrolet,Corvette,6.2,"4,600 km",2023,Petrol,Coupe,Black,Amsterdam,369 kW (502 HP),Automatic,https://www.nederlandmobiel.nl/tweedehands-auto/chevrolet/corvette-usa-62-c8-targa-export-price-nose-lift-led-bose-camera/18261526,
"7,450 EUR",Mini,Cooper,1.6,"193,279 km",2013,Petrol,Hatchback,Silver,Spijkenisse,90 kW (122 HP),Automatic,https://www.autotrader.nl/auto/voertuig/mini-cooper-16-westminster-leder-clima-navigatie-pdc-benzine/ae3b6180-e23d-4a66-ac06-d8e63701436e/,
"18,430 EUR",Nissan,Qashqai,1.2,"106,451 km",2019,Petrol,Crossover,White,Purmerend,86 kW (117 HP),Manual,https://usedcars.nissan.nl/nissan-voorraad/voertuigen/nissan/qashqai/12-n-connecta/19450234,
"10,450 EUR",Ford,Fiesta,1.0 EcoBoost,"73,110 km",2014,Petrol,Hatchback,Black,Apeldoorn,104 kW (141 HP),Manual,https://www.nederlandmobiel.nl/tweedehands-auto/ford/fiesta-10-ecoboost-redblack-edition-140pk-nw-apk/18754263,
"11,900 EUR",Bmw,1 Series,116d,"239,362 km",2015,Diesel,Hatchback,White,Apeldoorn,86 kW (117 HP),Automatic,https://www.autokopen.nl/tweedehands-auto/bmw/1-serie/9008011-bmw-1-serie-116d-corporate-lease-sport-navi-xenon-clima-cruise-17lm,
"11,845 EUR",Peugeot,208,1.2 puretech,"11,152 km",2018,Petrol,Hatchback,Silver,Tilburg,61 kW (83 HP),Manual,https://www.zeelandnet.nl/prikbord/peugeot-208-12-puretech-active-airco-lmv-cruise-control-unieke-km-stand/a/6319085,
"6,900 EUR",Volvo,V70,2.4,"364,568 km",2007,Petrol,Wagon,Silver,Raalte,104 kW (141 HP),Manual,https://www.marktplaats.nl/v/auto-s/volvo/m2074583664-volvo-v70-2-4-edition-young-timer-bij-ons-onderhouden,
"6,995 EUR",Volvo,V70,2.4,"231,232 km",2007,Petrol,Wagon,Silver,Oss,126 kW (171 HP),Automatic,https://autovooru.nl/volvo-v70~165-96f-3b61a5.html,
"10,945 EUR",Volkswagen,Polo,1.2 TSI,"147,761 km",2013,Petrol,Hatchback,Black,Goes,78 kW (106 HP),Manual,https://www.zeelandnet.nl/prikbord/volkswagen-polo-12-tsi-r-line-panoramadak-xenon-led-lederalcantara/a/6407605,
"15,450 EUR",Škoda,Octavia,1.5 tsi,"172,210 km",2020,Petrol,Wagon,Silver,Haarlem,111 kW (151 HP),Automatic,https://www.marktplaats.nl/v/auto-s/skoda/m2087004532-skoda-octavia-combi-1-5-tsi-greentech-business-edition-autom,
"16,395 EUR",Škoda,Octavia,1.0 tsi,"126,046 km",2020,Petrol,Wagon,Gray,Raalte,86 kW (117 HP),Manual,https://www.nederlandmobiel.nl/tweedehands-auto/skoda/octavia-combi-10-tsi-116-pk-greentech-business-edition-navi-pdc-cruise-clima-pdc-app-connect/18808937,
"14,990 EUR",Peugeot,Partner,1.6,"108,337 km",2017,Petrol,Pickup,White,Schagen,73 kW (99 HP),Manual,https://autovooru.nl/peugeot-partnertepee~13b-799-384e0c.html,
"18,900 EUR",Bmw,6 Series,645Ci,"195,000 km",2004,Petrol,Convertible,Black,Heerlen,248 kW (337 HP),Automatic,https://autovooru.nl/bmw-6serie~cf-256-3b9129.html,
"19,690 EUR",Nissan,Leaf,40 kWh,"95,255 km",2019,Electric,Hatchback,Gray,Sittard,132 kW (180 HP),Automatic,https://www.limburgmobiel.nl/tweedehands-auto/nissan/leaf-tekna-40-kwh-1e-eig-nav-4-cameras-stoelverw-va-adapt-cruise-bose-eur-2000-overheidssubsidie-mogelijk/18868817,
