Price,Make,Model,Trim,Mi,Year,Fuel type,Euro norm,Body type,Color,City,Power,Transmission,Contact
"20,900 EUR",Ford,Mondeo,2.0 TDCi,"102,450 km",2018,Diesel,6,Wagon,Gray,Salzburg,134 kW (182 HP),Manual,https://www.zweispurig.at/ford-mondeo-gebrauchtwagen-diesel-grau-salzburg/details-1194601
"48,450 EUR",Hyundai,Tucson,1.6 CRDi,62 km,2023,Diesel,6,Suv,Gray,Rankweil,101 kW (137 HP),Automatic,https://www.zweispurig.at/hyundai-tucson-tageszulassung-diesel-grau-vorarlberg/details-1217510
"43,990 EUR",Škoda,Octavia,2.0,100 km,2024,Diesel,6,Wagon,Gray,Villach,111 kW (151 HP),Automatic,https://www.dasweltauto.at/vehicle/628005938
"49,990 EUR",Volkswagen,Tiguan,2.0 TDI 4Motion,"16,053 km",2023,Diesel,6,Crossover,Gray,Wien,111 kW (151 HP),Automatic,https://www.dasweltauto.at/vehicle/15053831
"18,999 EUR",Volkswagen,Sharan,2.0 TDI,"180,000 km",2015,Diesel,5,Van,Brown,Schwechat,104 kW (141 HP),Automatic,https://www.zweispurig.at/vw-sharan-gebrauchtwagen-diesel-braun-niederoesterreich/details-1235741
"18,450 EUR",Volkswagen,Sharan,2.0 TDI,"159,000 km",2015,Diesel,6,Van,Black,Salzburg,111 kW (151 HP),Automatic,https://www.zweispurig.at/vw-sharan-gebrauchtwagen-diesel-schwarz-salzburg/details-1191700
"41,990 EUR",Volkswagen,Transporter,2.0,"120,924 km",2020,Diesel,6,Van,Silver,Hall In Tirol,111 kW (151 HP),Manual,https://www.zweispurig.at/vw-transporter-t6-gebrauchtwagen-diesel-silber-tirol/details-1238630
"41,990 EUR",Jeep,Compass,1.6,"23,758 km",2023,Diesel,,Crossover,Green,Brunn Am Gebirge,97 kW (132 HP),Automatic,https://www.zweispurig.at/jeep-compass-vorfuehrwagen-benzin-gruen-niederoesterreich/details-1195268
"23,990 EUR",Honda,Hr-V,1.5 VTEC Turbo,"20,000 km",2020,Petrol,,Crossover,Gray,Wels,135 kW (184 HP),Automatic,https://www.zweispurig.at/honda-hr-v-gebrauchtwagen-benzin-grau-oberoesterreich/details-1243911
"14,880 EUR",Dacia,Lodgy,1.2 TCe,"15,537 km",2021,Petrol,,Mpv,White,Wien,97 kW (132 HP),Manual,https://www.zweispurig.at/dacia-lodgy-gebrauchtwagen-benzin-weiss-wien/details-1239153
"609,870 EUR",Aston Martin,V12 Vantage,6.0 V12,"1,350 km",2023,Petrol,6,Convertible,Green,Wiener Neustadt,521 kW (709 HP),Automatic,https://www.zweispurig.at/aston-martin-vantage-gebrauchtwagen-benzin-gruen-niederoesterreich/details-1242097
"62,900 EUR",Kia,Ev6,,"4,972 km",2023,Electric,,Crossover,Gray,Salzburg,436 kW (593 HP),Automatic,https://www.zweispurig.at/kia-ev6-gebrauchtwagen-elektro-grau-salzburg/details-1240824
"22,690 EUR",Volkswagen,Sharan,2.0 TDI,"123,924 km",2016,Diesel,6,Van,Silver,Linz,111 kW (151 HP),Manual,https://www.dasweltauto.at/vehicle/35002711
"38,800 EUR",Audi,A8,3.0 TDI,"172,000 km",2015,Diesel,6,Sedan,Gray,Salzburg,195 kW (265 HP),Automatic,https://www.zweispurig.at/audi-a8-gebrauchtwagen-diesel-grau-salzburg/details-1238799
"69,900 EUR",Ford,Transit Custom,2.0,"22,000 km",2021,Diesel,6,Van,Gray,Wien,137 kW (186 HP),Automatic,https://www.zweispurig.at/ford-transit-custom-gebrauchtwagen-diesel-grau-wien/details-1221308
"17,690 EUR",Hyundai,I10,1.2,1 km,2023,Petrol,,Mini,Red,Linz,62 kW (84 HP),Automatic,https://www.gebrauchtwagen-markt.at/autoboerse/511475-hyundai-i10-i-line-plusautomatiknavilinkwinterpaket.html
"34,900 EUR",Volvo,Xc40,2.0 D3 AWD,"73,350 km",2020,Diesel,6,Crossover,Gray,Innsbruck,111 kW (151 HP),Automatic,https://www.zweispurig.at/volvo-xc40-gebrauchtwagen-diesel-grau-tirol/details-1246487
