Price,Make,Model,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact,Trim
"22,286 EUR (259,000 NOK)",Nissan,Navara,"114,780 km",2016,Diesel,Pickup,Gray,Porsgrunn,141 kW (192 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=344171940,2.3
"10,239 EUR (119,000 NOK)",Nissan,Leaf,"46,500 km",2017,Electric,Hatchback,Gray,Sandnes,81 kW (110 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=343907690,
"39,496 EUR (459,000 NOK)",Bmw,X5,"165,000 km",2014,Diesel,Suv,Black,Larvik,192 kW (261 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=343461589,30d
"32,698 EUR (379,999 NOK)",Bmw,X5,"152,000 km",2014,Diesel,Suv,Black,Vestby,162 kW (220 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=342485723,xDrive25d
"7,658 EUR (89,000 NOK)",Nissan,Leaf,"117,000 km",2017,Electric,Hatchback,Brown,Kolbotn,81 kW (110 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=336931107,
"45,519 EUR (529,000 NOK)",Bmw,M5,"158,900 km",2013,Petrol,Sedan,Brown,Hokksund,417 kW (567 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=339194861,4.4
"5,593 EUR (65,000 NOK)",Nissan,Juke,"212,000 km",2012,Diesel,Crossover,Gray,Drammen,82 kW (112 HP),Manual,https://www.finn.no/car/used/ad.html?finnkode=341588839,1.5 dCi
"14,542 EUR (169,000 NOK)",Bmw,I3,"23,750 km",2018,Electric,Hatchback,Gray,Kristiansand,126 kW (171 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=345116065,
"83,380 EUR (969,000 NOK)",Audi,E-Tron Gt,"21,000 km",2022,Electric,Coupe,Gray,Vestby,481 kW (654 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=342906605,
"60,147 EUR (699,000 NOK)",Mercedes Benz,E-Class,"60,000 km",2018,Petrol,Sedan,Black,Sandnes,299 kW (407 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=337538273,43 AMG
"42,937 EUR (499,000 NOK)",Kia,Ev6,"45,875 km",2022,Electric,Crossover,Blue,Tromsø,242 kW (329 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=343133391,
"1,399,000 EUR",Mercedes Benz,S-Class,"64,000 km",2018,Petrol,Sedan,Gray,Skien,456 kW (620 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=327946121,63 AMG
"6,453 EUR (75,000 NOK)",Bmw,5 Series,"306,000 km",2007,Diesel,Wagon,Black,Furnes,146 kW (199 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=306591686,525d
"6,014 EUR (69,900 NOK)",Bmw,5 Series,"265,000 km",2007,Diesel,Wagon,Black,Sandnes,131 kW (178 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=343224388,520d
"4,724 EUR (54,900 NOK)",Ford,Grand C-Max,"163,000 km",2013,Diesel,Mpv,Black,Drammen,86 kW (117 HP),Manual,https://www.finn.no/car/used/ad.html?finnkode=329823327,1.6
"5,162 EUR (60,000 NOK)",Bmw,5 Series,"238,000 km",2007,Diesel,Wagon,Gray,Kristiansand,131 kW (178 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=344441236,
"8,604 EUR (99,999 NOK)",Volvo,S80,"155,450 km",2011,Diesel,Sedan,Black,Vestby,81 kW (110 HP),Manual,https://www.finn.no/car/used/ad.html?finnkode=325002742,1.6
"42,077 EUR (489,000 NOK)",Bmw,X5,"128,000 km",2016,Diesel,Suv,Gray,Flisa,233 kW (317 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=340433547,40d
"46,457 EUR (539,900 NOK)",Bmw,X5,"126,000 km",2016,Diesel,Suv,Black,Stavanger,192 kW (261 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=341268058,30d
"53,349 EUR (619,999 NOK)",Bmw,X5,"123,000 km",2016,Diesel,Suv,Black,Hønefoss,284 kW (386 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=340220391,M50d
"17,123 EUR (199,000 NOK)",Peugeot,3008,"131,000 km",2017,Diesel,Crossover,Brown,Drammen,89 kW (121 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=343972918,1.6
"11,960 EUR (139,000 NOK)",Land Rover,Discovery,"323,568 km",2009,Diesel,Suv,Silver,Hønefoss,182 kW (248 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=344830434,2.5 TD
"10,054 EUR (116,845 NOK)",Mitsubishi,Asx,"167,200 km",2012,Diesel,Crossover,Silver,Lillehammer,86 kW (117 HP),Manual,https://www.finn.no/car/used/ad.html?finnkode=344819670,1.8
"5,162 EUR (59,990 NOK)",Bmw,5 Series,"324,000 km",2009,Diesel,Wagon,Blue,Skien,121 kW (165 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=340010565,520d
"8,518 EUR (99,000 NOK)",Nissan,Qashqai,"98,000 km",2012,Diesel,Crossover,Black,Jessheim,82 kW (112 HP),Manual,https://www.finn.no/car/used/ad.html?finnkode=344744785,1.5 dCi
"8,518 EUR (99,000 NOK)",Mitsubishi,Outlander,"223,000 km",2010,Diesel,Suv,Blue,Sandnes,116 kW (158 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=339477023,2.2 HDi
"13,681 EUR (159,000 NOK)",Suzuki,Sx4 S-Cross,"122,500 km",2014,Petrol,Crossover,Gray,Fredrikstad,89 kW (121 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=345212918,1.6
"68,838 EUR (799,999 NOK)",Toyota,Land Cruiser V8,"272,000 km",2013,Diesel,Suv,Black,Kristiansand,202 kW (275 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=312054094,4.5
"50,754 EUR (589,845 NOK)",Toyota,Land Cruiser V8,"268,000 km",2013,Diesel,Suv,Black,Kolbotn,202 kW (275 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=345122022,4.5
"68,829 EUR (799,900 NOK)",Mercedes Benz,S-Class,"93,000 km",2015,Petrol,Sedan,Black,Oslo,339 kW (461 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=338094930,500 4MATIC
"111,862 EUR (1,299,999 NOK)",Lamborghini,Gallardo,"37,550 km",2012,Petrol,Coupe,Orange,Vestby,417 kW (567 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=340113986,5.2 LP 560-4
"6,452 EUR (74,990 NOK)",Peugeot,508,"211,000 km",2013,Diesel,Sedan,White,Skien,85 kW (116 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=338698835,1.6 HDi
"7,658 EUR (89,000 NOK)",Mitsubishi,Outlander,"181,000 km",2011,Diesel,Suv,Black,Skien,104 kW (141 HP),Manual,https://www.finn.no/car/used/ad.html?finnkode=344104445,2.3 did
"7,658 EUR (89,000 NOK)",Mitsubishi,Outlander,"180,000 km",2011,Diesel,Suv,Black,Drammen,104 kW (141 HP),Manual,https://www.finn.no/car/used/ad.html?finnkode=345282603,2.3 did
"71,333 EUR (829,000 NOK)",Audi,A8,"60,500 km",2017,Diesel,Sedan,Brown,Holmestrand,287 kW (390 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=312409590,4.1 TDI
