Price,Make,Model,Trim,Mi,Year,Fuel type,Euro norm,Body type,Color,City,Power,Transmission,Contact
"25,189 EUR (9,999,000 HUF)",Kia,Sorento,2.2 CRDi,"124,034 km",2019,Diesel,,Suv,Gray,,147 kW (200 HP),Automatic,https://joautok.hu/hasznaltauto/kia/sorento/sorento-22-crdi-gt-line-4wd-automata-magyar-1-tulaj-vezetett-szervizkonyves-6/s9tswj7/
"15,089 EUR (5,990,000 HUF)",Hyundai,Ioniq,,"147,563 km",2018,Electric,,Sedan,,,104 kW (141 HP),Automatic,https://usedcars.leaseplan.com/hu-hu/hyundai-ioniq-hybrid/1501335-hu-hyundai-ioniqhybrid.html
"16,097 EUR (6,390,000 HUF)",Peugeot,3008,,"104,380 km",2020,Electric,,Crossover,,,96 kW (131 HP),,https://usedcars.leaseplan.com/hu-hu/peugeot-3008/1620983-hu-peugeot-3008.html
"36,777 EUR (14,599,000 HUF)",Citroen,C4,,"6,000 km",2024,Electric,,Hatchback,Green,Szeged,100 kW (136 HP),Automatic,https://hovany.hu/autok/citroen/c4-e-c4-50kwh-shine-afas-elektromos-tesztauto-kedvezmennyel/20243657
"33,187 EUR (13,174,000 HUF)",Hyundai,Tucson,1.6 T-GDi,1 km,2023,Petrol,,Suv,Gray,Budapest,110 kW (150 HP),Automatic,https://joautok.hu/hasznaltauto/hyundai/tucson/tucson-16-t-gdi-lp-mhev-prime-dct-raktarrolazonnal-tobb-szinben/utc2e93/
"31,150 EUR (12,365,200 HUF)",Citroen,C5 Aircross,1.2,135 km,2024,Petrol,,Suv,Blue,Szeged,100 kW (136 HP),Automatic,https://www.szalonauto.hu/szemelyauto/citroen/c5_aircross/citroen_c5_aircross_1.2_mhev_max_dct_magas_felszereltsegu_demo_auto_hatalmas_kedvezmennyel-20398143
"37,024 EUR (14,696,900 HUF)",Mazda,6,2.5,1 km,2024,Petrol,,Sedan,White,,143 kW (194 HP),Automatic,https://www.szalonauto.hu/szemelyauto/mazda/6/mazda_6_2.5i_skyactiv_homura_automata_navi_markekereskedesbol-20439459
"25,648 EUR (10,181,415 HUF)",Volkswagen,Golf,1.5 tsi,0 km,2024,Petrol,,Hatchback,White,Kisvárda,110 kW (150 HP),Manual,https://www.szalonauto.hu/szemelyauto/volkswagen/golf_viii/volkswagen_golf_viii_1.5_tsi_act_life_150_le_egyedi_extrafelszereltseg-20495273
"31,464 EUR (12,490,000 HUF)",Volvo,Xc60,,"80,033 km",2018,Petrol,,Crossover,Red,,184 kW (250 HP),Automatic,https://usedcars.leaseplan.com/hu-hu/volvo-xc60/1508804-hu-volvo-xc60.html
"33,100 EUR (13,139,500 HUF)",Citroen,Jumper,,420 km,2024,,,Van,,Szeged,200 kW (272 HP),Automatic,https://hovany.hu/autok/citroen/jumper-e-jumper-alvaz-szimplakabin-kivitelben-l3-es-l4-meretben-is-allami-tamogatassal/20328459
"11,311 EUR (4,490,000 HUF)",Kia,Soul,1.6,"95,434 km",2017,Petrol,,Mpv,,,97 kW (132 HP),Manual,https://joautok.hu/hasznaltauto/kia/soul/soul-16-gdi-lx-magyar-1-tulaj-vezetett-szervizkonyves-teli-nyari-kerekkel-1/sw2v3x5/
"4,909 EUR (1,949,000 HUF)",Seat,Leon,1.4 TSI,"173,221 km",2011,Petrol,,Hatchback,Silver,,92 kW (125 HP),Manual,https://joautok.hu/hasznaltauto/seat/leon/leon-14-tsi-reference-eu5-magyar-1-tulaj-vezetett-szervizkonyves-teli-nyari-gumi-garnituraval/ucxuu64/
"7,555 EUR (2,999,000 HUF)",Dacia,Sandero,1.0 SCe,"69,755 km",2019,Petrol,,Hatchback,Blue,Budakalász,54 kW (73 HP),Manual,https://joautok.hu/hasznaltauto/dacia/sandero/sandero-10-sce-arctic-mo-i-69e-km-navi-tolatoradar-es-kamera-sebvaltozar/0gk45jt/
"12,593 EUR (4,999,000 HUF)",Renault,Kadjar,1.5 dCi,"133,977 km",2016,Diesel,,Suv,Black,Budakalász,81 kW (110 HP),Manual,https://joautok.hu/hasznaltauto/renault/kadjar/kadjar-15-dci-energy-nightday-mo-i-133e-km-napfenyteto-teli-nyari-gumik-ulesfutes-e-h-radar-kamera/ksv3cgx/
