Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact
"389,900 EUR",Mercedes Benz,Gla-Class,,"83,820 km",2017,Diesel,Suv,Black,Kristianstad,280 kW (381 HP),Automatic,https://www.bytbil.com/skane-lan/personbil-gla-45-amg-4matic-381hk-panoramatak-nybes-9872-17309034
"9,546 EUR (109,000 SEK)",Volvo,V70,2.5,"239,900 km",2010,Petrol,Wagon,Black,Arboga,170 kW (231 HP),Automatic,https://www.bytbil.com/vastmanlands-lan/personbil-v70-2-5ft-231-hk-r-design-m-varmare-drag-4449-17611823
"369,000 EUR",Audi,Q7,3.0 TDI,"167,000 km",2015,Diesel,Suv,White,Halmstad,200 kW (272 HP),Automatic,https://www.bytbil.com/hallands-lan/personbil-q7-3-0-tdi-quattro-s-line-7-sits-panorama-drag-1892-17584195
"529,900 EUR",Bmw,M3,3.0 DCT,"119,000 km",2015,Petrol,Sedan,Black,Falkenberg,317 kW (431 HP),Automatic,https://www.bytbil.com/hallands-lan/personbil-m3-f80-dct-m-performance-carbon-580-plus-hk-8959-17308475
"379,000 EUR",Bmw,5 Series,,"141,000 km",2017,Petrol,Sedan,Black,Uddevalla,250 kW (340 HP),Automatic,https://www.bytbil.com/vastra-gotalands-lan/personbil-540-i-xdrive-g30-m-sport-340-448hk-svsald-unik-4719kr-m-11060-16869435
"6,998 EUR (79,900 SEK)",Škoda,Yeti,2.0 TDI,"160,000 km",2009,Diesel,Crossover,Brown,Eskilstuna,125 kW (170 HP),Manual,https://www.bytbil.com/sodermanlands-lan/personbil-yeti-2-0-tdi-4x4-nybes-nyservad-park-assist-170hk-102427-17556334
"49,485 EUR (565,000 SEK)",Mercedes Benz,Gls-Class,350,"122,510 km",2018,Diesel,Suv,Black,Bromma,190 kW (258 HP),Automatic,https://www.bytbil.com/stockholms-lan/personbil-gls-350-d-4matic-9g-tronic-euro-6-amg-8788-17523373
"7,873 EUR (89,900 SEK)",Ford,Mondeo,1.5,"163,290 km",2023,Diesel,Sedan,Black,Uppsala,120 kW (163 HP),Automatic,https://www.bytbil.com/uppsala-lan/personbil-mondeo-2-0-tdci-powershift-163hk-elstolar-varmare-100078-17501358
"15,318 EUR (174,900 SEK)",Mercedes Benz,Sl-Class,500,"138,000 km",2024,Petrol,Convertible,Silver,Arboga,225 kW (306 HP),Automatic,https://www.bytbil.com/vastmanlands-lan/personbil-sl-500-5g-tronic-306hk-elcab-nybesiktigad-4449-16982497
"388,900 EUR",Volvo,Xc60,2.0 RECHARGE T8,"138,300 km",2024,Hybrid,Crossover,Black,Are,223 kW (303 HP),Automatic,https://www.bytbil.com/stockholms-lan/personbil-xc60-recharge-t8-awd-r-design-pano-drag-voc-navi-moms-11518-17554456
"549,000 EUR",Volvo,V60,2.0 T8 AWD,"33,740 km",2024,Hybrid,Wagon,Black,Kungsbacka,233 kW (317 HP),Automatic,https://www.bytbil.com/hallands-lan/personbil-v60-recharge-t8-awd-405hk-polestar-engineered-8210-17484704
"36,777 EUR (419,900 SEK)",Tesla,Model S,electro,"116,000 km",2018,Electric,Sedan,Blue,Stockholm,386 kW (525 HP),Automatic,https://www.bytbil.com/stockholms-lan/personbil-model-s-100d-long-range-awd-autopilot-limited-edition-100110-17468117
"949,000 EUR",Bmw,M3,3.0,"34,550 km",2021,Petrol,Sedan,Black,Kungsbacka,375 kW (510 HP),Automatic,https://www.bytbil.com/hallands-lan/personbil-m3-competition-xdrive-510hk-kolfiber-laser-sv-sald-8210-17475613
"549,000 EUR",Volvo,V60,2.0 T8,180 km,2024,Hybrid,Wagon,Black,Kungsbacka,233 kW (317 HP),Automatic,https://www.bytbil.com/hallands-lan/personbil-v60-recharge-t8-polestar-engineered-bw-20-8210-17529300
"329,000 EUR",Volvo,V60 Cross Country,2.0,"64,990 km",2019,Diesel,Wagon,Black,Halmstad,140 kW (190 HP),Automatic,https://www.bytbil.com/hallands-lan/personbil-v60-cross-country-d4-awd-aut-momentum-hud-drag-1892-17609760
"8,311 EUR (94,900 SEK)",Volkswagen,Touran,1.6 TDI,"184,630 km",2011,Diesel,Mpv,White,Helsingborg,77 kW (105 HP),Automatic,https://www.bytbil.com/skane-lan/personbil-touran-1-6-tdi-7-sits-kamrembytt-navi-105hk-102446-17582422
"10,063 EUR (114,900 SEK)",Audi,A4 Allroad,3.0 TDI,"287,670 km",2013,Diesel,Crossover,Black,Kalmar,180 kW (245 HP),Automatic,https://www.bytbil.com/kalmar-lan/personbil-a4-allroad-quattro-3-0-tdi-v6-s-tronic-proline-102385-17539580
"11,815 EUR (134,900 SEK)",Mercedes Benz,E-Class,55 AMG,"112,330 km",2023,Petrol,Sedan,White,Boo,100 kW (136 HP),Manual,https://www.bytbil.com/stockholms-lan/personbil-e-200-cdi-136hk-classic-navigation-0-47l-mil-8389-17571611
"365,000 EUR",Mercedes Benz,C-Class,,"54,900 km",2020,Diesel,Sedan,Black,Kristianstad,143 kW (194 HP),Automatic,https://www.bytbil.com/skane-lan/personbil-c-220-d-9g-tronic-amg-pano-burmeister-360-eu6-4169-17510816
"184,800 EUR",Bmw,5 Series,530d,"176,670 km",2014,Diesel,Sedan,Black,Norrtälje,190 kW (258 HP),Automatic,https://www.bytbil.com/stockholms-lan/personbil-530-d-xdrive-skinn-drag-rattvarme-5-99-9336-17569598
"12,603 EUR (143,900 SEK)",Ford,Kuga,2.0 TDCi,"73,000 km",2013,Diesel,Suv,Black,Sala,103 kW (140 HP),Automatic,https://www.bytbil.com/vastmanlands-lan/personbil-kuga-2-0-tdci-awd-aut-drag-pano-nykambes-d-plus-var-7300mil-8362-17472295
"33,527 EUR (382,800 SEK)",Ford,Tourneo Custom,2.0,"68,450 km",2021,Diesel,Van,White,Stockholm,96 kW (131 HP),Manual,https://www.bytbil.com/stockholms-lan/personbil-tourneo-custom-l2-b-kamera-9-sits-sync-3-d-varmare-moms-9370-17309800
"18,384 EUR (209,900 SEK)",Volvo,Xc60,2.4 D5 AWD,"169,000 km",2014,Diesel,Crossover,Silver,Nybro,158 kW (215 HP),Automatic,https://www.bytbil.com/kalmar-lan/personbil-xc60-d5-awd-geartronic-summum-euro-5pano-b-kamer-drag-102350-17440384
"359,900 EUR",Volvo,S60,2.0 t5,"36,000 km",2022,Petrol,Sedan,Brown,Sigtuna,184 kW (250 HP),Automatic,https://www.bytbil.com/stockholms-lan/personbil-s60-t5-r-design-250hk-360-p-varm-hud-b-kam-kampanj-7926-17567305
"549,000 EUR",Land Rover,Range Rover,4.4 SDV8,"129,950 km",2024,Diesel,Suv,Black,Stockholm,250 kW (340 HP),Automatic,https://www.bytbil.com/stockholms-lan/personbil-range-rover-4-4-sdv8-autobiography-panorama-1ag-8127-17592818
"51,649 EUR (589,700 SEK)",Mercedes Benz,S-Class,500 4MATIC,"66,980 km",2015,Petrol,Sedan,White,Sollentuna,335 kW (456 HP),Automatic,https://www.bytbil.com/stockholms-lan/personbil-s-500-amg-4matic-digital-tv-panorama-obs-se-spec-3427-17506792
"199,900 EUR",Jeep,Compass,1.4,"125,000 km",2018,Petrol,Crossover,Black,Kungsbacka,125 kW (170 HP),Automatic,https://www.bytbil.com/vastra-gotalands-lan/personbil-compass-1-4-4wd-limited-panorama-navi-kamera-adaptiv-f-11230-17536639
"569,900 EUR",Bmw,X3,M40d,"121,730 km",2022,Diesel,Suv,White,Sigtuna,240 kW (326 HP),Automatic,https://www.bytbil.com/stockholms-lan/personbil-x3-m40d-drag-326hk-hk-360-kampanj-7926-17472237
"184,900 EUR",Bmw,4 Series,,"175,710 km",2015,Diesel,Sedan,Black,Kungälv,135 kW (184 HP),Automatic,https://www.bytbil.com/vastra-gotalands-lan/personbil-420-d-184hk-xdrive-auto-euro6-s-plus-v-hjul-8718-17201940
"10,939 EUR (124,900 SEK)",Mercedes Benz,Slk-Class,,"98,150 km",2005,Diesel,Convertible,Black,Hallstahammar,120 kW (163 HP),Automatic,https://www.bytbil.com/vastmanlands-lan/personbil-slk-automat-svensksald-9800mil-11005-17612087
"358,400 EUR",Volvo,V60,2.0 T8 AWD,"104,800 km",2024,Hybrid,Wagon,White,Are,223 kW (303 HP),Automatic,https://www.bytbil.com/stockholms-lan/personbil-v60-t8-awd-r-design-panorama-dragkrok-voc-varmare-moms-11518-17566882
"6,998 EUR (79,900 SEK)",Subaru,Legacy,2.0,"225,000 km",2024,Diesel,Wagon,Silver,Karlstad,110 kW (150 HP),Manual,https://www.bytbil.com/varmlands-lan/personbil-legacy-sport-2-0-4wd-euro-5-dragkrok-9574-17469963
"7,436 EUR (84,900 SEK)",Peugeot,508,2.2 HDi,"201,000 km",2013,Diesel,Sedan,Brown,Helsingborg,150 kW (204 HP),Automatic,https://www.bytbil.com/skane-lan/personbil-508-sw-2-2-hdi-fap-euro-5-nykamrem-nybes-nyservad-11242-17593990
"15,318 EUR (174,900 SEK)",Audi,Q7,3.0 TDI,"238,900 km",2011,Diesel,Suv,White,Karlstad,180 kW (245 HP),Automatic,https://www.bytbil.com/varmlands-lan/personbil-q7-3-0-tdi-v6-quattro-s-line-7-sits-245hk-pano-drag-8674-17498860
"14,442 EUR (164,900 SEK)",Audi,Q5,2.0 TDI Quattro DPF,"154,000 km",2012,Diesel,Suv,White,Nybro,130 kW (177 HP),Automatic,https://www.bytbil.com/kalmar-lan/personbil-q5-2-0-tdi-dpf-quattro-s-tronic-design-proline-euro-5-102350-17611265
"6,568 EUR (75,000 SEK)",Dacia,Lodgy,1.2 TCe,"79,000 km",2024,Petrol,Mpv,White,Stenungsund,85 kW (116 HP),Manual,https://www.bytbil.com/vastra-gotalands-lan/personbil-lodgy-1-2-tce-euro-5-lag-milare-10822-17608999
"544,500 EUR",Volvo,Xc90,2.0,"79,000 km",2019,Diesel,Suv,Black,Ljungby,173 kW (235 HP),Automatic,https://www.bytbil.com/kronobergs-lan/personbil-xc90-b5-awd-aut-geartronic-inscription-7-sits-euro-6-1023-17605529
"31,521 EUR (359,900 SEK)",Bmw,7 Series,730d,"111,140 km",2024,Diesel,Sedan,Black,Uppsala,195 kW (265 HP),Automatic,https://www.bytbil.com/uppsala-lan/personbil-730-d-265hk-navi-360-soft-close-utokatlader-20-hud-h-k-11576-17385321
"359,900 EUR",Kia,Stinger,3.3 T-GDi,"69,300 km",2017,Petrol,Sedan,White,Eskilstuna,272 kW (370 HP),Automatic,https://www.bytbil.com/sodermanlands-lan/personbil-stinger-gt-3-3-v6-t-gdi-awd-370-hk-facelift-3641-17371918
"359,900 EUR",Kia,Stinger,3.3 T-GDi,"48,500 km",2017,Petrol,Sedan,Black,Kungsbacka,272 kW (370 HP),Automatic,https://www.bytbil.com/vastra-gotalands-lan/personbil-stinger-gt-3-3-v6-t-gdi-awd-steg-2-borla-system-410hk-11230-17612163
"9,625 EUR (109,900 SEK)",Seat,Leon,1.4 TSI,"163,000 km",2013,Petrol,Hatchback,White,Kalmar,103 kW (140 HP),Manual,https://www.bytbil.com/kalmar-lan/personbil-leon-fr-1-4-tsi-140-hk-navi-pdc-valservad-102352-17333732
"70,059 EUR (799,900 SEK)",Lexus,Rx,450h,"3,050 km",2022,Hybrid,Suv,Silver,Uppsala,136 kW (185 HP),Automatic,https://www.bytbil.com/uppsala-lan/personbil-rx-450h-plus-executive-plug-inkampanj-10564-17425756
"14,442 EUR (164,900 SEK)",Volvo,Xc60,2.4 D5 AWD,"285,000 km",2013,Diesel,Crossover,White,Karlstad,158 kW (215 HP),Automatic,https://www.bytbil.com/varmlands-lan/personbil-xc60-d5-awd-geartronic-summum-panorama-euro-5-7620-17602282
"374,800 EUR",Volvo,Xc90,2.0 T8,"183,390 km",2024,Hybrid,Suv,Black,Uppsala,235 kW (320 HP),Automatic,https://www.bytbil.com/uppsala-lan/personbil-xc90-t8-twen-awd-r-design-pano-bw-varmare-102182-17554829
"559,000 EUR",Volvo,Xc90,2.0 T8,"102,740 km",2019,Hybrid,Suv,White,Helsingborg,223 kW (303 HP),Automatic,https://www.bytbil.com/skane-lan/personbil-xc90-recharge-t8-awd-i-r-design-i-panorama-i-se-spec-102522-17536615
"49,039 EUR (559,900 SEK)",Lexus,Rx,450h,"28,700 km",2022,Petrol,Suv,Black,Uppsala,193 kW (262 HP),Automatic,https://www.bytbil.com/uppsala-lan/personbil-rx-450h-awd-sport-editionkampanj-10564-17473897
"599,900 EUR",Volvo,Xc90,2.0 D5 AWD,"124,250 km",2024,Diesel,Suv,Blue,Knivsta,177 kW (241 HP),Automatic,https://www.bytbil.com/stockholms-lan/personbil-xc90-d5-polestar-awd-superdeal-6-95-r-design-se-spec-6759-17296098
"15,318 EUR (174,893 SEK)",Volvo,Xc70,1.6,"175,000 km",2023,Diesel,Crossover,Black,Sigtuna,120 kW (163 HP),Automatic,https://www.bytbil.com/stockholms-lan/personbil-xc70-d4-awd-momentum-aut-taklucka-kamrem-bytt-kampanj-7926-17568826
"599,900 EUR",Volvo,Xc90,2.0 T8,"103,750 km",2024,Hybrid,Suv,Black,Karlskoga,223 kW (303 HP),Automatic,https://www.bytbil.com/orebro-lan/personbil-xc90-recharge-t8-awd-r-design-7-sits-ferrita-1-agare-100149-17603082
