Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Price(EUR),Mileage(km),kW,Emission standard,Country
Bmw,8 Series,830ci,2021,Petrol,Coupe,Black,Genk,Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/bmw/840/bmw-840-2021-vente-526112?,65750,63998,248.0,6,Belgium
Audi,Rs6,4.0 TFSI Quattro TipTronic,2018,Petrol,Wagon,Black,Brugge,Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/audi/rs6/audi-rs6-2018-vente-512415?,64990,97702,417.0,6,Belgium
Ford,Kuga,1.5,2022,Petrol,Suv,Gray,Vilvoorde,Manual,https://www.autogids.be/detail-id--9464157--ford-st-line-x-full-option-led-demo-wagen/tweedehands.html,36990,3975,111.0,6,Belgium
Hyundai,Tucson,1.6 GDi,2024,Petrol,Suv,Green,Hamme,Automatic,https://www.vroom.be/fr/voitures-neuves/hyundai-tucson-essence-0517500/,37098,4,111.0,6,Belgium
Bmw,X5,40i,2019,Petrol,Suv,Black,Kuurne,Automatic,https://www.autogids.be/detail-id--9451134--bmw-3-0as-xdrive40i-m-sport-pano-dak-head-up/tweedehands.html,49995,75000,253.0,6,Belgium
Audi,A6,2.0 TDI,2022,Diesel,Wagon,Black,Tournai,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a6-diesel-0229366/,59490,39990,121.0,6,Belgium
Audi,Q3,1.5,2023,Petrol,Crossover,Black,Antwerpen,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-q3-essence-0554771/,43999,5614,111.0,6,Belgium
Audi,Q3,2.0,2022,Diesel,Crossover,Gray,Tienen,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-q3-diesel-0545946/,44990,9486,111.0,6,Belgium
Audi,Q3,1.4,2021,Petrol,Crossover,Blue,Blegny,Automatic,https://www.autogids.be/detail-id--9529952--audi-36355-euro-htva-hybride-s-line-deductible-100/tweedehands.html,43990,5717,180.0,6,Belgium
Opel,Mokka,1.2,2021,Petrol,Crossover,Gray,Diksmuide,Manual,https://www.vroom.be/fr/voitures-occasion/opel-mokka-essence-0402354/,19950,28243,75.0,6,Belgium
Peugeot,5008,1.2,2018,Petrol,Mpv,Blue,Wevelgem,Manual,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/peugeot/5008/peugeot-5008-2018-vente-559824?,21490,46001,96.0,6,Belgium
Kia,Ceed,1.4,2020,Petrol,Hatchback,Gray,Kuurne,Automatic,https://www.vroom.be/fr/voitures-occasion/kia-ceed-sw-ceed-sw-essence-0563092/,21990,32501,104.0,6,Belgium
Volvo,S90,2.0,1969,Petrol,Sedan,Black,Antwerpen,Automatic,https://www.vroom.be/fr/voitures-occasion/volvo-s90-essence-0558735/,64950,11600,340.0,1,Belgium
Ford,S-Max,2.0,2023,Diesel,Mpv,Black,Rotselaar,Automatic,https://www.autogids.be/detail-id--9468561--ford-st-line-190pk-automaat-full-option/tweedehands.html,39770,25681,141.0,6,Belgium
Audi,Q3,1.5 35 TFSI,2019,Petrol,Crossover,White,Overpelt,Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/audi/q3/audi-q3-2019-vente-554658?,29990,49443,111.0,6,Belgium
Volkswagen,Tiguan,1.4 TSI,2018,Petrol,Crossover,Gray,Brugge,Manual,https://www.autogids.be/detail-id--9479966--volkswagen-1-4-tsi-trendline-airco-panodak-alu-17-m/tweedehands.html,18995,97971,93.0,6,Belgium
Ford,Kuga,2.0 TDCi,2017,Diesel,Suv,Gray,Herstal,Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/ford/kuga/ford-kuga-2017-vente-561335?,17490,97742,111.0,6,Belgium
Peugeot,Rcz,1.6 THP,2015,Petrol,Coupe,Black,Halen,Manual,https://www.autogids.be/detail-id--9564609--peugeot-speciale-r-versie-met-270-pk-limited-edition/tweedehands.html,25900,85564,201.0,6,Belgium
Volkswagen,Polo,1.0 tsi,2019,Petrol,Hatchback,Gray,Genk,Manual,https://www.autogids.be/detail-id--9516254--volkswagen-1-0-tsi-highline-pano-dak-navi-cam-19000km/tweedehands.html,17900,19000,70.0,6,Belgium
Audi,Sq7,4.0,2022,Diesel,Suv,Black,Turnhout,Automatic,https://www.vroom.be/fr/voitures-neuves/audi-sq7-essence-0549784/,114890,611,378.0,6,Belgium
Volvo,Xc60,2.0,2022,Petrol,Crossover,White,Zottegem,Automatic,https://www.vroom.be/fr/voitures-occasion/volvo-xc60-essence-0553406/,54950,29675,188.0,6,Belgium
Volkswagen,Passat,2.0,2022,Diesel,Wagon,Blue,Tienen,Automatic,https://www.vroom.be/fr/voitures-occasion/volkswagen-passat-diesel-0558906/,37990,50127,149.0,6,Belgium
Cupra,Formentor,1.5 tsi,2022,Petrol,Crossover,Gray,Nazareth,Automatic,https://www.vroom.be/fr/voitures-occasion/cupra-formentor-essence-0564541/,28970,30586,111.0,6,Belgium
Mazda,3,2.0,2020,Petrol,Hatchback,Red,Zaventem,Manual,https://www.autogids.be/detail-id--9479425--mazda-skycruise-2-0i-skyactiv-x-180-pk-6v/tweedehands.html,20990,46705,134.0,6,Belgium
Volkswagen,Tiguan,1.5 tsi,2022,Petrol,Crossover,Black,Halle,Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/volkswagen/tiguan/volkswagen-tiguan-2022-vente-560179?,38999,1054,111.0,6,Belgium
Volkswagen,T-Roc,1.5,2020,Petrol,Convertible,Red,Zaventem,Automatic,https://www.vroom.be/fr/voitures-occasion/volkswagen-t-roc-essence-0566863/,29490,23657,111.0,6,Belgium
Audi,A4,2.0,2023,Petrol,Wagon,Gray,Tongeren,Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/audi/a4/audi-a4-2023-vente-532562?,43990,12700,111.0,6,Belgium
Mazda,Cx-5,2.0,2023,Petrol,Crossover,White,Sint Truiden,Automatic,https://www.vroom.be/fr/voitures-occasion/mazda-cx-5-essence-0555846/,34950,6496,123.0,6,Belgium
Audi,Q3,1.4,2017,Petrol,Crossover,Black,Brugge,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-q3-essence-0563047/,20995,99248,111.0,6,Belgium
