Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Emission standard,Price(EUR),Mileage(km),kW,Country
Ford,Focus,1.0 st,2018,Petrol,Wagon,Blue,Nijkerk,Manual,https://www.autokopen.nl/tweedehands-auto/ford/focus/9201879-ford-focus-wagon-10-st-line-nl-auto-airco-lmv-navi,6,15900,81155,93.0,Netherlands
Suzuki,Swift,1.2,2019,Petrol,Hatchback,Gray,Venlo,Manual,https://www.limburgmobiel.nl/tweedehands-auto/suzuki/swift-12-90-pk-select-nl-autonavigatie-via-apple-carplay-android-autocameraaircostoelverwarminglm-velgen/18817446,6,12680,88561,67.0,Netherlands
Audi,A3,1.0 TFSI,2017,Petrol,Sedan,Black,Bathmen,Manual,https://www.viabovag.nl/auto/aanbod/audi-a3-limousine-10-115pk-tfsi-sport-edition-led-dyn-18-inch-navi-bovag-garantie-o7i7os9,6,17945,114040,86.0,Netherlands
Renault,Clio,1.0 tce,2023,Petrol,Hatchback,Black,Tilburg,Manual,https://www.nederlandmobiel.nl/tweedehands-auto/renault/clio-10-tce-90-evolution-climate-control-full-map-navigatie-privacy-glass-pdc-achter-keyless-16-lmv-apple-carplay-en-android-auto/18686616,6,19740,27461,67.0,Netherlands
Citroen,C3,1.2 puretech,2016,Petrol,Hatchback,Red,Middelburg,Automatic,https://www.zeelandnet.nl/prikbord/citroen-c3-12-puretech-selection-city-pack-trekhaak-afneembaar-navigatie-park-sensor-cruise-climate-control-elek-ramen-spiegels-rijklaarprijs/a/6473025,6,11745,24927,61.0,Netherlands
Renault,Clio,1.0 tce,2023,Petrol,Hatchback,Black,Sittard,Manual,https://www.hedinautomotive.nl/occasion/p/52946575/renault-clio-1-0-tce-90-techno-pack-navigation-techno,6,23740,4200,132.0,Netherlands
Renault,Clio,1.0 tce,2022,Petrol,Hatchback,Silver,Tilburg,Manual,https://www.marktplaats.nl/v/auto-s/renault/m2090572735-renault-clio-1-0-tce-90-evolution-navigatie-camera-lm,6,18740,8043,67.0,Netherlands
Bmw,X3,xDrive20i,2018,Petrol,Suv,Silver,Stolwijk,Automatic,https://www.autotrader.nl/auto/voertuig/bmw-x3-xdrive20i-m-sport-dealer-oh-panorama-head-up-benzine/4f07820f-17ea-4688-8462-7e985afe9ed7/,6,32445,170086,137.0,Netherlands
Ds Automobiles,Ds3,1.2 puretech,2016,Petrol,Convertible,Black,Apeldoorn,Automatic,https://www.nederlandmobiel.nl/tweedehands-auto/ds/ds-3-cabrio-12-puretech-so-chic-automaat-leer-navi-stoelverw/18185521,6,12900,198213,82.0,Netherlands
Peugeot,208,1.2 puretech,2018,Petrol,Hatchback,Silver,Apeldoorn,Automatic,https://www.marktplaats.nl/v/auto-s/peugeot/m2085013320-peugeot-208-1-2-puretech-gt-line-clima-cruise-navi-camera,6,13900,38001,82.0,Netherlands
Audi,A3,1.2 s tfsi,2011,Petrol,Convertible,Silver,Helmond,Automatic,https://www.autotrader.nl/auto/voertuig/audi-a3-cabriolet-12-tfsi-ambition-pro-line-s-s-line-benzine/d7749bc3-f62b-4ca2-828c-778e0dfde977/,5,13450,97890,78.0,Netherlands
Škoda,Octavia,1.0 tsi,2021,Petrol,Wagon,Black,Stolwijk,Automatic,https://www.autotrader.nl/auto/voertuig/skoda-octavia-combi-10-e-tsi-business-edition-plus-aut-virtua-benzine/aac53965-f70c-4520-898d-366b6e9b4d2c/,6,17845,167720,82.0,Netherlands
Peugeot,3008,1.6 VTi,2011,Petrol,Crossover,Black,Emmen,Manual,https://www.marktplaats.nl/v/auto-s/peugeot/m2073927234-peugeot-3008-1-6-vti-st-panoramadak-navigatie-climate-cont,5,5695,133351,89.0,Netherlands
Toyota,Aygo,1.0,2009,Petrol,Mini,Blue,Emmen,Manual,https://autovooru.nl/toyota-aygo~15b-317-3b5f6b.html,5,2895,169326,50.0,Netherlands
Peugeot,308,1.2 puretech,2020,Petrol,Wagon,White,Stadskanaal,Manual,https://www.marktplaats.nl/v/auto-s/peugeot/m2087603105-peugeot-308-sw-1-2-puretech-blue-lease-allure-ac-cruise-navi,6,14499,84509,82.0,Netherlands
Peugeot,308,1.2 puretech,2020,Petrol,Wagon,Blue,Stadskanaal,Manual,https://www.nederlandmobiel.nl/tweedehands-auto/peugeot/308-sw-12-puretech-bleu-lease-executive-panoramadak/18506267,6,14499,84111,82.0,Netherlands
Toyota,Aygo,1.0,2009,Petrol,Mini,Blue,Vlissingen,Manual,https://www.zeelandnet.nl/prikbord/toyota-aygo-10-12v-dynamic-blue-1ste-eigenaar-dealer-onderhouden/a/6507985,5,6499,41219,50.0,Netherlands
Opel,Corsa,1.2,2022,Petrol,Van,Black,Hardenberg,Manual,https://autovooru.nl/opel-corsa~138-409-3c832b.html,6,16850,40672,76.0,Netherlands
Renault,Clio,1.0 tce,2021,Petrol,Hatchback,Black,Nuenen,Manual,https://www.nederlandmobiel.nl/tweedehands-auto/renault/clio-10-tce-zen/18835126,6,14245,59190,132.0,Netherlands
Nissan,Leaf,40 kWh,2018,Electric,Hatchback,Black,Roosendaal,Automatic,https://www.zeelandnet.nl/prikbord/nissan-leaf-2zero-edition-40-kwh-subsidie-mogelijk-navigatie-360-camera-adapt-cruise-control-apple-carplayandroid-auto-dodehoek-keyless-entry-stuur-stoelverwarming-rijklaarprijs/a/6478249,6,17750,80406,111.0,Netherlands
Hyundai,I20,1.2,2017,Petrol,Hatchback,Black,Voerendaal,Automatic,https://www.autotrader.nl/auto/voertuig/hyundai-i20-12-hp-yes-2017-stoelverwarming-1e-eigenaar-benzine/e37ec3b8-7a02-4a32-a81e-737203c78664/,6,11790,87117,62.0,Netherlands
Opel,Astra,1.2,2021,Petrol,Sedan,Gray,Nuenen,Manual,https://www.limburgmobiel.nl/tweedehands-auto/opel/astra-12t-145pk-business-edition-l-navi-l-climatic-l-lichtmetaal-l-dab-radio/18817294,6,16250,57882,132.0,Netherlands
Bmw,3 Series,316d,2011,Diesel,Sedan,Black,Apeldoorn,Automatic,https://www.eurostocks.com/nl/voertuigen/autos/sedan/vehicle/2370115/bmw-316-316d-executive-xenon-cruise-lmv-clima,5,9900,137787,86.0,Netherlands
Peugeot,308,1.2 vti,2015,Petrol,Hatchback,Blue,Nuenen,Manual,https://www.limburgmobiel.nl/tweedehands-auto/peugeot/308-12t-110pk-blue-lease-premium-l-navi-l-panoramadak-l-led-koplampen/18817399,6,10350,104308,82.0,Netherlands
Mercedes Benz,C-Class,63 AMG S,2016,Petrol,Sedan,Silver,Tilburg,Automatic,https://www.viabovag.nl/auto/aanbod/mercedes-benz-c-klasse-63-amg-s-edition-1-510pk-magno-brabus-21-downpipe-burmester-sfeer-assis-plus-12-mnd-garantie-m0ct6b5,6,44980,178593,380.0,Netherlands
Audi,A1,1.2 TFSI,2013,Petrol,Mini,Red,Sittard,Manual,https://www.autotrader.nl/auto/voertuig/audi-a1-sportback-12-tfsi-admired-nav-ecc-pdc-s-lin-benzine/e6b37b5e-6f8c-4ab1-b24a-a3b1506d5264/,5,13595,50799,132.0,Netherlands
Škoda,Octavia,1.2 TSI,2012,Petrol,Wagon,Silver,Wierden,Manual,https://www.autotrader.nl/auto/voertuig/skoda-octavia-combi-12-tsi-ambition-airco-trekhaak-benzine/1dbf0255-b8f3-4b75-a4e5-4854fec11ebc/,5,3699,296358,78.0,Netherlands
Volkswagen,Golf,2.0 GTI,2014,Electric,Sedan,Silver,Emmen,Automatic,https://www.marktplaats.nl/v/auto-s/volkswagen/m2089768060-volkswagen-golf-2-0-tsi-gti-performance-dsg-ecc-navigatie-cr,6,18940,142547,171.0,Netherlands
Bmw,X1,sDrive18i,2010,Petrol,Suv,Black,Ochten,Automatic,https://www.eurostocks.com/nl/voertuigen/autos/suv-off-road-pick-up/vehicle/2551319/bmw-x1-sdrive18i-150-pk-aut-tasman-green-leder-sportstoelen-trekhaak,5,14750,141171,111.0,Netherlands
Opel,Corsa,1.2,2021,Petrol,Van,Black,Helmond,Automatic,https://www.marktplaats.nl/v/auto-s/opel/m2086722742-opel-corsa-1-2-elegance-cruise-climate-camera-info-b,6,17445,56745,55.0,Netherlands
