Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact,Euro norm
"56,999 EUR",Hyundai,Ioniq 6,,"6,993 km",2023,Electric,Sedan,Gray,Roeselare,170 kW (231 HP),Automatic,https://www.autogids.be/detail-id--9484543--hyundai-77-kwh-balance-sunroof-18/tweedehands.html,
"81,250 EUR",Land Rover,Defender,3.0,"36,406 km",2021,Diesel,Suv,Bronse,Kalmthout,185 kW (252 HP),Automatic,https://www.autogids.be/detail-id--9500305--land-rover-110-3-0-d250-7-plaatsen/tweedehands.html,6
"22,990 EUR",Mercedes Benz,C-Class,250 D,"153,255 km",2014,Diesel,Wagon,Black,Zwevegem,152 kW (207 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/mercedes-benz-c-250-diesel-0492873/,6
"26,950 EUR",Jaguar,F-Pace,2.0,"82,298 km",2018,Diesel,Crossover,Black,Turnhout,133 kW (181 HP),Automatic,https://www.autogids.be/detail-id--9500216--jaguar-2-0-r-sport-awd-20d-navi-airco-cam-verw-zetel/tweedehands.html,
"28,990 EUR",Peugeot,508,1.6,"54,503 km",2021,Petrol,Sedan,Gray,Turnhout,167 kW (227 HP),Automatic,https://www.autogids.be/detail-id--8941790--peugeot-1-6benz-225pk-at8-gt-pack-dodehoek-camera-elekt/tweedehands.html,6
"64,990 EUR",Land Rover,Defender,2.0,"46,032 km",2020,Diesel,Suv,Bronse,Halen,178 kW (242 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/land-rover-defender-diesel-0511134/,6
"22,990 EUR",Audi,A1,1.0 25 TFSI,"40,949 km",2022,Petrol,Mini,Gray,Overpelt,70 kW (95 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a1-essence-0558197/,6
"28,500 EUR",Audi,A1,1.0 25 TFSI,"24,571 km",2022,Petrol,Mini,Black,Tongeren,70 kW (95 HP),Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/audi/a1/audi-a1-2022-vente-558388?,6
"39,999 EUR",Porsche,Macan,3.0,"69,789 km",2017,Diesel,Suv,Gray,Andenne,157 kW (214 HP),Automatic,https://www.autogids.be/detail-id--9530601--porsche-s-diesel-3-0-v6-bi-turbo-s-pdk/tweedehands.html,6
"44,995 EUR",Porsche,Macan,3.0,"65,652 km",2017,Petrol,Suv,Black,Brugge,253 kW (344 HP),Automatic,https://www.autogids.be/detail-id--9556010--porsche-s-3-0-led-volleder-panodak-adaptive-cruise/tweedehands.html,6
"79,990 EUR",Audi,Q8,3.0,"33,996 km",2022,Diesel,Suv,White,Hasselt,344 kW (468 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-q8-none-0379819/,6
"24,500 EUR",Audi,A1,1.0 30 TFSI,"30,471 km",2020,Petrol,Mini,Black,Genk,86 kW (117 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a1-essence-0524609/,6
"61,995 EUR",Land Rover,Range Rover,3.0,"89,281 km",2018,Diesel,Suv,Black,Brugge,192 kW (261 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/land-rover-range-rover-diesel-0538421/,6
"35,749 EUR",Hyundai,Tucson,1.6 GDi,5 km,2024,Petrol,Suv,Blue,Hamme,111 kW (151 HP),Automatic,https://www.autogids.be/detail-id--9464624--hyundai-shine-48v-stock-automaat/tweedehands.html,6
"38,995 EUR",Bmw,X6,,"86,905 km",2017,Diesel,Suv,Gray,Brugge,157 kW (214 HP),Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/bmw/x6/bmw-x6-vente-553103?,
"24,990 EUR",Audi,Q2,2.0,"77,800 km",2020,Diesel,Crossover,Gray,Oostkamp,150 kW (204 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-q2-diesel-0556156/,6
"44,990 EUR",Audi,A5,2.0 40 TDI,"28,427 km",2023,Diesel,Sedan,Black,Tongeren,152 kW (207 HP),Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/audi/a5/audi-a5-2023-vente-528556?,6
"45,500 EUR",Audi,A5,2.0 40 TDI,"27,356 km",2023,Diesel,Sedan,Black,Hasselt,152 kW (207 HP),Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/audi/a5/audi-a5-2023-vente-558406?,6
"37,995 EUR",Bmw,X5,,"94,943 km",2018,Diesel,Suv,White,Brugge,192 kW (261 HP),Automatic,https://www.autogids.be/detail-id--9543784--bmw-3-0das-xdrive-m-pack-panodak-led-navi-keyl/tweedehands.html,6
"21,490 EUR",Hyundai,Tucson,1.6 T-GDi,"78,252 km",2019,Petrol,Suv,Gray,Kuurne,131 kW (178 HP),Manual,https://www.autogids.be/detail-id--9376969--hyundai-1-6-t-gdi-shine-leder-360camera-panodak/tweedehands.html,6
"33,990 EUR",Cupra,Formentor,1.5,10 km,2024,Petrol,Crossover,Black,Genk,111 kW (151 HP),Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/cupra/formentor/cupra-formentor-2024-vente-521421?,6
"47,782 EUR",Volvo,Xc60,2.0,"21,262 km",2022,Petrol,Crossover,Black,Rotselaar,146 kW (199 HP),Manual,https://www.autogids.be/detail-id--9550922--volvo-r-design-b4-mhev-automaat/tweedehands.html,8
"75,900 EUR",Audi,Rs4,2.9,"26,800 km",2019,Petrol,Wagon,Gray,Brugge,450 kW (612 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-rs4-essence-0523071/,6
"39,790 EUR",Mazda,Cx-5,2.0,"5,000 km",1998,Petrol,Crossover,Black,Halen,123 kW (167 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/mazda-cx-5-essence-0527101/,6
"45,500 EUR",Audi,A4,2.0,"16,500 km",2023,Petrol,Wagon,Black,Genk,152 kW (207 HP),Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/audi/a4/audi-a4-2023-vente-563215?,6
"28,999 EUR",Nissan,Qashqai,1.3,"18,850 km",2022,Petrol,Crossover,Blue,Keerbergen,104 kW (141 HP),Manual,https://www.autogids.be/detail-id--9456276--nissan-tekna-2wd-mild-hybrid-140-cold-pack-design-pac/tweedehands.html,8
"92,950 EUR",Bmw,X7,40d xDrive,"35,551 km",2023,Diesel,Suv,Black,Kortrijk,253 kW (344 HP),Automatic,https://www.autogids.be/detail-id--9531239--bmw-xdrive-40d-m-sport-7-zit-sky-lounge-harmank/tweedehands.html,8
"78,900 EUR",Bmw,X5,,"9,651 km",2021,Diesel,Suv,Black,Groot Bijgaarden,213 kW (290 HP),Automatic,https://www.autogids.be/detail-id--9520674--bmw-xdr-30d-pano-headup-laser/tweedehands.html,6
"29,999 EUR",Nissan,X-Trail,1.3,"66,435 km",2021,Petrol,Suv,Bronse,Keerbergen,119 kW (162 HP),Automatic,https://www.autogids.be/detail-id--9553934--nissan-tekna-dig-t160pk-dct-tan-leather/tweedehands.html,6
"129,999 EUR",Porsche,Taycan,4S,"16,705 km",2021,Electric,Sedan,Black,Houthalen Helchteren,425 kW (578 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/porsche-taycan-electrique-0327545/,6
"129,995 EUR",Porsche,911,3.0,"17,701 km",2019,Petrol,Coupe,Black,Kuurne,335 kW (456 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/porsche-911-essence-0516275/,
"28,850 EUR",Bmw,4 Series,,"65,240 km",2019,Diesel,Coupe,Black,Hasselt,121 kW (165 HP),Automatic,https://www.autogids.be/detail-id--9454715--bmw-da-adblue-coupe-luxury-pack-business/tweedehands.html,6
"23,000 EUR",Hyundai,Ioniq,,"25,353 km",2020,Electric,Sedan,Gray,Hamme,101 kW (137 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/hyundai-ioniq-electrique-0519289/,6
