Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Emission standard,Price(EUR),Mileage(km),kW,Country
Volkswagen,Tiguan,2.0 TDI 4Motion,2021,Diesel,Crossover,Blue,El Prat De Llobregat,Automatic,https://coches.km77.com/volkswagen/tiguan/en-barcelona/2310312/se-vende-volkswagen-tiguan-rline-20-tdi-150cv-4motion-dsg-2021-36900-eur,6,36900,44000,111.0,Spain
Mercedes Benz,Slk-Class,55 AMG,2006,Petrol,Convertible,Black,Madrid,Automatic,https://coches.km77.com/mercedes-benz/slk/en-madrid/2360955/se-vende-mercedes-benz-slk-slk-55-amg-360cv-2006-30500-eur,4,30500,125440,360.0,Spain
Kia,Niro,1.6,2021,Electric,Suv,Black,Torrejón De Ardoz,Automatic,https://coches.km77.com/kia/niro/en-asturias/2361956/se-vende-kia-niro-concept-2021-21890-eur,6,21890,59826,140.0,Spain
Bmw,X2,sDrive20i,2020,Petrol,Suv,Gray,Pontevedra,Automatic,https://coches.km77.com/bmw/x2/en-barcelona/2337269/se-vende-bmw-x2-xdrive20i-auto-2020-32990-eur,6,32990,37352,228.0,Spain
Hyundai,I10,1.0,2023,Petrol,Mini,Red,Alcalá De Henares,Manual,https://coches.km77.com/hyundai/i10/en-barcelona/2403519/se-vende-hyundai-i10-10-klass-5p-2023-15000-eur,6,15000,8449,49.0,Spain
Hyundai,Tucson,1.6 CRDi,2019,Diesel,Suv,Black,Barcelona,Manual,https://coches.km77.com/hyundai/tucson/en-barcelona/2294967/se-vende-hyundai-tucson-16-crdi-100kw-48v-n-line-2wd-5p-2019-29900-eur,6,29900,26315,101.0,Spain
Jeep,Renegade,1.6 Limited,2022,Diesel,Crossover,Black,Valladolid,Manual,https://coches.km77.com/jeep/renegade/en-ciudad-real/2347699/se-vende-jeep-renegade-limited-16-mjet-956kw-130cv-4x2-2022-19990-eur,6,19990,19995,130.0,Spain
Ford,Kuga,2.0 TDCi,2009,Diesel,Suv,Brown,El Prat De Llobregat,Manual,https://coches.km77.com/ford/kuga/en-barcelona/2294048/se-vende-ford-kuga-20-tdci-140cv-con-techo-panoramico-y-cuero-completo-2009-10900-eur,5,10900,126000,140.0,Spain
Bmw,X3,sDrive18d,2019,Diesel,Suv,Blue,Lugo,Automatic,https://coches.km77.com/bmw/x3/en-coruna/2391287/se-vende-bmw-x3-sdrive18d-2019-29999-eur,6,29999,88735,243.0,Spain
Bmw,X3,M40d,2019,Diesel,Suv,White,Sevilla,Automatic,https://coches.km77.com/bmw/x3/en-cadiz/2347208/se-vende-bmw-x3-sdrive18d-2019-32800-eur,6,32800,52545,243.0,Spain
Peugeot,308,1.5 bluehdi,2021,Electric,Wagon,Gray,Lugo,Manual,https://coches.km77.com/peugeot/308/en-coruna/2401197/se-vende-peugeot-308-sw-active-pack-bluehdi-130-ss-2021-18990-eur,6,18990,74684,96.0,Spain
Bmw,4 Series,420d,2017,Diesel,Convertible,Red,Madrid,Automatic,https://coches.km77.com/bmw/4-series/en-madrid/2303957/se-vende-bmw-4-series-420d-automatica-2017-28990-eur,6,28990,94009,141.0,Spain
Nissan,Micra,1.0,2021,Petrol,Mini,Silver,Sabadell,Manual,https://coches.km77.com/nissan/micra/en-barcelona/2403084/se-vende-nissan-micra-ig-t-68-kw-92-cv-e6d-f-n-design-black-2021-14900-eur,6,14900,24303,92.0,Spain
Nissan,Micra,1.0,2021,Petrol,Mini,Red,Sabadell,Automatic,https://coches.km77.com/nissan/micra/en-barcelona/2397854/se-vende-nissan-micra-ig-t-74-kw-100-cv-e6d-cvt-n-connecta-2021-16900-eur,6,16900,11000,100.0,Spain
Ford,Ecosport,1.0 EcoBoost,2019,Petrol,Suv,Blue,Madrid,Manual,https://coches.km77.com/ford/ecosport/en-madrid/2356982/se-vende-ford-ecosport-10t-ecoboost-92kw-125cv-ss-st-line-2019-19490-eur,6,19490,53149,125.0,Spain
Seat,Ateca,1.5 tsi,2019,Petrol,Suv,White,San Sebastián De Los Reyes,Automatic,https://coches.km77.com/seat/ateca/en-madrid/2356953/se-vende-seat-ateca-15-tsi-110kw-150cv-dsg-stsp-style-2019-19990-eur,6,19990,64847,150.0,Spain
Nissan,Qashqai,1.3 DIG-T,2023,Hybrid,Crossover,Black,Sabadell,Manual,https://coches.km77.com/nissan/qashqai/en-barcelona/2403101/se-vende-nissan-qashqai-dig-t-103kw-140cv-mhev-4x2-tekna-2023-30500-eur,6,30500,10237,140.0,Spain
Ford,Puma,1.0 EcoBoost,2021,Petrol,Crossover,Black,Ademuz,Manual,https://coches.km77.com/ford/puma/en-madrid/2350041/se-vende-ford-puma-10-ecoboost-92kw-125cv-titanium-2021-15950-eur,6,15950,86000,125.0,Spain
Opel,Adam,1.2,2017,Petrol,Mini,Gray,Pontevedra,Manual,https://coches.km77.com/opel/adam/en-pontevedra/2371166/se-vende-opel-adam-12-xel-jam-2017-12900-eur,6,12900,113319,69.0,Spain
Cupra,Formentor,1.5 tsi,2022,Petrol,Crossover,Gray,Sabadell,Automatic,https://coches.km77.com/cupra/formentor/en-barcelona/2318043/se-vende-cupra-formentor-15-tsi-110kw-150-cv-dsg-2022-29900-eur,6,29900,8329,111.0,Spain
Citroen,C4 Cactus,1.2,2020,Petrol,Hatchback,White,Lugo,Manual,https://coches.km77.com/citroen/c4-cactus/en-coruna/2391391/se-vende-citroen-c4-cactus-puretech-110-ss-feel-2020-17990-eur,6,17990,46414,82.0,Spain
Audi,Q7,3.0,2012,Diesel,Suv,Blue,Parla,Semi Automatic,https://coches.km77.com/audi/q7/en-madrid/2382161/se-vende-audi-q7-30-tdi-204cv-quattro-tiptronic-advance-2012-21450-eur,5,21450,231355,204.0,Spain
Mercedes Benz,Gla-Class,180,2020,Petrol,Suv,Black,Lugo,Automatic,https://coches.km77.com/mercedes-benz/gla/en-coruna/2351702/se-vende-mercedes-benz-gla-gla-180-2020-30900-eur,6,30900,73435,101.0,Spain
Mercedes Benz,Gla-Class,200,2020,Petrol,Suv,Gray,Lugo,Automatic,https://coches.km77.com/mercedes-benz/gla/en-coruna/2401156/se-vende-mercedes-benz-gla-gla-200-2020-45900-eur,6,45900,45625,121.0,Spain
Renault,Clio,1.5 dCi,2019,Diesel,Wagon,White,Torrejón De Ardoz,Automatic,https://coches.km77.com/renault/clio/en-madrid/2400622/se-vende-renault-clio-sport-tourer-15dci-energy-zen-66kw-2019-11950-eur,6,11950,98000,90.0,Spain
Citroen,Berlingo,1.5 bluehdi,2020,Diesel,Van,Blue,San Sebastián De Los Reyes,Manual,https://coches.km77.com/citroen/berlingo/en-madrid/2349763/se-vende-citroen-berlingo-talla-xl-bluehdi-130-ss-6v-shine-2020-20990-eur,6,20990,117869,130.0,Spain
Jeep,Renegade,1.6 Limited,2021,Diesel,Crossover,Gray,Vélez Málaga,Manual,https://coches.km77.com/jeep/renegade/en-malaga/2325511/se-vende-jeep-renegade-16-mjet-956kw-130cv-4x2-limited-2021-22300-eur,6,22300,64433,130.0,Spain
Bmw,X3,sDrive18d,2018,Diesel,Suv,White,Tijarafe,Automatic,https://coches.km77.com/bmw/x3/en-las-palmas/2338082/se-vende-bmw-x3-sdrive18d-2018-28995-eur,6,28995,86772,243.0,Spain
Bmw,X3,sDrive18d,2018,Diesel,Suv,Black,Madrid,Automatic,https://coches.km77.com/bmw/x3/en-madrid/2361445/se-vende-bmw-x3-sdrive18d-2018-29990-eur,6,29990,53717,243.0,Spain
Citroen,C3 Aircross,1.2,2019,Petrol,Suv,Beige,Madrid,Manual,https://coches.km77.com/citroen/c3-aircross/en-madrid/2382087/se-vende-citroen-c3-aircross-puretech-81kw-110cv-ss-shine-2019-15900-eur,6,15900,83321,82.0,Spain
Citroen,C3 Aircross,1.6,2019,Diesel,Suv,White,Valencia,Manual,https://coches.km77.com/citroen/c3-aircross/en-valencia/2368841/se-vende-citroen-c3-aircross-bluehdi-73kw-100cv-ss-feel-2019-15595-eur,6,15595,59402,102.0,Spain
Ford,Mondeo,1.5,2016,Diesel,Sedan,Gray,Madrid,Manual,https://www.motor.es/coches-segunda-mano/madrid/ford-mondeo-15tdci-trend-120-cv-22614420.html,6,10700,229575,120.0,Spain
Peugeot,3008,1.2 puretech,2018,Petrol,Crossover,White,Madrid,Manual,https://coches.km77.com/peugeot/3008/en-madrid/2397907/se-vende-peugeot-3008-12-puretech-96kw-130cv-ss-allure-2018-18990-eur,6,18990,62129,96.0,Spain
Audi,A4 Allroad,2.0 TDI,2016,Diesel,Crossover,Black,Madrid,Automatic,https://coches.km77.com/audi/a4-allroad/en-madrid/2310349/se-vende-audi-a4-allroad-20-tdi-163cv-quattro-s-tronic-unlimited-2016-24990-eur,6,24990,128994,121.0,Spain
Bmw,5 Series,520d,2013,Diesel,Wagon,Gray,Ademuz,Manual,https://coches.km77.com/bmw/5-series/en-madrid/2348846/se-vende-bmw-5-series-520d-touring-2013-9950-eur,5,9950,252000,183.0,Spain
Ford,Focus,1.0 EcoBoost,2019,Petrol,Sedan,Blue,Madrid,Manual,https://coches.km77.com/ford/focus/en-madrid/2328716/se-vende-ford-focus-10-ecoboost-92kw-st-line-2019-20990-eur,6,20990,27433,125.0,Spain
Mini,Countryman,1.6 One,2018,Petrol,Crossover,Black,Pontevedra,Automatic,https://coches.km77.com/mini/countryman/en-pontevedra/2391388/se-vende-mini-countryman-one-2018-22900-eur,6,22900,185568,102.0,Spain
Mazda,Cx-3,1.8,2019,Diesel,Crossover,Blue,Valencia,Automatic,https://coches.km77.com/mazda/cx-3/en-valencia/2332235/se-vende-mazda-cx-3-18-d-zenith-2wd-at-85-kw-115-cv-2019-18595-eur,6,18595,103854,85.0,Spain
Kia,Stonic,1.0 T-GDi,2021,Hybrid,Crossover,Red,Ademuz,Manual,https://coches.km77.com/kia/stonic/en-madrid/2388041/se-vende-kia-stonic-10-t-gdi-88kw-120cv-mhev-imt-drive-2021-18950-eur,6,18950,500,119.0,Spain
Bmw,X3,xDrive20d,2018,Diesel,Suv,Black,Madrid,Automatic,https://coches.km77.com/bmw/x3/en-madrid/2391282/se-vende-bmw-x3-xdrive20d-2018-38900-eur,6,38900,112061,243.0,Spain
Kia,Sportage,1.7 CRDi,2014,Diesel,Crossover,White,Ademuz,Manual,https://coches.km77.com/kia/sportage/en-madrid/2350045/se-vende-kia-sportage-17-crdi-vgt-concept-4x2-2014-12250-eur,6,12250,113000,115.0,Spain
Peugeot,308,1.5 bluehdi,2023,Electric,Wagon,Silver,Valencia,Automatic,https://coches.km77.com/peugeot/308/en-valencia/2287453/se-vende-peugeot-308-sw-allure-bluehdi-130-ss-eat8-2023-31026-eur,6,31026,12,96.0,Spain
Bmw,X1,sDrive16d,2020,Diesel,Suv,Gray,Ademuz,Automatic,https://coches.km77.com/bmw/x1/en-madrid/2367571/se-vende-bmw-x1-sdrive16d-2020-22850-eur,6,22850,67000,141.0,Spain
Bmw,X3,sDrive18d,2019,Diesel,Suv,Black,Ademuz,Manual,https://coches.km77.com/bmw/x3/en-madrid/2346814/se-vende-bmw-x3-sdrive18d-2019-23850-eur,6,23850,118000,111.0,Spain
Bmw,X2,sDrive20i,2019,Petrol,Suv,Black,Pontevedra,Automatic,https://coches.km77.com/bmw/x2/en-madrid/2366589/se-vende-bmw-x2-sdrive20i-dct-2019-27890-eur,6,27890,91873,228.0,Spain
Mercedes Benz,Cls-Class,350,2020,Diesel,Sedan,Red,Pontevedra,Automatic,https://coches.km77.com/mercedes-benz/cls/en-coruna/2401116/se-vende-mercedes-benz-cls-cls-350-d-4matic-2020-63900-eur,6,63900,77180,285.0,Spain
Renault,Clio,1.5 dCi,2018,Diesel,Wagon,Black,Torrejón De Ardoz,Manual,https://coches.km77.com/renault/clio/en-madrid/2402788/se-vende-renault-clio-sport-tourer-15dci-energy-limited-55kw-2018-10950-eur,6,10950,93000,75.0,Spain
Audi,Q7,3.0,2018,Diesel,Suv,White,Lugo,Semi Automatic,https://coches.km77.com/audi/q7/en-coruna/2361455/se-vende-audi-q7-30-tdi-ultra-quattro-tiptronic-2018-43900-eur,6,43900,135000,162.0,Spain
Audi,Q7,3.0 45 TDI,2018,Diesel,Suv,Blue,Madrid,Semi Automatic,https://coches.km77.com/audi/q7/en-madrid/2361486/se-vende-audi-q7-45-tdi-170kw-232cv-quattro-tiptronic-2018-43900-eur,6,43900,108740,213.0,Spain
Hyundai,I10,1.0,2019,Petrol,Mini,Blue,Lugo,Manual,https://coches.km77.com/hyundai/i10/en-lugo/2371203/se-vende-hyundai-i10-10-tecno-2019-10999-eur,6,10999,98207,66.0,Spain
Fiat,Tipo,1.6,2022,Petrol,Hatchback,Green,Madrid,Automatic,https://coches.km77.com/fiat/tipo/en-madrid/2382098/se-vende-fiat-tipo-hb-15-hybrid-97kw-130cv-dct-2022-19900-eur,6,19900,56510,97.0,Spain
Nissan,Leaf,Tekna,2018,Electric,Hatchback,White,Girona,Automatic,https://coches.km77.com/nissan/leaf/en-barcelona/2347421/se-vende-nissan-leaf-tekna-2018-18490-eur,6,18490,48510,150.0,Spain
Citroen,C3 Aircross,1.2,2018,Petrol,Suv,Red,Girona,Automatic,https://coches.km77.com/citroen/c3-aircross/en-girona/2403124/se-vende-citroen-c3-aircross-puretech-81kw-110cv-ss-eat6-shine-2018-16290-eur,6,16290,74000,110.0,Spain
Kia,Stonic,1.2,2022,Petrol,Crossover,Red,Pontevedra,Manual,https://coches.km77.com/kia/stonic/en-coruna/2361441/se-vende-kia-stonic-12-dpi-62kw-84cv-drive-plus-2022-20999-eur,6,20999,9234,84.0,Spain
Kia,Stonic,1.2,2022,Petrol,Crossover,White,Vigo,Manual,https://coches.km77.com/kia/stonic/en-pontevedra/2391385/se-vende-kia-stonic-12-dpi-62kw-84cv-drive-2022-20990-eur,6,20990,2500,84.0,Spain
Audi,Sq5,3.0 TFSI V6,2017,Petrol,Suv,White,Madrid,Automatic,https://coches.km77.com/audi/sq5/en-madrid/2380049/se-vende-audi-sq5-s-30-v6-tfsi-quattro-355cv-2017-51990-eur,6,51990,58071,264.0,Spain
Peugeot,3008,1.2 puretech,2017,Petrol,Crossover,Blue,Madrid,Manual,https://coches.km77.com/peugeot/3008/en-madrid/2397905/se-vende-peugeot-3008-12-puretech-96kw-130cv-ss-allure-2017-16900-eur,6,16900,95924,96.0,Spain
Peugeot,3008,1.2 puretech,2017,Petrol,Crossover,Gray,Calafell,Manual,https://coches.km77.com/peugeot/3008/en-navarra/2325571/se-vende-peugeot-3008-allure-2017-15590-eur,6,15590,95350,131.0,Spain
Audi,Q5,2.0 35 TDI,2020,Diesel,Suv,Gray,Martínez,Automatic,https://coches.km77.com/audi/q5/en-alicante/2325426/se-vende-audi-q5-design-35-tdi-120kw-s-tronic-2020-34995-eur,6,34995,76383,121.0,Spain
Opel,Mokka,1.2,2023,Petrol,Crossover,White,Valencia,Automatic,https://coches.km77.com/opel/mokka/en-valencia/2367102/se-vende-opel-mokka-12-t-96kw-130-cv-gs-auto-2023-29200-eur,6,29200,2,130.0,Spain
Ford,Ecosport,1.5 TDCi,2017,Diesel,Suv,Red,Lugo,Manual,https://coches.km77.com/ford/ecosport/en-coruna/2391397/se-vende-ford-ecosport-15-tdci-70kw-95cv-titanium-2017-16900-eur,6,16900,72588,70.0,Spain
Kia,Sportage,1.6 GDi,2019,Diesel,Crossover,White,Parla,Manual,https://coches.km77.com/kia/sportage/en-madrid/2404177/se-vende-kia-sportage-17-crdi-vgt-85kw-business-4x2-eco-dynam-2019-15450-eur,6,15450,197846,115.0,Spain
Nissan,Qashqai,1.3 DIG-T,2021,Hybrid,Crossover,White,Sabadell,Manual,https://coches.km77.com/nissan/qashqai/en-barcelona/2399764/se-vende-nissan-qashqai-dig-t-103kw-mhev-4x2-premiere-edition-2021-24500-eur,6,24500,44481,140.0,Spain
Nissan,Qashqai,1.3 DIG-T,2021,Petrol,Crossover,Black,Sabadell,Manual,https://coches.km77.com/nissan/qashqai/en-barcelona/2403086/se-vende-nissan-qashqai-dig-t-103-kw-140-cv-e6d-n-connecta-2021-20500-eur,6,20500,35000,140.0,Spain
Ford,Kuga,1.5 EcoBoost,2019,Petrol,Suv,White,Marçà,Manual,https://coches.km77.com/ford/kuga/en-albacete/2381088/se-vende-ford-kuga-15-ecoboost-88kw-4x2-trend-2019-16675-eur,6,16675,56141,120.0,Spain
Audi,A1,1.0 TFSI,2017,Petrol,Mini,White,El Prat De Llobregat,Manual,https://coches.km77.com/audi/a1/en-barcelona/2378424/se-vende-audi-a1-sportback-10-tfsi-adrenalin-con-parktronic-x2-llanta-17-2017-13900-eur,6,13900,125000,95.0,Spain
Mazda,Cx-3,2.0,2019,Petrol,Crossover,Black,Girona,Automatic,https://coches.km77.com/mazda/cx-3/en-barcelona/2300388/se-vende-mazda-cx-3-20-120cv-aut-zenith-5p-2019-20990-eur,6,20990,59200,120.0,Spain
Mitsubishi,Asx,1.6,2019,Petrol,Crossover,Black,Lugo,Manual,https://coches.km77.com/mitsubishi/asx/en-coruna/2391376/se-vende-mitsubishi-asx-160-mpi-motion-2019-18600-eur,6,18600,46500,87.0,Spain
Bmw,3 Series,330i xDrive,2022,Petrol,Wagon,Gray,Madrid,Automatic,https://coches.km77.com/bmw/3-series/en-madrid/2351731/se-vende-bmw-3-series-330i-xdrive-touring-2022-55500-eur,6,55500,5047,192.0,Spain
Hyundai,I10,1.2,2018,Petrol,Mini,Blue,El Prat De Llobregat,Manual,https://coches.km77.com/hyundai/i10/en-barcelona/2334962/se-vende-hyundai-i10-12-mpi-64-kw-87-cv-go-plus-2018-11900-eur,6,11900,32000,64.0,Spain
Peugeot,2008,1.6 BlueHDI,2016,Electric,Crossover,White,Valencia,Manual,https://coches.km77.com/peugeot/2008/en-valencia/2391572/se-vende-peugeot-2008-style-16-bluehdi-73kw-100cv-2016-11595-eur,6,11595,144646,100.0,Spain
Peugeot,2008,1.2 puretech,2016,Petrol,Crossover,Red,Valencia,Manual,https://coches.km77.com/peugeot/2008/en-valencia/2392009/se-vende-peugeot-2008-12-puretech-81kw-110cv-ss-allure-2016-10995-eur,6,10995,114517,110.0,Spain
Ford,Focus,1.0 EcoBoost,2021,Petrol,Wagon,Gray,Pontevedra,Automatic,https://coches.km77.com/ford/focus/en-coruna/2371139/se-vende-ford-focus-10-ecoboost-92kw-trend-auto-2021-15990-eur,6,15990,131269,125.0,Spain
Jaguar,Xf,2.2 I4,2019,Diesel,Sedan,Black,Madrid,Automatic,https://coches.km77.com/jaguar/xf/en-madrid/2356989/se-vende-jaguar-xf-20d-i4-132kw-180cv-r-sport-auto-2019-26990-eur,6,26990,43406,134.0,Spain
Nissan,Micra,1.0,2019,Petrol,Mini,Gray,Valencia,Manual,https://coches.km77.com/nissan/micra/en-valencia/2393397/se-vende-nissan-micra-ig-t-74-kw-100-cv-e6d-acenta-2019-11995-eur,6,11995,69360,100.0,Spain
