Price,Make,Model,Mi,Year,Fuel type,Body type,Color,City,Transmission,Contact,Trim,Power,Euro norm
"12,363 EUR (12,000 CHF)",Seat,Ibiza,"200,000 km",2006,Diesel,,Black,Gland,Manual,https://trovas.ch/?obj=20080424,1.9 TDI,,
"37,100 EUR",Ford,Torino,"83,000 km",1973,Petrol,,,,,https://www.woowmotors.com/car/1973-ford-gran-torino-400-ci,6.6,,
"51,495 EUR (49,980 CHF)",Volkswagen,Tiguan,"22,200 km",2022,Petrol,Crossover,Black,St Gallen,Automatic,https://www.autolina.ch/auto/vw-tiguan/4064407,2.0 TSI,238 kW (324 HP),
"52,320 EUR (50,780 CHF)",Volkswagen,Tiguan,"19,700 km",2022,Petrol,Crossover,Black,St Gallen,Automatic,https://www.autolina.ch/auto/vw-tiguan/4070945,2.0 TSI,238 kW (324 HP),
"52,526 EUR (50,980 CHF)",Volkswagen,Tiguan,"18,700 km",2022,Petrol,Crossover,Black,St Gallen,Automatic,https://www.autolina.ch/auto/vw-tiguan/4131418,2.0 TSI,238 kW (324 HP),
"6,903 EUR (6,700 CHF)",Peugeot,5008,"195,000 km",2012,Diesel,Mpv,White,Basel,Automatic,https://www.autolina.ch/auto/peugeot-5008/4087534,1.6 HDi,83 kW (113 HP),
"16,474 EUR (15,990 CHF)",Bmw,X5,"166,000 km",2012,Diesel,Suv,Gray,Basel,Automatic,https://www.autolina.ch/auto/bmw-x5/4101528,40d,228 kW (310 HP),
"59,645 EUR (57,890 CHF)",Land Rover,Range Rover Sport,"89,950 km",2017,Petrol,Suv,Black,St Gallen,Automatic,https://www.autolina.ch/auto/land-rover-range-rover-sport/4105874,5.0,380 kW (517 HP),
"12,312 EUR (11,950 CHF)",Suzuki,Vitara,"150,000 km",2015,Petrol,Suv,Black,Stans,Manual,https://www.autolina.ch/auto/suzuki-vitara/4067232,1.6,89 kW (121 HP),
"18,958 EUR (18,400 CHF)",Renault,Twingo,"9,700 km",2022,Electric,Mini,Gray,Wil,Automatic,https://www.autolina.ch/auto/renault-twingo/4084527,,61 kW (83 HP),
"19,462 EUR (18,890 CHF)",Renault,Twingo,"8,500 km",2021,Electric,Mini,Red,St Gallen,Automatic,https://www.autolina.ch/auto/renault-twingo/4117318,,60 kW (82 HP),
"24,716 EUR (23,989 CHF)",Peugeot,508,"84,010 km",2019,Diesel,Sedan,Blue,Wohlen,Automatic,https://www.autolina.ch/auto/peugeot-508/4081626,2.0,134 kW (182 HP),
"28,385 EUR (27,550 CHF)",Volkswagen,Golf,"64,550 km",2015,Petrol,Sedan,Black,Zurich,Automatic,https://www.autolina.ch/auto/vw-golf/4107959,2.0 R,224 kW (305 HP),
"41,110 EUR (39,900 CHF)",Porsche,911,"173,500 km",2002,Petrol,Coupe,Blue,Zurich,Automatic,https://www.autolina.ch/auto/porsche-911/4106118,3.6,238 kW (324 HP),
"32,857 EUR (31,890 CHF)",Seat,Ateca,"78,800 km",2019,Petrol,Suv,White,St Gallen,Automatic,https://www.autolina.ch/auto/seat-ateca/4109060,2.0 TSI,223 kW (303 HP),
"25,552 EUR (24,800 CHF)",Bmw,3 Series,"142,200 km",2013,Petrol,Wagon,Blue,Stäfa,Automatic,https://www.autolina.ch/auto/bmw-335/4094009,335i,228 kW (310 HP),
"61,603 EUR (59,790 CHF)",Porsche,Macan,"77,400 km",2019,Petrol,Suv,Gray,Stäfa,Automatic,https://www.autolina.ch/auto/porsche-macan/4111519,3.0 s,263 kW (358 HP),
"34,412 EUR (33,400 CHF)",Peugeot,508,"41,800 km",2018,Petrol,Sedan,Blue,Stäfa,Automatic,https://www.autolina.ch/auto/peugeot-508/4043180,1.6 puretech,167 kW (227 HP),
"4,945 EUR (4,800 CHF)",Bmw,X3,"199,000 km",2005,Diesel,Suv,Gray,Basel,Automatic,https://www.autolina.ch/auto/bmw-x3/4103548,D,152 kW (207 HP),
"32,857 EUR (31,890 CHF)",Land Rover,Range Rover Sport,"139,000 km",2014,Petrol,Suv,Black,Zurich,Automatic,https://www.autolina.ch/auto/land-rover-range-rover-sport/4072775,5.0,380 kW (517 HP),
"56,657 EUR (54,990 CHF)",Jeep,Grand Cherokee,"81,350 km",2020,Petrol,Suv,White,Zurich,Automatic,https://www.autolina.ch/auto/jeep-grand-cherokee/4114018,6.4 SRT8,348 kW (473 HP),
"8,139 EUR (7,900 CHF)",Peugeot,207 Cc,"77,000 km",2011,Petrol,Convertible,Gray,Altstätten,Manual,https://www.autolina.ch/auto/peugeot-207/4107673,1.6,116 kW (158 HP),
"18,535 EUR (17,990 CHF)",Volvo,S60,"87,000 km",2015,Diesel,Sedan,Gray,Basel,Automatic,https://www.autolina.ch/auto/volvo-s60/4099162,2.0 D4,141 kW (192 HP),
"38,688 EUR (37,550 CHF)",Volkswagen,Golf,"11,150 km",2023,Petrol,Sedan,Silver,Zurich,Automatic,https://www.autolina.ch/auto/vw-golf/4107961,2.0 R,142 kW (193 HP),
"32,754 EUR (31,790 CHF)",Cupra,Formentor,"25,917 km",2023,Petrol,Crossover,White,Winterthur,Automatic,https://www.autolina.ch/auto/cupra-formentor/4121423,2.0 TSI,142 kW (193 HP),
"10,097 EUR (9,800 CHF)",Opel,Mokka,"144,000 km",2014,Petrol,Crossover,Blue,Stans,Manual,https://www.autolina.ch/auto/opel-mokka/4067233,1.4,104 kW (141 HP),
"82,323 EUR (79,900 CHF)",Mercedes Benz,Glc-Class,"21,900 km",2022,Petrol,Suv,Black,Zurich,Automatic,https://www.autolina.ch/auto/mercedes-benz-glc-63-amg/4111385,63 AMG,354 kW (481 HP),
"25,655 EUR (24,900 CHF)",Honda,Cr-V,"92,000 km",2019,Petrol,Suv,Gray,Stans,Automatic,https://www.autolina.ch/auto/honda-cr-v/4067227,1.5,143 kW (194 HP),
"22,656 EUR (21,990 CHF)",Volkswagen,Golf,"108,000 km",2016,Petrol,Sedan,Black,Basel,Automatic,https://www.autolina.ch/auto/vw-golf/4091653,2.0 GTI,171 kW (233 HP),
"26,664 EUR (25,880 CHF)",Jeep,Compass,"32,140 km",2020,Petrol,Crossover,Silver,Winterthur,Automatic,https://www.autolina.ch/auto/jeep-compass/4121408,1.4,126 kW (171 HP),
