Make,Model,Trim,Year,Mileage(km),kW,Fuel type,Body type,Color,Transmission,Emission standard,Country,City,Price(EUR)
Seat,Leon,1.0 tsi,2024,100,82.0,Petrol,Hatchback,Black,Manual,6,Austria,Bruck An Der Mur,27990.0
Seat,Leon,2.0,2023,201,86.0,Diesel,Hatchback,Black,Manual,6,Austria,Wien,32215.0
Seat,Leon,1.5 tsi,2023,201,97.0,Petrol,Hatchback,Silver,Manual,6,Austria,Wien,28170.0
Seat,Leon,1.0 etsi,2023,200,82.0,Petrol,Hatchback,White,Automatic,6,Austria,Bruck An Der Mur,34300.0
Seat,Leon,2.0,2023,100,111.0,Diesel,Hatchback,Gray,Automatic,6,Austria,Klagenfurt,43481.0
Seat,Leon,1.5 tsi,2023,100,97.0,Petrol,Hatchback,Black,Manual,6,Austria,Klagenfurt,31490.0
Seat,Leon,1.0 tsi,2023,100,82.0,Petrol,Hatchback,White,Manual,6,Austria,Klagenfurt,27590.0
Seat,Leon,1.0 tsi,2023,100,82.0,Petrol,Hatchback,Black,Manual,6,Austria,Klagenfurt,25490.0
Citroen,C4 Picasso,1.6,2020,20090,97.0,Diesel,Mpv,Gray,Automatic,6,Austria,Wiener Neustadt,28490.0
Mitsubishi,Outlander,2.3 did,2015,83855,111.0,Diesel,Suv,Black,Automatic,6,Austria,Wien,19660.0
Audi,A6,2.0 tdi ultra,2017,50076,141.0,Diesel,Wagon,Black,Automatic,6,Austria,Steyr,28990.0
Mercedes Benz,Glc-Class,43 amg 4matic,2021,49500,290.0,Petrol,Suv,Blue,Automatic,6,Austria,Lustenau,59990.0
Mercedes Benz,Glc-Class,300 4matic,2021,21000,192.0,Petrol,Suv,White,Automatic,6,Austria,Stockerau,54900.0
Mercedes Benz,E-Class,63 amg 4matic+,2018,87751,425.0,Petrol,Wagon,Gray,Automatic,6,Austria,Salzburg,84890.0
Mercedes Benz,E-Class,63 amg,2018,48000,137.0,Petrol,Coupe,Black,Automatic,6,Austria,Schwaz,41900.0
Mercedes Benz,C-Class,180,2019,123400,90.0,Diesel,Wagon,Black,Automatic,6,Austria,Wien,19490.0
Mercedes Benz,C-Class,180,2019,109000,90.0,Diesel,Sedan,Blue,Manual,6,Austria,Lienz,23900.0
Audi,A4,2.0 35 tdi s tronic,2021,192000,121.0,Diesel,Wagon,Black,Automatic,6,Austria,Wien,18500.0
Porsche,Macan,3.0 s diesel,2017,95000,192.0,Diesel,Suv,Gray,Automatic,6,Austria,Kufstein,44900.0
Volvo,S60,2.0 t5 awd,2019,38587,186.0,Petrol,Sedan,White,Automatic,6,Austria,Innsbruck,39990.0
Volkswagen,Touran,2.0,2015,140000,111.0,Diesel,Mpv,White,Manual,6,Austria,Salzburg,18490.0
Fiat,Talento,1.6 multijet l2h1,2017,123000,89.0,Diesel,Van,Gray,Manual,6,Austria,Spittal An Der Drau,16980.0
Jaguar,F-Type,2.0 p300,2018,75000,224.0,Petrol,Convertible,Gray,Semi Automatic,6,Austria,Wiener Neustadt,47999.0
