Make,Model,Trim,Year,Mileage(km),kW,Fuel type,Body type,Color,Transmission,Emission standard,Country,City,Price(EUR)
Kia,Stonic,1.0 t-gdi,2019,31472,132.0,Petrol,Crossover,Black,Manual,6,Netherlands,Nuenen,17450.0
Honda,Jazz,1.3,2019,59423,76.0,Petrol,Hatchback,Black,Automatic,6,Netherlands,Alkmaar,19950.0
Bmw,X1,sdrive18i,2016,149034,132.0,Petrol,Suv,White,Automatic,6,Netherlands,Nuenen,18450.0
Opel,Corsa,1.2,2020,45080,76.0,Petrol,Van,Orange,Manual,6,Netherlands,Tilburg,15900.0
Mercedes Benz,Gla-Class,250,2021,22089,193.0,Hybrid,Suv,Black,Automatic,6,Netherlands,Tilburg,52980.0
Bmw,X1,2.0 20i xdrive,2017,136068,143.0,Petrol,Suv,White,Automatic,6,Netherlands,Stolwijk,22445.0
Ford,Puma,1.0 ecoboost,2023,10106,93.0,Petrol,Crossover,Purple,Automatic,6,Netherlands,Heerenveen,31900.0
Bmw,X3,xdrive30i,2020,50518,187.0,Petrol,Suv,Black,Automatic,6,Netherlands,Schijndel,49899.0
Honda,Civic,1.0 vtec,2020,27641,93.0,Petrol,Hatchback,Silver,Automatic,6,Netherlands,Sneek,23950.0
Toyota,Aygo,1.0,2016,117867,51.0,Petrol,Mini,Red,Automatic,6,Netherlands,Haarlem,7950.0
Škoda,Yeti,1.2 tsi,2010,136185,78.0,Petrol,Crossover,Brown,Automatic,5,Netherlands,Stadskanaal,9499.0
Seat,Leon,1.0 tsi,2015,167586,86.0,Petrol,Hatchback,Gray,Manual,6,Netherlands,Stolwijk,9945.0
Bmw,X1,2.0 sdrive20i,2019,159944,143.0,Petrol,Suv,Gray,Automatic,6,Netherlands,Stolwijk,23745.0
Audi,A3,1.5 35 tfsi,2020,180703,111.0,Petrol,Sedan,Silver,Automatic,6,Netherlands,Stolwijk,21945.0
Ford,Fiesta,1.0 ecoboost,2020,63552,70.0,Petrol,Hatchback,Silver,Manual,6,Netherlands,Tilburg,15745.0
Škoda,Octavia,1.0 tsi,2020,45277,86.0,Petrol,Wagon,Black,Automatic,6,Netherlands,Rijswijk,18700.0
Renault,Clio,1.2 d tce,2009,145859,75.0,Petrol,Wagon,Silver,Manual,5,Netherlands,Rhenen,4750.0
Chrysler,Grand Voyager,3.8 v6,2009,285091,143.0,LPG,Mpv,Silver,Automatic,5,Netherlands,Utrecht,9950.0
Volkswagen,Golf,1.0 tsi,2015,59132,86.0,Petrol,Hatchback,Gray,Automatic,6,Netherlands,Nijmegen,14900.0
Audi,Q3,1.5 35 tfsi,2020,39138,110.0,Hybrid,Crossover,Silver,Automatic,6,Netherlands,Tilburg,43980.0
Mini,Paceman,1.6,2013,250322,137.0,Petrol,Crossover,Black,Automatic,5,Netherlands,Apeldoorn,9950.0
Seat,Arona,1.0 tsi,2019,120631,86.0,Petrol,Crossover,Silver,Automatic,6,Netherlands,Ochten,18850.0
Peugeot,208,1.2 puretech,2020,106917,55.0,Petrol,Hatchback,Silver,Manual,6,Netherlands,Middelburg,13890.0
Škoda,Roomster,1.2,2007,164636,51.0,Petrol,Mpv,Blue,Manual,4,Netherlands,Tilburg,3549.0
Ford,Focus,1.0 ecoboost,2012,135894,75.0,Petrol,Wagon,Black,Automatic,5,Netherlands,Dronten,7750.0
Volkswagen,Beetle,1.2 tsi,2015,174518,78.0,Petrol,Convertible,White,Manual,6,Netherlands,Hoogeveen,13745.0
Kia,Picanto,1.0,2023,15800,132.0,Petrol,Mini,Black,Manual,6,Netherlands,Nuenen,17400.0
Hyundai,I10,1.0,2016,119073,48.0,Petrol,Mini,Gray,Manual,6,Netherlands,Stolwijk,7445.0
Land Rover,Evoque,2.2,2014,140201,111.0,Diesel,Suv,Black,Manual,6,Netherlands,Haarlem,19900.0
Opel,Crossland X,1.2,2020,65979,97.0,Petrol,Suv,Black,Automatic,6,Netherlands,Tilburg,18745.0
Volvo,Xc90,2.4 awd d5,2013,202200,149.0,Diesel,Suv,Silver,Automatic,5,Netherlands,Drachten,17500.0
Peugeot,3008,1.2 puretech,2018,44557,97.0,Petrol,Crossover,Black,Automatic,6,Netherlands,Rijswijk,22400.0
Suzuki,Vitara,1.0,2019,87638,82.0,Petrol,Suv,Silver,Manual,6,Netherlands,Sneek,17950.0
Citroen,C3,1.2 puretech,2021,25469,61.0,Petrol,Hatchback,Gray,Automatic,6,Netherlands,Oud Beijerland,16400.0
Lexus,Ux,300e,2023,2068,152.0,Electric,Crossover,Gray,Automatic,6,Norway,Spillum,36992.0
Lexus,Ux,300e,2023,2000,152.0,Electric,Crossover,Green,Automatic,6,Norway,Leknes,37775.0
Opel,Insignia,2.0 cdti,2010,221400,82.0,Diesel,Wagon,Black,Manual,5,Norway,Jessheim,5937.0
Volvo,Xc60,2.4 d4,2014,232000,121.0,Diesel,Crossover,Gray,Automatic,6,Norway,Drammen,20565.0
Toyota,Prius,1.5,2008,150000,58.0,Hybrid,Hatchback,Silver,Automatic,4,Norway,Stavanger,5076.0
Citroen,C3,1.2 puretech,2019,73000,61.0,Petrol,Hatchback,Red,Manual,6,Norway,Hønefoss,10756.0
Toyota,Auris,1.4 d-4d,2014,210000,67.0,Diesel,Hatchback,Gray,Manual,6,Norway,Hønefoss,7314.0
Hyundai,I10,1.0,2017,26000,49.0,Petrol,Mini,White,Automatic,6,Norway,Stavanger,10239.0
Bmw,5 Series,520d xdrive,2016,173000,141.0,Diesel,Sedan,Black,Automatic,6,Norway,Skien,21339.0
Citroen,C3,1.2,2019,30000,82.0,Petrol,Hatchback,White,Automatic,6,Norway,Hønefoss,14585.0
Audi,A4,1.8,2013,70000,89.0,Petrol,Sedan,White,Manual,5,Norway,Drammen,11100.0
Audi,Q5,2.0,2017,190000,141.0,Diesel,Suv,Silver,Automatic,6,Norway,Hønefoss,30056.0
Mini,One,1.6 d,2011,142800,67.0,Diesel,Mini,White,Manual,5,Norway,Fredrikstad,5593.0
Bmw,5 Series,520d,2016,107505,121.0,Diesel,Wagon,Gray,Automatic,6,Norway,Sarpsborg,28309.0
Volvo,Xc60,2.4 d4,2015,72750,121.0,Diesel,Crossover,Gray,Automatic,6,Norway,Larvik,33472.0
Lexus,Ct,200h,2012,130000,73.0,Petrol,Hatchback,Brown,Automatic,5,Norway,Drammen,11607.0
Jaguar,F-Pace,2.0,2018,109410,133.0,Diesel,Crossover,Gray,Automatic,6,Norway,Mandal,34359.0
Bentley,Flying Spur,6.0 w12,2007,114000,507.0,Petrol,Sedan,Black,Automatic,4,Norway,Drammen,60233.0
Volkswagen,Tiguan,2.0 tdi 4motion,2013,169500,104.0,Diesel,Crossover,Silver,Automatic,5,Norway,Lillehammer,14568.0
Ford,F Series,3.5,2021,47000,340.0,Petrol,Pickup,Black,Automatic,6,Norway,Hokksund,85961.0
Audi,S7,4.0,2012,53175,313.0,Petrol,Sedan,Black,Automatic,5,Norway,Hell,47325.0
Tesla,Model S,0.0 ludicrous p90d performance,2015,181000,521.0,Electric,Sedan,Gray,Automatic,6,Norway,Oslo,18844.0
Volkswagen,Golf,1.6,2012,175000,78.0,Diesel,Wagon,Silver,Manual,5,Norway,Skien,6444.0
Tesla,Model S,electro,2015,178233,67.0,Electric,Sedan,Black,Automatic,6,Norway,Stange,14542.0
Mercedes Benz,S-Class,65 amg,2015,22000,469.0,Petrol,Sedan,Blue,Automatic,6,Norway,Ski,111853.0
Bmw,X1,18d,2016,157729,101.0,Diesel,Suv,Silver,Automatic,6,Norway,Spydeberg,18440.0
Volvo,Xc90,2.4 d5 awd,2006,198700,137.0,Diesel,Suv,Black,Automatic,4,Norway,Skien,10239.0
Mercedes Benz,G-Class,400 cdi,2001,321000,186.0,Diesel,Suv,Silver,Automatic,3,Norway,Kolbotn,28309.0
Audi,Sq7,4.0,2017,150000,324.0,Diesel,Suv,Black,Automatic,6,Norway,Hokksund,64449.0
Volkswagen,Touran,2.0 tdi,2009,199990,126.0,Diesel,Mpv,Gray,Automatic,5,Norway,Skien,5850.0
Toyota,Auris,1.8 hybrid,2014,148000,101.0,Petrol,Hatchback,Black,Automatic,6,Norway,Kolbotn,10239.0
Tesla,Model S,electro,2017,166000,390.0,Electric,Sedan,Black,Automatic,6,Norway,Siggerud,21503.0
Toyota,Prius,1.8,2012,152000,73.0,Hybrid,Hatchback,Gray,Automatic,5,Norway,Drammen,11960.0
Mitsubishi,Asx,1.8,2011,221750,86.0,Diesel,Crossover,Blue,Manual,5,Norway,Drammen,6453.0
Mitsubishi,Asx,1.8,2011,199999,86.0,Diesel,Crossover,Silver,Manual,5,Norway,Skien,6882.0
Nissan,Navara,2.3,2021,54000,141.0,Diesel,Pickup,Gray,Automatic,6,Norway,Moelv,39323.0
Tesla,Model S,electro,2017,126000,391.0,Electric,Sedan,Blue,Automatic,6,Norway,Kolbotn,24007.0
Mazda,Cx-5,2.2 d,2016,237000,111.0,Diesel,Crossover,White,Automatic,6,Norway,Kolbotn,12821.0
Tesla,Model X,electro,2016,124000,247.0,Electric,Suv,Red,Automatic,6,Norway,Siggerud,30108.0
Bmw,X5,xdrive30d,2014,239000,192.0,Diesel,Suv,Black,Automatic,6,Norway,Kolbotn,30891.0
Mercedes Benz,S-Class,350d 4matic,2015,106200,192.0,Diesel,Sedan,Silver,Automatic,6,Norway,Stange,45596.0
Mercedes Benz,R-Class,350 cdi,2013,127000,197.0,Diesel,Mpv,Gray,Automatic,5,Norway,Drammen,24950.0
Kia,Sportage,2.0 crdi,2011,231000,101.0,Diesel,Crossover,Black,Manual,5,Norway,Lillehammer,7730.0
Toyota,Hilux,2.4,2020,80500,111.0,Diesel,Pickup,Gray,Automatic,6,Norway,Ski,32689.0
Ford,Transit,2.2,2009,197500,82.0,Diesel,Van,White,Manual,5,Norway,Oslo,3433.0
Porsche,Cayenne,3.0 diesel,2014,114735,157.0,Diesel,Suv,Black,Automatic,6,Norway,Hamar,36054.0
Volkswagen,Golf,1.6 tdi,2014,129000,78.0,Diesel,Wagon,Silver,Manual,6,Norway,Skien,10239.0
Volkswagen,Up!,1.0,2013,94320,44.0,Petrol,Mini,Silver,Manual,5,Norway,Stange,5119.0
Toyota,Hilux,2.8,2021,18800,152.0,Diesel,Pickup,White,Automatic,6,Norway,Larvik,47240.0
Bmw,X7,xdrive30d,2020,38564,197.0,Diesel,Suv,Black,Automatic,6,Norway,Fredrikstad,107473.0
Nissan,Navara,2.3,2016,114780,141.0,Diesel,Pickup,Gray,Automatic,6,Norway,Porsgrunn,22286.0
Bmw,X5,30d,2014,165000,192.0,Diesel,Suv,Black,Automatic,6,Norway,Larvik,39496.0
Bmw,X5,xdrive25d,2014,152000,162.0,Diesel,Suv,Black,Automatic,6,Norway,Vestby,32698.0
Bmw,M5,4.4,2013,158900,417.0,Petrol,Sedan,Brown,Automatic,5,Norway,Hokksund,45519.0
Nissan,Juke,1.5 dci,2012,212000,82.0,Diesel,Crossover,Gray,Manual,5,Norway,Drammen,5593.0
Mercedes Benz,E-Class,43 amg,2018,60000,299.0,Petrol,Sedan,Black,Automatic,6,Norway,Sandnes,60147.0
Mercedes Benz,S-Class,63 amg,2018,64000,456.0,Petrol,Sedan,Gray,Automatic,6,Norway,Skien,120314.0
Bmw,5 Series,525d,2007,306000,146.0,Diesel,Wagon,Black,Automatic,4,Norway,Furnes,6453.0
Bmw,5 Series,520d,2007,265000,131.0,Diesel,Wagon,Black,Automatic,4,Norway,Sandnes,6014.0
Ford,Grand C-Max,1.6,2013,163000,86.0,Diesel,Mpv,Black,Manual,5,Norway,Drammen,4724.0
Volvo,S80,1.6,2011,155450,81.0,Diesel,Sedan,Black,Manual,5,Norway,Vestby,8604.0
Bmw,X5,40d,2016,128000,233.0,Diesel,Suv,Gray,Automatic,6,Norway,Flisa,42077.0
Bmw,X5,30d,2016,126000,192.0,Diesel,Suv,Black,Automatic,6,Norway,Stavanger,46457.0
Bmw,X5,m50d,2016,123000,284.0,Diesel,Suv,Black,Automatic,6,Norway,Hønefoss,53349.0
Peugeot,3008,1.6,2017,131000,89.0,Diesel,Crossover,Brown,Automatic,6,Norway,Drammen,17123.0
Land Rover,Discovery,2.5 td,2009,323568,182.0,Diesel,Suv,Silver,Automatic,5,Norway,Hønefoss,11960.0
Mitsubishi,Asx,1.8,2012,167200,86.0,Diesel,Crossover,Silver,Manual,5,Norway,Lillehammer,10054.0
Bmw,5 Series,520d,2009,324000,121.0,Diesel,Wagon,Blue,Automatic,5,Norway,Skien,5162.0
Nissan,Qashqai,1.5 dci,2012,98000,82.0,Diesel,Crossover,Black,Manual,5,Norway,Jessheim,8518.0
Mitsubishi,Outlander,2.2 hdi,2010,223000,116.0,Diesel,Suv,Blue,Automatic,5,Norway,Sandnes,8518.0
Suzuki,Sx4 S-Cross,1.6,2014,122500,89.0,Petrol,Crossover,Gray,Automatic,6,Norway,Fredrikstad,13681.0
Toyota,Land Cruiser V8,4.5,2013,272000,202.0,Diesel,Suv,Black,Automatic,5,Norway,Kristiansand,68838.0
Toyota,Land Cruiser V8,4.5,2013,268000,202.0,Diesel,Suv,Black,Automatic,5,Norway,Kolbotn,50754.0
Mercedes Benz,S-Class,500 4matic,2015,93000,339.0,Petrol,Sedan,Black,Automatic,6,Norway,Oslo,68829.0
Lamborghini,Gallardo,5.2 lp 560-4,2012,37550,417.0,Petrol,Coupe,Orange,Automatic,5,Norway,Vestby,111862.0
Peugeot,508,1.6 hdi,2013,211000,85.0,Diesel,Sedan,White,Automatic,5,Norway,Skien,6452.0
Mitsubishi,Outlander,2.3 did,2011,181000,104.0,Diesel,Suv,Black,Manual,5,Norway,Skien,7658.0
Mitsubishi,Outlander,2.3 did,2011,180000,104.0,Diesel,Suv,Black,Manual,5,Norway,Drammen,7658.0
Audi,A8,4.1 tdi,2017,60500,287.0,Diesel,Sedan,Brown,Automatic,6,Norway,Holmestrand,71333.0
Bentley,Continental Gt,6.0 w12,2006,59000,417.0,Petrol,Coupe,Black,Automatic,4,Norway,Kolbotn,58426.0
Bmw,5 Series,530d xdrive,2015,209833,192.0,Diesel,Wagon,Black,Automatic,6,Norway,Tromsø,36045.0
Volvo,V90,2.0 d5,2017,59900,175.0,Diesel,Wagon,Silver,Automatic,6,Norway,Furnes,45949.0
Škoda,Superb,1.6 tdi,2012,224951,78.0,Diesel,Wagon,Silver,Manual,5,Norway,Oslo,6625.0
Volvo,V60,1.6 drive,2013,210000,85.0,Diesel,Wagon,Gray,Automatic,5,Norway,Skien,8518.0
Tesla,Model S,electro,2017,35000,391.0,Electric,Sedan,Red,Automatic,6,Norway,Porsgrunn,28387.0
Tesla,Model S,electro,2018,86500,391.0,Electric,Sedan,Black,Automatic,6,Norway,Porsgrunn,26236.0
Citroen,C3,1.6,2006,114000,81.0,Petrol,Hatchback,Gray,Automatic,4,Norway,Skien,3095.14
Citroen,C3,1.6,2006,112000,81.0,Petrol,Hatchback,Gray,Automatic,4,Norway,Skien,4558.0
Mercedes Benz,Eqc,400,2023,6500,304.0,Electric,Suv,Black,Automatic,6,Norway,Hønefoss,59372.0
Ford,Mustang,5.0,2013,52406,426.0,Petrol,Coupe,Black,Manual,5,Norway,Oslo,58942.0
Volvo,Xc60,2.4 d4,2013,255000,121.0,Diesel,Crossover,Gray,Automatic,5,Norway,Drammen,17123.0
Peugeot,308,1.6,2007,165000,81.0,Petrol,Wagon,Gray,Automatic,4,Norway,Skien,2838.0
Bmw,3 Series,320d,2006,227000,121.0,Diesel,Wagon,Silver,Automatic,4,Norway,Skien,5592.0
Bmw,M3,3.0 dkg,2016,89000,321.0,Petrol,Sedan,Gray,Automatic,6,Norway,Al,62384.0
Volkswagen,Touareg,3.0 tdi v6,2017,147000,195.0,Diesel,Suv,Silver,Automatic,6,Norway,Kolbotn,40356.0
Mercedes Benz,Gle-Class,350d 4matic,2018,126000,192.0,Diesel,Suv,Black,Automatic,6,Norway,Sandnes,66170.0
Audi,A4,2.0,2006,189000,178.0,Petrol,Wagon,Silver,Automatic,4,Norway,Skien,7571.0
Tesla,Model X,electro,2017,65000,390.0,Electric,Suv,Black,Automatic,6,Norway,Siggerud,37852.0
Bmw,X5,d,2011,268000,182.0,Diesel,Suv,Black,Automatic,5,Norway,Hønefoss,19777.0
Peugeot,307 Cc,1.6,2007,112953,81.0,Petrol,Convertible,Blue,Manual,4,Norway,Oslo,6014.0
Bmw,X5,d,2011,218000,182.0,Diesel,Suv,Black,Automatic,5,Norway,Sandnes,20565.0
Ford,Galaxy,2.0 duratorq,2016,153000,111.0,Diesel,Mpv,Gray,Manual,6,Norway,Skien,15393.0
Mercedes Benz,C-Class,200d,2019,149900,119.0,Diesel,Wagon,Black,Manual,6,Norway,Sandnes,27526.0
Volkswagen,Caddy,1.4,2019,86890,93.0,Petrol,Pickup,White,Manual,6,Norway,Drammen,14542.0
Bmw,X4m,40i,2018,94820,268.0,Petrol,Suv,Black,Automatic,6,Norway,Stavanger,48961.0
Volkswagen,Passat,1.6 tdi,2015,103000,78.0,Diesel,Wagon,Silver,Automatic,6,Norway,Kolbotn,13681.0
Volkswagen,Caddy,1.4,2019,57000,93.0,Petrol,Pickup,White,Manual,6,Norway,Drammen,15402.0
Volvo,Xc60,2.4 d5,2015,113000,134.0,Diesel,Crossover,White,Automatic,6,Norway,Skien,29170.0
Volvo,Xc60,2.4 d4 awd,2015,108000,121.0,Diesel,Crossover,Gray,Automatic,6,Norway,Stavanger,30108.0
Volkswagen,Touran,1.4,2018,59609,111.0,Petrol,Mpv,Silver,Automatic,6,Norway,Arendal,23921.0
Mercedes Benz,Cls-Class,320 cdi,2009,238400,167.0,Diesel,Sedan,White,Automatic,5,Norway,Porsgrunn,13767.0
Ford,Kuga,2.0 tdci,2014,148000,104.0,Diesel,Suv,Gray,Manual,6,Norway,Skien,13759.0
Bmw,3 Series,325i,2006,191800,162.0,Petrol,Coupe,Gray,Automatic,4,Norway,Kongsvinger,11616.0
Bmw,M5,5.0 v10,2005,141700,378.0,Petrol,Sedan,Black,Automatic,4,Norway,Oslo,38635.0
Nissan,Nv,1.5,2017,109000,82.0,Diesel,Van,Gray,Manual,6,Norway,Ski,9464.0
Dodge,Ram 1500,5.7,2020,59000,295.0,Petrol,Pickup,Black,Automatic,6,Norway,Ski,60224.0
Porsche,911,3.8,2015,22980,417.0,Petrol,Coupe,Silver,Automatic,6,Norway,Oslo,145421.0
Mazda,3,1.6,2012,169000,86.0,Diesel,Hatchback,White,Manual,5,Norway,Stavanger,5937.0
Peugeot,3008,1.6,2011,227900,82.0,Diesel,Crossover,White,Automatic,5,Norway,Oslo,5937.0
Chevrolet,Camaro,6.2,2017,15698,343.0,Petrol,Coupe,Gray,Automatic,6,Norway,Oslo,77357.0
Ford,Transit,2.2,2015,167000,93.0,Diesel,Van,White,Manual,6,Norway,Drammen,8518.0
Tesla,Model S,electro,2018,120000,391.0,Electric,Sedan,Silver,Automatic,6,Norway,Oslo,23060.0
Toyota,Avensis,1.8 vvt-i,2013,152000,109.0,Petrol,Wagon,Red,Automatic,5,Norway,Jessheim,11960.0
Audi,A6,3.0 tdi quattro,2015,147475,202.0,Diesel,Wagon,Blue,Automatic,6,Norway,Gjøvik,34333.0
Bmw,7 Series,750i,2016,109512,334.0,Petrol,Sedan,Black,Automatic,6,Norway,Bryne,56705.0
Porsche,Taycan,turbo,2020,57900,516.0,Electric,Sedan,White,Automatic,6,Norway,Porsgrunn,77434.0
Bmw,7 Series,750li xdrive,2018,60000,334.0,Petrol,Sedan,Black,Automatic,6,Norway,Stavanger,71333.0
Bmw,3 Series,320d,2008,139000,131.0,Diesel,Convertible,Blue,Automatic,4,Norway,Oslo,20642.0
Bmw,X5,xdrive30d,2013,160000,182.0,Diesel,Suv,Black,Automatic,5,Norway,Skien,25728.0
Ford,Transit,2.0,2017,100600,126.0,Petrol,Van,White,Manual,6,Norway,Arendal,27449.0
Porsche,Taycan,4s,2021,35000,425.0,Electric,Sedan,Black,Automatic,6,Norway,Kolbotn,85101.0
Škoda,Octavia,1.8 tsi,2017,126000,133.0,Petrol,Wagon,Gray,Automatic,6,Norway,Kolbotn,18844.0
Jaguar,I-Pace,ev400s,2019,126500,298.0,Electric,Suv,Gray,Automatic,6,Norway,Arendal,25728.0
Land Rover,Range Rover Sport,3.0 sdv6,2018,86000,228.0,Diesel,Suv,Gray,Automatic,6,Norway,Tønsberg,82175.0
Volkswagen,Passat,2.0 tdi scr,2012,211000,104.0,Diesel,Wagon,Black,Automatic,5,Norway,Skien,7916.0
Mercedes Benz,E-Class,63 amg,2014,112247,436.0,Petrol,Wagon,Black,Automatic,6,Norway,Tromsø,59287.0
Ford,Transit Custom,2.0,2020,141000,126.0,Diesel,Van,White,Automatic,6,Norway,Kolbotn,18928.0
Volvo,V60,1.6 d2,2015,131940,85.0,Diesel,Wagon,Gray,Manual,6,Norway,Kristiansand,12038.0
Mercedes Benz,S-Class,63 amg,2017,66000,436.0,Petrol,Sedan,Black,Automatic,6,Norway,Sandnes,91985.0
Škoda,Octavia,1.6 tdi,2010,224000,78.0,Diesel,Wagon,Black,Automatic,5,Norway,Stavanger,5076.0
Maserati,Granturismo,4.7,2010,102000,327.0,Petrol,Coupe,Black,Automatic,5,Norway,Sandnes,57566.0
Bmw,X5,xdrive40d,2015,168500,233.0,Diesel,Suv,Gray,Automatic,6,Norway,Kristiansand,44736.0
Škoda,Octavia,1.4 tsi,2011,175000,90.0,Petrol,Wagon,Gray,Automatic,5,Norway,Jessheim,5937.0
Škoda,Octavia,1.2 tfsi,2011,171000,78.0,Petrol,Wagon,White,Automatic,5,Norway,Skien,7658.0
Nissan,Qashqai,1.5 dci,2011,217450,82.0,Diesel,Crossover,Violet,Manual,5,Norway,Drammen,6014.0
Tesla,Model Y,electro,2022,53000,398.0,Electric,Suv,White,Automatic,6,Norway,Sarpsborg,43712.0
Mercedes Benz,C-Class,200 cdi,2012,152000,101.0,Diesel,Sedan,White,Automatic,5,Norway,Stavanger,11444.0
Tesla,Model Y,0.0 long range,2022,35000,383.0,Electric,Suv,Red,Automatic,6,Norway,Stavanger,43884.0
Tesla,Model Y,0.0 performance,2022,19900,398.0,Electric,Suv,White,Automatic,6,Norway,Stavanger,46218.0
Nissan,Qashqai,1.6,2013,179000,87.0,Petrol,Crossover,Brown,Manual,5,Norway,Jessheim,6797.0
Ford,Mondeo,2.2 tdci,2011,146000,149.0,Diesel,Wagon,White,Manual,5,Norway,Skien,10239.0
Citroen,C3,1.4 vti,2010,146000,70.0,Petrol,Hatchback,Blue,Manual,5,Norway,Stavanger,5076.0
Bmw,X5,40d,2017,141000,233.0,Diesel,Suv,Gray,Automatic,6,Norway,Stavanger,48100.0
Bmw,X5,xdrive40d,2017,135000,233.0,Diesel,Suv,Black,Automatic,6,Norway,Hønefoss,55513.0
Bmw,X5,40d,2017,126000,233.0,Diesel,Suv,Black,Automatic,6,Norway,Sarpsborg,51620.0
Volkswagen,Cc,2.0 tdi,2012,177000,126.0,Diesel,Sedan,Gray,Automatic,5,Norway,Kjenner,11112.0
Volkswagen,Transporter,2.4,2016,220000,111.0,Diesel,Van,Silver,Automatic,6,Norway,As,17123.0
Volvo,Xc60,2.4 d5,2010,181000,121.0,Diesel,Crossover,Gray,Automatic,5,Norway,Skien,14542.0
Porsche,Panamera,4.8 4s,2011,110723,298.0,Petrol,Sedan,Black,Automatic,5,Norway,Vestby,33558.0
Lamborghini,Aventador,6.5 lp 700-4,2012,49524,521.0,Petrol,Coupe,White,Automatic,5,Norway,Vestby,275353.0
Škoda,Octavia,1.5 tsi,2019,86722,111.0,Petrol,Wagon,Silver,Automatic,6,Norway,Arendal,18844.0
Toyota,Prius,1.8,2021,74938,90.0,Hybrid,Hatchback,Black,Automatic,6,Norway,Arendal,19704.0
Land Rover,Range Rover Sport,5.0,2015,122062,410.0,Petrol,Suv,Gray,Automatic,6,Norway,Oslo,84240.0
Volvo,V40 Cross Country,1.6,2014,245000,85.0,Diesel,Wagon,Black,Manual,6,Norway,Drammen,8518.0
Toyota,Auris,1.3,2010,210000,73.0,Petrol,Hatchback,Black,Manual,5,Norway,Skien,6022.0
Toyota,Auris,1.3,2011,219000,73.0,Petrol,Hatchback,Black,Manual,5,Norway,Skien,4732.0
Volvo,Xc60,2.4 d3,2010,255200,121.0,Diesel,Crossover,Blue,Automatic,5,Norway,Stange,8174.0
Tesla,Model Y,electro,2023,7100,398.0,Electric,Suv,Black,Automatic,6,Norway,Tromsø,52403.0
Mazda,Cx-60,2.5,2022,17242,244.0,Hybrid,Suv,Gray,Automatic,6,Norway,Oslo,46371.0
Hyundai,I30,1.6 crdi,2011,146000,67.0,Diesel,Wagon,Silver,Manual,5,Norway,Skien,6453.0
Lexus,Ux,300e,2023,4000,152.0,Electric,Crossover,Gray,Automatic,6,Norway,Bodø,42154.0
Subaru,Outback,2.5,2015,119500,130.0,Petrol,Crossover,Black,Automatic,6,Norway,Skien,17984.0
Toyota,Prius,1.5,2007,101000,85.0,Hybrid,Hatchback,Beige,Automatic,4,Norway,Jessheim,7649.0
Mitsubishi,Outlander,2.4,2009,220459,126.0,Petrol,Suv,Blue,Automatic,5,Norway,Spydeberg,6010.0
Bentley,Flying Spur,6.0 w12,2005,109000,417.0,Petrol,Sedan,Blue,Automatic,4,Norway,Drammen,60233.0
Volvo,Xc60,2.4 d5,2012,192000,121.0,Diesel,Crossover,Black,Automatic,5,Norway,Trondheim,16263.0
Mercedes Benz,Gle-Class,43 amg,2017,133000,273.0,Petrol,Coupe,Black,Automatic,6,Norway,Skien,64535.0
Opel,Vivaro,1.6,2018,34808,93.0,Diesel,Van,Gray,Manual,6,Norway,Arendal,38635.0
Toyota,Prius,1.8,2009,98000,73.0,Hybrid,Hatchback,White,Automatic,5,Norway,Skien,9385.0
Opel,Insignia,2.0,2011,167000,97.0,Diesel,Sedan,Black,Manual,5,Norway,Sola,5082.0
Peugeot,308,1.2 vti,2015,108003,97.0,Petrol,Wagon,White,Manual,6,Norway,Eidsvoll,10239.0
Bmw,3 Series,320i xdrive,2016,69000,137.0,Petrol,Sedan,Silver,Automatic,6,Norway,Levanger,24867.0
Bentley,Flying Spur,6.0 w12,2010,100150,417.0,Petrol,Sedan,Black,Automatic,5,Norway,Mandal,56783.0
Opel,Insignia,2.0 cdti,2012,157200,97.0,Diesel,Wagon,Gray,Manual,5,Norway,Sandnes,6797.0
Mercedes Benz,Gle-Class,43 amg,2017,95500,273.0,Petrol,Coupe,Silver,Automatic,6,Norway,Lillestrøm,63085.0
Honda,Hr-V,1.5 i-vtec,2016,98000,97.0,Petrol,Crossover,White,Automatic,6,Norway,Stavanger,15402.0
Jaguar,I-Pace,ev400hse,2018,95000,298.0,Electric,Suv,Silver,Automatic,6,Norway,Oslo,28394.0
Mercedes Benz,Gle-Class,400 4matic,2017,63000,248.0,Petrol,Coupe,Silver,Automatic,6,Norway,Stavanger,54201.0
Bmw,X1,xdrive18d,2014,153200,101.0,Diesel,Suv,Black,Automatic,6,Norway,Arendal,13595.0
Alfa Romeo,Stelvio,2.9,2018,80000,380.0,Petrol,Crossover,Red,Automatic,6,Norway,Sandnes,72194.0
Toyota,Hilux,2.4,2018,154000,111.0,Diesel,Pickup,Red,Automatic,6,Norway,Ski,25805.0
Citroen,C4 Cactus,1.2,2014,81000,61.0,Petrol,Hatchback,White,Manual,6,Norway,Drammen,8602.0
Isuzu,D-Max,1.9,2021,27413,121.0,Diesel,Pickup,Orange,Automatic,6,Norway,Tromsø,51542.0
Isuzu,D-Max,1.9,2022,75789,121.0,Diesel,Pickup,Orange,Automatic,6,Norway,Ski,36992.0
Volkswagen,Touran,2.0,2007,257856,104.0,Diesel,Mpv,Black,Automatic,4,Norway,Spydeberg,4116.0
