Make,Model,Year,Fuel type,Body type,Color,City,Transmission,Contact,Trim,Emission standard,Price(EUR),Mileage(km),kW,Country
Volkswagen,Polo,2018,Diesel,Hatchback,Gray,Brøndby,Manual,https://usedcars.leaseplan.com/da-dk/volkswagen-polo/1816383-dk-volkswagen-polo.html,1.6 TDI,6,19439,98000,70.0,Denmark
Toyota,Auris,2013,Petrol,Hatchback,Gray,Aarup,Manual,https://seek4cars.net/biler-til-salg/toyota/auris/1-6-valvematic-t2-132hk-5d-6g/98dcbd8c-e526-4f83-af90-b1573558c54c,1.6 VVT-i,5,16085,91000,98.0,Denmark
Volkswagen,Touran,2017,Diesel,Mpv,Black,Fredericia,Automatic,https://www.bilbasen.dk/brugt/bil/vw/touran/16-tdi-115-comfortline-dsg-5d/6001155,1.6 TDI,6,25490,177000,85.0,Denmark
Volkswagen,Touran,2017,Diesel,Mpv,White,Odder,Automatic,https://bilhandel.dk/vw-touran-20-tdi-150-highline-dsg-7prs/id-1545576,2.0 TDI,6,34868,102000,150.0,Denmark
Volkswagen,Up!,2014,Petrol,Mini,White,Holmegaard,Manual,https://bilhandel.dk/vw-up-10-60-life-up-bmt/id-1573464,1.0,6,6694,211000,60.0,Denmark
Opel,Crossland X,2017,Petrol,Suv,Silver,Aarup,Manual,https://www.bilbasen.dk/brugt/bil/opel/crossland-x/12-t-110-innovation-5d/6020588,1.2 Turbo,6,18098,51000,82.0,Denmark
Volkswagen,Touran,2020,Petrol,Mpv,Black,Varde,Automatic,https://bilhandel.dk/vw-touran-15-tsi-150-comfortline-dsg-7prs/id-1476156,1.5 tsi,6,46942,66000,150.0,Denmark
Mazda,Mx-5 Miata,2018,Petrol,Convertible,Beige,Herlev,Manual,https://www.bilbasen.dk/brugt/bil/mazda/mx-5/20-skyactiv-g-160-roadster-2d/5975992,2.0,6,37551,20800,119.0,Denmark
Seat,Leon,2020,Petrol,Hatchback,White,Frederikssund,Automatic,https://bilhandel.dk/seat-leon-15-tsi-150-fr-st-dsg/id-1556775,1.5 tsi,6,33513,36000,150.0,Denmark
Audi,Q2,2017,Diesel,Crossover,Black,Ballerup,Manual,https://www.bilbasen.dk/brugt/bil/audi/q2/16-tdi-116-sport-5d/4978765,1.6 TDI,6,30843,45000,86.0,Denmark
