Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact,Euro norm
"6,498 EUR (164,000 CZK)",Citroen,C4,1.6 HDi,"123,767 km",2013,Diesel,Hatchback,Gray,Kroměříž,68 kW (92 HP),Manual,https://www.annonce.cz/inzerat/citroen-c4-1-6-hdi-72413927-wpwb77.html,
"11,848 EUR (298,999 CZK)",Volkswagen,Sharan,2.0 TDI,"208,012 km",2012,Diesel,Van,Brown,Olbramovice,103 kW (140 HP),Manual,https://autocaris.cz/detail.php?inzerat=728147,
"34,866 EUR (879,900 CZK)",Chevrolet,Colorado,2.8,"61,175 km",2018,Diesel,Pickup,Black,Praha,135 kW (184 HP),Automatic,https://yauto.cz/chevrolet/colorado/28-td-4x4-duramax-zr2-bose-kamera-tempomat-pick-up-nafta-828113/,
"2,654 EUR (66,999 CZK)",Audi,A4,2.0,"123,456 km",2001,Petrol,Sedan,White,Brno,96 kW (131 HP),Manual,https://www.cars.cz/inzerce/osobni-auto-O/Audi/A4/A4-2-0-BEZ-KOR-Sedan-Limuzina-170915598286427.html,
"25,756 EUR (649,999 CZK)",Ford,Ranger,3.2,"164,455 km",2016,Diesel,Pickup,Black,Olbramovice,147 kW (200 HP),Automatic,https://www.sauto.cz/osobni/detail/ford/ranger/204876189,
"9,906 EUR (249,999 CZK)",Volvo,S80,3.0 T6,"183,192 km",2010,Petrol,Sedan,Blue,Olbramovice,224 kW (305 HP),Automatic,https://www.automodul.cz/volvo-s80-3-0-t6-224kw-awd-cz-executive-c2648069,
"12,997 EUR (328,000 CZK)",Volkswagen,Transporter,2.0 TDI,"312,500 km",2012,Diesel,Van,Silver,Praha,103 kW (140 HP),Manual,https://www.automodul.cz/volkswagen-caravelle-2-0-tdi-103kw-lwb-comfortline-c2713562,
"13,869 EUR (350,000 CZK)",Volkswagen,Sharan,2.0 TDI,"116,000 km",2012,Diesel,Van,Black,Lubenec,103 kW (140 HP),Automatic,https://www.sauto.cz/osobni/detail/volkswagen/sharan/202894396,
"17,435 EUR (439,999 CZK)",Audi,A8,4.1 TDI,"324,287 km",2011,Diesel,Sedan,Black,Praha,258 kW (351 HP),Automatic,https://www.sauto.cz/osobni/detail/audi/a8/204376737,
"53,461 EUR (1,349,150 CZK)",Mercedes Benz,Eqc,400,"16,775 km",2023,Electric,Suv,Red,Olomouc,300 kW (408 HP),Automatic,https://yauto.cz/mercedes-benz/eqc/400-4m-amg-zaruka-0428-cz-suv-elektro-846056/,
"10,263 EUR (259,000 CZK)",Volkswagen,Tiguan,2.0 TDI,"209,817 km",2012,Diesel,Crossover,Red,Průhonice,103 kW (140 HP),Manual,https://www.annonce.cz/inzerat/volkswagen-tiguan-2-0-72592429-w5b9mf.html,
