Make,Model,Year,Fuel type,Body type,Color,City,Transmission,Contact,Trim,Emission standard,Price(EUR),Mileage(km),kW,Country
Audi,Sq2,2024,Petrol,Crossover,NA,NA,Automatic,https://www.azw.ch/de/angebot/398/audi-sq2-tfsi-quattro-301ps-s-tronic-automat-33?&page_number=1,2.0 TFSI S Tronic,6,50507,7,224.0,Switzerland
Mercedes Benz,Eqc,2023,Electric,Suv,NA,NA,Automatic,https://www.azw.ch/de/angebot/116/mercedes-eqc-400-amg-line-4matic-408ps-automat?&page_number=4,400,6,51548,20900,304.0,Switzerland
Tesla,Model 3,2023,Electric,Sedan,NA,NA,Automatic,https://www.azw.ch/de/angebot/1114/tesla-model-3-performance-dual-motor-awd-534ps-automat?&page_number=7,0.0 performance,6,41447,8800,398.0,Switzerland
Volkswagen,Tiguan,2022,Petrol,Crossover,Black,St Gallen,Automatic,https://www.autolina.ch/auto/vw-tiguan/4064407,2.0 TSI,6,52048,22200,238.0,Switzerland
Volkswagen,Tiguan,2022,Petrol,Crossover,Black,St Gallen,Automatic,https://www.autolina.ch/auto/vw-tiguan/4070945,2.0 TSI,6,52881,19700,238.0,Switzerland
Volkswagen,Tiguan,2022,Petrol,Crossover,Black,St Gallen,Automatic,https://www.autolina.ch/auto/vw-tiguan/4055639,2.0 TSI,6,53090,18700,238.0,Switzerland
Ford,Focus,2020,Petrol,Sedan,Black,Stäfa,Automatic,https://www.carforyou.ch/de/auto/saloon/ford/focus/10-scti-st-line-automatic-4659096,1.0,6,23743,46500,93.0,Switzerland
Peugeot,5008,2012,Diesel,Mpv,White,Basel,Automatic,https://www.autolina.ch/auto/peugeot-5008/4087534,1.6 HDi,5,6977,195000,83.0,Switzerland
Bmw,5 Series,2013,Petrol,Sedan,White,Basel,Automatic,https://www.autolina.ch/auto/bmw-550/4111511,550i xDrive,5,20817,93000,304.0,Switzerland
Bmw,X5,2012,Diesel,Suv,Gray,Basel,Automatic,https://www.autolina.ch/auto/bmw-x5/4101528,40d,5,16651,166000,228.0,Switzerland
Land Rover,Range Rover Sport,2017,Petrol,Suv,Black,St Gallen,Automatic,https://www.autolina.ch/auto/land-rover-range-rover-sport/4105874,5.0,6,60286,89950,380.0,Switzerland
Volvo,V40,2012,Petrol,Wagon,Blue,Basel,Automatic,https://www.autolina.ch/auto/volvo-v40/4070291,1.6,5,12288,120000,134.0,Switzerland
Peugeot,508,2019,Diesel,Sedan,Blue,Wohlen,Automatic,https://www.autolina.ch/auto/peugeot-508/4081626,2.0,6,24981,84010,134.0,Switzerland
Volkswagen,Golf,2015,Petrol,Sedan,Black,Zurich,Automatic,https://www.autolina.ch/auto/vw-golf/4107959,2.0 R,6,28690,64550,224.0,Switzerland
Bmw,4 Series,2017,Petrol,Sedan,Silver,Stäfa,Automatic,https://www.autolina.ch/auto/bmw-440/4083852,440i,6,44571,115300,268.0,Switzerland
Porsche,911,2002,Petrol,Coupe,Blue,Zurich,Automatic,https://www.autolina.ch/auto/porsche-911/4106118,3.6,3,41551,173500,238.0,Switzerland
Seat,Ateca,2019,Petrol,Suv,White,St Gallen,Automatic,https://www.autolina.ch/auto/seat-ateca/4109060,2.0 TSI,6,33209,78800,223.0,Switzerland
Bmw,3 Series,2013,Petrol,Wagon,Blue,Stäfa,Automatic,https://www.autolina.ch/auto/bmw-335/4094009,335i,5,25826,142200,228.0,Switzerland
Porsche,Macan,2019,Petrol,Suv,Gray,Stäfa,Automatic,https://www.autolina.ch/auto/porsche-macan/4111519,3.0 s,6,62264,77400,263.0,Switzerland
Peugeot,508,2018,Petrol,Sedan,Blue,Stäfa,Automatic,https://www.autolina.ch/auto/peugeot-508/4043180,1.6 puretech,6,34782,41800,167.0,Switzerland
Land Rover,Evoque,2019,Petrol,Suv,Black,Stäfa,Automatic,https://www.autolina.ch/auto/land-rover-range-rover-evoque/4064939,2.0,6,41551,41500,216.0,Switzerland
Volkswagen,Scirocco,2009,Petrol,Coupe,Black,Stäfa,Automatic,https://www.carforyou.ch/de/auto/coupe/vw/scirocco/20-tsi-dsg-4555876,2.0 TSI,5,13329,99990,149.0,Switzerland
Bmw,X3,2005,Diesel,Suv,Gray,Basel,Automatic,https://www.autolina.ch/auto/bmw-x3/4103548,D,4,4998,199000,152.0,Switzerland
Jeep,Grand Cherokee,2020,Petrol,Suv,White,Zurich,Automatic,https://www.autolina.ch/auto/jeep-grand-cherokee/4114018,6.4 SRT8,6,57266,81350,348.0,Switzerland
Peugeot,207 Cc,2011,Petrol,Convertible,Gray,Altstätten,Manual,https://www.autolina.ch/auto/peugeot-207/4107673,1.6,5,8226,77000,116.0,Switzerland
Audi,Sq5,2019,Diesel,Suv,Green,Zurich,Automatic,https://www.autolina.ch/auto/audi-sq5/4035223,3.0 TDI,6,51017,53000,258.0,Switzerland
Volvo,S60,2015,Diesel,Sedan,Gray,Basel,Automatic,https://www.autolina.ch/auto/volvo-s60/4099162,2.0 D4,6,18734,87000,141.0,Switzerland
Jeep,Compass,2021,Petrol,Crossover,Black,Winterthur,Automatic,https://www.autolina.ch/auto/jeep-compass/4068292,1.3,6,30085,47420,112.0,Switzerland
Volkswagen,Golf,2023,Petrol,Sedan,Silver,Zurich,Automatic,https://www.autolina.ch/auto/vw-golf/4107961,2.0 R,6,39104,11150,142.0,Switzerland
Seat,Ibiza,2011,Petrol,Wagon,White,Wetzikon,Manual,https://www.autolina.ch/auto/seat-ibiza/4094292,1.2 TSI,5,8122,90000,78.0,Switzerland
Cupra,Formentor,2023,Petrol,Crossover,White,Winterthur,Automatic,https://www.autolina.ch/auto/cupra-formentor/4121423,2.0 TSI,6,33105,25917,142.0,Switzerland
Cupra,Formentor,2023,Petrol,Crossover,Black,Winterthur,Automatic,https://www.autolina.ch/auto/cupra-formentor/4121422,2.0 TSI,6,32168,15273,142.0,Switzerland
Porsche,Cayman,2013,Petrol,Coupe,White,St Gallen,Automatic,https://www.autolina.ch/auto/porsche-cayman/4055702,2.7,5,51954,67900,205.0,Switzerland
