Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact
"38,499 EUR (439,000 NOK)",Tesla,Model X,electro,"92,000 km",2016,Electric,Suv,Gray,Siggerud,247 kW (336 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=338922360
"14,023 EUR (159,900 NOK)",Opel,Mokka,1.6,"160,900 km",2016,Diesel,Crossover,Gray,Fredrikstad,101 kW (137 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=342984202
"18,092 EUR (206,305 NOK)",Nissan,X-Trail,1.6,"103,250 km",2015,Diesel,Suv,White,Trondheim,97 kW (132 HP),Manual,https://www.finn.no/car/used/ad.html?finnkode=341090669
"29,304 EUR (334,147 NOK)",Bmw,5 Series,,"190,000 km",2017,Diesel,Wagon,Gray,Al,141 kW (192 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=328746591
"11,313 EUR (129,000 NOK)",Citroen,Ds5,1.6 THP,"122,000 km",2013,Petrol,Hatchback,White,Kolbotn,85 kW (116 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=340994462
"32,360 EUR (369,000 NOK)",Bmw,5 Series,520d,"122,500 km",2017,Diesel,Wagon,Gray,Trondheim,141 kW (192 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=342425275
"6,130 EUR (69,900 NOK)",Peugeot,307 Cc,1.6,"112,953 km",2007,Petrol,Convertible,Blue,Oslo,81 kW (110 HP),Manual,https://www.finn.no/car/used/ad.html?finnkode=314197004
"28,054 EUR (319,900 NOK)",Mercedes Benz,C-Class,200D,"149,900 km",2019,Diesel,Wagon,Black,Sandnes,119 kW (162 HP),Manual,https://www.finn.no/car/used/ad.html?finnkode=342934426
"20,960 EUR (239,000 NOK)",Tesla,Model S,electro,"180,000 km",2016,Electric,Sedan,Brown,Stavanger,67 kW (91 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=341379515
"11,313 EUR (129,000 NOK)",Mercedes Benz,E-Class,,"165,000 km",2010,Diesel,Sedan,Silver,Kristiansand,126 kW (171 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=341141282
