Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Price(EUR),Mileage(km),kW,Emission standard,Country
Ford,Ecosport,1.0,2018,Petrol,Suv,Silver,Steyr,Manual,https://www.gebrauchtwagen.at/fahrzeuge/ford-ecosport-titanium-navi-erstbesitz-benzin/b991b8e6-a45d-4c23-87f5-62f0b68d1a20,13980,62000,93.0,6,Austria
Renault,Trafic,1.6,2017,Diesel,Van,White,Spittal An Der Drau,Manual,https://www.zweispurig.at/renault-trafic-gebrauchtwagen-diesel-weiss-kaernten/details-1171118,18990,120300,90.0,6,Austria
Volkswagen,Touran,2.0,2019,Diesel,Mpv,Gray,Perchtoldsdorf,Automatic,https://www.dasweltauto.at/vehicle/16657214,17590,180950,86.0,6,Austria
Škoda,Octavia,1.6,2016,Diesel,Wagon,Gray,Salzburg,Manual,https://www.zweispurig.at/skoda-octavia-gebrauchtwagen-diesel-grau-salzburg/details-1157510,10900,229000,82.0,6,Austria
Bmw,X5,xDrive35d,2008,Diesel,Suv,White,Wien,Automatic,https://www.zweispurig.at/bmw-x5-gebrauchtwagen-diesel-weiss-wien/details-1236279,17890,197000,213.0,4,Austria
Citroen,C4 Spacetourer,1.6 BlueHDI,2019,Diesel,Mpv,White,Steyr,Manual,https://www.gebrauchtwagen-markt.at/autoboerse/511146-citroen-c4-spacetourer-bluehdi-led-navi-kamera-acc.html,15850,167000,97.0,6,Austria
Bmw,5 Series,530d,2002,Diesel,Sedan,Black,Hall In Tirol,Automatic,https://www.zweispurig.at/bmw-5er-gebrauchtwagen-diesel-schwarz-tirol/details-1194607,14990,212000,143.0,3,Austria
Volkswagen,Tiguan,2.0 TDI,2016,Diesel,Crossover,Black,Lienz,Manual,https://www.zweispurig.at/vw-tiguan-gebrauchtwagen-diesel-schwarz-tirol/details-1231872,15900,140000,82.0,6,Austria
Volkswagen,Tiguan,2.0 TDI 4Motion,2016,Diesel,Crossover,Black,Lustenau,Automatic,https://www.zweispurig.at/vw-tiguan-gebrauchtwagen-diesel-schwarz-vorarlberg/details-1216625,25950,107000,111.0,6,Austria
Volkswagen,Golf,1.6 TDI,2020,Diesel,Wagon,White,Steyr,Manual,https://www.gebrauchtwagen.at/fahrzeuge/volkswagen-golf-variant-tdi-led-navi-acc-ahv-massage-diesel/e2a1a6b6-8e57-4968-bd66-0d58199ea8f0,16750,133000,86.0,6,Austria
Renault,Trafic,1.6 dci,2018,Diesel,Van,Blue,Spittal An Der Drau,Manual,https://www.zweispurig.at/renault-trafic-gebrauchtwagen-diesel-blau-kaernten/details-1230453,17970,131300,89.0,6,Austria
Škoda,Octavia,1.6,2017,Diesel,Wagon,Black,Ried Im Innkreis,Automatic,https://www.zweispurig.at/skoda-octavia-gebrauchtwagen-diesel-schwarz-oberoesterreich/details-1225001,14750,160000,86.0,6,Austria
Škoda,Karoq,1.6 TDI,2019,Diesel,Suv,Black,Wels,Manual,https://www.zweispurig.at/skoda-karoq-gebrauchtwagen-diesel-schwarz-oberoesterreich/details-1195758,19990,121000,86.0,6,Austria
Audi,A4,2.0 TDI quattro,2009,Diesel,Sedan,White,Steyr,Manual,https://www.zweispurig.at/audi-a4-gebrauchtwagen-diesel-weiss-oberoesterreich/details-1222150,7499,284000,106.0,5,Austria
Škoda,Octavia,2.0 rs tdi,2018,Diesel,Wagon,Black,Steyr,Automatic,https://www.zweispurig.at/skoda-octavia-gebrauchtwagen-diesel-schwarz-oberoesterreich/details-1195115,19499,147000,137.0,6,Austria
Škoda,Octavia,1.6 TDI,2018,Diesel,Sedan,Brown,Wien,Automatic,https://www.zweispurig.at/skoda-octavia-gebrauchtwagen-diesel-braun-wien/details-1230468,17890,105000,86.0,6,Austria
Škoda,Octavia,2.0 TDI,2019,Diesel,Wagon,Gray,Steyr,Manual,https://www.gebrauchtwagen.at/fahrzeuge/skoda-octavia-combi-style-2-0-tdi-led-navi-kamera-diesel/a3ccebc8-4251-4433-aacc-d2c6e89c83fb,16850,162000,111.0,6,Austria
Škoda,Octavia,1.6 TDI,2019,Diesel,Wagon,Gray,Steyr,Automatic,https://www.gebrauchtwagen-markt.at/autoboerse/510534-skoda-octavia-combi-tdi-limited-navi-acc-kamera-lane.html,17250,115000,86.0,6,Austria
Škoda,Octavia,1.6 TDI,2019,Diesel,Wagon,Gray,Stockerau,Automatic,https://www.zweispurig.at/skoda-octavia-gebrauchtwagen-diesel-grau-niederoesterreich/details-1238203,16490,106300,86.0,6,Austria
Bmw,5 Series,525i,2005,Diesel,Sedan,Black,Leoben,Automatic,https://www.zweispurig.at/bmw-5er-gebrauchtwagen-diesel-schwarz-steiermark/details-1219627,11900,158600,131.0,4,Austria
Bmw,X1,xDrive18d,2015,Diesel,Suv,Black,Telfs,Manual,https://www.zweispurig.at/bmw-x1-gebrauchtwagen-diesel-schwarz-tirol/details-1211252,19990,96022,111.0,6,Austria
Volkswagen,Golf,2.0,2016,Diesel,Convertible,White,Telfs,Manual,https://www.zweispurig.at/vw-golf-gebrauchtwagen-diesel-weiss-tirol/details-1209719,19900,59990,82.0,6,Austria
Kia,Sportage,1.6 GDi,2019,Petrol,Crossover,Silver,Wien,Manual,https://www.zweispurig.at/kia-sportage-gebrauchtwagen-diesel-mehrere-erhaeltlich-wien/details-1196097,19880,117047,86.0,6,Austria
Mazda,6,2.0,2010,Petrol,Sedan,Blue,Linz,Manual,https://www.zweispurig.at/mazda-mazda6-gebrauchtwagen-benzin-blau-oberoesterreich/details-1204274,7490,133600,115.0,5,Austria
Mazda,3,2.0,2015,Petrol,Hatchback,White,Stockerau,Manual,https://www.zweispurig.at/mazda-mazda3-gebrauchtwagen-benzin-weiss-niederoesterreich/details-1209656,10990,143500,89.0,6,Austria
Mazda,Cx-60,3.3,2023,Hybrid,Suv,Blue,Wels,Automatic,https://www.zweispurig.at/mazda-cx-60-gebrauchtwagen-diesel-blau-oberoesterreich/details-1181558,49980,16500,149.0,6,Austria
Audi,A6,2.0 TDI Ultra,2015,Diesel,Wagon,Gray,Braunau Am Inn,Automatic,https://www.zweispurig.at/audi-a6-gebrauchtwagen-diesel-grau-oberoesterreich/details-1165341,20499,116000,141.0,6,Austria
Ford,Transit Custom,2.0,2018,Diesel,Van,Black,Spittal An Der Drau,Manual,https://www.zweispurig.at/ford-transit-custom-gebrauchtwagen-diesel-schwarz-kaernten/details-1235388,23970,99900,97.0,6,Austria
Audi,A4,2.0,2008,Diesel,Sedan,Gray,Braunau Am Inn,Manual,https://www.zweispurig.at/audi-a4-gebrauchtwagen-diesel-grau-oberoesterreich/details-1228516,7999,215000,106.0,4,Austria
Audi,A6,3.0 TDI Quattro,2016,Diesel,Wagon,White,Wien,Automatic,https://www.zweispurig.at/audi-a6-gebrauchtwagen-diesel-weiss-wien/details-1208829,19440,246907,162.0,6,Austria
Mazda,3,2.0,2015,Petrol,Hatchback,White,Stockerau,Manual,https://www.zweispurig.at/mazda-mazda3-gebrauchtwagen-benzin-weiss-niederoesterreich/details-1231862,9490,197000,89.0,6,Austria
Volkswagen,Passat,2.0,2013,Diesel,Wagon,Black,Braunau Am Inn,Manual,https://www.zweispurig.at/vw-passat-gebrauchtwagen-diesel-schwarz-oberoesterreich/details-1196261,11999,157000,104.0,5,Austria
Bmw,X1,20d,2012,Diesel,Suv,Black,Ried Im Innkreis,Manual,https://www.zweispurig.at/bmw-x1-gebrauchtwagen-diesel-schwarz-oberoesterreich/details-1226097,13500,165000,131.0,5,Austria
Volkswagen,Passat,2.0,2015,Diesel,Wagon,Gray,Salzburg,Automatic,https://www.zweispurig.at/vw-passat-gebrauchtwagen-diesel-grau-salzburg/details-1208450,16900,220000,141.0,6,Austria
Volkswagen,Caddy,2.0,2018,Diesel,Pickup,White,Wien,Manual,https://www.zweispurig.at/vw-caddy-gebrauchtwagen-diesel-weiss-wien/details-1230698,13990,105500,55.0,6,Austria
Volkswagen,Passat,2.0 TDI,2015,Diesel,Wagon,Gray,Lustenau,Automatic,https://www.zweispurig.at/vw-passat-gebrauchtwagen-diesel-grau-vorarlberg/details-1214944,14450,190400,111.0,6,Austria
Bmw,X1,18d,2014,Diesel,Suv,Blue,Salzburg,Automatic,https://www.zweispurig.at/bmw-x1-gebrauchtwagen-diesel-blau-salzburg/details-1227669,14900,180000,106.0,6,Austria
Volkswagen,Passat,1.6,2016,Diesel,Wagon,Silver,Salzburg,Manual,https://www.zweispurig.at/vw-passat-gebrauchtwagen-diesel-silber-salzburg/details-1222519,13990,155699,89.0,6,Austria
Alfa Romeo,Giulietta,1.4,2018,Petrol,Sedan,Black,Villach,Manual,https://www.zweispurig.at/alfa-romeo-giulietta-gebrauchtwagen-benzin-schwarz-kaernten/details-1218438,17990,63183,111.0,6,Austria
Volvo,S60,2.0,2016,Diesel,Sedan,Silver,Steyr,Manual,https://www.gebrauchtwagen-markt.at/autoboerse/510922-volvo-s60-d2-momentum-winterpaket-navi-xenon.html,16990,75000,89.0,6,Austria
Volkswagen,Cc,2.0,2008,Diesel,Sedan,Gray,Salzburg,Manual,https://www.zweispurig.at/vw-passat-cc-gebrauchtwagen-diesel-grau-salzburg/details-1206006,7900,300000,104.0,4,Austria
Audi,A3,1.6 30 TDI,2019,Diesel,Sedan,Blue,Wels,Manual,https://www.dasweltauto.at/vehicle/4633600145,18590,59390,86.0,6,Austria
Audi,Q5,3.0 TDI Quattro,2013,Diesel,Suv,Gray,Braunau Am Inn,Automatic,https://www.zweispurig.at/audi-q5-gebrauchtwagen-diesel-grau-oberoesterreich/details-1236524,18999,179000,182.0,5,Austria
Seat,Leon,2.0 FR,2016,Diesel,Hatchback,Blue,Salzburg,Automatic,https://www.zweispurig.at/seat-leon-gebrauchtwagen-diesel-blau-salzburg/details-1165619,16500,155000,111.0,6,Austria
Škoda,Scala,1.0,2021,Petrol,Sedan,Blue,Salzburg,Manual,https://www.zweispurig.at/skoda-scala-gebrauchtwagen-benzin-blau-salzburg/details-1164755,19900,48000,70.0,6,Austria
Škoda,Superb,2.0,2016,Diesel,Wagon,White,Bruck An Der Mur,Automatic,https://www.zweispurig.at/skoda-superb-gebrauchtwagen-diesel-weiss-steiermark/details-1170978,22990,139530,141.0,6,Austria
Bmw,X1,xDrive20i,2019,Petrol,Suv,Gray,Telfs,Automatic,https://www.zweispurig.at/bmw-x1-gebrauchtwagen-benzin-grau-tirol/details-1225359,25990,104870,143.0,6,Austria
Opel,Zafira,2.0,2018,Diesel,Mpv,Silver,Steyr,Automatic,https://www.gebrauchtwagen-markt.at/autoboerse/509232-opel-zafira-innovation-cdti-led-navi-kamera.html,17850,125000,97.0,6,Austria
Fiat,Tipo,1.6,2019,Diesel,Hatchback,Black,Steyr,Automatic,https://www.gebrauchtwagen.at/fahrzeuge/fiat-tipo-sw-business-led-xenon-navi-acc-diesel/dc3e1716-c836-4722-aeb1-536dee2caf07,12450,145000,89.0,6,Austria
Audi,A5,2.0,2013,Diesel,Convertible,Black,Braunau Am Inn,Manual,https://www.zweispurig.at/audi-a5-gebrauchtwagen-diesel-schwarz-oberoesterreich/details-1223708,16999,189000,106.0,5,Austria
Škoda,Superb,2.0,2017,Diesel,Wagon,Blue,Braunau Am Inn,Manual,https://www.zweispurig.at/skoda-superb-gebrauchtwagen-diesel-blau-oberoesterreich/details-1229587,17499,171000,111.0,6,Austria
Seat,Exeo,2.0 TDI,2013,Diesel,Wagon,Gray,Steyr,Manual,https://www.zweispurig.at/seat-exeo-gebrauchtwagen-diesel-grau-oberoesterreich/details-1224408,7499,186000,106.0,5,Austria
