Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Price(EUR),Mileage(km),kW,Emission standard,Country
Volkswagen,Passat,1.4 GTE,2020,Hybrid,Wagon,Silver,Hofheim,Automatic,https://www.12gebrauchtwagen.de/c/16/1420709050?num_on_page=2&page=37&title=VW+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,24750,81999,160.0,6,Germany
Ford,Ecosport,1.0 EcoBoost,2019,Petrol,Suv,Gray,Ulm,Manual,https://hey.car/vehicle/34e051bd-4246-42be-8e66-9679a7dcfe4f?dealerId=cf1b69d0-b20e-4ccd-a94e-7ef427295b2f,18280,22910,104.0,6,Germany
Ford,Fiesta,1.0,2021,Petrol,Sedan,White,Norderstedt,Automatic,https://hey.car/vehicle/17f0aaa0-1fbf-43df-95bc-ae255d2e9d03?dealerId=c60733b8-1d7d-455c-bc69-363ff082062b,17500,11571,93.0,6,Germany
Ford,Ranger,2.0 TDCi,2020,Diesel,Pickup,Blue,Aachen,Automatic,https://www.moll-automobile.de/fahrzeug/386423904/Pkw/ford-ranger-doppelkabine-4x4-raptor-2-0-tdci-panther,47980,16500,158.0,6,Germany
Audi,S3,2.0 TFSI Quattro,2012,Petrol,Sedan,Black,Villingen Schwenningen,Manual,https://www.12gebrauchtwagen.de/c/4/1414056296?num_on_page=3&page=27&premium=false&title=Audi+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,12900,223778,195.0,5,Germany
Bmw,X3,M40d,2021,Diesel,Suv,Silver,Rain,Automatic,https://www.12gebrauchtwagen.de/c/16/1426177213?num_on_page=1&page=15&title=BMW+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,53750,53313,250.0,6,Germany
Dacia,Dokker,1.6 SCe,2018,Petrol,Van,Blue,Walsrode,Manual,https://www.12gebrauchtwagen.de/c/4/1426641915?num_on_page=2&page=13&title=Dacia+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,8570,140910,75.0,6,Germany
Volkswagen,T-Cross,1.0 tsi,2022,Petrol,Crossover,Black,Rain,Manual,https://www.instamotion.com/auto/T89O-LXGT-NF1Y,18780,61900,70.0,6,Germany
Volkswagen,T-Cross,1.0 tsi,2022,Petrol,Crossover,Black,Neu Ulm,Manual,https://www.12gebrauchtwagen.de/c/16/1418968880?num_on_page=3&page=96&title=VW+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,19660,15960,70.0,6,Germany
Citroen,C1,1.0,2020,Petrol,Mini,Black,Magdeburg,Automatic,https://hey.car/vehicle/6c8a0908-9c5b-458d-87e0-c77bf27053ad?dealerId=5187d5e4-d7fc-4e6e-8691-35b079f7eb4e,11480,26780,53.0,6,Germany
