Price,Make,Model,Trim,Mi,Year,Fuel type,Euro norm,Body type,Color,City,Power,Transmission,Contact
"19,714 EUR (7,750,690 HUF)",Citroen,Jumpy,1.6,,2024,Diesel,,Van,,Szeged,88 kW (120 HP),Manual,https://hovany.hu/autok/citroen/jumpy-15-bluehdi-l2-3-szemelyes-startstop-keszletrol-elerheto-kavosz-lizing-5/20232209
"24,062 EUR (9,460,000 HUF)",Citroen,Jumper,2.2 HDi,,2024,Diesel,,Van,,Szeged,103 kW (140 HP),Manual,https://hovany.hu/autok/citroen/jumper-22-bluehdi-33-l1h1-raktarkeszletrol-azzonal-kavosz-5-os-thm/20231286
"14,426 EUR (5,671,618 HUF)",Citroen,C3,1.2 puretech,,2024,Petrol,,Hatchback,,Szeged,61 kW (83 HP),Manual,https://hovany.hu/autok/citroen/c3-12-puretech-profi-feel-plus-ss-kavosz/20223689
"14,289 EUR (5,617,800 HUF)",Citroen,C3,1.6,,2024,Diesel,,Hatchback,,Szeged,75 kW (102 HP),Manual,https://hovany.hu/autok/citroen/c3-15-bluehdi-profi-feel-ss-kavosz-5/20256092
"12,692 EUR (4,990,000 HUF)",Peugeot,508,2.0 bluehdi,"148,541 km",2016,Diesel,,Sedan,White,Budakalász,133 kW (181 HP),Automatic,https://joautok.hu/hasznaltauto/peugeot/508/508-20-bluehdi-gt-eat6-mo-i-148e-km-vezszkonyvnaviteli-gumi-bor180le-seat6-valtoafa-s/00rzehy/
"23,758 EUR (9,340,640 HUF)",Citroen,Jumper,2.2 HDi,,2024,Diesel,,Van,,Szeged,103 kW (140 HP),Manual,https://hovany.hu/autok/citroen/jumper-22-bluehdi-33-l1h1-2-szemelyes-5-kavosz-finanszirozas-keszletrol-azonnal-elerheto/20233277
"22,861 EUR (8,987,700 HUF)",Citroen,Jumper,2.2 HDi,,2024,Diesel,,Van,,Szeged,88 kW (120 HP),Manual,https://hovany.hu/autok/citroen/jumper-22-bluehdi-30-l2h1-2-szemelyes-szemelyre-szabottan-rendelheto-5-kavosz-lizing/20266831
"14,282 EUR (5,615,000 HUF)",Citroen,C3,1.6,,2023,Diesel,,Hatchback,,Szeged,75 kW (102 HP),Manual,https://hovany.hu/autok/citroen/c3-15-bluehdi-profi-feel-ss-azonnal-keszletrol-tobb-dbkavosz-5-thmmar-csak-2024-majusig/20285487
"14,554 EUR (5,722,010 HUF)",Citroen,C3,1.6,,2024,Diesel,,Hatchback,,Szeged,75 kW (102 HP),Manual,https://hovany.hu/autok/citroen/c3-15-bluehdi-profi-feel-ss-azonnal-keszletrol-akar-tobb-db-is-kavosz-5-thm/20297699
"14,241 EUR (5,598,890 HUF)",Citroen,C3,1.6,,2024,Diesel,,Hatchback,,Szeged,75 kW (102 HP),Manual,https://hovany.hu/autok/citroen/c3-15-bluehdi-profi-feel-ss-azonnal-keszletrol-tobb-dbkavosz-5-thm/20249567
"28,681 EUR (11,275,840 HUF)",Citroen,Jumper,2.2 HDi,,2024,Diesel,,Van,,Szeged,121 kW (165 HP),Manual,https://hovany.hu/autok/citroen/jumper-22-bluehdi-35-heavy-l4h3-raktarkeszleten-levo-azonnal-atveheto-tobb-darabos-keszlet/20231805
"28,550 EUR (11,224,500 HUF)",Citroen,Jumper,2.2 HDi,,2024,Diesel,,Van,,Szeged,121 kW (165 HP),Manual,https://hovany.hu/autok/citroen/jumper-22-bluehdi-35-heavy-l3-5-kavosz-tobb-db-is-azonnal-elerheto/20255536
"27,720 EUR (10,898,110 HUF)",Citroen,Jumper,2.2 HDi,,2024,Diesel,,Van,,Szeged,121 kW (165 HP),Manual,https://hovany.hu/autok/citroen/jumper-22-bluehdi-35-heavy-l4-platos-citroen-jumper-keszletrol-kavosz-5-thm/20323444
"27,420 EUR (10,780,000 HUF)",Citroen,Jumper,2.2 HDi,,2024,Diesel,,Van,,Szeged,121 kW (165 HP),Manual,https://hovany.hu/autok/citroen/jumper-22-bluehdi-35-heavy-l4h3-raktarkeszleten-levo-azonnal-atveheto-tobb-darabos-keszlet/20348109
"27,146 EUR (10,672,600 HUF)",Citroen,Jumper,2.2 HDi,,2024,Diesel,,Van,,Szeged,103 kW (140 HP),Manual,https://hovany.hu/autok/citroen/jumper-22-bluehdi-35-l3-azonnal-keszletrol-tobb-dbkavosz-5-thm/20231980
"25,352 EUR (9,967,200 HUF)",Citroen,Jumper,2.2 HDi,,2024,Diesel,,Van,,Szeged,103 kW (140 HP),Manual,https://hovany.hu/autok/citroen/jumper-22-bluehdi-35-l3h2-kavosz-5-keszletrol-elerheto/20329034
"25,326 EUR (9,957,100 HUF)",Citroen,Jumper,2.2 HDi,,2024,Diesel,,Van,,Szeged,103 kW (140 HP),Manual,https://hovany.hu/autok/citroen/jumper-22-bluehdi-35-l3h2-keszletrol-elerheto-kavosz-5-thm/20322516
"84,606 EUR (33,262,504 HUF)",Mercedes Benz,300,3.0 D,10 km,2023,Diesel,,Wagon,,Budaörs,176 kW (239 HP),Automatic,https://hovany.hu/autok/mercedes-benz/v-osztaly-v-300-bluetec-d-k-automata/20313779
"15,236 EUR (5,990,000 HUF)",Mercedes Benz,C-Class,,"242,486 km",2017,Diesel,,Wagon,Black,Budakalász,125 kW (170 HP),Automatic,https://joautok.hu/hasznaltauto/mercedes-benz/c-osztaly/c-220-t-d-9g-tronic-rendszeresen-karbantartott-teli-nyari-kerekek-ulesfutes-navi-vonohorog-1/s2eght8/
"10,683 EUR (4,200,000 HUF)",Škoda,Octavia,1.8 TSI,"188,640 km",2015,Petrol,,,Gray,Budakalász,132 kW (180 HP),Automatic,https://joautok.hu/hasznaltauto/skoda/octavia/octavia-18-tsi-elegance-dsg-euro-6-mo-i-188e-km-vezetett-szkonyv-automata-valto-ulesfutes-riaszto-afa-s-2/k24yvd6/
"15,236 EUR (5,990,000 HUF)",Mazda,Cx-5,2.5,"193,703 km",2015,Petrol,,Crossover,White,,141 kW (192 HP),Automatic,https://joautok.hu/hasznaltauto/mazda/cx-5/cx-5-25i-revolution-top-awd-automata-magyar-1-tulaj-vezetett-szervizkonyves-4/uubdmbn/
"27,470 EUR (10,800,000 HUF)",Ford,Puma,1.0 EcoBoost,,2023,Petrol,,Crossover,Black,Székesfehérvár,114 kW (155 HP),Automatic,https://www.szalonauto.hu/szemelyauto/ford/puma/ford_puma_1.0_ecoboost_mhev_vivid_ruby_edition_dct_azonnali_keszletrol_rovid_atadasi_hataridovel_teljeskoru_ugyintezessel-20179278
"32,609 EUR (12,820,000 HUF)",Nissan,Qashqai,1.3 DIG-T,5 km,2024,Petrol,,Crossover,Blue,Budapest,116 kW (158 HP),Automatic,https://joautok.hu/hasznaltauto/nissan/qashqai/qashqai-13-dig-t-mild-hybrid-tekna-x-tronic-tesztauto-keszpenzes-vasarlas-eseten-1/kwn9dhr/
"38,026 EUR (14,949,800 HUF)",Mazda,6,2.5 i Sport,1 km,2023,Petrol,,Wagon,Green,,143 kW (194 HP),Automatic,https://www.szalonauto.hu/szemelyauto/mazda/6/mazda_6_sport_2.5i_skyactiv_homura_automata_navi_keszleten_akar_4.9_thm_markekereskedesbol-20162328
"37,693 EUR (14,819,000 HUF)",Citroen,C4,,"5,999 km",2023,Electric,,Hatchback,White,Kecskemét,100 kW (136 HP),Automatic,https://www.szalonauto.hu/szemelyauto/citroen/c4/citroen_c4_e-c4_50kwh_shine_magas_felszereltseg_alacsony_ar-19797767
"44,001 EUR (17,299,000 HUF)",Nissan,X-Trail,1.5,5 km,2024,Petrol,,Suv,White,Budapest,116 kW (158 HP),Automatic,https://joautok.hu/hasznaltauto/nissan/x-trail/x-trail-15-e-power-e-4orce-n-connec-automata-7-szemely-keszletrol-nagy-kedvezmennyel-0-os-thm-mel-3-zonas-klima-4-ulesfutes-7-szeme-1/syh9gss/
"10,174 EUR (3,999,999 HUF)",Škoda,Octavia,2.0 TDI,"139,606 km",2013,,,Wagon,,Nyíregyháza,150 kW (204 HP),,https://www.startapro.hu/hirdetesek/auto_jarmu_gep-auto/hirdetes/skoda-octavia-iii-2-0-cr-tdi-clever/gi108184869d712g101hf300554dg70d.html
"20,832 EUR (8,190,000 HUF)",Toyota,Corolla,,"43,282 km",2020,,,,Black,,72 kW (98 HP),,https://usedcars.leaseplan.com/hu-hu/toyota-corolla/1594025-hu-toyota-corolla.html
"19,560 EUR (7,690,000 HUF)",Volkswagen,Tiguan,2.0,"97,285 km",2018,Diesel,,Crossover,,Budakalász,110 kW (150 HP),Manual,https://joautok.hu/hasznaltauto/volkswagen/tiguan/tiguan-20-tdi-bmt-scr-trendline-mo-i-97e-kmvezetett-szkonyvulesfutese-h-radarvonohorog-teli-gumiafa-s-4/u9rg3tt/
"26,682 EUR (10,490,000 HUF)",Toyota,Corolla,1.8,5 km,2024,Petrol,,Sedan,Silver,Győr,72 kW (98 HP),Automatic,https://www.szalonauto.hu/szemelyauto/toyota/corolla/toyota_corolla_sedan_1.8_hybrid_comfort_style_tech_e-cvt_azonnal_keszletrol-20315831
"18,186 EUR (7,150,000 HUF)",Volvo,V40,2.0,"30,150 km",2017,Petrol,,Wagon,,Miskolc,112 kW (152 HP),,https://www.startapro.hu/hirdetesek/auto_jarmu_gep-auto/hirdetes/elado-volvo-v40-t3-momentum-1969-cm3-112-kw-30-150-km-t-futott-megkimelt-gepkocsi/860d92gd1dgi7557eh6417dd2d6h7i28.html
"8,368 EUR (3,290,000 HUF)",Fiat,Ducato,2.5 TD,"215,000 km",1987,Diesel,,Van,,Hajdúsámson,75 kW (102 HP),,https://www.startapro.hu/hirdetesek/auto_jarmu_gep-auto/hirdetes/koltozes-miatt-elado-jo-allapotu-fiat-ducato-lakoauto-friss-muszakival-csere-is/d219dii4ifgi7f8e21361e1551i6i043.html
"13,964 EUR (5,490,000 HUF)",Nissan,Qashqai,1.2,"102,923 km",2018,Petrol,,Crossover,White,Budakalász,85 kW (116 HP),Automatic,https://joautok.hu/hasznaltauto/nissan/qashqai/qashqai-12-dig-t-acenta-xtronic-moi-102e-km-vezetett-szkonyv-e-h-radar-afa-s-5/0wdh5az/
"19,712 EUR (7,750,000 HUF)",Mazda,Cx-5,2.0,"94,180 km",2018,Petrol,,Crossover,Black,,121 kW (165 HP),Manual,https://joautok.hu/hasznaltauto/mazda/cx-5/cx-5-20i-attraction-vegig-vezetett-szervizkonyves-teli-kerek-garnituraval-1/ecegasa/
"16,119 EUR (6,337,300 HUF)",Citroen,Jumper,2.0,"123,520 km",2020,Petrol,,Van,,,96 kW (131 HP),,https://www.hasznaltautok.hu/vehicle?vehicle=17597790
"17,779 EUR (6,990,000 HUF)",Audi,A4,,"182,452 km",2018,,,Sedan,,,110 kW (150 HP),Automatic,https://usedcars.leaseplan.com/hu-hu/audi-a4/1489366-hu-audi-a4.html
"27,722 EUR (10,899,000 HUF)",Citroen,C4,1.2 puretech,,2024,Petrol,,,,Szeged,96 kW (131 HP),Automatic,https://www.szalonauto.hu/szemelyauto/citroen/c4_x/citroen_c4_x_1.2_puretech_max_eat8_keszletes_azonnal_atveheto_szemelyre_szabottan_rendeles_eseten_2-3_honap_atvet-20273692
"26,233 EUR (10,313,590 HUF)",Citroen,C4,1.2 puretech,,2024,Petrol,,,,Szeged,96 kW (131 HP),Automatic,https://www.szalonauto.hu/szemelyauto/citroen/c4_x/citroen_c4_x_1.2_puretech_plus_eat8_keszletrol_elerheto-20255618
"167,852 EUR (65,990,000 HUF)",Mercedes Benz,Eqs Suv,580,2 km,2023,Electric,,Suv,Blue,Kecskemét,400 kW (544 HP),Automatic,https://hovany.hu/autok/mercedes-benz/eqs-suv-580-4matic-7-szemelyes-azonnal-keszletrol/20046120
"19,051 EUR (7,490,000 HUF)",Toyota,Corolla,,"119,818 km",2019,,,,,,90 kW (122 HP),,https://usedcars.leaseplan.com/hu-hu/toyota-corolla/1684879-hu-toyota-corolla.html
"9,894 EUR (3,890,000 HUF)",Hyundai,I30,,"143,080 km",2018,,,Wagon,,,81 kW (110 HP),,https://usedcars.leaseplan.com/hu-hu/hyundai-i30/1502281-hu-hyundai-i30.html
"17,771 EUR (6,986,540 HUF)",Citroen,Berlingo,1.5 bluehdi,,2024,Diesel,,,,Szeged,75 kW (102 HP),Automatic,https://hovany.hu/autok/citroen/berlingo-15-bluehdi-100-m-3-szemelyes-keszletrol-elerheto-berlingo-furgon/20328949
"31,603 EUR (12,424,500 HUF)",Citroen,Berlingo,,,2024,Electric,,,,Szeged,100 kW (136 HP),Automatic,https://hovany.hu/autok/citroen/berlingo-e-berlingo-50kwh-xl-automata-3-szemelyes-azonnal-keszletrol-tobb-dbkavosz-5-thm/20273038
