Price,Make,Model,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact,Trim,Euro norm
"24,500 EUR",Audi,A1,"30,471 km",2020,Petrol,Mini,Black,Genk,86 kW (117 HP),Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/audi/a1/audi-a1-2020-vente-516927?,1.0 30 TFSI,6
"49,950 EUR",Bmw,X4,"52,735 km",2020,Diesel,Suv,Black,Bastogne,141 kW (192 HP),Automatic,https://www.autogids.be/detail-id--9373312--bmw-20d-m-sport-x/tweedehands.html,,6
"16,400 EUR",Hyundai,I30,"104,555 km",2019,Petrol,Wagon,Blue,Tienen,104 kW (141 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/hyundai-i30-essence-0547005/,1.4,9
"30,990 EUR",Volkswagen,Tiguan,"53,662 km",2019,Petrol,Crossover,Gray,Tienen,111 kW (151 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/volkswagen-tiguan-essence-0554802/,1.5,6
"37,777 EUR",Volvo,V60,"56,044 km",2021,Petrol,Wagon,Gray,Rotselaar,141 kW (192 HP),Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/volvo/v60/volvo-v60-vente-516215?,2.0 t4,9
"38,995 EUR",Bmw,X6,"86,905 km",2017,Diesel,Suv,Gray,Brugge,157 kW (214 HP),Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/bmw/x6/bmw-x6-vente-553103?,,6
"24,990 EUR",Audi,Q2,"77,800 km",2020,Diesel,Crossover,Gray,Oostkamp,150 kW (204 HP),Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/audi/q2/audi-q2-2020-vente-552943?,2.0,6
"44,990 EUR",Audi,A5,"28,427 km",2023,Diesel,Sedan,Black,Tongeren,152 kW (207 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a5-diesel-0544107/,2.0 40 TDI,6
"32,995 EUR",Bmw,X5,"139,308 km",2015,Diesel,Suv,Black,Brugge,192 kW (261 HP),Automatic,https://www.autogids.be/detail-id--9426643--bmw-3-0das-xdrive-m-pack-navi-panodak-harman-kar/tweedehands.html,,6
"19,990 EUR",Audi,A1,"40,619 km",2019,Petrol,Mini,White,Tienen,86 kW (117 HP),Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/audi/a1/audi-a1-2019-vente-532571?,1.0 30 TFSI,6
"49,990 EUR",Audi,A5,"23,125 km",2022,Petrol,Sedan,Black,Herent,152 kW (207 HP),Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/audi/a5/audi-a5-2022-vente-527006?,2.0,6
"47,990 EUR",Audi,A5,"10,830 km",2022,Petrol,Convertible,Green,Genk,152 kW (207 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a5-essence-0543530/,2.0,6
"129,999 EUR",Porsche,Taycan,"16,705 km",2021,Electric,Sedan,Black,Houthalen Helchteren,425 kW (578 HP),Automatic,https://www.autogids.be/detail-id--9448661--porsche-verkocht-sold-vendu/tweedehands.html,4S,6
"114,950 EUR",Porsche,Taycan,"14,300 km",2022,Electric,Sedan,Black,Izegem,284 kW (386 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/porsche-taycan-electrique-0411709/,,6
"28,850 EUR",Bmw,4 Series,"65,240 km",2019,Diesel,Coupe,Black,Hasselt,121 kW (165 HP),Automatic,https://www.autogids.be/detail-id--9454715--bmw-da-adblue-coupe-luxury-pack-business/tweedehands.html,,6
"36,500 EUR",Audi,A4,"64,889 km",2021,Diesel,Wagon,Gray,Genk,121 kW (165 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a4-diesel-0540769/,2.0,6
"116,990 EUR",Audi,Rsq8,"34,308 km",2021,Petrol,Suv,Gray,Overpelt,447 kW (608 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-rs-q8-essence-0545310/,4.0,6
"19,995 EUR",Ford,S-Max,"106,409 km",2018,Diesel,Mpv,Blue,Brugge,111 kW (151 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/ford-s-max-diesel-0537192/,2.0,6
"39,900 EUR",Mercedes Benz,C-Class,"37,000 km",2021,Diesel,Coupe,Silver,Overpelt,144 kW (196 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/mercedes-benz-c-220-diesel-0504741/,220 D,6
"19,990 EUR",Audi,Q3,"122,300 km",2015,Petrol,Crossover,Black,Tienen,111 kW (151 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-q3-essence-0540223/,1.4 TFSI,6
"43,495 EUR",Audi,Q4,"25,023 km",2022,Electric,Crossover,Black,Olen,126 kW (171 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-q4-electrique-0541028/,,6
