Price,Make,Model,Trim,Mi,Year,Fuel type,Euro norm,Body type,Color,City,Power,Transmission,Contact
"20,300 EUR",Ford,C-Max,1.5,"98,000 km",2018,Diesel,6,Mpv,Black,Salzburg,89 kW (121 HP),Manual,https://www.zweispurig.at/ford-c-max-gebrauchtwagen-diesel-schwarz-salzburg/details-1164032
"37,100 EUR",Saic,Mg5,electro,7 km,2023,Electric,,Hatchback,Black,Innsbruck,116 kW (158 HP),Automatic,https://www.zweispurig.at/mg-mg5-vorfuehrwagen-elektro-schwarz-tirol/details-1096331
"19,990 EUR",Seat,Leon,2.0,"34,580 km",2020,Diesel,6,Hatchback,Silver,Wels,86 kW (117 HP),Manual,https://www.dasweltauto.at/vehicle/4633600129
"15,000 EUR",Mazda,Cx-5,2.2 D,"108,000 km",2014,Diesel,6,Crossover,Black,Ried Im Innkreis,130 kW (177 HP),Manual,https://www.zweispurig.at/mazda-cx-5-gebrauchtwagen-diesel-schwarz-oberoesterreich/details-1233043
"62,990 EUR",Lexus,Lc,500h,"125,300 km",2018,Hybrid,6,Coupe,Red,Salzburg,267 kW (363 HP),Automatic,https://www.zweispurig.at/lexus-lc-gebrauchtwagen-benzin-rot-salzburg/details-1228584
"19,890 EUR",Land Rover,Evoque,2.2,"169,000 km",2014,Diesel,6,Suv,Black,Wien,111 kW (151 HP),Automatic,https://www.zweispurig.at/land-rover-range-rover-evoque-gebrauchtwagen-diesel-schwarz-wien/details-1203646
"25,980 EUR",Mercedes Benz,Vito,111 CDI,"21,500 km",2018,Diesel,6,Van,White,Spittal An Der Drau,85 kW (116 HP),Manual,https://www.zweispurig.at/mercedes-benz-vito-gebrauchtwagen-diesel-weiss-kaernten/details-1185343
"16,450 EUR",Audi,A3,1.6 TDI,"109,300 km",2018,Diesel,6,Sedan,Black,Wien,86 kW (117 HP),Automatic,https://www.zweispurig.at/audi-a3-gebrauchtwagen-diesel-schwarz-niederoesterreich/details-1225684
"21,200 EUR",Škoda,Superb,2.0,"115,000 km",2020,Diesel,6,Wagon,Silver,Ried Im Innkreis,111 kW (151 HP),Manual,https://www.zweispurig.at/skoda-superb-gebrauchtwagen-diesel-silber-oberoesterreich/details-1224954
"8,990 EUR",Volkswagen,Sharan,2.0 TDI,"322,000 km",2013,Diesel,5,Van,Black,Vienna,104 kW (141 HP),Automatic,https://www.gebrauchtwagen.at/fahrzeuge/volkswagen-sharan-sky-dsg-7-sitzer-xenon-leder-panorama-diesel/a0fe5143-4bcd-41bf-b2ed-cd64eee56899
"13,800 EUR",Ford,Mondeo,2.0 TDCi,"159,000 km",2015,Diesel,6,Wagon,Gray,Wien,111 kW (151 HP),Manual,https://www.gebrauchtwagen.at/fahrzeuge/ford-mondeo-traveller-titanium-2-0-tdci-start-stop-diesel/6318d8b4-df53-4197-ac1b-e5aec3d73d37
"17,990 EUR",Bmw,3 Series,330d,"147,000 km",2011,Diesel,5,Convertible,Brown,Schwechat,182 kW (248 HP),Automatic,https://www.gebrauchtwagen.at/fahrzeuge/bmw-330-330d-cabrio-aut-voll-kredit-garantie-diesel/a8b3a989-817e-496a-a5a6-75aa32c39a0d
"15,900 EUR",Ford,Mondeo,2.0 TDCi,"103,580 km",2015,Diesel,6,Wagon,Silver,Graz,111 kW (151 HP),Manual,https://www.gebrauchtwagen.at/fahrzeuge/ford-mondeo-traveller-trend-2-0-tdci-diesel/048951ff-b1b6-463d-bd1f-56e96ce44f04
"11,090 EUR",Renault,Megane,1.2 TCe,"129,479 km",2015,Petrol,5,Wagon,Gray,Wien,98 kW (133 HP),,https://www.gebrauchtwagen.at/fahrzeuge/renault-megane-1-2-tce-gt-line-aut-tempo-pdc-hi-szh-bt-benzin/d84dd41a-20ea-4199-9f1d-b0dedb0a1aaf
"35,990 EUR",Bmw,4 Series,435 Gran Coupe,"109,000 km",2016,Diesel,6,Coupe,Brown,Ansfelden,233 kW (317 HP),Automatic,https://www.gebrauchtwagen.at/fahrzeuge/bmw-435-435d-xdrive-gran-coupe-m-sport-aut-diesel/442d3887-1b93-4323-bcb4-36f381287973
"8,690 EUR",Smart,Forfour,1.0,"47,006 km",2015,Petrol,6,Hatchback,Black,Wien,52 kW (71 HP),,https://www.gebrauchtwagen.at/fahrzeuge/smart-forfour-1-0-basis-passion-alu-tempo-pdc-hi-klima-benzin/d8c31681-96e7-4139-a99e-4b8243f56476
"17,950 EUR",Mercedes Benz,Citan,1.5,"72,841 km",2019,Diesel,,Van,Gray,Graz,86 kW (117 HP),Manual,https://www.gebrauchtwagen.at/fahrzeuge/mercedes-benz-citan-tourer-116-dci-5-sitzer-diesel/c2c55f7b-b4ca-418d-bd59-8ab530342140
"15,500 EUR",Renault,Espace,1.6 dci,"201,000 km",2015,Diesel,6,Mpv,Gray,Wien,119 kW (162 HP),Automatic,https://www.gebrauchtwagen.at/fahrzeuge/renault-espace-initiale-paris-energy-dci-160-edc-diesel/0609203f-9d85-4724-baf1-0278d990b076
"19,990 EUR",Audi,A8,3.0 TDI,"239,890 km",2011,Diesel,5,Sedan,Black,Wien,186 kW (253 HP),Automatic,https://www.gebrauchtwagen.at/fahrzeuge/audi-a8-3-0-tdi-quattro-tiptronic-diesel/3b8d0ae9-c265-435f-bb4b-03b45047a235
"12,990 EUR",Ford,Kuga,2.0 TDCi,"92,102 km",2017,Diesel,,Suv,White,Wien,111 kW (151 HP),,https://www.gebrauchtwagen.at/fahrzeuge/ford-kuga-titanium-voll-fahrbereit-92-102km-diesel/cf5d29d5-2cd7-4b84-a692-e4f2dc2d2631
"16,999 EUR",Ford,Kuga,1.5,"90,000 km",2017,Petrol,6,Suv,Gray,Braunau Am Inn,89 kW (121 HP),Manual,https://www.gebrauchtwagen.at/fahrzeuge/ford-kuga-1-5-tdci-titanium-wenig-km-navi-pdc-diesel/90a9d1d3-08d9-483a-9870-fc72fe9d1d75
"40,500 EUR",Lexus,Nx,,"27,726 km",2021,Petrol,6,Suv,Black,Enns,115 kW (156 HP),Automatic,https://www.zweispurig.at/lexus-nx-gebrauchtwagen-benzin-schwarz-steiermark/details-1233645
"10,900 EUR",Smart,Forfour,1.0,"41,566 km",2017,Petrol,6,Hatchback,Black,Salzburg,52 kW (71 HP),Manual,https://www.gebrauchtwagen.at/fahrzeuge/smart-forfour-viele-top-extras-neues-pickerl-wenig-kilometer-benzin/03538d13-9c2e-42a9-ba67-ba527f4ca2e7
"12,790 EUR",Citroen,C4,1.6,"72,000 km",2016,Diesel,6,Sedan,Black,Wien,89 kW (121 HP),Automatic,https://www.gebrauchtwagen.at/fahrzeuge/citroen-c4-bluehdi-120-s-s-eat6-shine-neues-pickerl-diesel/22d21b07-0faa-4177-bf33-3cedc56cb925
"16,990 EUR",Bmw,4 Series,420 Gran Coupe,"219,988 km",2017,Diesel,6,Coupe,White,Wien,141 kW (192 HP),Manual,https://www.gebrauchtwagen.at/fahrzeuge/bmw-420-420d-gran-coupe-m-sport-diesel/ccdb845e-78ea-4633-9e11-7d1a0430d657
"28,940 EUR",Alfa Romeo,Stelvio,2.0,"105,323 km",2017,Petrol,,Crossover,Gray,Amstetten,155 kW (211 HP),Automatic,https://www.zweispurig.at/alfa-romeo-stelvio-gebrauchtwagen-diesel-grau-niederoesterreich/details-1230343
"9,999 EUR",Bmw,3 Series,320d,"270,000 km",2009,Diesel,4,Sedan,White,Schwechat,131 kW (178 HP),Manual,https://www.gebrauchtwagen.at/fahrzeuge/bmw-320-320d-ab-werk-m-paket-sbd-navi-kredit-diesel/41850b2d-544a-44cd-a1fe-daf7c0b7c4f0
"13,700 EUR",Bmw,3 Series,318d,"182,000 km",2012,Diesel,5,Sedan,White,Salzburg,106 kW (144 HP),Manual,https://www.gebrauchtwagen.at/fahrzeuge/bmw-318-d-f30-oesterreich-paket-top-zustand-diesel/dc11455f-52ae-4bbb-9dc6-eb5a30bbca18
"13,890 EUR",Ford,Mondeo,1.5,"124,903 km",2016,Diesel,6,Wagon,Gray,Wien,89 kW (121 HP),Manual,https://www.gebrauchtwagen.at/fahrzeuge/ford-mondeo-1-5-titanium-notbrems-assis-spurhalteassis-diesel/981cae4a-fe33-409e-906b-d5227caed3e9
"14,900 EUR",Bmw,3 Series,320i,"147,000 km",2012,Petrol,5,Sedan,Gray,Wien,137 kW (186 HP),Manual,https://www.gebrauchtwagen.at/fahrzeuge/bmw-320-i-f30-limousine-finanzierung-moeglich-benzin/9a9d8e5f-c930-44cc-aa8c-bd89fa104e53
"16,999 EUR",Bmw,3 Series,320d,"137,000 km",2012,Diesel,5,Sedan,Gray,Braunau Am Inn,137 kW (186 HP),Manual,https://www.gebrauchtwagen.at/fahrzeuge/bmw-320-d-lim-f30-kamera-pdc-szh-diesel/774bd7c5-b14f-4965-99ba-7f74ca63a632
"14,990 EUR",Hyundai,Ioniq,Style,"87,452 km",2018,Electric,,Sedan,Silver,Wien,89 kW (121 HP),Automatic,https://www.gebrauchtwagen.at/fahrzeuge/hyundai-ioniq-elektro-28kwh-style-elektro/1bfaae4e-a1c0-4d04-93d6-35cbf53d4b67
"19,000 EUR",Peugeot,3008,1.2,"86,208 km",2018,Petrol,6,Crossover,Gray,Feldkirchen,97 kW (132 HP),Manual,https://www.gebrauchtwagen.at/fahrzeuge/peugeot-3008-allure-benzin/3d265e95-d06a-43a1-a9be-097171a9458f
"19,290 EUR",Peugeot,3008,1.2,"65,594 km",2018,Petrol,6,Crossover,Black,Wien,97 kW (132 HP),,https://www.gebrauchtwagen.at/fahrzeuge/peugeot-3008-1-2-e-thp-gt-line-spur-cam-totwinkel-navi-benzin/897c39d4-f678-4a7c-b160-9f4670cc7b5f
"19,790 EUR",Peugeot,3008,1.2,"62,183 km",2018,Petrol,6,Crossover,White,Wien,97 kW (132 HP),Manual,https://www.gebrauchtwagen.at/fahrzeuge/peugeot-3008-1-2-e-thp-gt-line-led-360-cam-spur-navi-benzin/5071e0d4-4f82-404f-8c84-27d7a4537f7a
"20,890 EUR",Mazda,2,1.5,4 km,2024,Petrol,,Mini,Gray,Villach,55 kW (75 HP),,https://www.gebrauchtwagen.at/fahrzeuge/mazda-2-g75-homura-benzin/4f2b8b54-69dd-4d50-9c77-c2cbadc54fe7
"9,790 EUR",Mazda,Mx-30,,"21,895 km",2020,Electric,,Crossover,Gray,Wien,108 kW (147 HP),,https://www.gebrauchtwagen.at/fahrzeuge/mazda-mx-30-basis-35-5kwh-gte-elektro/ddceab76-b815-42a0-9679-411914f5fbe3
"30,290 EUR",Ford,Focus,1.5,19 km,2024,Diesel,6,Wagon,Blue,Wörgl,86 kW (117 HP),Automatic,https://www.zweispurig.at/ford-focus-neuwagen-diesel-blau-tirol/details-1192982
"26,150 EUR",Ford,Focus,1.0 EcoBoost,50 km,2023,Petrol,,Sedan,Silver,Steyr,93 kW (126 HP),Manual,https://www.gebrauchtwagen.at/fahrzeuge/ford-focus-1-0-ecoboost-hybrid-st-line-benzin/742ecb0c-a03c-4251-9637-668ce7affdda
"12,290 EUR",Bmw,3 Series,320,"264,000 km",2013,Diesel,5,Wagon,White,Klosterneuburg,137 kW (186 HP),Manual,https://www.gebrauchtwagen.at/fahrzeuge/bmw-320-320xd-m-paket-head-up-ahk-diesel/190b965d-bbcd-40ee-a861-97da78fed696
"14,490 EUR",Toyota,Auris,1.6 VVT-i,"61,200 km",2016,Petrol,,Hatchback,Gray,Villach,82 kW (112 HP),,https://www.gebrauchtwagen.at/fahrzeuge/toyota-auris-1-6-d-4d-active-diesel/31149312-74d5-4d72-883e-1d2510aff33c
"16,490 EUR",Škoda,Fabia,1.0 tsi,"37,192 km",2021,Petrol,,Sedan,Gray,Wien,70 kW (95 HP),Manual,https://www.gebrauchtwagen.at/fahrzeuge/skoda-fabia-1-0-tsi-ambition-led-navi-assist-sitzhzg-benzin/5a7512d4-fa8f-437e-9f29-2c8d9d572491
