Price,Make,Model,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact,Trim
"75,102 EUR (559,800 DKK)",Audi,Q5,"149,000 km",2018,Diesel,Suv,White,Bramming,213 kW (290 HP),Automatic,https://www.bilbasen.dk/brugt/bil/audi/q5/30-tdi-286-s-line-quattro-tiptr-5d/6017999,3.0 TDI Quattro
"24,806 EUR (184,900 DKK)",Renault,Kadjar,"81,000 km",2019,Diesel,Suv,White,Brøndby,85 kW (116 HP),Automatic,https://www.bilbasen.dk/brugt/bil/renault/kadjar/15-dci-115-zen-edc-5d/6015444,1.5 dCi
"32,184 EUR (239,900 DKK)",Volkswagen,Polo,"70,000 km",2020,Petrol,Hatchback,Red,Glostrup,149 kW (203 HP),Automatic,https://www.bilbasen.dk/brugt/bil/vw/polo/20-gti-dsg-5d/6012886,2.0
"18,098 EUR (134,900 DKK)",Dacia,Lodgy Stepway,"45,000 km",2018,Diesel,Mpv,White,Brøndby,67 kW (91 HP),Manual,https://www.bilbasen.dk/brugt/bil/dacia/lodgy-stepway/15-dci-90-7prs-5d/6097516,1.5 dCi
"44,259 EUR (329,900 DKK)",Hyundai,Tucson,"7,512 km",2023,Petrol,Suv,White,Søborg,111 kW (151 HP),Manual,https://www.bilbasen.dk/brugt/bil/hyundai/tucson/16-t-gdi-essential-5d/5937890,1.6 T-GDi
"66,395 EUR (494,900 DKK)",Mercedes Benz,200,"12,000 km",2022,Diesel,Coupe,White,Middelfart,111 kW (151 HP),Automatic,https://www.bilbasen.dk/brugt/bil/mercedes/cla200-d/20-amg-line-coup-aut-4d/6091710,
"29,501 EUR (219,900 DKK)",Volkswagen,Tiguan,"124,000 km",2016,Diesel,Crossover,White,Aarup,141 kW (192 HP),Automatic,https://seek4cars.net/biler-til-salg/vw/tiguan/2-0-tdi-scr-r-line-4motion-dsg-190hk-5d-7g-aut/a535d6a8-1d4b-4681-b234-86bd8b84f77a,2.0 TDI 4Motion
"63,725 EUR (475,000 DKK)",Bmw,Ix3,"29,000 km",2022,Electric,Suv,Gray,Rungsted Kyst,213 kW (290 HP),Automatic,https://www.bilbasen.dk/brugt/bil/bmw/ix3/charged-m-sport-5d/6098784,M Sport
"36,196 EUR (269,800 DKK)",Volkswagen,Id.3,"1,600 km",2023,Electric,Hatchback,Gray,Varde,152 kW (207 HP),Automatic,https://www.bilbasen.dk/brugt/bil/vw/id3/pro-performance-5d/6019908,
"26,563 EUR (198,000 DKK)",Tesla,Model 3,"168,000 km",2020,Electric,Sedan,Gray,Tisvildeleje,228 kW (310 HP),Automatic,https://www.bilbasen.dk/brugt/bil/tesla/model-3/standard-range-rwd-4d/6099905,0.0 range standard
"80,469 EUR (599,800 DKK)",Mercedes Benz,Eqe,"6,000 km",2023,Electric,Sedan,White,Sønderborg,217 kW (295 HP),Automatic,https://www.bilbasen.dk/brugt/bil/mercedes/eqe350/amg-line-4d/5871019,350
"31,514 EUR (234,900 DKK)",Tesla,Model 3,"110,000 km",2019,Electric,Sedan,Black,Odense,366 kW (498 HP),Automatic,https://www.bilbasen.dk/brugt/bil/tesla/model-3/long-range-awd-4d/6099199,0.0 long range
"25,087 EUR (187,000 DKK)",Ford,Puma,"45,000 km",2021,Petrol,Crossover,Gray,Asnæs,93 kW (126 HP),Manual,https://www.bilbasen.dk/brugt/bil/ford/puma/10-ecoboost-mhev-titanium-5d/6047436,1.0 EcoBoost
"36,209 EUR (269,900 DKK)",Volkswagen,Tiguan,"80,000 km",2018,Petrol,Crossover,White,Thisted,111 kW (151 HP),Automatic,https://www.bilbasen.dk/brugt/bil/vw/tiguan/14-tsi-150-comfortline-dsg-4motion-5d/5848326,1.4 TSI
"38,208 EUR (284,800 DKK)",Kia,Soul Ev,"11,000 km",2023,Electric,Mpv,White,Vodskov,152 kW (207 HP),Automatic,https://www.bilbasen.dk/brugt/bil/kia/e-soul/64-premium-5d/5995058,
"26,831 EUR (199,995 DKK)",Hyundai,Tucson,"100,000 km",2017,Petrol,Suv,Brown,Jelling,131 kW (178 HP),Automatic,https://www.bilbasen.dk/brugt/bil/hyundai/tucson/16-t-gdi-premium-dct-4wd-5d/6074997,1.6 T-GDi
"26,818 EUR (199,900 DKK)",Audi,A1,"32,000 km",2021,Petrol,Mini,Black,Fredericia,82 kW (112 HP),Manual,https://www.bilbasen.dk/brugt/bil/audi/a1/30-tfsi-sportback-5d/6100147,1.0 30 TFSI
"29,501 EUR (219,900 DKK)",Bmw,4 Series,"171,000 km",2017,Diesel,Coupe,Gray,Aarup,141 kW (192 HP),Automatic,https://seek4cars.net/biler-til-salg/bmw/420d/gran-coup-2-0-d-steptronic-190hk-5d-8g-aut/8ca8d5e2-0e94-4506-a733-df87dba10279,420d
"25,476 EUR (189,900 DKK)",Bmw,5 Series,"66,996 km",2019,Diesel,Sedan,Black,Ringsted,141 kW (192 HP),Automatic,https://www.autouncle.dk/en/d/4646044-used-bmw-520-d-2-0-sport-line-aut,520d
"20,123 EUR (150,000 DKK)",Volkswagen,Polo,"76,000 km",2016,Petrol,Hatchback,Black,Gadstrup,70 kW (95 HP),Automatic,https://www.bilbasen.dk/brugt/bil/vw/polo/10-tsi-95-bluemotion-dsg-5d/6014973,1.0 TSI DSG
"19,439 EUR (144,900 DKK)",Volkswagen,Polo,"98,000 km",2018,Diesel,Hatchback,Gray,Brøndby,70 kW (95 HP),Manual,https://usedcars.leaseplan.com/da-dk/volkswagen-polo/1816383-dk-volkswagen-polo.html,1.6 TDI
"16,085 EUR (119,900 DKK)",Toyota,Auris,"91,000 km",2013,Petrol,Hatchback,Gray,Aarup,98 kW (133 HP),Manual,https://seek4cars.net/biler-til-salg/toyota/auris/1-6-valvematic-t2-132hk-5d-6g/98dcbd8c-e526-4f83-af90-b1573558c54c,1.6 VVT-i
"25,490 EUR (189,999 DKK)",Volkswagen,Touran,"177,000 km",2017,Diesel,Mpv,Black,Fredericia,85 kW (116 HP),Automatic,https://www.bilbasen.dk/brugt/bil/vw/touran/16-tdi-115-comfortline-dsg-5d/6001155,1.6 TDI
"34,868 EUR (259,900 DKK)",Volkswagen,Touran,"102,000 km",2017,Diesel,Mpv,White,Odder,150 kW (204 HP),Automatic,https://bilhandel.dk/vw-touran-20-tdi-150-highline-dsg-7prs/id-1545576,2.0 TDI
"6,694 EUR (49,900 DKK)",Volkswagen,Up!,"211,000 km",2014,Petrol,Mini,White,Holmegaard,60 kW (82 HP),Manual,https://bilhandel.dk/vw-up-10-60-life-up-bmt/id-1573464,1.0
