Make,Model,Year,Fuel type,Body type,Color,City,Transmission,Contact,Trim,Price(EUR),Mileage(km),kW,Emission standard,Country
Volkswagen,Golf,2020,Petrol,Wagon,Black,Halen,Automatic,https://www.vroom.be/fr/voitures-occasion/volkswagen-golf-gti-essence-0510796/,2.0 GTI,28690,34596,182.0,6,Belgium
Mazda,Cx-5,2024,Petrol,Crossover,Black,Turnhout,Automatic,https://www.vroom.be/fr/voitures-occasion/mazda-cx-5-essence-0556454/,2.0,37700,580,121.0,6,Belgium
Peugeot,308,2019,Petrol,Wagon,White,Peruwelz,Manual,https://www.vroom.be/fr/voitures-occasion/peugeot-308-essence-0465469/,1.2 vti,12490,95482,96.0,6,Belgium
Land Rover,Range Rover Sport,2016,Diesel,Suv,Blue,Brugge,Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/land-rover/range-rover-sport/land-rover-range-rover-sport-vente-523797?,3.0,21995,199504,215.0,6,Belgium
Land Rover,Range Rover Sport,2016,Diesel,Suv,Blue,Andenne,Automatic,https://www.vroom.be/fr/voitures-occasion/land-rover-range-rover-sport-diesel-0374228/,3.0,30999,127320,192.0,6,Belgium
Ford,Focus,2020,Petrol,Wagon,Black,Harelbeke,Manual,https://www.vroom.be/fr/voitures-occasion/ford-focus-essence-0503026/,2.3,32950,20858,208.0,6,Belgium
Mercedes Benz,Glc-Class,2019,Petrol,Suv,Gray,Genk,Automatic,https://www.vroom.be/fr/voitures-occasion/mercedes-benz-glc-43-amg-essence-0502107/,43 AMG,44950,60500,273.0,6,Belgium
Alfa Romeo,Stelvio,2021,Petrol,Crossover,Blue,Roeselare,Automatic,https://www.vroom.be/fr/voitures-occasion/alfa-romeo-stelvio-essence-0285430/,2.0,43500,21523,208.0,6,Belgium
Ford,S-Max,2018,Diesel,Mpv,Black,Brugge,Manual,https://www.vroom.be/fr/voitures-occasion/ford-s-max-diesel-0537873/,2.0,17495,111949,89.0,6,Belgium
Audi,Rsq8,2023,Petrol,Suv,Silver,Wevelgem,Automatic,https://www.vroom.be/fr/voitures-neuves/audi-rs-q8-essence-0553149/,4.0,141000,11250,447.0,6,Belgium
