Price,Make,Model,Trim,Mi,Year,Fuel type,Euro norm,Body type,Color,City,Power,Transmission,Contact
"14,790 EUR",Kia,Venga,1.6,"65,000 km",2019,Petrol,6,Mini,Silver,Müllheim,92 kW (125 HP),Automatic,https://www.12gebrauchtwagen.de/c/4/1410248102?num_on_page=4&page=17&title=Kia+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"7,950 EUR",Hyundai,Ix20,,"114,000 km",2013,Petrol,5,Hatchback,Green,Neumarkt in der Oberpfalz,66 kW (90 HP),Manual,https://www.12gebrauchtwagen.de/c/4/1424839323?num_on_page=4&page=12&title=Hyundai+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"17,830 EUR",Mercedes Benz,B-Class,180,"70,450 km",2018,Petrol,,Sedan,Black,Friedberg,90 kW (122 HP),Automatic,https://www.12gebrauchtwagen.de/c/16/1427886178?num_on_page=3&page=27&title=Mercedes-Benz+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"8,950 EUR",Ford,Fiesta,1.0 EcoBoost,"44,100 km",2017,Petrol,6,Sedan,Silver,Neumarkt in der Oberpfalz,44 kW (60 HP),Manual,https://www.12gebrauchtwagen.de/c/4/1424621493?num_on_page=4&page=81&title=Ford+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"17,624 EUR",Opel,Astra,1.5,"20,450 km",2021,Diesel,6,Wagon,Green,Coesfeld,78 kW (106 HP),Manual,https://gebrauchtwagen.hyundai.de/de/fahrzeugsuche/opel/astra/k-st-edition-cdtilednavisportsitzesitz-lenkra-wdc84x7g
"15,990 EUR",Ford,Fiesta,1.0 EcoBoost,"43,025 km",2018,Petrol,6,Sedan,White,Vechta,74 kW (101 HP),Automatic,https://www.12gebrauchtwagen.de/c/4/1406583299?num_on_page=2&page=46&title=Ford+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"13,900 EUR",Fiat,500,1.0,"12,939 km",2022,Hybrid,,Mini,Green,Hamburg,51 kW (69 HP),Manual,https://www.kamux.de/cars/Fiat/500/HHN-F90425
"35,920 EUR",Audi,Q3,2.0 35 TDI,"48,000 km",2021,Diesel,,Crossover,Gray,Rain,110 kW (150 HP),Automatic,https://www.12gebrauchtwagen.de/c/34/1398707735?num_on_page=2&page=114&title=Audi+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"31,130 EUR",Audi,Q3,1.5 35 TFSI,"42,500 km",2021,Petrol,6,Crossover,Gray,Rain,110 kW (150 HP),Automatic,https://www.instamotion.com/auto/V524-H6EM-W3VR
"32,640 EUR",Bmw,X3,xDrive20d,"72,800 km",2018,Diesel,6,Suv,Gold,Rain,140 kW (190 HP),Automatic,https://www.12gebrauchtwagen.de/c/34/1413765396?num_on_page=2&page=52&premium=false&title=BMW+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"23,650 EUR",Opel,Mokka,1.2,"20,300 km",2021,Petrol,,Crossover,Gray,Iserlohn,97 kW (132 HP),Automatic,https://hey.car/vehicle/5c8d0520-26eb-4dd1-a4b7-bd5d15e5ba1f?dealerId=504513
"63,690 EUR",Audi,Q5,2.0 40 TDI,"3,230 km",2024,Diesel,,Suv,Green,Rain,150 kW (204 HP),Automatic,https://www.instamotion.com/auto/JUM3-KD92-3LX7
"23,800 EUR",Honda,Cr-V,2.0,"108,665 km",2019,Hybrid,,Suv,Red,Iserlohn,137 kW (186 HP),Automatic,https://gebrauchtwagen.hyundai.de/de/fahrzeugsuche/honda/cr-v-20-i-mmd-hybrid-4wd-executive-hud-acc-led/variant-v3c8kydw
"19,850 EUR",Land Rover,Discovery Sport,2.0,"103,355 km",2017,Diesel,6,Suv,Silver,Usingen,110 kW (150 HP),Automatic,https://www.12gebrauchtwagen.de/c/4/1428365584?num_on_page=4&page=1&title=Land+Rover+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"12,499 EUR",Kia,Picanto,1.2,"48,160 km",2020,Petrol,,Mini,Green,Neumarkt in der Oberpfalz,62 kW (84 HP),Manual,https://www.12gebrauchtwagen.de/c/4/1424512398?num_on_page=5&page=8&title=Kia+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
