Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact
"9,499 EUR",Peugeot,3008,1.6 THP,"134,466 km",2013,Petrol,Crossover,White,Riom,116 kW (158 HP),Manual,https://www.autosphere.fr/fiche/auto-occasion-peugeot-3008-1-6-thp-16v-155ch-allure-63200-riom-51360
"31,490 EUR",Nissan,Qashqai,1.3,"16,364 km",2022,Petrol,Crossover,White,Rouen,117 kW (159 HP),Automatic,https://www.gueudet.fr/voiture/occasion/nissan/qashqai/13-158ch-tekna-xtronic/43687
"27,990 EUR",Nissan,Qashqai,1.3,"16,186 km",2022,Petrol,Crossover,Red,Senlis,104 kW (141 HP),Manual,https://www.leparking.fr/voiture-occasion-detail/nissan-qashqai/mild-hybrid-140-ch/COO2G1DL.html
"22,900 EUR",Nissan,Qashqai,1.3,"12,142 km",2022,Petrol,Crossover,Black,Louviers,104 kW (141 HP),Manual,https://www.auto-selection.com/voiture-occasion/nissan-qashqai/23937737.html
"29,800 EUR",Seat,Leon,1.8,"40,091 km",2021,Hybrid,Hatchback,White,Hérouville Saint Clair,150 kW (204 HP),Automatic,https://fr.renew.auto/achat-vehicules-occasions/detail.html?productId=VEH_25003556_VO001245
"25,980 EUR",Seat,Leon,1.8,"18,855 km",2021,Petrol,Hatchback,Gray,Saran,150 kW (204 HP),Automatic,https://fr.renew.auto/achat-vehicules-occasions/detail.html?productId=VEH_00001151_VO019574
"43,499 EUR",Lexus,Rx,450h,"69,734 km",2019,Hybrid,Suv,Black,Vénissieux,263 kW (358 HP),Automatic,https://www.autosphere.fr/fiche/auto-occasion-lexus-rx-450h-4wd-f-sport-euro6d-t-15cv-69200-venissieux-103247
"40,990 EUR",Lexus,Rx,450h,"61,250 km",2019,Hybrid,Suv,Gray,Chambourcy,263 kW (358 HP),Automatic,https://www.paruvendu.fr/a/voiture-occasion/lexus/rx/1271425856A1KVVOLXRX
"25,499 EUR",Bmw,2 Series,220i,"93,486 km",2016,Petrol,Coupe,Gray,,137 kW (186 HP),Manual,https://www.leparking.fr/voiture-occasion-detail/bmw-serie-2-220/bmw-serie-2-coupe-220i-184ch-m-sport/UR58ESIY.html
"28,900 EUR",Nissan,Qashqai,1.3,"59,961 km",2021,Petrol,Crossover,Gray,Saint-Quentin,117 kW (159 HP),Automatic,https://www.auto-selection.com/voiture-occasion/nissan-qashqai/23550718.html
"54,990 EUR",Tesla,Model S,electro,"76,672 km",2020,Electric,Sedan,Blue,Reims,314 kW (427 HP),Automatic,https://www.leparking.fr/voiture-occasion-detail/tesla-model-s-grande-autonomie/tesla-model-s-long-range-awd/0J5CMAL8.html
"17,990 EUR",Volkswagen,Polo,1.0 tsi,"24,314 km",2021,Petrol,Hatchback,White,Tulle,70 kW (95 HP),Manual,https://fr.renew.auto/achat-vehicules-occasions/detail.html?productId=VEH_00000159_VO123399
"103,900 EUR",Porsche,Macan,2.9 Turbo,"50,674 km",2019,Petrol,Suv,Black,Reims,328 kW (446 HP),Automatic,https://www.leparking.fr/voiture-occasion-detail/porsche-macan-turbo/porsche-macan-turbo/JYYX2YDF.html
