Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Price(EUR),Mileage(km),kW,Emission standard,Country
Mercedes Benz,E-Class,200 CGI BE,2009,Petrol,Sedan,Black,Villach,Automatic,https://www.zweispurig.at/mercedes-benz-e-klasse-gebrauchtwagen-benzin-schwarz-kaernten/details-1230488,15890,162000,137.0,5,Austria
Ford,Focus,1.5 TDCi,2019,Diesel,Wagon,Orange,Salzburg,Manual,https://www.zweispurig.at/ford-focus-gebrauchtwagen-diesel-orange-salzburg/details-1194635,16900,111500,89.0,6,Austria
Hyundai,I30,1.0,2024,Petrol,Wagon,Gray,Innsbruck,Manual,https://www.zweispurig.at/hyundai-i30-vorfuehrwagen-benzin-grau-tirol/details-1162997,26365,7,89.0,6,Austria
Jeep,Compass,1.6,2022,Diesel,Crossover,Gray,Salzburg,Manual,https://www.zweispurig.at/jeep-compass-gebrauchtwagen-diesel-grau-salzburg/details-1242007,27990,46800,97.0,6,Austria
Jeep,Compass,1.3,2022,Petrol,Crossover,Blue,Villach,Automatic,https://www.zweispurig.at/jeep-compass-jahreswagen-benzin-blau-kaernten/details-1228974,29990,34330,111.0,6,Austria
Audi,Q7,3.0 TDI,2012,Diesel,Suv,Gray,Wien,Automatic,https://www.gebrauchtwagen.at/fahrzeuge/audi-q7-3-0-tdi-quattro-dpf-tiptronic-diesel/6298e16a-f1de-4d27-9033-3b9932be3399,21900,165000,152.0,5,Austria
Peugeot,508,2.0 HDi,2019,Diesel,Sedan,White,Kufstein,Automatic,https://www.zweispurig.at/peugeot-508-gebrauchtwagen-diesel-weiss-tirol/details-1227659,29890,34000,134.0,6,Austria
Bmw,X3,20d,2016,Diesel,Suv,White,Salzburg,Automatic,https://www.zweispurig.at/bmw-x3-gebrauchtwagen-diesel-weiss-salzburg/details-1223833,27890,146621,137.0,6,Austria
Audi,A3,2.0 30 TDI,2022,Diesel,Sedan,White,Salzburg,Manual,https://www.zweispurig.at/audi-a3-gebrauchtwagen-diesel-weiss-salzburg/details-1201679,27900,27219,86.0,6,Austria
Land Rover,Discovery,3.0,2018,Petrol,Suv,Black,Wiener Neustadt,Automatic,https://www.zweispurig.at/land-rover-discovery-gebrauchtwagen-benzin-schwarz-niederoesterreich/details-1228820,63990,60672,253.0,6,Austria
Jeep,Renegade,1.6,2022,Petrol,Crossover,Gray,Amstetten,Automatic,https://www.zweispurig.at/jeep-renegade-gebrauchtwagen-benzin-grau-niederoesterreich/details-1183247,26940,13121,96.0,6,Austria
Mercedes Benz,C-Class,180,2015,Diesel,Sedan,White,Wien,Automatic,https://www.zweispurig.at/mercedes-benz-c-klasse-gebrauchtwagen-diesel-weiss-wien/details-1220636,19890,118000,86.0,6,Austria
Bmw,X3,xDrive20d,2017,Diesel,Suv,Gray,Ried Im Innkreis,Manual,https://www.zweispurig.at/bmw-x3-gebrauchtwagen-diesel-grau-oberoesterreich/details-1207288,24500,190000,141.0,6,Austria
Toyota,Corolla,1.8,2023,Petrol,Sedan,Black,Wien,Automatic,https://www.zweispurig.at/toyota-corolla-vorfuehrwagen-benzin-schwarz-wien/details-1145708,29790,5555,73.0,6,Austria
Opel,Grandland X,1.2,2020,Petrol,Suv,White,Eisenstadt,Automatic,https://www.dasweltauto.at/vehicle/20311637,22800,55000,97.0,6,Austria
Mercedes Benz,Gle-Class,350,2020,Diesel,Suv,White,Salzburg,Automatic,https://www.zweispurig.at/mercedes-benz-gle-gebrauchtwagen-diesel-weiss-salzburg/details-1185830,71890,79681,202.0,6,Austria
Hyundai,I30,1.4,2018,Petrol,Wagon,Silver,Linz,Manual,https://www.gebrauchtwagen-markt.at/autoboerse/511361-hyundai-i30-cw-mpi-startstopp-edition-25navirueckfah.html,14190,67900,75.0,6,Austria
Bmw,X1,xDrive18d,2017,Diesel,Suv,Silver,Linz,Automatic,https://www.gebrauchtwagen.at/fahrzeuge/bmw-x1-xdrive18d-m-sport-head-up-display-diesel/b5cefe6e-92c3-4c78-98f5-3e04d8759e32,23490,95600,111.0,6,Austria
Seat,Alhambra,2.0,2020,Diesel,Mpv,White,Salzburg,Automatic,https://www.zweispurig.at/seat-alhambra-gebrauchtwagen-diesel-weiss-salzburg/details-1243422,26450,169800,111.0,6,Austria
Nissan,Micra,1.0,2019,Petrol,Mini,Blue,Stockerau,Manual,https://www.zweispurig.at/nissan-micra-gebrauchtwagen-benzin-blau-niederoesterreich/details-1246754,11890,14800,75.0,6,Austria
Audi,Q7,3.0,2015,Diesel,Suv,Gray,Hallein,Automatic,https://www.zweispurig.at/audi-q7-gebrauchtwagen-diesel-grau-salzburg/details-1218591,39990,154500,202.0,6,Austria
Škoda,Rapid,1.6 TDI,2013,Diesel,Sedan,Blue,Steyr,Manual,https://www.zweispurig.at/skoda-rapid-gebrauchtwagen-diesel-blau-oberoesterreich/details-1235449,8999,113000,78.0,5,Austria
Suzuki,Vitara,1.4,2023,Petrol,Suv,Yellow,Telfs,Manual,https://www.zweispurig.at/suzuki-vitara-gebrauchtwagen-benzin-gelb-tirol/details-1226738,23900,15590,96.0,6,Austria
Suzuki,Vitara,1.4,2023,Petrol,Suv,Gray,Telfs,Manual,https://www.zweispurig.at/suzuki-vitara-gebrauchtwagen-benzin-grau-tirol/details-1226729,23900,12450,96.0,6,Austria
Mazda,Cx-30,2.0,2020,Petrol,Crossover,Red,Salzburg,Manual,https://www.zweispurig.at/mazda-cx-30-gebrauchtwagen-benzin-rot-salzburg/details-1238807,21990,27000,90.0,6,Austria
Peugeot,5008,1.2 puretech,2020,Petrol,Mpv,Black,Graz,Automatic,https://www.zweispurig.at/peugeot-5008-gebrauchtwagen-benzin-schwarz-steiermark/details-1192662,29900,35000,97.0,6,Austria
Mercedes Benz,Amg Gt,3.0 53,2019,Petrol,Sedan,Blue,Wien,Semi Automatic,https://www.zweispurig.at/mercedes-benz-amg-gt-gebrauchtwagen-benzin-blau-wien/details-1199186,84220,150492,324.0,6,Austria
Seat,Arona,1.0 tsi,2023,Petrol,Crossover,White,Klagenfurt,Automatic,https://www.dasweltauto.at/vehicle/60300026,28490,14783,82.0,6,Austria
Mercedes Benz,C-Class,200 D,2018,Diesel,Wagon,Black,Salzburg,Automatic,https://www.zweispurig.at/mercedes-benz-c-klasse-gebrauchtwagen-diesel-schwarz-salzburg/details-1223918,22990,134315,111.0,6,Austria
Seat,Leon,1.5 tsi,2024,Petrol,Hatchback,Gray,Wien,Manual,https://www.dasweltauto.at/vehicle/13125589,30220,258,97.0,6,Austria
Seat,Leon,1.5 tsi,2024,Petrol,Hatchback,Gray,Wien,Manual,https://www.dasweltauto.at/vehicle/11126089,29720,258,97.0,6,Austria
Seat,Leon,1.5 tsi,2024,Petrol,Hatchback,Red,Wien,Manual,https://www.dasweltauto.at/vehicle/13125592,29420,258,97.0,6,Austria
Seat,Leon,1.5 tsi,2024,Petrol,Hatchback,Gray,Wien,Manual,https://www.dasweltauto.at/vehicle/13125588,28220,258,97.0,6,Austria
Seat,Leon,1.5 eTSI,2024,Petrol,Hatchback,White,Eisenstadt,Automatic,https://www.dasweltauto.at/vehicle/20311588,34500,201,111.0,6,Austria
Seat,Leon,1.0 tsi,2024,Petrol,Hatchback,Black,Bruck An Der Mur,Manual,https://www.zweispurig.at/seat-leon-vorfuehrwagen-benzin-schwarz-steiermark/details-1191786,26690,200,82.0,6,Austria
Seat,Leon,1.0 tsi,2024,Petrol,Hatchback,Black,Bruck An Der Mur,Manual,https://www.dasweltauto.at/vehicle/21936660,27990,100,82.0,6,Austria
Seat,Leon,2.0,2023,Diesel,Hatchback,Black,Wien,Manual,https://www.dasweltauto.at/vehicle/15054343,32215,201,86.0,6,Austria
