Price,Make,Model,Trim,Mi,Year,Fuel type,Euro norm,Body type,Color,City,Power,Transmission,Contact
"89,995 EUR",Porsche,Panamera,4.0,"99,263 km",2020,Hybrid,6,Sedan,Gray,Brugge,500 kW (680 HP),Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/porsche/panamera/porsche-panamera-vente-559532?
"49,990 EUR",Porsche,Macan,2.0,"29,800 km",2018,Petrol,6,Suv,Gray,Hoeselt,187 kW (254 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/porsche-macan-essence-015295/
"31,900 EUR",Opel,Zafira,2.0,"93,828 km",2021,Diesel,8,Mpv,Black,Roeselare,131 kW (178 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/opel-zafira-diesel-0566255/
"36,500 EUR",Audi,Q5,2.0,"51,343 km",2019,Diesel,6,Suv,White,Overpelt,141 kW (192 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-q5-diesel-0524003/
"119,900 EUR",Audi,Rs6,4.0,"58,000 km",2021,Petrol,6,Wagon,Gray,Maldegem,447 kW (608 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-rs6-essence-0444384/
"37,990 EUR",Audi,Q2,1.5,"15,990 km",2023,Petrol,6,Crossover,Gray,Herent,111 kW (151 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-q2-essence-0389354/
"23,500 EUR",Audi,A1,1.0,"28,101 km",2022,Petrol,6,Mini,Black,Tongeren,70 kW (95 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a1-essence-0544112/
"43,995 EUR",Porsche,Macan,2.0,"59,521 km",2017,Petrol,6,Suv,Gray,Brugge,187 kW (254 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/porsche-macan-essence-0563085/
"61,815 EUR",Hyundai,Ioniq,,4 km,2024,Electric,8,Sedan,Gray,Hamme,170 kW (231 HP),Automatic,https://www.vroom.be/fr/voitures-neuves/hyundai-ioniq-5-electrique-0538602/
"23,900 EUR",Mazda,Mx-30,,"19,500 km",2020,Electric,6,Crossover,White,Beringen,108 kW (147 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/mazda-mx-30-electrique-0562420/
"60,950 EUR",Bmw,X5,,"46,731 km",2020,Petrol,6,Suv,Blue,Bastogne,253 kW (344 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/bmw-x5-essence-0531529/
"23,790 EUR",Audi,A3,1.0,"56,000 km",2019,Petrol,6,Sedan,White,Gembloux,86 kW (117 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a3-essence-0422091/
"40,200 EUR",Saic,Marvel R,electro,50 km,2023,Electric,,Crossover,White,Tielt Winge,81 kW (110 HP),Automatic,https://www.vroom.be/fr/voitures-neuves/mg-marvel-r-electrique-0565650/
"59,150 EUR",Land Rover,Discovery,2.0,"33,451 km",2020,Diesel,6,Suv,Black,Kalmthout,179 kW (243 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/land-rover-discovery-diesel-0201378/
"41,299 EUR",Mazda,Cx-5,2.0,1 km,2023,Petrol,6,Crossover,Black,Halen,121 kW (165 HP),Automatic,https://www.vroom.be/fr/voitures-neuves/mazda-cx-5-essence-0527110/
"41,830 EUR",Mazda,Cx-5,2.0,4 km,1998,Petrol,9,Crossover,Black,Turnhout,121 kW (165 HP),Automatic,https://www.vroom.be/fr/voitures-neuves/mazda-cx-5-essence-0550447/
"82,999 EUR",Porsche,Taycan,4S,"51,191 km",2021,Electric,6,Sedan,Silver,Wommelgem,324 kW (441 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/porsche-taycan-electrique-0558248/
"74,995 EUR",Porsche,Taycan,,"23,492 km",2021,Electric,9,Sedan,Black,Brugge,405 kW (551 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/porsche-taycan-electrique-0545366/
"99,999 EUR",Porsche,Taycan,,"12,095 km",2021,Electric,6,Sedan,Gray,Zottegem,364 kW (495 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/porsche-taycan-electrique-0403117/
"26,990 EUR",Audi,A1,1.0,"33,000 km",2021,Petrol,6,Mini,Gray,Brugge,86 kW (117 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a1-essence-0480137/
"31,900 EUR",Saic,Marvel R,electro,"39,135 km",2022,Electric,6,Crossover,White,Bastogne,140 kW (190 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/mg-marvel-r-electrique-0551055/
"58,990 EUR",Porsche,Macan,3.0,"58,237 km",2016,Petrol,6,Suv,Gray,Geel,268 kW (364 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/porsche-macan-essence-0325253/
"29,900 EUR",Jaguar,I-Pace,,"72,278 km",2018,Electric,,Suv,Red,Kampenhout,298 kW (405 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/jaguar-i-pace-electrique-0548979/
"44,999 EUR",Ford,Mustang Mach-E,,"14,290 km",2021,Electric,,Crossover,Gray,Boortmeerbeek,261 kW (355 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/ford-mustang-mach-e-electrique-0557413/
"79,990 EUR",Audi,Q8,3.0,"33,996 km",2022,Diesel,6,Suv,White,Hasselt,344 kW (468 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-q8-none-0379819/
"32,990 EUR",Audi,Q2,1.5,"40,000 km",2021,Petrol,6,Crossover,Black,Brugge,111 kW (151 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-q2-essence-0523075/
"28,500 EUR",Audi,Q2,1.5,"24,571 km",2021,Petrol,6,Crossover,Black,Genk,111 kW (151 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-q2-essence-0562311/
"69,995 EUR",Porsche,Taycan,,"79,288 km",2020,Electric,6,Sedan,Black,Brugge,431 kW (586 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/porsche-taycan-electrique-0549934/
"53,975 EUR",Mercedes Benz,Eqc,400,"11,018 km",2021,Electric,6,Suv,Black,Tielt,304 kW (413 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/mercedes-benz-eqc-400-electrique-0430139/
"69,990 EUR",Audi,Tt,2.5,"9,371 km",2021,Petrol,6,Coupe,Green,Bredene,298 kW (405 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-tt-essence-0328243/
"27,490 EUR",Peugeot,5008,2.0 HDi,"62,604 km",2018,Diesel,6,Mpv,Gray,Vilvoorde,131 kW (178 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/peugeot-5008-diesel-0546929/
"81,990 EUR",Porsche,Macan,2.0,"7,000 km",2022,Petrol,6,Suv,Gray,Maldegem,197 kW (268 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/porsche-macan-essence-0412647/
"112,890 EUR",Audi,E-Tron Gt,,110 km,2022,Electric,,Coupe,Black,Turnhout,354 kW (481 HP),Automatic,https://www.vroom.be/fr/voitures-neuves/audi-e-tron-gt-electrique-0549783/
"220,000 EUR",Mclaren,Gt,4.0,10 km,2023,Petrol,,Coupe,Beige,Waterloo,462 kW (628 HP),Automatic,https://www.vroom.be/fr/voitures-neuves/mclaren-gt-essence-0527219/
"215,000 EUR",Mclaren,Gt,4.0,10 km,2023,Petrol,,Coupe,Gray,Waterloo,462 kW (628 HP),Automatic,https://www.vroom.be/fr/voitures-neuves/mclaren-gt-essence-0527218/
"44,990 EUR",Audi,A5,2.0,"28,427 km",2023,Diesel,6,Sedan,Black,Tongeren,152 kW (207 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a5-diesel-0544107/
"25,990 EUR",Jaguar,F-Pace,2.0,"105,038 km",2017,Diesel,6,Crossover,Gray,Geel,133 kW (181 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/jaguar-f-pace-diesel-0338062/
"37,999 EUR",Hyundai,Kona,,5 km,2024,Electric,,Crossover,Black,Sint Niklaas,105 kW (143 HP),Automatic,https://www.vroom.be/fr/voitures-neuves/hyundai-kona-hybride-essence-0541413/
"43,890 EUR",Bmw,X4,M40i,"83,695 km",2019,Petrol,6,Suv,Black,Kuurne,263 kW (358 HP),Automatic,https://www.autogids.be/detail-id--9480590--bmw-m40i-leder-pano-360/tweedehands.html
"30,990 EUR",Audi,S3,2.0 tfsi,"44,000 km",2014,Petrol,6,Sedan,Gray,Oostkamp,223 kW (303 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-s3-essence-0538295/
"49,973 EUR",Ford,Ranger,2.0,15 km,2024,Diesel,8,Pickup,Gray,Rotselaar,152 kW (207 HP),Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/ford/ranger/ford-ranger-vente-561717?
"53,275 EUR",Hyundai,Ioniq 6,,6 km,2024,Electric,9,Sedan,Black,Tienen,242 kW (329 HP),Automatic,https://www.vroom.be/fr/voitures-neuves/hyundai-ioniq-6-electrique-0563901/
"28,495 EUR",Volkswagen,T-Roc,1.5 tsi,"23,889 km",2020,Petrol,9,Convertible,Red,Brugge,110 kW (150 HP),Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/volkswagen/t-roc/volkswagen-t-roc-vente-523750?
"50,990 EUR",Audi,A4,2.0,"13,584 km",2023,Diesel,6,Wagon,Gray,Overpelt,121 kW (165 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a4-diesel-0463279/
"34,650 EUR",Mazda,Cx-5,2.0,"8,298 km",2023,Petrol,6,Crossover,Gray,Halen,123 kW (167 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/mazda-cx-5-essence-0559402/
"20,990 EUR",Opel,Astra,1.4 D,"80,557 km",2019,Petrol,,Wagon,Silver,Sint Gillis Waas,111 kW (151 HP),Automatic,https://www.autogids.be/detail-id--9510864--opel-1774-innovation-sw-aut6/tweedehands.html
"41,990 EUR",Audi,A5,2.0,"15,171 km",2021,Diesel,6,Sedan,Black,Tienen,121 kW (165 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a5-diesel-0524081/
"114,995 EUR",Bmw,X7,,"16,448 km",2022,Diesel,6,Suv,Gray,Brugge,253 kW (344 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/bmw-x7-diesel-0434298/
"52,900 EUR",Volvo,Xc60,2.0,"35,800 km",2021,Petrol,6,Crossover,Gray,Dendermonde,254 kW (345 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/volvo-xc60-essence-0518888/
"108,999 EUR",Porsche,Taycan,,"32,000 km",2021,Electric,6,Sedan,Gray,Houthalen Helchteren,354 kW (481 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/porsche-taycan-electrique-0412489/
"33,995 EUR",Porsche,Macan,3.0 s,"127,795 km",2016,Petrol,6,Suv,Silver,Brugge,250 kW (340 HP),Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/porsche/macan/porsche-macan-vente-518758?
"29,800 EUR",Ford,S-Max,1.5,"48,534 km",2020,Petrol,,Mpv,Silver,Boortmeerbeek,123 kW (167 HP),Automatic,https://www.vroom.be/fr/voitures-occasion/ford-s-max-essence-0556706/
