Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact,Euro norm
"12,650 EUR",Land Rover,Range Rover Sport,3.0,"257,000 km",2012,Diesel,Suv,Black,Bucureşti,188 kW (256 HP),Automatic,https://www.anuntul.ro/anunt-autoturism-land-rover-range-rover-sport-2kBDBx#z3NBDd%20,
"59,269 EUR",Mercedes Benz,Gls-Class,,"99,988 km",2018,Petrol,Suv,Gray,Constanţa,182 kW (248 HP),Automatic,https://www.leasingsh.ro/mercedes-benz-gls-400-2018-MER41796.html,
"48,269 EUR",Volvo,Xc90,2.0,"50,000 km",2018,Petrol,Suv,Black,Constanţa,170 kW (231 HP),Automatic,https://www.leasingsh.ro/volvo-xc-90-2018-VOL42245.html,
"17,493 EUR",Volkswagen,T-Cross,1.0 tsi,"70,400 km",2021,Petrol,Crossover,Gray,Bucureşti,70 kW (95 HP),Automatic,https://www.anuntul.ro/anunt-autoturism-volkswagen-t-cross-BJneWx#z3NBDd%20,
"20,450 EUR",Bmw,X1,,"189,093 km",2017,Diesel,Suv,Black,Ploieşti,110 kW (150 HP),Automatic,https://www.anuntul.ro/anunt-autoturism-bmw-x1-kMb4qW#z3NBDd%20,
"6,795 EUR",Mazda,3,1.6,"163,000 km",2010,Petrol,Hatchback,Black,Cluj Napoca,77 kW (105 HP),Manual,https://www.anuntul.ro/anunt-autoturism-mazda-3-kMdvv1#z3NBDd%20,
"47,899 EUR",Volvo,Xc90,2.0,"68,500 km",2020,Diesel,Suv,Gray,Bucureşti,175 kW (238 HP),Automatic,https://www.leasingsh.ro/volvo-xc-90-2020-VOL51670.html,
"31,273 EUR",Bmw,2 Series,,"56,567 km",2020,Petrol,Convertible,Blue,Otopeni,135 kW (184 HP),Automatic,https://www.anuntul.ro/anunt-autoturism-bmw-seria-2-2kqmeZ#z3NBDd%20,
"14,890 EUR",Bmw,X3,,"209,462 km",2013,Diesel,Suv,White,Bistriţa,137 kW (186 HP),Automatic,https://www.depozitauto.ro/autoturisme/bmw.seria-x.bistrita-nasaud.2013.268028.html,5
"68,010 EUR",Land Rover,Defender,2.0,"44,950 km",2020,Diesel,Suv,Silver,Constanţa,179 kW (243 HP),Automatic,https://www.leasingsh.ro/land-rover-defender-2020-LAN37755.html,
"51,741 EUR",Bmw,X3,xDrive20d,"45,735 km",2021,Diesel,Suv,Black,Otopeni,140 kW (190 HP),Automatic,https://www.anuntul.ro/anunt-autoturism-bmw-x3-eaDjEY#z3NBDd%20,
"19,500 EUR",Opel,Mokka,1.6,"22,300 km",2022,Diesel,Crossover,White,Bucureşti,82 kW (112 HP),Automatic,https://www.leasingsh.ro/opel-mokka-2022-OPE51679.html,
"9,950 EUR",Volkswagen,Tiguan,2.0,"168,419 km",2009,Diesel,Crossover,Gray,Bistriţa,140 kW (190 HP),Manual,https://cautimasina.ro/volkswagen-tiguan-2009-diesel-second-hand-info-65e331e5d3b470484d0828f6,
"15,500 EUR",Opel,Astra,1.4,"24,000 km",2018,Petrol,Hatchback,Blue,Bucureşti,75 kW (102 HP),Manual,https://anunturi-auto.4tuning.ro/masini-second/opel/astra/opel-astra-1-4-2018-79951528.html,6
"6,190 EUR",Nissan,Qashqai,1.6,"290,000 km",2009,Petrol,Crossover,Black,Ploieşti,116 kW (158 HP),Manual,https://carzz.ro/nissan-qashqai-fab-082009-16-benzina-114-cpposibilitate-rate-anunt_3418417.html,5
"62,129 EUR",Bmw,X5,,"95,460 km",2019,Petrol,Suv,Black,Constanţa,186 kW (253 HP),Automatic,https://www.leasingsh.ro/bmw-x5-2019-BMW40461.html,
"12,899 EUR",Renault,Captur,1.0,"44,700 km",2020,Petrol,Suv,Blue,Bucureşti,74 kW (101 HP),Automatic,https://www.leasingsh.ro/renault-captur-2020-REN51680.html,
"19,742 EUR",Audi,Q5,2.0,"287,881 km",2016,Diesel,Suv,Black,Bistriţa,141 kW (192 HP),Automatic,https://www.depozitauto.ro/autoturisme/audi.q5.bistrita-nasaud.2016.268037.html,6
"32,990 EUR",Mercedes Benz,Glc-Class,220d 4Matic,"95,240 km",2018,Diesel,Suv,Gray,Ploieşti,124 kW (169 HP),Automatic,https://www.anuntul.ro/anunt-autoturism-mercedes-benz-glc-2kn7J6#z3NBDd%20,
"19,900 EUR",Bmw,X5,30d,"236,181 km",2014,Diesel,Suv,White,Cluj Napoca,,Automatic,https://www.anuntul.ro/anunt-autoturism-bmw-x5-mjrRZ6#z3NBDd%20,
"11,390 EUR",Škoda,Octavia,1.0 tsi,"61,000 km",2017,Petrol,Sedan,,Bucureşti,84 kW (114 HP),Manual,https://www.anuntul.ro/anunt-autoturism-skoda-octavia-rmED8W#z3NBDd%20,
"21,899 EUR",Kia,Sportage,1.6 GDi,"97,400 km",2019,Petrol,Crossover,White,Braşov,101 kW (137 HP),Automatic,https://www.leasingsh.ro/kia-sportage-2019-KIA53153.html,
"26,490 EUR",Jeep,Grand Cherokee,3.0 crd,"112,000 km",2016,Diesel,Suv,,Oradea,184 kW (250 HP),Automatic,https://www.anuntul.ro/anunt-autoturism-jeep-grand-cherokee-rqwMwb#z3NBDd%20,
"3,399 EUR",Renault,Scenic,1.5 dCi,"239,313 km",2007,Diesel,Mpv,,Bucureşti,78 kW (106 HP),Manual,https://www.anuntul.ro/anunt-autoturism-renault-scenic-ea8dz2#z3NBDd%20,
"9,900 EUR",Nissan,Navara,2.5,"244,224 km",2014,Diesel,Pickup,White,Oradea,,Manual,https://www.anuntul.ro/anunt-autoturism-nissan-navara-rmjn3W#z3NBDd%20,
"11,490 EUR",Mazda,Cx-5,2.2 D,"187,000 km",2012,Diesel,Crossover,,Bacău,110 kW (150 HP),Manual,https://www.anuntul.ro/anunt-autoturism-mazda-cx-5-zKzERm#z3NBDd%20,
"7,490 EUR",Seat,Leon,1.6,"241,000 km",2013,Diesel,Hatchback,,Bacău,77 kW (105 HP),Manual,https://www.anuntul.ro/anunt-autoturism-seat-leon-m3nwr2#z3NBDd%20,
"23,980 EUR",Bmw,X1,xDrive18d,"47,867 km",2019,Diesel,Suv,Blue,Bucureşti,111 kW (151 HP),Automatic,https://bavariaused.com/produs/bmw-x1-xdrive18d-147606/,6
"16,599 EUR",Volvo,Xc60,2.4 D5,"212,300 km",2013,Diesel,Crossover,,Cluj Napoca,158 kW (215 HP),Automatic,https://www.anuntul.ro/anunt-autoturism-volvo-xc60-2kLD4J#z3NBDd%20,
"5,990 EUR",Renault,Koleos,2.0 dCi,"193,000 km",2009,Diesel,Suv,,Târgu Mureş,110 kW (150 HP),Manual,https://www.anuntul.ro/anunt-autoturism-renault-koleos-2knz8q#z3NBDd%20,
"33,900 EUR",Lexus,Nx,2.5,"78,415 km",2018,Hybrid,Suv,Gray,Braşov,115 kW (156 HP),Automatic,https://www.leasingsh.ro/lexus-seria-nx-2018-LEX53156.html,
"6,100 EUR",Volkswagen,Golf,1.4,"152,000 km",2011,Petrol,Hatchback,Gray,Bucureşti,119 kW (162 HP),Manual,https://carzz.ro/volkswagen-golf-vi-14-benzina-160-cp-152000-km-anunt_3415624.html,5
"14,990 EUR",Hyundai,Santa Fe,2.2 CRDi,"168,000 km",2013,Diesel,Suv,,Târgu Mureş,144 kW (196 HP),Automatic,https://www.anuntul.ro/anunt-autoturism-hyundai-santa-fe-zKkbjY#z3NBDd%20,
"40,000 EUR",Jeep,Wrangler,2.8 CRD,"4,874 km",2016,Diesel,Suv,Gray,Bucureşti,149 kW (203 HP),Automatic,https://www.leasingsh.ro/jeep-wrangler-2016-JEE51746.html,
"9,990 EUR",Toyota,Auris,2.0 D-4D,"228,000 km",2015,Diesel,Hatchback,,Bacău,91 kW (124 HP),Manual,https://www.anuntul.ro/anunt-autoturism-toyota-auris-VlVXRn#z3NBDd%20,
"15,500 EUR",Seat,Leon,2.0 TSI Cupra,"133,783 km",2014,Petrol,Hatchback,,Târgu Mureş,205 kW (279 HP),Automatic,https://www.anuntul.ro/anunt-autoturism-seat-leon-BqRM1r#z3NBDd%20,
"13,790 EUR",Nissan,X-Trail,1.6,"217,000 km",2014,Diesel,Suv,,Ploieşti,97 kW (132 HP),Manual,https://lajumate.ro/nissan-x-trail-7locuri4x4-fab-102014-16-dci-131cp-euro-4-15518490.html,5
"27,999 EUR",Mercedes Benz,Glc-Class,,"149,960 km",2018,Diesel,Suv,,Piteşti,124 kW (169 HP),Automatic,https://www.anuntul.ro/anunt-autoturism-mercedes-benz-glc-kMb47P#z3NBDd%20,
"63,809 EUR",Bmw,X5,,"79,400 km",2019,Diesel,Suv,Blue,Bucureşti,197 kW (268 HP),Automatic,https://www.leasingsh.ro/bmw-x5-2019-BMW37616.html,
"14,500 EUR",Bmw,X3,,"197,171 km",2013,Diesel,Suv,,Cluj Napoca,230 kW (313 HP),Automatic,https://www.anuntul.ro/anunt-autoturism-bmw-x3-kMWLJz#z3NBDd%20,
"14,999 EUR",Ford,Kuga,2.0 TDCi,"173,922 km",2014,Diesel,Suv,,Bistriţa,121 kW (165 HP),Manual,https://www.depozitauto.ro/autoturisme/ford.kuga.bistrita-nasaud.2014.268026.html,5
"5,690 EUR",Ford,Focus,1.6,"290,000 km",2012,Diesel,Hatchback,Black,Ploieşti,86 kW (117 HP),Manual,https://carzz.ro/ford-focus-mk316-diesel116cpeuro-5posibilitatea-ratebuyback-anunt_3418422.html,5
"8,200 EUR",Volvo,V60,2.4 D5 AWD,"230,537 km",2012,Diesel,Wagon,,Cluj Napoca,,Automatic,https://www.anuntul.ro/anunt-autoturism-volvo-v60-eaKoZy#z3NBDd%20,
"57,058 EUR",Bmw,8 Series,M850i xDrive,"53,427 km",2020,Petrol,Coupe,Black,Arad,395 kW (537 HP),Automatic,https://bavariaused.com/produs/bmw-m850i-xdrive-duwrqw9jk2k2uexmwee9pq/,6
"73,025 EUR",Bmw,7 Series,740d,"35,513 km",2023,Diesel,Sedan,Black,Arad,213 kW (290 HP),Automatic,https://bavariaused.com/produs/bmw-740d-duwrsg9jk2c2znjkwee9pq/,6
"74,705 EUR",Bmw,7 Series,740d,"27,566 km",2023,Diesel,Sedan,Black,Arad,213 kW (290 HP),Automatic,https://bavariaused.com/produs/bmw-740d-duwrsg9jk2c2zkhswee9pq/,6
