Price,Make,Model,Trim,Mi,Year,Fuel type,Euro norm,Body type,Color,City,Power,Transmission,Contact
"29,900 EUR",Audi,A4,3.0 TDI,"52,291 km",2017,Diesel,,Wagon,White,Villingen Schwenningen,160 kW (218 HP),Automatic,https://www.12gebrauchtwagen.de/c/4/1424757726?num_on_page=2&page=106&title=Audi+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"108,900 EUR",Ferrari,F355,3.5,"55,000 km",1999,Petrol,,Convertible,Red,Villingen Schwenningen,280 kW (381 HP),Automatic,https://www.12gebrauchtwagen.de/c/4/1424764103?num_on_page=2&page=5&title=Ferrari+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"29,980 EUR",Jaguar,F-Pace,2.0,"121,600 km",2019,Diesel,,Crossover,Black,Hamburg,133 kW (181 HP),Automatic,https://www.moll-automobile.de/fahrzeug/383199339/Pkw/jaguar-f-pace-r-sport-awd-20d-ahk-abnehmbar-navi-sounds
"29,351 EUR",Audi,Q2,1.5 35 TFSI,"24,650 km",2022,Petrol,6,Crossover,Black,Rain,110 kW (150 HP),Automatic,https://www.instamotion.com/auto/HWGS-AKB7-FL5W
"24,999 EUR",Volkswagen,Tiguan,2.0,"67,000 km",2020,Diesel,6,Crossover,Black,Blaubeuren,111 kW (151 HP),Manual,https://www.12gebrauchtwagen.de/c/16/1418977220?num_on_page=3&page=26&title=VW+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"18,900 EUR",Audi,A3,1.0,"89,058 km",2018,Petrol,,Sedan,Blue,Villingen Schwenningen,85 kW (116 HP),Manual,https://www.12gebrauchtwagen.de/c/4/1424503027?num_on_page=3&page=83&title=Audi+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"17,490 EUR",Honda,Jazz,1.5 i-VTEC,"31,000 km",2019,Petrol,,Hatchback,Black,Iserlohn,97 kW (132 HP),Automatic,https://gebrauchtwagen.hyundai.de/de/fahrzeugsuche/honda/jazz-15-i-vtec-dynamic-klima-pdc-shz-led/variant-qbc7tsek
"27,370 EUR",Audi,Q2,1.5 35 TFSI,"39,900 km",2021,Petrol,,Crossover,Blue,Rain,110 kW (150 HP),Automatic,https://www.instamotion.com/auto/QPDV-IHDN-S4Q4
"25,890 EUR",Audi,A1,1.0 30 TFSI,"33,000 km",2020,Petrol,6,Mini,Gray,Rain,85 kW (116 HP),Automatic,https://www.instamotion.com/auto/Q5BC-BW46-S7F3
"29,900 EUR",Bmw,X4,20d,"41,810 km",2014,Diesel,,Suv,Gray,Villingen Schwenningen,140 kW (190 HP),Automatic,https://www.12gebrauchtwagen.de/c/4/1424710944?num_on_page=4&page=93&title=BMW+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"23,930 EUR",Ford,Focus,1.0 EcoBoost,"25,500 km",2022,Hybrid,,Wagon,Green,Rochlitz,92 kW (125 HP),Automatic,https://www.12gebrauchtwagen.de/c/4/1406659702?num_on_page=1&page=55&title=Ford+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"27,490 EUR",Audi,Q2,1.5 35 TFSI,"24,656 km",2020,Petrol,6,Crossover,Blue,Rain,110 kW (150 HP),Automatic,https://www.12gebrauchtwagen.de/c/16/1415348364?num_on_page=1&page=70&title=Audi+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"35,140 EUR",Volkswagen,T-Cross,1.0 tsi,"1,090 km",2024,Petrol,,Crossover,Green,Rain,86 kW (117 HP),Automatic,https://www.instamotion.com/auto/EV8B-BLYA-2OOQ
"16,990 EUR",Hyundai,Tucson,1.6 GDi,"97,171 km",2016,Petrol,,Suv,Silver,Perleberg,130 kW (177 HP),Automatic,https://www.12gebrauchtwagen.de/c/4/1428484097?num_on_page=4&page=11&title=Hyundai+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"14,980 EUR",Bmw,5 Series,525i,"181,000 km",2014,Diesel,6,Wagon,Black,Dieburg,160 kW (218 HP),Automatic,https://www.12gebrauchtwagen.de/c/4/1424590053?num_on_page=1&page=58&title=BMW+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"14,892 EUR",Dacia,Sandero,1.0 tce,"29,259 km",2021,Petrol,,Hatchback,Black,Ostfildern,74 kW (101 HP),Manual,https://www.12gebrauchtwagen.de/c/4/1426580174?num_on_page=1&page=9&title=Dacia+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"29,900 EUR",Porsche,Cayenne,3.0 D,"144,327 km",2014,Diesel,,Suv,Gray,Villingen Schwenningen,180 kW (245 HP),Automatic,https://www.autoanzeigen.de/porsche+cayenne+platinum+editionstandheizungmemoryled+villingen+schwenningen-i229605305_720832d5f83647d397f3.htm
"16,890 EUR",Audi,A4,1.8,"98,000 km",2014,Petrol,5,Wagon,Gray,Mönchengladbach,88 kW (120 HP),Automatic,https://www.12gebrauchtwagen.de/c/4/1337329058?num_on_page=3&page=61&title=Audi+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"13,990 EUR",Hyundai,I20,1.0,"66,430 km",2019,Petrol,,Hatchback,Blue,Ibbenbüren,75 kW (102 HP),Automatic,https://www.12gebrauchtwagen.de/c/4/1406489802?num_on_page=4&page=26&title=Hyundai+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"11,480 EUR",Hyundai,I10,1.0,"60,538 km",2020,Petrol,,Mini,Black,Perleberg,49 kW (67 HP),Automatic,https://www.12gebrauchtwagen.de/c/4/1428050810?num_on_page=3&page=13&premium=false&title=Hyundai+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"11,490 EUR",Hyundai,I10,1.0,"35,501 km",2020,Petrol,,Mini,White,Beckum,49 kW (67 HP),Manual,https://hey.car/vehicle/c06e6fbe-21d2-4137-bfe1-b9a9ce6e91ab?dealerId=b7d8f546-4f90-43cb-8462-570315e8d5a4
"16,866 EUR",Volkswagen,Up!,,"21,600 km",2020,Electric,,Mini,White,Rain,61 kW (83 HP),Automatic,https://www.instamotion.com/auto/Y12H-LTCY-EVAJ
"17,950 EUR",Ford,Transit Custom,2.0,"147,369 km",2019,Diesel,,Van,White,Leipzig,78 kW (106 HP),Manual,https://www.12gebrauchtwagen.de/c/4/1414011893?num_on_page=3&page=45&title=Ford+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
