Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact
"82,574 EUR (89,700 USD)",Renault,Espace,1.6,"93,414 km",2017,Diesel,Mpv,Gray,Otmuchów,117 kW (159 HP),Automatic,https://automotodeal.pl/v-2015-/renault-espace-initiale-paris-bosse-4control-acc-panorama-blis-nawi-skora-masaze.html
"85,335 EUR (92,700 USD)",Renault,Espace,1.6,"83,560 km",2017,Diesel,Mpv,Bronse,Otmuchów,117 kW (159 HP),Automatic,https://automotodeal.pl/v-2015-/renault-espace-initiale-paris-bosse-4control-acc-szyberdach-blis-dvd-skora-masaz-7-os.html
"135,230 EUR (146,900 USD)",Bmw,5 Series Gt,,"93,874 km",2019,Diesel,Sedan,Black,Gdańsk,139 kW (189 HP),Automatic,https://automotodeal.pl/bmw/bmw-3gt-vat-23procent-pl-salon-xdrive-m-pakiet-led-skory-kamera-aktywny-tem.html
"53,300 EUR (57,900 USD)",Hyundai,Ix35,1.6 GDi,"55,700 km",2014,Petrol,Crossover,White,Koło,99 kW (135 HP),Automatic,https://automotodeal.pl/ix35/hyundai-ix35-hyundai-ix35---16---135-km---benzyna---bogata-wersja---navi---led---k.html
"82,758 EUR (89,900 USD)",Mitsubishi,L200,2.4,"73,000 km",2017,Diesel,Pickup,White,Koło,113 kW (154 HP),Manual,https://automotodeal.pl/l200/mitsubishi-l200-mitsubishi-l200---24---154-km---naped-4x4---podwojna-kabina---tempoma.html
"42,253 EUR (45,900 USD)",Ford,Grand C-Max,2.0,"126,500 km",2015,Diesel,Mpv,Gray,Nowy Sącz,110 kW (150 HP),Automatic,https://automotodeal.pl/grand-c-max/ford-grand-c-max-salonowy-lift-20tdci-150km-titanium-automat.html
"59,744 EUR (64,900 USD)",Renault,Talisman,1.6,"153,402 km",2017,Diesel,Sedan,Silver,Gdańsk,117 kW (159 HP),Automatic,https://automotodeal.pl/talisman/renault-talisman-psalon-asyst-pasa-vat23procent-led-navi-kamera-cz-park-360-klima.html
"18,319 EUR (19,900 USD)",Audi,A4,2.0,"191,275 km",2006,Diesel,Wagon,Black,Częstochowa,102 kW (139 HP),Automatic,https://automotodeal.pl/b7-2004-2007/audi-a4-xenon-skora-nowy-rozrzad-stan-bdobry-bezwypadkowy-z-niemiec-oplacony.html
"70,606 EUR (76,700 USD)",Renault,Talisman,1.6,"132,270 km",2018,Diesel,Sedan,White,Otmuchów,117 kW (159 HP),Automatic,https://automotodeal.pl/talisman/renault-talisman-initiale-paris-bosse-4control-kamera-skora-acc-blis-wentylacja-full-op.html
"56,062 EUR (60,900 USD)",Citroen,Ds5,1.6 THP,"75,800 km",2016,Petrol,Hatchback,Blue,Nowy Sącz,121 kW (165 HP),Automatic,https://automotodeal.pl/ds5/citroen-ds5-salonowy-16thp-automatic-full-opcja.html
"9,204 EUR (9,999 USD)",Citroen,C3,1.4,"165,000 km",2007,Diesel,Hatchback,Black,Lublin,51 kW (69 HP),Automatic,https://automotodeal.pl/i-2002-2009/citroen-c3-sprzedam-ladnego-c-3-wersexclusive-automat.html
"28,952 EUR (124,900 PLN)",Volkswagen,Passat,2.0,"111,673 km",2019,Diesel,Wagon,Gray,Kraków,,,https://autopunkt.pl/samochod/krakow/kombi/volkswagen/passat/id/104964
"99,328 EUR (107,900 USD)",Mazda,Cx-5,2.2 D,"43,155 km",2018,Diesel,Crossover,Red,Wejherowo,128 kW (174 HP),Automatic,https://automotodeal.pl/cx-5/mazda-cx-5-22d-4x4-skypassion--serwisowany--salonpl-oddealera.html
"29,415 EUR (126,900 PLN)",Kia,Sportage,1.6 T-GDi,150 km,2023,Petrol,Crossover,Gray,Marki,111 kW (151 HP),Manual,https://www.gezet.pl/oferty/samochody/kia-sportage-1-6-t-gdi-150km-6mt-fwd-wersja-m-smart-52040
"28,952 EUR (124,900 PLN)",Kia,Sportage,1.6 T-GDi,150 km,2023,Petrol,Crossover,Gray,Marki,111 kW (151 HP),Manual,https://www.gezet.pl/oferty/samochody/kia-sportage-1-6-t-gdi-150km-6mt-fwd-wersja-m-smart-53357
"27,816 EUR (120,000 PLN)",Kia,Sportage,1.6 T-GDi,150 km,2023,Petrol,Crossover,Gray,Marki,111 kW (151 HP),Manual,https://www.gezet.pl/oferty/samochody/kia-sportage-1-6-t-gdi-150km-6mt-fwd-wersja-m-smart-53162
"51,091 EUR (55,500 USD)",Audi,A6,2.0 TDI,"258,000 km",2013,Diesel,Wagon,Black,Koło,130 kW (177 HP),Automatic,https://automotodeal.pl/c7-2011-/audi-a6-20tdi-177km-skory-navi-xenon-pdc-bezwypadkowy-serwisowany.html
"35,717 EUR (38,800 USD)",Volkswagen,Tiguan,1.4 TSI,"121,355 km",2010,Petrol,Crossover,White,Częstochowa,110 kW (150 HP),Manual,https://automotodeal.pl/i-2007-2016/volkswagen-tiguan-stan-idealny-skora-navi-100procentbezwypadkowy-serwisowany-zniemiec-oplacony.html
"15,649 EUR (17,000 USD)",Ford,Galaxy,2.0,"289,000 km",2007,Diesel,Mpv,Red,Świdnica,95 kW (129 HP),Automatic,https://automotodeal.pl/mk2-2006-2015/ford-galaxy-rezerwacja-klimanavialuczujnikixenonygwarancja--zamiana.html
"79,076 EUR (85,900 USD)",Mercedes Benz,Cls-Class,350 CDI,"151,465 km",2012,Diesel,Sedan,Black,Grójec,194 kW (264 HP),Automatic,https://automotodeal.pl/osobowe/mercedes-cls-350-wkrotce-w-sprzedazy-bruttomercedes-benz-cls-350-cdi-4-matic-blueeff.html
"11,875 EUR (12,900 USD)",Opel,Astra,1.6,"203,000 km",2009,Petrol,Hatchback,Silver,Mogilno,85 kW (116 HP),Automatic,https://automotodeal.pl/astra/opel-astra-lift--bezwypadkowa--serwis--oryginal-z-niemiec.html
"110,375 EUR (119,900 USD)",Audi,A6,2.0 TDI,"94,141 km",2017,Diesel,Sedan,Black,Gdańsk,139 kW (189 HP),Automatic,https://automotodeal.pl/c7-2011-/audi-a6-vat23procent-pl-salon-alcantara-automat-podgrzewane--full-led--kamera.html
"116,901 EUR (126,990 USD)",Dodge,Challenger,5.7,"201,432 km",2016,Petrol,Coupe,Black,Słupsk,279 kW (379 HP),Automatic,https://automotodeal.pl/challenger/dodge-challenger-57-hemi-380-km-skora-bluetooth-kamera-cofania-alufelgi-led-lpg.html
"26,604 EUR (28,900 USD)",Nissan,Qashqai,1.6,"198,526 km",2009,Petrol,Crossover,Black,Chmielnik,83 kW (113 HP),Manual,https://automotodeal.pl/qashqai+2/nissan-qashqai2-16-benzynka-114km--climatronic--parktronic--panorama--7-osobowy.html
"62,588 EUR (67,990 USD)",Mercedes Benz,Gl-Class,450,"191,169 km",2010,Petrol,Suv,White,Słupsk,249 kW (339 HP),Automatic,https://automotodeal.pl/osobowe/mercedes-gl-450-47-v8-benzyna-340-km-4x4-skora-kamera-cofania-pneumatyka-alutel.html
"62,321 EUR (67,700 USD)",Citroen,C4 Grand Picasso,2.0,"156,027 km",2018,Diesel,Mpv,Gray,Otmuchów,110 kW (150 HP),Automatic,https://automotodeal.pl/ii-2013-/citroen-c4-grand-picasso-full-opcja-nawi-sam-parkuje-pelna-skora-panorama-kamera-grzane-fotele.html
