Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact,Euro norm
"9,750 EUR",Kia,Picanto,1.2,"83,363 km",2016,Petrol,Mini,Blue,Nuenen,132 kW (180 HP),Manual,https://www.autotrader.nl/auto/voertuig/kia-picanto-12-cvvt-dynamicline-coulor-edition-leer-alc-benzine/e5042a77-f814-499c-9c8b-82bd5198dba4/,
"15,895 EUR",Ford,Focus,1.0 EcoBoost,"76,978 km",2020,Petrol,Hatchback,Blue,Raalte,93 kW (126 HP),Manual,https://www.nederlandmobiel.nl/tweedehands-auto/ford/focus-10-ecoboost-125-pk-trend-edition-business-navi-cruise-pdc-voor-achter-app-connect-lmv/18650655,
"23,900 EUR",Ford,Focus,1.5 EcoBoost,"73,883 km",2020,Petrol,Hatchback,Silver,Nijkerk,134 kW (182 HP),Automatic,https://www.autotrader.nl/auto/voertuig/ford-focus-15-ecoboost-st-line-business-nl-auto-pano-sto-benzine/9f4dc674-36e1-4571-804a-98e640fd6d51/,
"18,895 EUR",Ford,Focus,1.0 ecoboost st,"61,568 km",2020,Petrol,Hatchback,Blue,Raalte,93 kW (126 HP),Manual,https://www.nederlandmobiel.nl/tweedehands-auto/ford/focus-10-ecoboost-125-pk-st-line-business-stoelverwaring-navi-cruise-clima-app-connect-pdc-voor-achter/18692941,
"6,448 EUR",Ford,Grand C-Max,1.0,"226,482 km",2013,Petrol,Mpv,White,Emmen,93 kW (126 HP),Manual,https://www.eurostocks.com/nl/voertuigen/autos/mpv-van-minibus/vehicle/2496708/ford-grand-cmax-10-trend-7p-airco-cruise-control-navigatie-trekhaak-inruil-mogelijk,
"26,925 EUR",Peugeot,5008,1.2 puretech,"85,035 km",2020,Petrol,Mpv,Gray,Bergschenhoek,97 kW (132 HP),Automatic,https://www.nederlandmobiel.nl/tweedehands-auto/peugeot/5008-12-puretech-blue-lease-gt-line-ledercamerapanoramaschuifdak/18803110,6
"26,900 EUR",Peugeot,5008,1.2 puretech,"67,892 km",2020,Petrol,Mpv,Black,Rijswijk,97 kW (132 HP),Automatic,https://www.autokopen.nl/tweedehands-auto/peugeot/5008/9201695-peugeot-5008-12-puretech-130-pk-automaat-allure-7-pers-pano-led-stoelverw-keyles,
"33,350 EUR",Peugeot,5008,1.2 puretech,"28,208 km",2020,Petrol,Mpv,Gray,Sittard,132 kW (180 HP),Automatic,https://www.nederlandmobiel.nl/tweedehands-auto/peugeot/5008-12-puretech-crossway-nav-ecc-camera-panodak-7-pers/18829669,
"13,900 EUR",Renault,Captur,1.2 TCe,"141,026 km",2017,LPG,Van,Black,Apeldoorn,89 kW (121 HP),Automatic,https://www.autoscout24.nl/aanbod/renault-captur-1-2-tce-intens-navigatie-pdc-clima-trekhaak-lpg-zwart-9db710ca-e8b6-40df-809b-2f3dc0e5f8ec,
"20,925 EUR",Volkswagen,Polo,1.0 dsg tsi,"89,687 km",2019,Petrol,Hatchback,White,Zoetermeer,86 kW (117 HP),Automatic,https://www.eurostocks.com/nl/voertuigen/autos/kleine-auto/vehicle/2545551/volkswagen-polo-10-tsi-highline-rline-dsg-schuifdak-automaat-navigatie-camera-wat-een-gave-polo,
"17,900 EUR",Volkswagen,Polo,1.0 dsg tsi,"84,032 km",2019,Petrol,Hatchback,Gray,Ede,70 kW (95 HP),Automatic,https://www.valleiautogroep.nl/auto-zoeken/volkswagen-polo-1-0-tsi-95pk-dsg-comfortline-36972752,
"15,900 EUR",Volkswagen,Polo,1.0 tsi,"83,573 km",2019,Petrol,Hatchback,Black,Tilburg,70 kW (95 HP),Manual,https://www.eurostocks.com/nl/voertuigen/autos/kleine-auto/vehicle/2559327/volkswagen-polo-10-tsi-comfortline-airco-lichtmetalen-velgen-apple-carplayandroid-auto,
"15,750 EUR",Volkswagen,Polo,1.0 tsi,"70,156 km",2019,Petrol,Hatchback,White,Nijmegen,70 kW (95 HP),Manual,https://www.valleiautogroep.nl/auto-zoeken/volkswagen-polo-1-0-tsi-95pk-comfortline-37455130,
"15,425 EUR",Volkswagen,Polo,1.0 tsi,"65,194 km",2019,Petrol,Hatchback,White,Moordrecht,72 kW (98 HP),Manual,https://www.nederlandmobiel.nl/tweedehands-auto/volkswagen/polo-10-tsi-comfortline-5-deurs-navigarie-airco/18773626,
