Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact
"11,023 EUR (124,900 SEK)",Subaru,Impreza,1.6,"97,000 km",2024,Petrol,Sedan,White,Sala,84 kW (114 HP),Automatic,https://www.bytbil.com/vastmanlands-lan/personbil-impreza-1-6-4wd-auto-kamkedja-b-kamera-m-plus-varm-9700mil-8362-17581479
"164,900 EUR",Volvo,V60 Cross Country,2.0,"184,000 km",2015,Diesel,Wagon,Black,Falkenberg,110 kW (150 HP),Automatic,https://www.bytbil.com/hallands-lan/personbil-v60-cross-country-d3-summum-varmare-skinn-en-agare-8959-17328739
"6,601 EUR (74,800 SEK)",Mitsubishi,Asx,1.8,"179,000 km",2011,Diesel,Crossover,White,Lerum,110 kW (150 HP),Manual,https://www.bytbil.com/vastra-gotalands-lan/personbil-asx-1-8-di-d-plus-sov-dack-full-serv-historik-besiktad-9572-17568011
"54,710 EUR (619,900 SEK)",Land Rover,Range Rover Sport,2.0,"137,000 km",2024,Hybrid,Suv,White,Are,221 kW (301 HP),Automatic,https://www.bytbil.com/stockholms-lan/personbil-range-rover-sport-p400e-hse-pano-luftfj-leasbar-11518-17226057
"114,900 EUR",Kia,Rio,1.2,"45,470 km",2024,Petrol,Sedan,Blue,Knivsta,62 kW (84 HP),Manual,https://www.bytbil.com/stockholms-lan/personbil-rio-1-2-superdeal-6-95-navi-rattvarme-b-kamera-kamkedja-100537-17566904
"109,000 EUR",Kia,Rio,1.2,"30,940 km",2024,Petrol,Sedan,Black,Kungsbacka,62 kW (84 HP),Manual,https://www.bytbil.com/hallands-lan/personbil-rio-5-dorrar-1-2-84hk-gls-en-agare-360kr-skatt-8210-17579290
"94,900 EUR",Renault,Clio,0.9 tce,"78,720 km",2018,Petrol,Sedan,White,Helsingborg,66 kW (90 HP),Manual,https://www.bytbil.com/skane-lan/personbil-clio-0-9-tce-gps-pdc-b-t-404kr-skatt-102365-17586340
"32,646 EUR (369,900 SEK)",Bmw,X5,xDrive40d,"162,000 km",2023,Diesel,Suv,White,Eskilstuna,230 kW (313 HP),Automatic,https://www.bytbil.com/sodermanlands-lan/personbil-x5-xdrive40d-steptronic-m-sport-euro-6-11422-17421651
"32,558 EUR (368,900 SEK)",Lexus,Rx,450h,200 km,2016,Hybrid,Suv,White,Uppsala,193 kW (262 HP),Automatic,https://www.bytbil.com/uppsala-lan/personbil-rx-450h-awd-executive-luxury-drag-ml-10564-17580234
"379,900 EUR",Bmw,5 Series,530e,"53,000 km",2019,Hybrid,Sedan,Black,Kristianstad,135 kW (184 HP),Automatic,https://www.bytbil.com/skane-lan/personbil-530e-iperformance-steptronic-sport-lineen-agare-100330-17141822
"15,436 EUR (174,900 SEK)",Bmw,3 Series,320d,"163,790 km",2014,Diesel,Sedan,White,Lund,135 kW (184 HP),Automatic,https://www.bytbil.com/skane-lan/personbil-320-d-gran-turismo-steptronicm-sports-plus-vnavidrag-100194-17578062
"7,493 EUR (84,900 SEK)",Volkswagen,Eos,2.0 FSI,"127,400 km",2024,Petrol,Convertible,Gray,Halmstad,110 kW (150 HP),Manual,https://www.bytbil.com/hallands-lan/personbil-eos-cab-2-0-fsi-exclusive-lader-ny-kamrem-100313-17458247
"77,657 EUR (879,900 SEK)",Porsche,Panamera,2.9 4 E-Hybrid,"49,000 km",2019,Hybrid,Sedan,Black,Karlstad,243 kW (330 HP),Automatic,https://www.bytbil.com/varmlands-lan/personbil-panamera-4-e-hybrid-sport-turismo-462hk-sv-sald-sov-7545-17400953
"194,900 EUR",Volkswagen,Tiguan,2.0 TDI,"156,000 km",2016,Diesel,Crossover,Silver,Sollentuna,140 kW (190 HP),Automatic,https://www.bytbil.com/stockholms-lan/personbil-tiguan-2-0-tdi-4m-eu6-190hk-drag-cockpit-varmare-11345-17150435
"33,520 EUR (379,800 SEK)",Porsche,Cayenne,3.0 diesel,"105,560 km",2015,Diesel,Suv,Brown,Jönköping,193 kW (262 HP),Automatic,https://www.bytbil.com/jonkopings-lan/personbil-cayenne-diesel-pano-navi-drag-backkamera-skinn-262hk-7486-17587899
"379,900 EUR",Porsche,Macan,3.6,"181,640 km",2024,Petrol,Suv,Black,Are,294 kW (400 HP),Automatic,https://www.bytbil.com/stockholms-lan/personbil-macan-turbo-pdk-sport-chrono-drag-lader-spec-400hk-11518-17061971
"34,411 EUR (389,900 SEK)",Bmw,4 Series,,"22,590 km",2018,Petrol,Convertible,Black,Karlskrona,135 kW (184 HP),Automatic,https://www.bytbil.com/vastra-gotalands-lan/personbil-420-i-convertible-5-99-m-sport-navi-hardtop-11000-17499866
"7,466 EUR (84,600 SEK)",Mercedes Benz,E-Class,,"186,400 km",2002,Diesel,Sedan,Black,Svarta,225 kW (306 HP),Automatic,https://www.bytbil.com/stockholms-lan/personbil-e-500-5g-tronic-euro-4-svensk-sald-nybesiktigad-6170-17596167
"7,493 EUR (84,900 SEK)",Volvo,V50,2.5 T5,"192,000 km",2005,Petrol,Wagon,Silver,Sigtuna,162 kW (220 HP),Automatic,https://www.bytbil.com/stockholms-lan/personbil-v50-t5-awd-kinetic-pdc-drag-kampanj-7926-17506022
