Price,Make,Model,Trim,Mi,Year,Fuel type,Euro norm,Body type,Color,City,Power,Transmission,Contact
"19,002 EUR (7,490,000 HUF)",Bmw,1 Series,,"111,429 km",2018,,,,,,140 kW (190 HP),Automatic,https://usedcars.leaseplan.com/hu-hu/bmw-3-as-sorozat-touring/1508741-hu-bmw-3-assorozattouring.html
"19,383 EUR (7,640,000 HUF)",Citroen,C3,1.6,1 km,2023,Diesel,,Hatchback,,Szeged,75 kW (102 HP),Automatic,https://www.szalonauto.hu/szemelyauto/citroen/c3/citroen_c3_1.5_bluehdi_plus_ss_rendelheto_modell_gyors_szallitassal-20460404
"16,211 EUR (6,390,000 HUF)",Fiat,500,1.0,"3,500 km",2023,Petrol,,Mini,,Budaörs,51 kW (69 HP),Manual,https://joautok.hu/hasznaltauto/fiat/500-1/500-500c-10-bsg-dolce-vita-magyar-garancialis-serulesmentes-3500km/0zcg95u/
"20,778 EUR (8,190,000 HUF)",Kia,Sportage,,"62,370 km",2021,,,Crossover,,,100 kW (136 HP),Automatic,https://usedcars.leaseplan.com/hu-hu/kia-sportage/1666585-hu-kia-sportage.html
"21,539 EUR (8,490,000 HUF)",Bmw,5 Series Gt,,"72,714 km",2020,,,,,,110 kW (150 HP),,https://usedcars.leaseplan.com/hu-hu/bmw-3-as-sorozat-gran-turismo/1575120-hu-bmw-3-assorozatgranturismo.html
"24,076 EUR (9,490,000 HUF)",Toyota,Corolla,,"18,018 km",2023,,,Wagon,,,90 kW (122 HP),Automatic,https://usedcars.leaseplan.com/hu-hu/toyota-corolla-touring-sports/1766711-hu-toyota-corollatouringsports.html
"22,808 EUR (8,990,000 HUF)",Bmw,1 Series,,"103,597 km",2019,,,,,,140 kW (190 HP),Automatic,https://usedcars.leaseplan.com/hu-hu/bmw-3-as-sorozat-touring/1747145-hu-bmw-3-assorozattouring.html
"18,748 EUR (7,390,000 HUF)",Ford,Mondeo,,"145,609 km",2019,,,,,,110 kW (150 HP),Automatic,https://usedcars.leaseplan.com/hu-hu/ford-mondeo/1574473-hu-ford-mondeo.html
"44,373 EUR (17,490,000 HUF)",Bmw,2 Series,,"85,546 km",2021,,,,,,210 kW (286 HP),Automatic,https://usedcars.leaseplan.com/hu-hu/bmw-series-5/1670178-hu-bmw-series5.html
"23,822 EUR (9,390,000 HUF)",Volkswagen,Arteon,,"94,286 km",2019,,,,,,140 kW (190 HP),Automatic,https://usedcars.leaseplan.com/hu-hu/volkswagen-arteon/1587134-hu-volkswagen-arteon.html
