Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact
"64,802 EUR (749,000 NOK)",Audi,Sq7,4.0,"150,000 km",2017,Diesel,Suv,Black,Hokksund,324 kW (441 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=339697304
"45,768 EUR (529,000 NOK)",Audi,E-Tron,,"65,000 km",2020,Electric,Suv,Black,Vestby,317 kW (431 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=344321477
"9,430 EUR (109,000 NOK)",Kia,Soul Ev,,"79,600 km",2016,Electric,Mpv,Blue,Stavanger,24 kW (33 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=338378702
"21,620 EUR (249,900 NOK)",Tesla,Model S,electro,"166,000 km",2017,Electric,Sedan,Black,Siggerud,390 kW (530 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=342017032
"6,488 EUR (75,000 NOK)",Mitsubishi,Asx,1.8,"221,750 km",2011,Diesel,Crossover,Blue,Drammen,86 kW (117 HP),Manual,https://www.finn.no/car/used/ad.html?finnkode=340723430
"6,920 EUR (79,990 NOK)",Mitsubishi,Asx,1.8,"199,999 km",2011,Diesel,Crossover,Silver,Skien,86 kW (117 HP),Manual,https://www.finn.no/car/used/ad.html?finnkode=342602615
"39,538 EUR (457,000 NOK)",Nissan,Navara,2.3,"54,000 km",2021,Diesel,Pickup,Gray,Moelv,141 kW (192 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=342179040
"24,138 EUR (279,000 NOK)",Tesla,Model S,electro,"126,000 km",2017,Electric,Sedan,Blue,Kolbotn,391 kW (532 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=344633232
"65,667 EUR (759,000 NOK)",Audi,E-Tron,,"32,500 km",2021,Electric,Suv,Blue,Sandnes,375 kW (510 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=327536206
"12,891 EUR (149,000 NOK)",Mazda,Cx-5,2.2 D,"237,000 km",2016,Diesel,Crossover,White,Kolbotn,111 kW (151 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=342986616
"30,272 EUR (349,900 NOK)",Tesla,Model X,electro,"124,000 km",2016,Electric,Suv,Red,Siggerud,247 kW (336 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=342014778
"31,060 EUR (359,000 NOK)",Bmw,X5,xDrive30d,"239,000 km",2014,Diesel,Suv,Black,Kolbotn,192 kW (261 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=341013879
"45,846 EUR (529,900 NOK)",Mercedes Benz,S-Class,350d 4Matic,"106,200 km",2015,Diesel,Sedan,Silver,Stange,192 kW (261 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=339160238
"25,086 EUR (289,955 NOK)",Mercedes Benz,R-Class,350 CDI,"127,000 km",2013,Diesel,Mpv,Gray,Drammen,197 kW (268 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=344149847
"17,676 EUR (204,305 NOK)",Mercedes Benz,E-Class,,"186,000 km",2013,Diesel,Wagon,Gray,Moss,101 kW (137 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=343173874
