Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact
"15,850 EUR",Jeep,Renegade,1.0 Limited,"61,000 km",2019,Petrol,Crossover,White,Ademuz,119 kW (162 HP),Manual,https://coches.km77.com/jeep/renegade/en-madrid/2365423/se-vende-jeep-renegade-10g-88kw-limited-4x2-2019-15850-eur
"20,990 EUR",Škoda,Scala,1.0 dsg tsi,"67,635 km",2020,Petrol,Sedan,Blue,Madrid,110 kW (150 HP),Automatic,https://coches.km77.com/skoda/scala/en-madrid/2369583/se-vende-skoda-scala-15-tsi-sport-dsg-110kw-2020-20990-eur
"22,500 EUR",Peugeot,2008,1.2 puretech,"21,500 km",2023,Petrol,Crossover,Gray,Marçà,100 kW (136 HP),Manual,https://coches.km77.com/peugeot/2008/en-castellon/2371559/se-vende-peugeot-2008-puretech-100-ss-6-vel-man-allure-2023-22500-eur
"21,900 EUR",Peugeot,2008,1.2 puretech,"12,000 km",2023,Petrol,Crossover,Gray,Tomares,100 kW (136 HP),Manual,https://coches.km77.com/peugeot/2008/en-sevilla/2381121/se-vende-peugeot-2008-puretech-100-ss-6-vel-man-allure-2023-21900-eur
"16,450 EUR",Audi,Q5,2.0 TDI quattro,"119,344 km",2010,Diesel,Suv,Gray,Parla,201 kW (273 HP),Automatic,https://coches.km77.com/audi/q5/en-madrid/2363013/se-vende-audi-q5-20-tdi-170cv-quattro-s-tronic-2010-16450-eur
"25,900 EUR",Opel,Grandland X,1.2,5 km,2023,Petrol,Suv,Blue,Sevilla,96 kW (131 HP),Manual,https://coches.km77.com/opel/grandland/en-sevilla/2352252/se-vende-opel-grandland-12-turbo-gs-2023-25900-eur
"14,850 EUR",Kia,Stonic,1.0 T-GDi,"41,000 km",2021,Hybrid,Crossover,Gray,Ademuz,100 kW (136 HP),Manual,https://coches.km77.com/kia/stonic/en-madrid/2365418/se-vende-kia-stonic-10-t-gdi-74kw-100cv-mhev-imt-drive-2021-14850-eur
"17,450 EUR",Kia,Stonic,1.0 T-GDi,"30,000 km",2021,Hybrid,Crossover,Gray,Ademuz,119 kW (162 HP),Manual,https://coches.km77.com/kia/stonic/en-madrid/2388040/se-vende-kia-stonic-10-t-gdi-88kw-120cv-mhev-imt-drive-2021-17450-eur
"18,450 EUR",Jeep,Compass,1.3,"92,000 km",2020,Petrol,Crossover,Gray,Ademuz,149 kW (203 HP),Automatic,https://coches.km77.com/jeep/compass/en-madrid/2346821/se-vende-jeep-compass-13-gse-110kw-150cv-limited-ddct-4x2-2020-18450-eur
"16,900 EUR",Opel,Grandland X,1.2,"93,998 km",2021,Petrol,Suv,White,La Estrella,130 kW (177 HP),Manual,https://coches.km77.com/opel/grandland-x/en-sevilla/2316486/se-vende-opel-grandland-x-12-turbo-design-tech-2021-16900-eur
"18,850 EUR",Kia,Sportage,1.6 GDi,"92,000 km",2021,Hybrid,Crossover,Black,Ademuz,101 kW (137 HP),Manual,https://coches.km77.com/kia/sportage/en-madrid/2374300/se-vende-kia-sportage-16-mhev-black-edition-100kw-136cv-4x2-2021-18850-eur
"22,490 EUR",Peugeot,2008,1.2 puretech,"27,782 km",2022,Petrol,Crossover,Blue,Málaga,100 kW (136 HP),Manual,https://coches.km77.com/peugeot/2008/en-malaga/2353999/se-vende-peugeot-2008-puretech-100-ss-6-vel-man-allure-2022-22490-eur
"25,000 EUR",Citroen,C4,1.5 bluehdi,"11,050 km",2023,Diesel,Sedan,Gray,Tres Cantos,97 kW (132 HP),Automatic,https://coches.km77.com/citroen/c4/en-madrid/2363388/se-vende-citroen-c4-bluehdi-130-ss-eat8-feel-pack-2023-25000-eur
"29,995 EUR",Audi,Q5,2.0 35 TDI quattro,"53,770 km",2018,Diesel,Suv,White,Valencia,121 kW (165 HP),Automatic,https://coches.km77.com/audi/q5/en-valencia/2380967/se-vende-audi-q5-advanced-20-tdi-120kw-quattro-s-tronic-2018-29995-eur
"18,850 EUR",Bmw,X1,sDrive18d,"115,000 km",2018,Diesel,Suv,Gray,Ademuz,141 kW (192 HP),Automatic,https://coches.km77.com/bmw/x1/en-madrid/2346813/se-vende-bmw-x1-sdrive18d-2018-18850-eur
"18,295 EUR",Nissan,Qashqai,1.3 DIG-T,"73,000 km",2019,Petrol,Crossover,Black,Valencia,140 kW (190 HP),Manual,https://coches.km77.com/nissan/qashqai/en-madrid/2394390/se-vende-nissan-qashqai-13-dig-t-103kw-acenta-2019-18295-eur
"21,490 EUR",Audi,Q5,2.0,"129,902 km",2016,Diesel,Suv,Gray,Fontellas,150 kW (204 HP),Manual,https://coches.km77.com/audi/q5/en-navarra/2311587/se-vende-audi-q5-20-tdi-clean-diesel-ultra-2016-21490-eur
"20,850 EUR",Bmw,X1,sDrive16d,"116,000 km",2019,Diesel,Suv,Blue,Ademuz,115 kW (156 HP),Manual,https://coches.km77.com/bmw/x1/en-madrid/2367572/se-vende-bmw-x1-sdrive16d-2019-20850-eur
"19,495 EUR",Audi,A1,1.0 25 TFSI,"72,254 km",2021,Petrol,Mini,Gray,Valencia,95 kW (129 HP),Manual,https://www.motorflash.com/coche-de-segunda_mano/audi-a1_sportback-adrenalin_25_tfsi_70_kw_95_cv/ocasion/45887137-es/
"7,450 EUR",Renault,Laguna,2.0 dCi,"130,000 km",2009,Diesel,Sedan,Beige,Madrid,150 kW (204 HP),Manual,https://coches.km77.com/renault/laguna/en-madrid/2364330/se-vende-renault-laguna-20-dci-dynamic-150cv-5p-2009-7450-eur
"37,990 EUR",Audi,Q3,2.0 40 TFSI quattro,"69,158 km",2020,Petrol,Crossover,Gray,Majadahonda,141 kW (192 HP),Automatic,https://coches.km77.com/audi/q3/en-madrid/2369720/se-vende-audi-q3-40-tfsi-black-line-quattro-s-tronic-2020-37990-eur
"19,490 EUR",Peugeot,2008,1.2 puretech,"69,901 km",2021,Petrol,Crossover,Orange,Madrid,100 kW (136 HP),Manual,https://coches.km77.com/peugeot/2008/en-madrid/2142153/se-vende-peugeot-2008-puretech-100-ss-bvm6-active-pack-2021-19490-eur
"18,500 EUR",Hyundai,I20,1.0,"12,824 km",2023,Petrol,Hatchback,White,Barcelona,100 kW (136 HP),Manual,https://coches.km77.com/hyundai/i20/en-barcelona/2371030/se-vende-hyundai-i20-10-tgdi-klass-100-2023-18500-eur
"19,950 EUR",Audi,A4,2.0 tfsi,"64,000 km",2016,Petrol,Wagon,Gray,Ademuz,190 kW (258 HP),Automatic,https://coches.km77.com/audi/a4/en-madrid/2365410/se-vende-audi-a4-avant-20-tfsi-190cv-s-tronic-ultra-2016-19950-eur
"19,995 EUR",Nissan,Juke,1.0 DIG-T,46 km,2022,Petrol,Crossover,Gray,Marçà,114 kW (155 HP),Manual,https://coches.km77.com/nissan/juke/en-las-palmas/2368889/se-vende-nissan-juke-dig-t-84-kw-114-cv-6m-t-acenta-2022-19995-eur
"19,850 EUR",Mazda,Mx-30,,"29,999 km",2021,Electric,Crossover,Gray,Ademuz,145 kW (197 HP),Automatic,https://coches.km77.com/mazda/mx-30/en-madrid/2346839/se-vende-mazda-mx-30-e-skyactive-105-kw-143cv-origin-2021-19850-eur
"72,900 EUR",Audi,A7,3.0,"111,300 km",2020,Hybrid,Sedan,Black,Murcia,349 kW (475 HP),Automatic,https://coches.km77.com/audi/a7/en-murcia/2330219/se-vende-audi-a7-sportback-s7-tdi-257kw-quattro-triptron-2020-72900-eur
"18,990 EUR",Peugeot,2008,1.2 puretech,"90,000 km",2020,Petrol,Crossover,Orange,Málaga,100 kW (136 HP),Manual,https://coches.km77.com/peugeot/2008/en-malaga/2385435/se-vende-peugeot-2008-puretech-100-ss-bvm6-active-2020-18990-eur
"19,490 EUR",Peugeot,2008,1.2 puretech,"67,828 km",2020,Petrol,Crossover,White,Málaga,100 kW (136 HP),Manual,https://coches.km77.com/peugeot/2008/en-malaga/2354000/se-vende-peugeot-2008-puretech-100-ss-bvm6-active-pack-2020-19490-eur
"18,995 EUR",Peugeot,2008,1.2 puretech,"66,548 km",2020,Petrol,Crossover,White,Madrid,130 kW (177 HP),Manual,https://coches.km77.com/peugeot/2008/en-madrid/2374714/se-vende-peugeot-2008-puretech-130-ss-bvm6-allure-2020-18995-eur
"15,695 EUR",Peugeot,2008,1.2 puretech,"65,819 km",2020,Petrol,Crossover,White,Valencia,100 kW (136 HP),Manual,https://coches.km77.com/peugeot/2008/en-valencia/2387425/se-vende-peugeot-2008-active-puretech-100-ss-bvm6-2020-15695-eur
"18,750 EUR",Jaguar,Xj,3.0,"168,200 km",2011,Diesel,Sedan,Black,Madrid,275 kW (374 HP),Automatic,https://coches.km77.com/jaguar/xj/en-madrid/2321650/se-vende-jaguar-xj-30-v6-portfolio-275cv-auto-4p-navy-cuero-techo-electrico-panoramico-bixenon-2011-
"24,990 EUR",Mercedes Benz,Sl-Class,500 SL,"71,600 km",2006,Petrol,Convertible,Black,Madrid,289 kW (393 HP),Automatic,https://coches.km77.com/mercedes-benz/sl/en-madrid/2359631/se-vende-mercedes-benz-sl-sl-500-388cv-aut-2006-24990-eur
