Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Price(EUR),Mileage(km),kW,Emission standard,Country
Honda,Jazz,1.5 i-VTEC,2019,Petrol,Hatchback,Black,Iserlohn,Automatic,https://gebrauchtwagen.hyundai.de/de/fahrzeugsuche/honda/jazz-15-i-vtec-dynamic-klima-pdc-shz-led/variant-qbc7tsek,17490,31000,97.0,6,Germany
Audi,Q2,1.5 35 TFSI,2021,Petrol,Crossover,Blue,Rain,Automatic,https://www.instamotion.com/auto/QPDV-IHDN-S4Q4,27370,39900,110.0,6,Germany
Audi,A1,1.0 30 TFSI,2020,Petrol,Mini,Gray,Rain,Automatic,https://www.instamotion.com/auto/Q5BC-BW46-S7F3,25890,33000,85.0,6,Germany
Bmw,X4,20d,2014,Diesel,Suv,Gray,Villingen Schwenningen,Automatic,https://www.12gebrauchtwagen.de/c/4/1424710944?num_on_page=4&page=93&title=BMW+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,29900,41810,140.0,6,Germany
Ford,Focus,1.0 EcoBoost,2022,Hybrid,Wagon,Green,Rochlitz,Automatic,https://www.12gebrauchtwagen.de/c/4/1406659702?num_on_page=1&page=55&title=Ford+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,23930,25500,92.0,6,Germany
Audi,Q2,1.5 35 TFSI,2020,Petrol,Crossover,Blue,Rain,Automatic,https://www.12gebrauchtwagen.de/c/16/1415348364?num_on_page=1&page=70&title=Audi+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,27490,24656,110.0,6,Germany
Volkswagen,T-Cross,1.0 tsi,2024,Petrol,Crossover,Green,Rain,Automatic,https://www.instamotion.com/auto/EV8B-BLYA-2OOQ,35140,1090,86.0,6,Germany
Hyundai,Tucson,1.6 GDi,2016,Petrol,Suv,Silver,Perleberg,Automatic,https://www.12gebrauchtwagen.de/c/4/1428484097?num_on_page=4&page=11&title=Hyundai+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,16990,97171,130.0,6,Germany
Bmw,5 Series,525i,2014,Diesel,Wagon,Black,Dieburg,Automatic,https://www.12gebrauchtwagen.de/c/4/1424590053?num_on_page=1&page=58&title=BMW+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,14980,181000,160.0,6,Germany
Dacia,Sandero,1.0 tce,2021,Petrol,Hatchback,Black,Ostfildern,Manual,https://www.12gebrauchtwagen.de/c/4/1426580174?num_on_page=1&page=9&title=Dacia+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,14892,29259,74.0,6,Germany
Porsche,Cayenne,3.0 D,2014,Diesel,Suv,Gray,Villingen Schwenningen,Automatic,https://www.autoanzeigen.de/porsche+cayenne+platinum+editionstandheizungmemoryled+villingen+schwenningen-i229605305_720832d5f83647d397f3.htm,29900,144327,180.0,6,Germany
Audi,A4,1.8,2014,Petrol,Wagon,Gray,Mönchengladbach,Automatic,https://www.12gebrauchtwagen.de/c/4/1337329058?num_on_page=3&page=61&title=Audi+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,16890,98000,88.0,6,Germany
