Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact
"63,353 EUR (1,599,900 CZK)",Bmw,X7,30d xDrive,"176,205 km",2019,Diesel,Suv,Black,Praha,195 kW (265 HP),Automatic,http://auto.rychle.cz/osobni-auto-O/BMW/X7/X7-30d-xDrive-SUV-17019705375030.html
"3,959 EUR (99,999 CZK)",Honda,Civic,1.4,"179,569 km",2009,Petrol,Hatchback,Gray,Brno,73 kW (99 HP),Manual,https://autocaris.cz/detail.php?inzerat=736063
"3,959 EUR (99,999 CZK)",Honda,Civic,1.4,"179,526 km",2009,Petrol,Hatchback,Gray,Brno,73 kW (99 HP),Manual,https://www.sauto.cz/osobni/detail/honda/civic/203618754
"65,333 EUR (1,649,900 CZK)",Bmw,8 Series,M850i xDrive,"47,784 km",2021,Petrol,Coupe,Black,Praha,390 kW (530 HP),Automatic,https://www.sauto.cz/osobni/detail/bmw/rada-8/202651255
"9,820 EUR (248,000 CZK)",Opel,Mokka,1.7,"168,684 km",2013,Diesel,Crossover,White,Kroměříž,96 kW (131 HP),Manual,https://www.autanet.cz/detail/opel/mokka/42989
"7,911 EUR (199,800 CZK)",Opel,Meriva,1.4 Turbo,"92,000 km",2016,Petrol,Mpv,Brown,Slaný,103 kW (140 HP),Manual,https://www.cars.cz/inzerce/osobni-auto-O/Opel/Meriva/Meriva-1-4-TURBO-1-Hatchback-17097304155812966.html
"21,739 EUR (549,000 CZK)",Bmw,5 Series,M550d,"273,342 km",2016,Diesel,Sedan,White,Chrudim,280 kW (381 HP),Automatic,https://www.autanet.cz/detail/bmw/rada-5/5421
"59,393 EUR (1,499,900 CZK)",Bmw,X5,30d,"105,500 km",2019,Diesel,Suv,Blue,Praha,195 kW (265 HP),Automatic,https://autocaris.cz/detail.php?inzerat=724202
"23,283 EUR (588,000 CZK)",Škoda,Kodiaq,2.0 dsg tdi,"206,088 km",2018,Diesel,Suv,Blue,Kroměříž,110 kW (150 HP),Automatic,https://www.sauto.cz/osobni/detail/skoda/kodiaq/204280746
"8,672 EUR (219,000 CZK)",Volvo,V60,2.4 D5,"333,258 km",2012,Diesel,Wagon,Orange,Kroměříž,158 kW (215 HP),Manual,https://www.annonce.cz/inzerat/volvo-v60-2-4-d5-r-design-navi-1-maj--72314593-wcfed3.html
"22,531 EUR (569,000 CZK)",Volvo,Xc60,2.4 D4 AWD,"92,957 km",2015,Diesel,Crossover,White,Liberec,140 kW (190 HP),Automatic,https://www.sauto.cz/osobni/detail/volvo/xc60/205361355
"3,326 EUR (84,000 CZK)",Škoda,Roomster,1.4 TDI,"216,000 km",2007,Diesel,Mpv,Blue,Most,59 kW (80 HP),Manual,http://auto.rychle.cz/osobni-auto-O/Skoda/Roomster/Roomster-1.4TDI-59kW-Kombi-17101675377060.html
"23,323 EUR (589,000 CZK)",Volvo,Xc60,2.4 D4 AWD,"94,402 km",2017,Diesel,Crossover,Silver,Liberec,140 kW (190 HP),Automatic,https://www.cars.cz/inzerce/osobni-auto-O/Volvo/XC60/XC60-D4-AWD-2-4-SUV-17097345989345757.html
