Price,Make,Model,Mi,Year,Fuel type,Body type,Color,City,Transmission,Contact,Trim,Power,Euro norm
"46,607 EUR (44,988 CHF)",Volvo,Ex30,0 km,2024,Electric,Suv,Black,Kreuzlingen,Automatic,https://www.carforyou.ch/de/auto/volvo/ex30,,,
"15,322 EUR (14,790 CHF)",Mazda,626,"112,003 km",2017,Petrol,Wagon,Black,Spiez,Manual,https://www.carforyou.ch/de/auto/mazda/626,,,
"49,261 EUR (47,550 CHF)",Mazda,Cx-60,0 km,2023,,Suv,Black,Uster,Automatic,https://www.carforyou.ch/de/auto/mazda/cx-60,3.3 e-Skyactiv D,,
"29,526 EUR (28,500 CHF)",Honda,S2000,"12,000 km",2001,,Convertible,Black,Gossau,Manual,https://www.carforyou.ch/de/auto/honda/s2000,,,
"27,600 EUR",Abarth,595,"34,000 km",2019,Petrol,Coupe,,,,https://www.woowmotors.com/car/2019-abarth-500,1.4 competizione,,
"111,300 EUR",Mercedes Benz,190,"106,865 km",1961,Petrol,Sedan,,,Automatic,https://www.woowmotors.com/car/1961-mercedes-benz-190-sl,,,
"47,700 EUR",Citroen,M35,"23,000 km",1970,Petrol,Coupe,,,,https://www.woowmotors.com/car/citroen-m35-prototype-number-465,,,
"100,600 EUR",Porsche,911,"172,500 km",1984,Petrol,,,,,https://www.woowmotors.com/car/1984-porsche-911-32l,3.2,,
"21,200 EUR",Citroen,Dyane,"69,731 km",1980,Petrol,,Orange,,,https://www.woowmotors.com/car/1980-citroen-dyane,,,
"29,700 EUR",Citroen,2cv,"34,515 km",1987,Petrol,,Gray,,,https://www.woowmotors.com/car/1987-citroen-2cv-charlestone,,,
"169,600 EUR",Citroen,Bx,"2,800 km",1984,Petrol,,,,,https://www.woowmotors.com/car/1984-citroen-bx-4tc-44-turbo-groupe-b,,,
"31,700 EUR",Datsun,510,"36,436 km",1971,Petrol,,,,,https://www.woowmotors.com/car/1971-datsun-type-510-1600-sss,,,
"52,900 EUR",Austin,Seven,"30,144 km",1929,Petrol,,,,,https://www.woowmotors.com/car/1929-austin-austin-seven-7,,,
"26,500 EUR",Citroen,2cv,"31,190 km",1986,Petrol,,,,,https://www.woowmotors.com/car/1986-citroen-2cv,,,
"74,200 EUR",Citroen,Visa,187 km,1984,Petrol,,,,,https://www.woowmotors.com/car/1984-citroen-visa-1000-pistes-44,,,
"296,800 EUR",Shelby,Gt500,"92,000 km",1968,Petrol,,Gold,,Automatic,https://www.woowmotors.com/car/1968-shelby-gt-500,,,
"40,196 EUR (38,800 CHF)",Škoda,Enyaq,10 km,2024,Electric,Suv,Blue,,Automatic,https://www.azw.ch/de/angebot/624/skoda-enyaq-iv-60-automat-netto-netto?&page_number=6,electro,134 kW (182 HP),
"48,174 EUR (46,500 CHF)",Alfa Romeo,Tonale,6 km,2024,Hybrid,Crossover,Gray,,Automatic,https://www.azw.ch/de/angebot/1033/alfa-romeo-tonale-1-3-plug-in-hybrid-q4-veloce-pack-premium-automat-35?&page_number=1,1.3,208 kW (283 HP),
"40,922 EUR (39,500 CHF)",Volkswagen,Touareg,"25,500 km",2018,Diesel,Suv,Black,,Automatic,https://www.azw.ch/de/angebot/1014/vw-touareg-3-0tdi-bmt-r-line-262ps-autom?&page_number=9,3.0 TDI,195 kW (265 HP),6
"36,052 EUR (34,800 CHF)",Volkswagen,Golf,11 km,2024,Diesel,Sedan,Black,,Automatic,https://www.azw.ch/de/angebot/1165/vw-golf-2-0-tdi-r-line-dsg-automat-30?&page_number=8,2.0 TDI,111 kW (151 HP),
"30,872 EUR (29,800 CHF)",Škoda,Octavia,"12,400 km",2023,Diesel,Wagon,Blue,,Automatic,https://www.azw.ch/de/angebot/1077/skoda-octavia-combi-2-0-tdi-style-dsg-automat?&page_number=6,2.0 TDI,111 kW (151 HP),6
