Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact
"16,080 EUR (119,900 DKK)",Volvo,C70,2.0,"218,000 km",2011,Diesel,Convertible,Black,Lystrup,150 kW (204 HP),Automatic,https://bilhandel.dk/volvo-c70-20-d3-base-150hk-cabr-aut/id-1548587
"27,480 EUR (204,900 DKK)",Peugeot,3008,1.5 bluehdi,"77,000 km",2019,Diesel,Crossover,Black,Aalborg,96 kW (131 HP),Automatic,https://seek4cars.net/biler-til-salg/peugeot/3008-/1-5-bluehdi-allure-eat8-130hk-5d-8g-aut/131fd0db-70ac-4d3a-979a-7ce8b2f5924e
"31,503 EUR (234,900 DKK)",Peugeot,2008,1.2 puretech,"12,000 km",2023,Petrol,Crossover,Black,Give,96 kW (131 HP),Manual,https://www.autouncle.dk/en/d/4652525-used-peugeot-2008-1-2-puretech-active-pack-130hk-5d
"21,444 EUR (159,900 DKK)",Nissan,X-Trail,1.6,"206,000 km",2014,Diesel,Suv,Black,Vodskov,96 kW (131 HP),Manual,https://www.guloggratis.dk/annonce/f87aaa6b-4d41-45f9-897d-db8e0a7f29f5
"40,194 EUR (299,700 DKK)",Bmw,7 Series,750i,"223,000 km",2010,Petrol,Sedan,Blue,Vejen,303 kW (412 HP),Automatic,https://www.guloggratis.dk/annonce/2bfcdf88-9f1a-4950-9015-84343d04d4f5
"14,739 EUR (109,900 DKK)",Ford,S-Max,2.0,"200,000 km",2014,Diesel,Mpv,Black,Vodskov,104 kW (141 HP),Automatic,https://www.guloggratis.dk/annonce/52e77142-e065-41fe-bd0c-c761c15755b9
"24,127 EUR (179,900 DKK)",Peugeot,Expert,2.0,"42,000 km",2020,Diesel,Van,Gray,Aalborg,,Manual,https://seek4cars.net/biler-til-salg/peugeot/expert/l2-2-0-bluehdi-premium-pro-122hk-van-6g/0253e3cf-5eb6-47b8-aa07-342eede0575b
"25,468 EUR (189,900 DKK)",Ford,S-Max,2.0 TDCi,"167,000 km",2016,Petrol,Mpv,Black,Vodskov,178 kW (242 HP),Automatic,https://www.bilpriser.dk/car.do?carid=2602586
"38,879 EUR (289,900 DKK)",Volkswagen,Tiguan,1.4 TSI,"175,000 km",2021,Hybrid,Crossover,White,Varde,182 kW (248 HP),Automatic,https://www.autouncle.dk/en/d/4759833-used-vw-tiguan-1-4-ehybrid-elegance-dsg
"39,563 EUR (295,000 DKK)",Mercedes Benz,Sl-Class,600,"53,611 km",1994,Petrol,Convertible,Silver,Langeskov,293 kW (398 HP),Automatic,https://www.autouncle.dk/en/d/4319943-used-mercedes-sl600-sl-klasse-r129
"10,662 EUR (79,500 DKK)",Mercedes Benz,Ml-Class,350 CDI,"331,000 km",2011,Diesel,Suv,White,Havdrup,,Automatic,https://www.bilpriser.dk/car.do?carid=2603486
"56,314 EUR (419,900 DKK)",Land Rover,Range Rover Sport,3.0 SDV6,"145,000 km",2016,Diesel,Suv,Black,Haarby,,Automatic,https://www.bilpriser.dk/car.do?carid=2590970
"21,444 EUR (159,900 DKK)",Volkswagen,Transporter,2.0 TDI,"487,000 km",2011,Diesel,Van,Red,Vodskov,134 kW (182 HP),Automatic,https://www.guloggratis.dk/annonce/5d79957a-dca7-4aed-8cd0-7d816e3ba72a
"8,033 EUR (59,900 DKK)",Renault,Captur,1.2 TCe,"189,000 km",2014,Petrol,Suv,Silver,Vodskov,67 kW (91 HP),Manual,https://www.guloggratis.dk/annonce/933b5c78-b620-4720-8e2f-e7590a92e299
"26,809 EUR (199,900 DKK)",Kia,Niro,,"46,000 km",2020,Electric,Suv,White,Brøndby,150 kW (204 HP),Automatic,https://usedcars.leaseplan.com/da-dk/kia-niro/2091071-dk-kia-niro.html
"26,809 EUR (199,900 DKK)",Kia,Niro,,"45,000 km",2020,Electric,Suv,White,Brøndby,150 kW (204 HP),Automatic,https://usedcars.leaseplan.com/da-dk/kia-niro/2091083-dk-kia-niro.html
"28,821 EUR (214,900 DKK)",Kia,Niro,,"21,000 km",2020,Electric,Suv,White,Brøndby,150 kW (204 HP),Automatic,https://usedcars.leaseplan.com/da-dk/kia-niro/2091069-dk-kia-niro.html
"24,140 EUR (180,000 DKK)",Chevrolet,Corvette,5.7,"1,994 km",1976,Petrol,Coupe,White,Langeskov,134 kW (182 HP),Automatic,https://www.guloggratis.dk/annonce/3ebd89db-1cea-441a-b339-addce1188dc2
"117,350 EUR (875,000 DKK)",Porsche,911 Turbo,3.0,"109,000 km",1977,Petrol,Coupe,Black,Langeskov,193 kW (262 HP),Manual,https://www.guloggratis.dk/annonce/cc0d9d19-3891-4e08-83a0-35e58e378b0a
"7,362 EUR (54,900 DKK)",Toyota,Verso,2.0,"249,000 km",2011,Diesel,Mpv,White,Vodskov,93 kW (126 HP),Manual,https://www.guloggratis.dk/annonce/42927110-a877-4b47-be1c-e2abc788aea2
"8,033 EUR (59,900 DKK)",Škoda,Citigo,1.0 e,"88,000 km",2013,Petrol,Mini,Red,Holsted,44 kW (60 HP),Manual,https://www.guloggratis.dk/annonce/693d6bb3-83c6-4041-bc57-7f3cec7266e0
"12,056 EUR (89,900 DKK)",Toyota,Auris,1.6 VVT-i,"157,000 km",2013,Diesel,Hatchback,Silver,Vodskov,92 kW (125 HP),Manual,https://www.guloggratis.dk/annonce/f5fd13fa-2baa-40f2-a58b-7f1623e071fa
"16,764 EUR (125,000 DKK)",Saic,Mg Tf,1.8,"14,175 km",1969,Petrol,Convertible,Yellow,Langeskov,70 kW (95 HP),Manual,https://www.guloggratis.dk/annonce/b1f71006-e944-4eab-9331-def0aec34832
"36,210 EUR (270,000 DKK)",Bmw,6 Series,,"1,531 km",1958,Petrol,Coupe,Red,Langeskov,14 kW (19 HP),Manual,https://www.guloggratis.dk/annonce/6e29b5dc-0c79-4aab-a216-78c7b2fb29c6
"6,021 EUR (44,900 DKK)",Mitsubishi,Space Star,1.2,"178,000 km",2015,Petrol,Mpv,Black,Holsted,59 kW (80 HP),Manual,https://www.guloggratis.dk/annonce/1737cf4d-a0b3-4b94-b47c-1666356afef8
"20,760 EUR (154,800 DKK)",Volkswagen,E-Golf,,"13,000 km",2020,Electric,Hatchback,White,Hundested,101 kW (137 HP),Automatic,https://seek4cars.net/biler-til-salg/vw/e-golf-vii/comfortline/700e6406-b14f-4729-a6db-7e4705c75b9a
"5,082 EUR (37,900 DKK)",Nissan,Micra,1.2,"174,000 km",2007,Petrol,Mini,Blue,Vodskov,65 kW (88 HP),Manual,https://www.guloggratis.dk/annonce/a0f1671d-b7cf-48f8-b0d5-25b69431ee39
"21,458 EUR (160,000 DKK)",Bmw,3 Series,320d,100 km,1959,Petrol,Convertible,Blue,Tappernøje,9 kW (12 HP),Automatic,https://www.guloggratis.dk/annonce/7367a70c-281c-430e-adfb-d1f6d954c570
"45,585 EUR (339,900 DKK)",Peugeot,3008,1.6 puretech,"5,000 km",2023,Hybrid,Crossover,Black,Aalborg,167 kW (227 HP),Automatic,https://seek4cars.net/biler-til-salg/peugeot/3008-/1-6-puretech-plugin-hybrid-allure-sport-eat8-225hk-5d-8g-aut/7cdeab9c-125b-42b5-9aad-81b75f281e92
"20,103 EUR (149,900 DKK)",Saab,9-3,2.8,"273,000 km",2008,Petrol,Sedan,,Risskov,208 kW (283 HP),Automatic,https://www.guloggratis.dk/annonce/fde021dc-2a70-4b42-b264-d1028801cb3c
"17,434 EUR (129,999 DKK)",Toyota,Auris,1.8 VVT-i,26 km,2013,Petrol,Hatchback,Bronse,Randers,101 kW (137 HP),Automatic,https://www.guloggratis.dk/annonce/eadc709a-4b02-4d95-8392-309e756de12e
"8,033 EUR (59,900 DKK)",Citroen,C1,1.2 vti,"127,000 km",2017,Petrol,Mini,White,Holsted,61 kW (83 HP),Manual,https://www.guloggratis.dk/annonce/1248aa8a-e539-4749-886a-b790b1fbd20e
"7,751 EUR (57,800 DKK)",Renault,Twingo,1.0 SCe,"45,000 km",2015,Diesel,Mini,White,Ebeltoft,65 kW (88 HP),Automatic,https://www.guloggratis.dk/annonce/76bbe291-f132-4568-a855-48ceee7fdb2b
"10,045 EUR (74,900 DKK)",Citroen,C1,1.2 vti,"58,000 km",2018,Petrol,Mini,White,Holsted,61 kW (83 HP),Manual,https://www.guloggratis.dk/annonce/d15d83ed-5470-4fa6-af77-adf0e4079923
"13,344 EUR (99,500 DKK)",Fiat,Freemont,2.0 mjet,"237,000 km",2014,Diesel,Crossover,,Sabro,126 kW (171 HP),Automatic,https://www.guloggratis.dk/annonce/0fbabff0-ea06-4fe8-8bec-046da96b89b1
"18,762 EUR (139,900 DKK)",Kia,Picanto,1.0,"21,000 km",2022,Petrol,Mini,Yellow,Brøndby,49 kW (67 HP),Automatic,https://usedcars.leaseplan.com/da-dk/kia-picanto/2357439-dk-kia-picanto.html
"8,033 EUR (59,900 DKK)",Hyundai,I10,1.0,"131,000 km",2015,Petrol,Mini,Blue,Holsted,49 kW (67 HP),Manual,https://www.guloggratis.dk/annonce/465bb8f8-0147-4daf-87a5-4e26ae906c6c
"10,045 EUR (74,900 DKK)",Volkswagen,Touran,1.6 TDI,"271,000 km",2013,Diesel,Mpv,Red,Vodskov,78 kW (106 HP),Manual,https://www.guloggratis.dk/annonce/236b9bc7-472b-45e4-a6d4-0c6570510634
"20,103 EUR (149,900 DKK)",Suzuki,Vitara,1.6,"78,921 km",2016,Petrol,Suv,Silver,Broby,89 kW (121 HP),Manual,https://www.guloggratis.dk/annonce/0e881755-37c5-4c72-83ec-4788a323bf81
"26,809 EUR (199,900 DKK)",Dacia,Duster,1.3 TCe,"26,000 km",2022,Petrol,Suv,Blue,Broby,67 kW (91 HP),Manual,https://www.guloggratis.dk/annonce/7bf7a005-81f7-4bf0-a1d3-4636455841da
"32,831 EUR (244,800 DKK)",Ford,Torino,5.8,"100,000 km",1975,Petrol,Sedan,Red,Viby,154 kW (209 HP),Automatic,https://bilhandel.dk/ford-torino-58-154hk-aut/id-1554878
"17,421 EUR (129,900 DKK)",Peugeot,Expert,2.0,"154,000 km",2018,Diesel,Van,White,Aalborg,,Manual,https://seek4cars.net/biler-til-salg/peugeot/expert/l3-plus-2-0-bluehdi-150hk-van-6g/36ee2d0b-0ec6-411b-bcbd-98ca8df6af31
"9,079 EUR (67,700 DKK)",Volkswagen,Polo,1.2,"108,000 km",2010,Petrol,Hatchback,Black,Odense,,Manual,https://www.bilpriser.dk/car.do?carid=2603196
"8,838 EUR (65,900 DKK)",Hyundai,I10,1.0,"88,000 km",2017,Petrol,Mini,White,Havdrup,,Manual,https://www.bilpriser.dk/car.do?carid=2602117
"13,398 EUR (99,900 DKK)",Audi,A4,2.4,"164,000 km",2002,Petrol,Convertible,,Varde,170 kW (231 HP),Manual,https://bilhandel.dk/audi-a4-24-v6-cabriolet/id-1556081
"23,456 EUR (174,900 DKK)",Volkswagen,Polo,1.0 TSI DSG,"105,000 km",2019,Petrol,Hatchback,White,Aalborg,,Automatic,https://seek4cars.net/biler-til-salg/vw/polo/1-0-tsi-highline-dsg-115hk-5d-7g-aut/06d3e72f-c473-4eb8-a1d5-29ceae4bccf0
"10,312 EUR (76,895 DKK)",Volkswagen,Touran,1.6,18 km,1987,Diesel,Mpv,,Grindsted,52 kW (71 HP),Manual,https://www.guloggratis.dk/annonce/fd5bab88-2ff7-456c-b2c8-144f6a1097ce
"5,364 EUR (39,999 DKK)",Nissan,Qashqai,1.5 dCi,18 km,2010,Diesel,Crossover,,Randers,79 kW (107 HP),Manual,https://www.guloggratis.dk/annonce/5b530b25-d512-4620-bf61-ea6179efb8d1
"8,435 EUR (62,900 DKK)",Ford,B-Max,1.0 EcoBoost,"169,000 km",2013,Petrol,Mpv,,Hemmet,74 kW (101 HP),Manual,https://www.guloggratis.dk/annonce/dbd6c05d-7b79-43d1-9dc9-935c7494c27b
"14,752 EUR (109,999 DKK)",Mazda,3,2.0,"157,000 km",2013,Petrol,Hatchback,,Risskov,89 kW (121 HP),Manual,https://www.guloggratis.dk/annonce/fd8beec5-8a7b-4b09-883c-8244e554b5e0
"93,866 EUR (699,900 DKK)",Volkswagen,Touareg,3.0 TDI,"164,000 km",2019,Diesel,Suv,,Varde,213 kW (290 HP),Automatic,https://www.guloggratis.dk/annonce/a0f5195f-56d5-4754-86be-8ea51dda2e3d
"5,619 EUR (41,900 DKK)",Kia,Rio,1.1,"309,000 km",2012,Diesel,Wagon,,Hemmet,55 kW (75 HP),Manual,https://www.guloggratis.dk/annonce/a6257c5b-0c12-4d0f-b3fa-d4b5d9759f3f
"7,899 EUR (58,900 DKK)",Peugeot,3008,2.0 HDi,"170,000 km",2010,Diesel,Crossover,,Hemmet,111 kW (151 HP),Manual,https://www.guloggratis.dk/annonce/6ac4662d-622b-4fbe-9a86-4e35c49c5252
"40,234 EUR (299,999 DKK)",Seat,Leon,2.0 TSI Cupra,"125,000 km",2014,Petrol,Hatchback,,Frederikshavn,208 kW (283 HP),Automatic,https://www.guloggratis.dk/annonce/cd200bde-9591-416b-8ffb-27959e52d18d
"52,170 EUR (389,000 DKK)",Volvo,Xc60,2.4 D4,"115,000 km",2016,Diesel,Crossover,,Hadsund,164 kW (223 HP),Automatic,https://www.guloggratis.dk/annonce/ded755fd-c6a2-417f-8f1f-edce6e6ac278
"22,102 EUR (164,800 DKK)",Bmw,Z3,,"68,800 km",1997,Petrol,Convertible,,Langå,85 kW (116 HP),Manual,https://www.guloggratis.dk/annonce/d231368a-a431-48f0-8235-f6a74f0bd2cf
"93,866 EUR (699,900 DKK)",Volkswagen,Transporter,2.0,"69,000 km",2020,Diesel,Van,,Varde,111 kW (151 HP),Automatic,https://www.guloggratis.dk/annonce/d9d5d34f-e56f-4a70-a517-f41c257f5386
"10,045 EUR (74,900 DKK)",Peugeot,508,1.6 THP,"141,000 km",2013,Diesel,Sedan,Black,Vodskov,85 kW (116 HP),Manual,https://www.guloggratis.dk/annonce/2c00fd8a-76f2-429e-9147-60382a6f9616
"40,220 EUR (299,900 DKK)",Bmw,1 Series,135i,"140,000 km",2012,Petrol,Coupe,,Silkeborg,306 kW (416 HP),Automatic,https://bilhandel.dk/bmw-135i-30-coupe-aut/id-1577908
"60,338 EUR (449,900 DKK)",Bmw,X5,D,"125,000 km",2018,Diesel,Suv,Gray,Viborg,,Automatic,https://www.bilpriser.dk/car.do?carid=2599412
"11,252 EUR (83,900 DKK)",Citroen,C1,1.0,"51,000 km",2018,Petrol,Mini,White,Havdrup,,Manual,https://www.bilpriser.dk/car.do?carid=2602878
"40,220 EUR (299,900 DKK)",Tesla,Model 3,electro,"53,000 km",2020,Electric,Sedan,White,Brøndby,,Automatic,https://usedcars.leaseplan.com/da-dk/tesla-model-3/2128634-dk-tesla-model3.html
"36,197 EUR (269,900 DKK)",Peugeot,508,1.6,"33,000 km",2022,Hybrid,Sedan,Black,Brøndby,,Automatic,https://usedcars.leaseplan.com/da-dk/peugeot-508/2387244-dk-peugeot-508.html
"18,092 EUR (134,900 DKK)",Opel,Meriva,1.4 Turbo,"34,000 km",2017,Petrol,Mpv,Black,Sønderborg,,Manual,https://www.bilpriser.dk/car.do?carid=2598247
"12,727 EUR (94,900 DKK)",Opel,Insignia,2.0 CDTi,"182,000 km",2014,Petrol,Sedan,Silver,Holsted,,Manual,https://www.guloggratis.dk/annonce/9e5f0d02-7411-4a3f-a605-72924c0301e7
"8,704 EUR (64,900 DKK)",Peugeot,3008,1.6 HDi,"261,000 km",2014,Diesel,Crossover,Black,Holsted,,Manual,https://www.guloggratis.dk/annonce/f9ed633a-4fae-4f5f-80b6-412a32c7d0fa
"14,752 EUR (110,000 DKK)",Volkswagen,Polo,1.2 TSI,"20,000 km",2010,Petrol,Hatchback,,Gadstrup,78 kW (106 HP),Manual,https://www.guloggratis.dk/annonce/a0458176-291f-484d-9b0c-07bf21486934
"26,809 EUR (199,900 DKK)",Ford,Kuga,2.0 TDCi,"100,000 km",2018,Diesel,Suv,White,Varde,89 kW (121 HP),Automatic,https://www.bilpriser.dk/car.do?carid=2598688
"13,344 EUR (99,500 DKK)",Renault,Grand Scenic,2.0 dCi,"195,000 km",2014,Diesel,Mpv,,Hammel,111 kW (151 HP),Automatic,https://www.guloggratis.dk/annonce/790f5ab8-311a-4a5d-b8fc-d34e94b6f73e
"4,680 EUR (34,900 DKK)",Kia,Picanto,1.1,"196,000 km",2010,Petrol,Mini,,Holmegaard,65 kW (88 HP),Manual,https://bilhandel.dk/kia-picanto-11-fresh/id-1552815
"109,960 EUR (819,900 DKK)",Porsche,Taycan,,"46,000 km",2022,Electric,Sedan,,Varde,283 kW (385 HP),Automatic,https://www.guloggratis.dk/annonce/904ba99a-6981-4e42-9404-4e7ae79a4778
