Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact
"14,500 EUR",Citroen,C3,1.6,"90,862 km",2019,Diesel,Hatchback,White,Fafe,76 kW (103 HP),Manual,https://auto.sapo.pt/carro-usado/65e2215c7c1b958679a5c927/citroen-c3-15-bluehdi-feel
"26,490 EUR",Nissan,Qashqai,1.3 DIG-T,"41,000 km",2022,Petrol,Crossover,Gray,Braga,104 kW (141 HP),Manual,https://auto.sapo.pt/carro-usado/65d9b277783671a68ef0a2f4/nissan-qashqai
"16,990 EUR",Toyota,Auris,1.4 D-4D,"105,105 km",2018,Diesel,Hatchback,White,Lisboa,67 kW (91 HP),Manual,https://auto.sapo.pt/carro-usado/6554ef90044a5eea1c77e934/toyota-auris
"77,500 EUR",Porsche,Macan,3.0 s,"45,818 km",2018,Diesel,Suv,Black,Fafe,192 kW (261 HP),Automatic,https://auto.sapo.pt/carro-usado/652f9aaa663be8413fd2852d/porsche-macan-macan-s
"9,950 EUR",Volkswagen,Polo,1.2,"91,104 km",2010,Petrol,Hatchback,Gray,Caldas Da Rainha,52 kW (71 HP),Manual,https://www.abmotor.pt/carros/Vw/Polo/484774/
"24,990 EUR",Jeep,Renegade,1.6,"13,213 km",2022,Diesel,Crossover,Gray,Lisboa,96 kW (131 HP),Manual,https://www.abmotor.pt/carros/Jeep/Renegade/485977/
"24,990 EUR",Jeep,Renegade,1.6,"10,000 km",2022,Diesel,Crossover,Gray,Braga,96 kW (131 HP),Manual,https://auto.sapo.pt/carro-usado/6548b4e1c42e51fa4b63b208/jeep-renegade-16-mjd-longitude
"24,990 EUR",Ford,Puma,1.0 EcoBoost,35 km,2023,Petrol,Crossover,Black,Braga,93 kW (126 HP),Manual,https://www.abmotor.pt/carros/Ford/Puma/484844/
"18,980 EUR",Bmw,1 Series,2.0,"161,396 km",2012,Diesel,Convertible,,Santa Maria Da Feira,131 kW (178 HP),Manual,https://www.standnet.pt/anuncio/Bmw-120-Cabrio-Pack-M-Diesel-Usado-iid=46000
"14,990 EUR",Citroen,C3,1.6,"51,000 km",2018,Diesel,Hatchback,Gray,Braga,55 kW (75 HP),Manual,https://auto.sapo.pt/carro-usado/65d46cf12e166ba2269b6f71/citroen-c3
"46,900 EUR",Tesla,Model S,electro,"104,000 km",2018,Electric,Sedan,White,Leiria,391 kW (532 HP),Automatic,https://www.abmotor.pt/carros/Tesla/Model%20s/484315/
"14,900 EUR",Fiat,Panda,1.0,50 km,2024,Hybrid,Mini,Red,Queluz,52 kW (71 HP),Manual,https://www.abmotor.pt/carros/Fiat/Panda/485295/
"14,990 EUR",Fiat,500,1.2,"17,000 km",2019,Petrol,Mini,White,Braga,51 kW (69 HP),Manual,https://auto.sapo.pt/carro-usado/652e409771434df31384400b/fiat-500
"27,990 EUR",Peugeot,3008,1.5 bluehdi,"68,000 km",2019,Diesel,Crossover,Black,Braga,96 kW (131 HP),Automatic,https://auto.sapo.pt/carro-usado/657976996726ccc9a9c02c23/peugeot-3008
"49,990 EUR",Mercedes Benz,Cls-Class,300,"149,000 km",2018,Diesel,Sedan,Black,Gondomar,182 kW (248 HP),Automatic,https://www.abmotor.pt/carros/Mercedes-Benz/CLS%20320/483087/
